"","open","high","low","close","volume","adjusted"
"2018-01-02",50.240002,50.25,49.68,49.889999,1104900,49.764915
"2018-01-03",49.91,50.580002,49.91,50.470001,1111500,50.343468
"2018-01-04",50.599998,51.02,50.48,50.720001,1159700,50.592838
"2018-01-05",50.860001,50.939999,50.529999,50.619999,1089200,50.493088
"2018-01-08",50.490002,50.75,50.369999,50.580002,1166200,50.453194
"2018-01-09",50.810001,51.34,50.77,51.130001,1231500,51.001812
"2018-01-10",51.139999,51.540001,51.139999,51.209999,945700,51.081612
"2018-01-11",51.439999,51.68,51.349998,51.509998,1557800,51.380856
"2018-01-12",51.689999,52.810001,51.439999,52.779999,2419000,52.647675
"2018-01-16",52.849998,52.98,51.950001,52.189999,1463000,52.059155
"2018-01-17",52.450001,52.470001,52.23,52.349998,1125100,52.21875
"2018-01-18",52.32,52.790001,52.240002,52.52,938700,52.388325
"2018-01-19",52.599998,52.68,52.439999,52.509998,1224000,52.378349
"2018-01-22",52.619999,52.799999,52.459999,52.799999,850200,52.667622
"2018-01-23",52.610001,52.93,52.509998,52.900002,833600,52.767376
"2018-01-24",52.959999,53.360001,52.849998,53.040001,1104700,52.907024
"2018-01-25",53.049999,53.299999,52.869999,53.150002,827300,53.016747
"2018-01-26",53.299999,53.490002,53.119999,53.459999,768900,53.325966
"2018-01-29",53.459999,53.59,53.110001,53.110001,950200,52.976845
"2018-01-30",52.830002,53.18,51.990002,51.990002,1752400,51.859657
"2018-01-31",51.970001,52.240002,51.610001,51.650002,1924900,51.520512
"2018-02-01",51.57,51.810001,51.259998,51.59,1832100,51.460659
"2018-02-02",51.459999,51.650002,50.810001,50.82,1320600,50.692589
"2018-02-05",50.419998,50.84,48.18,48.189999,2142500,48.06918
"2018-02-06",47.369999,48.220001,46.610001,47.810001,3454200,47.690136
"2018-02-07",47.599998,48.650002,47.599998,47.860001,2184800,47.740009
"2018-02-08",47.889999,47.900002,46.02,46.049999,2111500,45.934547
"2018-02-09",46.52,47.07,45.52,46.73,2000900,46.612843
"2018-02-12",47.189999,48.130001,46.990002,47.5,1895400,47.380913
