"","open","high","low","close","volume","adjusted"
"2018-01-02",84.459999,85,84.059998,84.68,3456700,83.479858
"2018-01-03",84.739998,85.419998,84.269997,85.139999,3078400,83.933342
"2018-01-04",85.279999,85.800003,84.739998,85.519997,2462500,84.307945
"2018-01-05",86.089996,86.75,85.93,86.57,2946300,85.343079
"2018-01-08",86.690002,86.709999,85.400002,86.129997,3251400,84.909302
"2018-01-09",86.199997,86.419998,85.739998,86.059998,2426000,84.840302
"2018-01-10",85.610001,86.169998,85.489998,86.099998,1674600,84.87973
"2018-01-11",86.169998,86.589996,85.870003,86.389999,2647500,85.165627
"2018-01-12",86.519997,87.410004,86.029999,86.980003,2728900,85.747269
"2018-01-16",85.93,86.589996,85.150002,85.290001,4878300,84.081215
"2018-01-17",85.800003,86.360001,85.470001,86.209999,4046300,84.988174
"2018-01-18",86.040001,86.139999,85.269997,85.82,4445800,84.603699
"2018-01-19",86.169998,86.279999,85.32,85.489998,5826900,84.278374
"2018-01-22",83.25,85.57,82.400002,85.440002,6374000,84.229095
"2018-01-23",85.18,85.919998,84.239998,84.419998,5728100,83.223549
"2018-01-24",84.860001,85.160004,84.279999,84.300003,5977700,83.105247
"2018-01-25",84.809998,85.400002,84.559998,85.010002,5201600,83.805183
"2018-01-26",84.760002,87.470001,84.760002,87.080002,6394100,85.845848
"2018-01-29",86.769997,88.330002,86.650002,87.599998,5324500,86.358475
"2018-01-30",86.639999,86.940002,85.209999,86.089996,5388400,84.869873
"2018-01-31",86.5,86.730003,81.269997,81.449997,10558500,80.295639
"2018-02-01",81.540001,82.870003,81.290001,82.410004,8410700,81.242035
"2018-02-02",81.879997,83.029999,81.120003,81.18,5152500,80.029465
"2018-02-05",80.889999,81.610001,76.550003,77.489998,8145200,76.391762
"2018-02-06",76.559998,79.110001,75.709999,77.989998,10558800,76.884674
"2018-02-07",77.760002,78.559998,76.709999,76.720001,8240300,75.632675
"2018-02-08",77.190002,77.650002,74.190002,74.209999,8059600,73.158249
"2018-02-09",75.059998,76.82,73.690002,76.230003,8939700,75.14962
"2018-02-12",76.68,77.099998,75.199997,76.25,6454200,75.169334
"2018-02-13",76.019997,76.589996,75.75,76.209999,4041200,75.129898
"2018-02-14",75.410004,77.190002,75.339996,77.029999,4361100,76.502937
"2018-02-15",77.75,78.150002,77.029999,78.019997,4810700,77.48616
"2018-02-16",77.949997,79.650002,77.910004,78.970001,4699600,78.429665
"2018-02-20",78.18,78.699997,77.18,77.550003,3195000,77.019386
"2018-02-21",77.589996,78.75,77.550003,77.550003,3871100,77.019386
"2018-02-22",77.190002,78.089996,76.519997,77.190002,7687400,76.66185
"2018-02-23",77.730003,78.860001,77.639999,78.75,5170300,78.211174
"2018-02-26",78.989998,80.470001,78.970001,80.18,6015900,79.631386
"2018-02-27",80.150002,80.209999,78.690002,78.699997,4860400,78.161514
"2018-02-28",78.779999,79.18,77.010002,77.019997,6123400,76.493004
"2018-03-01",77.059998,77.370003,75.529999,76.5,6258400,75.97657
"2018-03-02",76.379997,77.599998,76.32,77.230003,3216700,76.701576
"2018-03-05",76.900002,78.080002,76.709999,77.699997,3816600,77.16835
"2018-03-06",77.860001,78,76.879997,77.190002,2962700,76.66185
"2018-03-07",76.580002,77.610001,76.540001,77.440002,2266500,76.910141
