"","open","high","low","close","volume","adjusted"
"2018-01-02",322,322.619995,317.5,318.540009,1189600,314.787933
"2018-01-03",318.980011,321.519989,318.630005,321.209991,893400,317.426483
"2018-01-04",321.190002,326.899994,320.98999,326.720001,1443000,322.871613
"2018-01-05",325.98999,330.179993,325.980011,329.679993,1241100,325.796722
"2018-01-08",328.959991,330.410004,327.809998,328.160004,1084500,324.294647
"2018-01-09",329,331.829987,328.420013,330.51001,865400,326.616974
"2018-01-10",331.070007,333.73999,330.01001,331.049988,1504600,327.150574
"2018-01-11",331.850006,332.079987,330.160004,331.130005,1152000,327.229675
"2018-01-12",331.350006,336.350006,331.029999,336.25,1428100,332.289337
"2018-01-16",336.350006,336.670013,330,330.109985,1374900,326.221649
"2018-01-17",331.459991,335.73999,330.320007,334.859985,998200,330.91568
"2018-01-18",334.109985,335.920013,332.98999,333,973200,329.077606
"2018-01-19",334.23999,334.890015,331.779999,332,1511800,328.089386
"2018-01-22",331.769989,332.700012,328.970001,329,1463000,325.124725
"2018-01-23",329.98999,331.149994,328.51001,328.700012,1066200,324.828278
"2018-01-24",328.869995,332.480011,327.420013,330.48999,1360200,326.597198
"2018-01-25",331.040009,335.190002,330.209991,334.720001,1782900,330.777374
"2018-01-26",336.869995,345.109985,334.73999,344.899994,2057300,340.837433
"2018-01-29",350,354.320007,342.149994,351.420013,2881100,347.28067
"2018-01-30",346.519989,352.720001,345.049988,350.390015,2032900,346.262817
"2018-01-31",353.279999,358.519989,352.450012,354.850006,1887200,350.670258
"2018-02-01",354.26001,361.790009,354.01001,357.380005,1579700,353.170471
"2018-02-02",355,358,351.519989,352.660004,1958600,348.506042
"2018-02-05",348.630005,353.98999,326.109985,336.459991,2947100,332.496857
"2018-02-06",328.709991,340.01001,327.230011,337.589996,2603000,333.613556
"2018-02-07",338.290009,350.339996,337.820007,345.429993,2052900,341.361206
"2018-02-08",350.209991,350.98999,334.01001,334.299988,2627600,330.362305
"2018-02-09",338.100006,344.880005,332.25,341.420013,2366600,337.398468
"2018-02-12",344.540009,348.470001,340.100006,345.809998,1829200,341.736755
"2018-02-13",345.200012,351.059998,344.51001,350.230011,1279300,346.104675
"2018-02-14",348.809998,355.390015,348.200012,354.660004,1652100,350.482483
"2018-02-15",357.399994,361.019989,354.73999,361,1167600,356.747803
"2018-02-16",361,363,357.839996,360.529999,1084800,356.283356
"2018-02-20",359.149994,362.670013,357.230011,358.690002,1102600,354.465027
"2018-02-21",359,362.980011,357,357.059998,1391000,352.854218
"2018-02-22",358.440002,358.970001,354.51001,355.410004,1432700,351.223663
"2018-02-23",356.25,358.690002,353.839996,358.690002,902500,354.465027
"2018-02-26",360,361.320007,357.079987,358.700012,1156300,354.474915
"2018-02-27",359.350006,362.320007,358.089996,358.170013,1379700,353.951172
"2018-02-28",357.359985,359.200012,352.420013,352.440002,988400,350.244385
"2018-03-01",352.459991,353.579987,337.579987,339.690002,2307100,337.573822
"2018-03-02",337.5,342.850006,335.049988,341.720001,1684100,339.591156
"2018-03-05",339.829987,342.779999,337.619995,342.359985,1812400,340.227173
"2018-03-06",342.899994,343.98999,337.950012,339.5,1307800,337.38501
"2018-03-07",336.230011,343.190002,334.100006,342.200012,1351000,340.068176
"2018-03-08",343.119995,343.700012,339.339996,341.779999,1056400,339.650787
"2018-03-09",341.779999,342.559998,338.079987,340.48999,1568600,338.368805
"2018-03-12",341,341.350006,333.040009,333.100006,2283200,331.024872
"2018-03-13",334.779999,335.910004,332.079987,333.459991,1622100,331.382629
"2018-03-14",335.709991,336.380005,327.579987,331.679993,1712400,329.613708
"2018-03-15",331.940002,334.429993,328.779999,333.230011,1877200,331.154083
"2018-03-16",333.380005,334.350006,329.230011,331.399994,4718100,329.335449
"2018-03-19",330.299988,336.230011,330.25,335.25,1502900,333.161469
"2018-03-20",335.730011,339.5,335.220001,335.600006,1153900,333.509308
"2018-03-21",336.26001,338.730011,332.48999,335.470001,1270500,333.380096
"2018-03-22",333.179993,335.470001,325.790009,327.149994,1536300,325.111938
"2018-03-23",327,344.140015,326.769989,336.309998,2898600,334.214874
"2018-03-26",342.399994,344.600006,339.269989,343.929993,1611100,341.787384
"2018-03-27",345.299988,345.940002,336.600006,338.850006,1295100,336.739044
"2018-03-28",340,340.660004,333.220001,335.329987,1422000,333.240967
"2018-03-29",336.040009,341,335.390015,337.929993,1039300,335.824768
"2018-04-02",337.059998,337.899994,328.75,333,1298600,330.925476
"2018-04-03",334.970001,337.029999,330.679993,334.709991,1296500,332.624817
"2018-04-04",328.880005,341.970001,327.5,341.790009,1449400,339.660736
"2018-04-05",344.230011,346.929993,340.01001,346.649994,1589400,344.490448
"2018-04-06",343.589996,344.679993,332.839996,334.660004,1417900,332.575165
"2018-04-09",337.480011,340.839996,335.459991,335.910004,981200,333.817352
"2018-04-10",340.630005,341.049988,337.100006,339.359985,996300,337.24585
"2018-04-11",338.51001,346.25,337.980011,339.440002,1481100,337.325378
"2018-04-12",340.619995,344.5,340.519989,342.880005,1091600,340.743958
"2018-04-13",344.079987,345.059998,340.690002,342.600006,763100,340.465698
"2018-04-16",344.869995,347.73999,344.549988,345.700012,1141300,343.546387
"2018-04-17",347.790009,350.119995,346.130005,349.140015,1061800,346.964966
"2018-04-18",351.299988,352.25,349.339996,351.149994,843600,348.962402
"2018-04-19",351.600006,354.209991,350.179993,353.380005,781700,351.178528
"2018-04-20",354.529999,355,351.130005,351.98999,1185300,349.79718
"2018-04-23",352.790009,358.619995,352.450012,358.600006,1986000,356.366028
"2018-04-24",360.019989,361.98999,330.640015,336.48999,3780500,334.393738
"2018-04-25",336.679993,337.149994,320.559998,329.5,3030800,327.447296
"2018-04-26",330,334.859985,324.130005,330.399994,1847500,328.341675
"2018-04-27",329.950012,330.230011,321.700012,322.029999,1580600,320.023834
"2018-04-30",322.350006,325.459991,320.200012,320.839996,1451100,318.841248
"2018-05-01",320.48999,321.23999,302.089996,308.459991,3880100,306.538361
"2018-05-02",307.279999,313.399994,305.200012,305.700012,2644800,303.795563
"2018-05-03",303.950012,310.5,300.5,309.929993,2889900,307.999207
"2018-05-04",308.109985,312.700012,307.26001,311.440002,1675500,309.499817
"2018-05-07",312.230011,317.920013,312.089996,317.709991,1816800,315.730743
"2018-05-08",317.709991,325.390015,317.299988,324.190002,2949500,322.17038
"2018-05-09",325.619995,328.549988,324.700012,326.119995,1700000,324.088348
"2018-05-10",328.480011,329.019989,322.950012,324.48999,1261600,322.468506
"2018-05-11",324.690002,325.859985,322.76001,324.040009,844900,322.021332
"2018-05-14",323.25,323.980011,317.440002,319.079987,1417200,317.092194
"2018-05-15",317.75,320.350006,317,319.769989,1131200,317.777893
"2018-05-16",320.100006,321.709991,318.839996,319.329987,915800,317.340637
"2018-05-17",319,321.5,317.399994,320.420013,961600,318.423889
"2018-05-18",320.76001,322,319.799988,320.450012,1013900,318.453674
"2018-05-21",322.5,324.529999,321.160004,324.279999,1001500,322.259827
"2018-05-22",323.26001,323.600006,317.040009,317.130005,1501700,315.154358
"2018-05-23",315.829987,325.529999,314.130005,325.320007,1601400,323.293335
"2018-05-24",324.660004,329.130005,323.339996,326.350006,1210600,324.316925
"2018-05-25",326,327.220001,319.859985,320.799988,1020300,318.801483
"2018-05-29",319.670013,320.690002,315.359985,317.200012,1134700,315.223938
"2018-05-30",319.029999,321.809998,317.160004,321.040009,901400,319.040009
"2018-05-31",319.23999,320.279999,314.470001,314.540009,1452700,314.540009
"2018-06-01",316.920013,317.799988,315.470001,316.630005,886200,316.630005
"2018-06-04",317.109985,319.25,316.220001,318.170013,667300,318.170013
"2018-06-05",318.109985,321.23999,317.48999,320.019989,873100,320.019989
"2018-06-06",320.769989,321.880005,318.51001,319.910004,1083400,319.910004
"2018-06-07",320.5,322.149994,318.940002,321.950012,1088200,321.950012
"2018-06-08",321.730011,322.600006,318.100006,322.309998,1260300,322.309998
"2018-06-11",322.119995,322.619995,319.160004,319.299988,911100,319.299988
"2018-06-12",319.630005,320.029999,311.25,315.160004,1743100,315.160004
"2018-06-13",314.670013,317.799988,312.670013,314.350006,2014200,314.350006
"2018-06-14",314.540009,315.799988,310.01001,310.589996,1396200,310.589996
"2018-06-15",309.619995,310.970001,306.339996,310.140015,1786300,310.140015
"2018-06-18",307.380005,310,306,309.519989,1259300,309.519989
"2018-06-19",306.720001,307.630005,301.649994,302.519989,1821600,302.519989
"2018-06-20",302.369995,304.970001,301.230011,302.859985,1620800,302.859985
"2018-06-21",302.649994,302.859985,298.100006,300.380005,1517500,300.380005
"2018-06-22",301.380005,301.809998,298.690002,299.380005,1364200,299.380005
"2018-06-25",297.350006,303.329987,296.070007,298.769989,1944800,298.769989
"2018-06-26",298.809998,300.429993,297.079987,299.079987,1670800,299.079987
"2018-06-27",299.390015,302.119995,294.540009,294.779999,1523900,294.779999
"2018-06-28",295,296.709991,291.519989,295.23999,1424300,295.23999
"2018-06-29",297.480011,299.980011,295.26001,295.429993,1267800,295.429993
