"","open","high","low","close","volume","adjusted"
"2018-01-02",77.989998,78.470001,77.330002,77.910004,1294600,77.214111
"2018-01-03",77.949997,78.019997,76.879997,77.550003,1374500,76.85733
"2018-01-04",78,79.580002,77.900002,78.93,873800,78.224998
"2018-01-05",79.139999,79.32,78.519997,79.089996,759600,78.383568
"2018-01-08",78.919998,79.089996,78.339996,78.940002,881800,78.234917
"2018-01-09",79.300003,82.230003,79.260002,81.68,2424600,81.29026
"2018-01-10",81.760002,83.790001,81.75,82.790001,1541100,82.394966
"2018-01-11",83.32,84.089996,83.160004,83.900002,1242000,83.499672
"2018-01-12",84.260002,84.75,83.75,84.370003,1390200,83.96743
"2018-01-16",84.75,85.199997,82.040001,82.510002,1506200,82.116302
"2018-01-17",82.919998,83.199997,82.199997,82.980003,1772400,82.584061
"2018-01-18",83.260002,83.599998,82.559998,83.059998,864000,82.663673
"2018-01-19",83.010002,83.470001,81.720001,83.169998,1699800,82.773148
"2018-01-22",83.379997,83.519997,82.389999,83.349998,1137300,82.952293
"2018-01-23",82.760002,83.43,81.860001,82.900002,921800,82.50444
"2018-01-24",83.510002,83.989998,82.870003,83.339996,1072400,82.942337
"2018-01-25",83.860001,83.919998,83.059998,83.400002,1098700,83.002052
"2018-01-26",83.82,84.809998,83.139999,84.809998,1184100,84.405327
"2018-01-29",84.889999,86.68,84.879997,85.709999,2314600,85.301033
"2018-01-30",84.779999,85.419998,82.949997,83.980003,2324900,83.579292
"2018-01-31",83.889999,84.099998,82.160004,82.800003,2362900,82.404922
"2018-02-01",83.589996,86.190002,83.099998,85.910004,2178900,85.500084
"2018-02-02",84.410004,85.07,82.989998,83.040001,1686800,82.643776
"2018-02-05",81.989998,82.949997,77.559998,78.089996,1760300,77.717384
"2018-02-06",75.690002,79.190002,75.209999,78.57,2344100,78.195099
"2018-02-07",78.029999,79.849998,77.779999,78.510002,1732000,78.135391
"2018-02-08",78.529999,78.529999,73.800003,73.860001,1714400,73.507576
"2018-02-09",75.050003,76.050003,72.470001,75.379997,2590400,75.020317
"2018-02-12",76.349998,77.410004,75.07,75.470001,1785500,75.109894
"2018-02-13",74.629997,75.089996,74.019997,74.339996,1990800,73.985283
"2018-02-14",74.099998,77.669998,74,77.300003,1974700,76.93116
"2018-02-15",78,79,76.75,77.18,1522900,76.811737
"2018-02-16",76.68,77.970001,76.650002,77.580002,1137800,77.209824
"2018-02-20",77.190002,78.470001,77.029999,78.029999,1226100,77.657677
"2018-02-21",78.050003,79.540001,77.879997,78.32,1006500,77.946297
"2018-02-22",78.720001,78.970001,76.959999,77.029999,1098600,76.662445
"2018-02-23",77.279999,78.059998,77.029999,78.019997,833400,77.64772
"2018-02-26",78.309998,78.519997,77.139999,78.419998,1597400,78.045815
"2018-02-27",78.699997,79.830002,78.18,78.220001,1474200,77.846771
"2018-02-28",78.839996,78.839996,76.169998,76.169998,1548000,75.806549
"2018-03-01",76.230003,76.610001,73.400002,73.879997,1436900,73.527473
"2018-03-02",73.209999,73.870003,71.849998,73.730003,1140300,73.378197
"2018-03-05",72.980003,75.339996,72.550003,74.900002,1080700,74.54261
"2018-03-06",75.120003,76.080002,74.459999,75.849998,1112700,75.488075
"2018-03-07",74.760002,76.099998,74.68,76.040001,1929800,75.677177
"2018-03-08",76.25,76.470001,75.019997,76.400002,1051300,76.035454
"2018-03-09",77.169998,78.980003,76.699997,78.709999,1448200,78.334435
"2018-03-12",78.709999,79.019997,78.050003,78.410004,1270800,78.035866
"2018-03-13",78.809998,79.010002,77.610001,77.839996,1357500,77.468582
"2018-03-14",78.459999,78.459999,76.050003,76.269997,762900,75.906075
"2018-03-15",76.459999,77.260002,76.18,76.489998,1209300,76.125023
"2018-03-16",76.580002,77.339996,76.150002,76.360001,1629300,75.995644
"2018-03-19",76.410004,77.190002,75.18,75.800003,883400,75.438324
"2018-03-20",76.339996,77.18,76.110001,76.559998,695800,76.194687
"2018-03-21",76.75,78.349998,76.75,77.199997,1072500,76.831635
"2018-03-22",75.800003,76.709999,73.389999,73.599998,1271700,73.248817
"2018-03-23",73.800003,73.809998,70.150002,70.360001,1512900,70.024277
"2018-03-26",71.910004,73.18,71.25,73.110001,1445700,72.761154
"2018-03-27",73.379997,74.559998,71.419998,71.959999,1775400,71.616638
"2018-03-28",72.099998,72.949997,71.260002,72.010002,1530900,71.666405
"2018-03-29",72.480003,73.669998,72.400002,73.059998,1368700,72.711388
"2018-04-02",72.599998,73.110001,69.900002,70.970001,1478300,70.631363
"2018-04-03",71.25,71.610001,69.190002,70.800003,2137900,70.462181
"2018-04-04",69.339996,71.449997,69.269997,71.239998,1186100,70.900078
"2018-04-05",71.959999,72.349998,71.059998,71.339996,1658200,70.999596
"2018-04-06",70.269997,71,68.489998,69.160004,1450000,68.830002
"2018-04-09",69.400002,70.050003,68.43,68.519997,1441600,68.519997
"2018-04-10",69.480003,70.129997,68.82,69.419998,2108700,69.419998
"2018-04-11",68.379997,68.970001,67.849998,68.010002,3285900,68.010002
"2018-04-12",68.449997,69.779999,68.269997,69.379997,2540700,69.379997
"2018-04-13",70.32,70.510002,68.949997,69.260002,1791300,69.260002
"2018-04-16",69.760002,70.519997,69.480003,70,1343400,70
"2018-04-17",70.610001,70.82,69.419998,69.75,1505100,69.75
"2018-04-18",70.449997,71.129997,69.75,70.839996,1664800,70.839996
"2018-04-19",70.959999,72.25,70.959999,71.620003,1541900,71.620003
"2018-04-20",71.889999,72.209999,71.110001,71.580002,1532600,71.580002
"2018-04-23",72,72.650002,71.690002,72.220001,1383700,72.220001
"2018-04-24",72.540001,74.169998,71.419998,72.010002,1171800,72.010002
"2018-04-25",71.839996,72.25,70.809998,71.900002,821700,71.900002
"2018-04-26",71.860001,72.360001,71.150002,71.779999,875900,71.779999
"2018-04-27",71.57,71.75,70.370003,71.639999,1120800,71.639999
"2018-04-30",71.989998,72.419998,70.620003,70.639999,1035300,70.639999
"2018-05-01",70.400002,70.639999,69.57,70.199997,1946300,70.199997
"2018-05-02",69.849998,69.849998,67.349998,67.720001,3081800,67.720001
"2018-05-03",66.360001,67.699997,64.620003,66.43,2848300,66.43
"2018-05-04",65.760002,69.220001,65.760002,68.949997,2590700,68.949997
