"","open","high","low","close","volume","adjusted"
"2018-01-02",26.549999,26.809999,26.33,26.780001,1839700,26.670292
"2018-01-03",26.74,26.9,26.65,26.690001,1369400,26.58066
"2018-01-04",26.76,27.059999,26.639999,26.84,1504700,26.730045
"2018-01-05",26.9,26.92,26.65,26.879999,1012200,26.76988
"2018-01-08",26.860001,27.950001,26.75,27.25,2538900,27.138365
"2018-01-09",27.379999,28.139999,27.379999,27.6,3808400,27.486933
"2018-01-10",27.540001,27.91,27.42,27.84,1488000,27.725948
"2018-01-11",27.870001,28.219999,27.870001,27.98,1348900,27.865374
"2018-01-12",28.139999,28.299999,27.809999,27.93,1255400,27.81558
"2018-01-16",28.08,28.17,27.450001,27.549999,1322300,27.437136
"2018-01-17",27.700001,27.889999,27.42,27.82,1143100,27.70603
"2018-01-18",27.77,27.799999,27.440001,27.629999,958800,27.516808
"2018-01-19",27.780001,28.110001,27.74,28.01,1236700,27.895252
"2018-01-22",27.799999,28.01,27.67,27.91,1102000,27.795662
"2018-01-23",27.889999,27.950001,27.610001,27.639999,1199600,27.526768
"2018-01-24",27.870001,27.92,27.540001,27.540001,1380100,27.427177
"2018-01-25",27.629999,27.66,27.34,27.43,755100,27.317629
"2018-01-26",27.549999,27.65,27.360001,27.629999,1026700,27.516808
"2018-01-29",27.51,27.700001,27.17,27.18,986100,27.068653
"2018-01-30",27.049999,27.209999,26.950001,27.09,1237700,26.979021
"2018-01-31",27.1,27.24,26.93,27.07,1395600,26.959103
"2018-02-01",27.030001,27.110001,26.780001,27.030001,1287100,26.919268
"2018-02-02",26.92,27.02,26.219999,26.290001,1645300,26.182299
"2018-02-05",26,26.309999,24.76,24.77,2441000,24.668526
"2018-02-06",24.219999,25.07,23.9,24.73,4662400,24.628689
"2018-02-07",24.58,25.42,24.58,25.01,2243100,24.907541
"2018-02-08",25.01,25.01,23.860001,23.860001,2288200,23.762253
"2018-02-09",24.18,24.450001,23.459999,24.25,2004400,24.150656
"2018-02-12",24.450001,25.1,24.35,24.84,2251800,24.738239
"2018-02-13",24.620001,24.780001,24.549999,24.6,1478100,24.499222
"2018-02-14",24.41,25.23,24.4,25.219999,1302400,25.11668
"2018-02-15",25.299999,25.4,24.73,24.93,1859600,24.827869
"2018-02-16",24.83,25.15,24.82,24.969999,2044100,24.867704
"2018-02-20",24.92,25.299999,24.91,25.1,1657700,24.997173
"2018-02-21",25.049999,25.42,24.959999,24.98,1473200,24.877665
"2018-02-22",25.1,25.110001,24.440001,24.48,1413900,24.379713
"2018-02-23",24.58,25,24.459999,24.969999,1747600,24.867704
"2018-02-26",25.09,25.23,24.860001,25.02,1164700,24.917501
"2018-02-27",25.139999,25.450001,24.549999,24.559999,1343900,24.459385
"2018-02-28",24.68,24.719999,23.98,23.99,2193000,23.89172
"2018-03-01",23.93,24.26,23.559999,23.639999,2122800,23.543154
"2018-03-02",23.450001,23.870001,23.129999,23.809999,1601600,23.712458
"2018-03-05",23.610001,24.129999,23.459999,23.92,1704600,23.822008
"2018-03-06",24.09,24.200001,23.77,24.07,2705800,23.971392
"2018-03-07",23.82,24.040001,23.67,24,1599200,23.90168
"2018-03-08",24.040001,24.1,23.629999,23.98,2424300,23.881762
"2018-03-09",24.219999,24.719999,24.129999,24.5,1694500,24.399632
"2018-03-12",24.469999,24.610001,24.41,24.5,1797300,24.399632
"2018-03-13",24.65,24.65,24.23,24.299999,2063600,24.200449
"2018-03-14",24.389999,24.52,24.190001,24.299999,2750600,24.200449
"2018-03-15",24.4,24.58,24.280001,24.41,3203700,24.309999
"2018-03-16",24.41,24.719999,24.35,24.65,3007500,24.65
"2018-03-19",24.6,24.629999,23.76,24,2743500,24
"2018-03-20",24.09,24.1,23.190001,23.190001,2791000,23.190001
"2018-03-21",23.16,23.389999,23.08,23.16,2202500,23.16
"2018-03-22",22.93,23.139999,22.35,22.360001,2150000,22.360001
"2018-03-23",22.42,22.51,21.719999,21.85,2876100,21.85
"2018-03-26",22.209999,22.52,22.08,22.48,2028900,22.48
"2018-03-27",22.549999,22.610001,22.030001,22.15,2724900,22.15
"2018-03-28",22.15,22.5,22.08,22.450001,2469600,22.450001
"2018-03-29",22.620001,22.92,22.559999,22.73,2260500,22.73
"2018-04-02",22.58,22.719999,21.790001,22.1,2232400,22.1
"2018-04-03",22.26,22.34,21.959999,22.280001,1984800,22.280001
"2018-04-04",21.879999,22.33,21.879999,22.25,3841000,22.25
"2018-04-05",22.370001,22.65,22.26,22.48,2717500,22.48
"2018-04-06",22.290001,22.35,21.610001,21.77,3098300,21.77
"2018-04-09",23.6,24.75,23.26,24.290001,7752600,24.290001
"2018-04-10",24.450001,24.870001,24.370001,24.379999,4875200,24.379999
"2018-04-11",24.139999,24.370001,24.040001,24.309999,2995300,24.309999
"2018-04-12",24.370001,24.620001,24.34,24.360001,5342100,24.360001
"2018-04-13",24.5,24.620001,24.25,24.299999,3280400,24.299999
"2018-04-16",24.48,24.74,24.360001,24.629999,3120700,24.629999
"2018-04-17",24.790001,24.82,24.440001,24.530001,3624400,24.530001
"2018-04-18",24.559999,24.559999,24.139999,24.32,3322600,24.32
"2018-04-19",24.35,24.629999,24.110001,24.110001,2767100,24.110001
"2018-04-20",24.25,24.370001,24.01,24.02,3490200,24.02
"2018-04-23",24.15,24.5,24.1,24.42,3006500,24.42
"2018-04-24",24.469999,24.65,24.129999,24.24,3362300,24.24
"2018-04-25",24.200001,24.700001,24.030001,24.459999,2628600,24.459999
"2018-04-26",24.450001,24.58,24.17,24.309999,2876500,24.309999
"2018-04-27",24.209999,24.51,23.790001,24.040001,2532600,24.040001
"2018-04-30",24.16,24.27,24.040001,24.040001,2206300,24.040001
"2018-05-01",23.99,24.110001,23.639999,24.059999,3557500,24.059999
"2018-05-02",24.049999,24.370001,23.969999,24.280001,4296600,24.280001
"2018-05-03",24.129999,24.32,23.77,23.99,7235100,23.99
"2018-05-04",23.91,24.52,23.74,24.450001,3290100,24.450001
"2018-05-07",24.440001,24.77,24.16,24.639999,2858900,24.639999
"2018-05-08",24.620001,24.77,24.42,24.440001,4993100,24.440001
"2018-05-09",24.49,24.719999,24.35,24.639999,2537600,24.639999
"2018-05-10",24.629999,24.889999,24.549999,24.790001,2901800,24.790001
"2018-05-11",24.73,24.91,24.530001,24.559999,2719900,24.559999
"2018-05-14",24.610001,24.82,24.49,24.57,2880600,24.57
"2018-05-15",24.450001,24.57,23.74,23.790001,3813400,23.790001
"2018-05-16",23.75,23.790001,23.299999,23.5,3085700,23.5
"2018-05-17",23.49,23.629999,23.440001,23.440001,1841000,23.440001
"2018-05-18",23.49,23.49,23.1,23.1,1667800,23.1
"2018-05-21",23.219999,23.389999,23.18,23.23,1698400,23.23
"2018-05-22",23.25,23.639999,23.25,23.51,2341300,23.51
"2018-05-23",23.41,23.49,23.27,23.469999,1820600,23.469999
"2018-05-24",NA,NA,NA,NA,NA,NA
"2018-05-25",474,474,474,474,0,474
