"","open","high","low","close","volume","adjusted"
"2018-01-02",69,69.860001,68.5,69.099998,2908200,67.779053
"2018-01-03",69.120003,69.220001,67.580002,68.32,4645900,67.013969
"2018-01-04",68.669998,68.879997,67.940002,68.150002,3495400,66.847221
"2018-01-05",68.709999,68.959999,67.5,67.919998,4004900,66.621613
"2018-01-08",68.080002,68.660004,67.580002,68,2874900,66.700089
"2018-01-09",69,69.739998,68.699997,69.519997,2972400,68.191025
"2018-01-10",69.110001,70.089996,68.93,70.040001,2933300,68.701096
"2018-01-11",70.25,70.699997,69.629997,70.629997,2901800,69.279808
"2018-01-12",70.709999,71.239998,70.489998,71.019997,2914800,69.662354
"2018-01-16",73.160004,73.980003,72.059998,72.669998,4980600,71.280807
"2018-01-17",72.989998,74.160004,72.879997,73.510002,4289000,72.104752
"2018-01-18",73.529999,74.25,73.059998,73.730003,3654200,72.320557
"2018-01-19",73.82,75,73.779999,74.510002,3396000,73.08564
"2018-01-22",75.620003,77.279999,75.150002,77.099998,6841400,75.626122
"2018-01-23",77.400002,78.57,77.160004,77.660004,4591800,76.175423
"2018-01-24",77.82,78.559998,77.230003,77.440002,6287700,75.959633
"2018-01-25",77.089996,77.5,74.699997,75.360001,7026800,73.919388
"2018-01-26",75.809998,76.080002,74.519997,75.5,7810300,74.056709
"2018-01-29",75.269997,79.839996,75.129997,79.029999,8797300,77.519234
"2018-01-30",78.400002,79.589996,77.900002,78.379997,6925800,76.881653
"2018-01-31",78.959999,79.220001,77.139999,77.519997,4886100,76.038094
"2018-02-01",77.639999,79.279999,77.199997,78.209999,4567500,76.714905
"2018-02-02",76.709999,77.019997,75.099998,75.18,3755100,73.742828
"2018-02-05",74.690002,75.489998,71.940002,72.379997,6098500,70.996353
"2018-02-06",71.099998,74.400002,70.550003,74.110001,5975900,72.693291
"2018-02-07",74.260002,74.730003,73.199997,73.43,3779300,72.026283
"2018-02-08",74.099998,74.230003,70.870003,70.989998,4681300,69.632927
"2018-02-09",71.400002,71.620003,68.129997,71,6199900,69.642738
"2018-02-12",71.849998,72.589996,70.93,71.540001,2813800,70.172409
"2018-02-13",71.599998,73.25,71.599998,73.150002,4221700,71.751633
"2018-02-14",72.669998,74.809998,72.610001,74.449997,2756200,73.026779
"2018-02-15",75.290001,75.709999,74.379997,74.839996,2280700,73.409325
"2018-02-16",74.910004,75.809998,74.620003,75.019997,1840500,73.585884
"2018-02-20",74.32,75.269997,74.150002,75.040001,2336200,73.605507
"2018-02-21",75.220001,76.169998,75.010002,75.059998,1993400,73.625122
"2018-02-22",75.040001,75.379997,72.480003,72.949997,4257900,71.555458
"2018-02-23",73.419998,74.330002,73.349998,74.330002,1801800,72.909081
"2018-02-26",74.57,74.849998,73.949997,73.949997,2100200,72.536339
"2018-02-27",74.199997,74.32,73.019997,73.040001,2631800,71.643738
"2018-02-28",73.290001,73.760002,72.809998,72.809998,2410000,71.418129
"2018-03-01",72.5,72.830002,70.599998,70.849998,2900400,69.495605
"2018-03-02",70,71.629997,69.260002,71.510002,3074700,70.14299
"2018-03-05",71.18,71.82,69.93,71.57,1873700,70.201836
"2018-03-06",72.029999,72.93,71.879997,72.639999,2462600,71.251389
