"","open","high","low","close","volume","adjusted"
"2018-01-02",25.809999,26.33,25.65,26.309999,12512900,25.720587
"2018-01-03",26.33,26.639999,25.25,25.33,18650200,24.762543
"2018-01-04",25.76,25.84,23.440001,24.49,36761900,23.941359
"2018-01-05",24.540001,24.74,24.1,24.48,15655500,23.931583
"2018-01-08",24.6,25.08,23.68,24.440001,21249100,23.892479
"2018-01-09",24.610001,24.940001,24.389999,24.690001,10381600,24.136879
"2018-01-10",24.41,25.82,24.41,25.6,13314500,25.026493
"2018-01-11",25.469999,26.35,25.360001,26.299999,8854000,25.710812
"2018-01-12",26.51,27.43,26.51,26.889999,13571100,26.287592
"2018-01-16",27.059999,27.190001,25.83,25.92,12322800,25.339323
"2018-01-17",25.82,26.469999,25.65,26.24,8057100,25.652153
"2018-01-18",26.290001,26.9,26.25,26.6,6768300,26.004089
"2018-01-19",26.74,27.01,26.379999,27.01,5626600,26.404903
"2018-01-22",27.040001,27.299999,26.74,27.25,7038000,26.639528
"2018-01-23",27.360001,27.49,26.870001,27.360001,6833500,26.747065
"2018-01-24",27.299999,27.639999,26.85,27.25,9893400,26.639528
"2018-01-25",27.309999,27.309999,26.459999,26.639999,8191700,26.043192
"2018-01-26",26.610001,27.41,26.51,27.4,7240100,26.786167
"2018-01-29",27.219999,27.639999,27.030001,27.309999,4604500,26.698183
"2018-01-30",27.190001,27.25,26.129999,26.25,7986000,25.661932
"2018-01-31",26.33,26.5,25.780001,25.950001,6471000,25.368652
"2018-02-01",25.75,26.15,25.48,25.620001,6132700,25.046045
"2018-02-02",25.379999,25.540001,24.709999,24.889999,10778600,24.332397
"2018-02-05",24.549999,24.889999,23.440001,23.469999,13566800,22.944208
"2018-02-06",23,24.4,22.469999,24.16,13717000,23.618753
"2018-02-07",24.1,24.99,24.049999,24.76,8930400,24.205311
"2018-02-08",24.780001,25.030001,24,24,8868700,23.462337
"2018-02-09",24.209999,24.6,23.1,24.15,11298900,23.608976
"2018-02-12",24.42,24.5,23.860001,24.190001,7716500,23.648081
"2018-02-13",24.139999,24.99,24.059999,24.879999,7371400,24.322622
"2018-02-14",24.73,25.82,24.610001,25.639999,7412400,25.065596
"2018-02-15",25.82,26.48,25.77,26.459999,8702400,25.867226
"2018-02-16",26.4,26.549999,25.950001,26.26,7084700,25.671707
"2018-02-20",26.030001,26.280001,25.559999,25.65,7691100,25.075373
"2018-02-21",25.709999,26.09,25.530001,25.59,8049400,25.016718
"2018-02-22",25.75,26.389999,25.629999,26.17,7453200,25.583723
"2018-02-23",26.309999,27.09,25.93,26.74,11097100,26.140953
"2018-02-26",27.040001,27.469999,26.51,27.450001,14229000,26.835049
"2018-02-27",29.77,31.040001,27.93,28.4,49154600,27.763765
"2018-02-28",28.889999,29.889999,28.860001,29.41,20876800,28.751137
"2018-03-01",29.42,29.59,28.1,29.25,15812900,28.594723
"2018-03-02",28.84,30.690001,28.799999,30.41,16218500,29.728735
"2018-03-05",30.219999,30.65,29.780001,30.35,11863600,29.67008
"2018-03-06",30.450001,30.67,29.74,30.360001,9008000,29.679857
"2018-03-07",30,30.440001,29.77,29.92,8844500,29.249712
"2018-03-08",30.01,30.049999,28.83,28.92,9206900,28.272116
"2018-03-09",29.309999,29.389999,28.379999,28.879999,9608100,28.233011
"2018-03-12",28.879999,29.129999,28.639999,28.76,6937700,28.115702
"2018-03-13",28.92,30.290001,28.84,29.82,12574400,29.151953
"2018-03-14",29.43,29.58,28.74,29.23,10561200,28.942041
"2018-03-15",29.43,29.610001,28.559999,28.799999,6461300,28.516277
"2018-03-16",28.719999,29.389999,28.559999,28.9,11000900,28.615294
"2018-03-19",28.940001,29.59,28.49,29.299999,9648600,29.011353
"2018-03-20",29.34,29.549999,28.66,28.93,8096700,28.644999
"2018-03-21",28.92,29.23,28.65,28.68,4888300,28.397461
"2018-03-22",28.49,28.870001,28.030001,28.27,5626000,27.991499
"2018-03-23",28.370001,28.42,27.18,27.209999,9078800,26.94194
"2018-03-26",27.620001,28.040001,27.24,27.9,9049800,27.625145
"2018-03-27",27.9,28.6,27.620001,27.860001,7035700,27.585539
"2018-03-28",27.9,29.389999,27.83,29.07,11020100,28.783617
"2018-03-29",29.200001,29.91,29.1,29.74,9886800,29.447018
"2018-04-02",29.75,30.42,28.639999,29.07,12948800,28.783617
"2018-04-03",29.190001,29.48,28.940001,28.99,8119400,28.704407
"2018-04-04",28.67,30.17,28.67,30.09,6842900,29.79357
"2018-04-05",30.09,30.98,29.66,30.93,9499000,30.625296
"2018-04-06",30.5,30.690001,29.559999,29.799999,8950500,29.506426
"2018-04-09",30,30.129999,29.08,29.15,7105700,28.862829
"2018-04-10",29.690001,29.719999,28.85,29.299999,7078500,29.011353
