"","open","high","low","close","volume","adjusted"
"2018-01-02",88.580002,90.540001,88.260002,90.410004,1633100,89.665619
"2018-01-03",90.510002,92.18,90.379997,91.769997,2530000,91.014412
"2018-01-04",92.230003,92.849998,91.440002,91.989998,1646300,91.232605
"2018-01-05",92.580002,92.879997,91.57,92.260002,1481000,91.500381
"2018-01-08",91.940002,92.870003,91.339996,92.620003,1084300,91.857422
"2018-01-09",92.730003,93.029999,91.68,92.510002,2223300,91.748322
"2018-01-10",91.949997,92.260002,90.080002,90.949997,1992200,90.201164
"2018-01-11",91.18,92.339996,90.720001,92.110001,1077600,91.351616
"2018-01-12",92.330002,93.650002,91.790001,93.440002,1271300,92.67067
"2018-01-16",94.029999,94.370003,92.68,93.330002,1758500,92.561577
"2018-01-17",94.379997,96.379997,93.919998,96.019997,2809300,95.229424
"2018-01-18",96.019997,97.599998,95.870003,97.290001,2416600,96.488968
"2018-01-19",97.849998,98.139999,96.940002,97.449997,3764900,96.647644
"2018-01-22",97.610001,98.709999,97.230003,98.690002,1747800,97.877441
"2018-01-23",98.690002,99.169998,98.07,98.519997,1631000,97.708839
"2018-01-24",96.860001,97.800003,94.889999,95.360001,3283400,94.57486
"2018-01-25",96.309998,96.349998,92.25,92.480003,2724400,91.718575
"2018-01-26",93.919998,97.07,93.480003,96.910004,3252200,96.112099
"2018-01-29",96.139999,97.290001,95.379997,96.879997,1958700,96.082344
"2018-01-30",96.349998,96.510002,94.889999,94.989998,2045600,94.207909
"2018-01-31",95.790001,96.209999,94.519997,95.220001,1944000,94.436012
"2018-02-01",94.910004,95.889999,94.110001,94.540001,1932500,93.761612
"2018-02-02",94,94.940002,93.239998,93.309998,1945300,92.541733
"2018-02-05",93.099998,94.050003,89.470001,89.5,3524100,88.763107
"2018-02-06",88.139999,91.919998,87.900002,91.919998,5478100,91.163177
"2018-02-07",87.550003,89,82.809998,82.910004,13625200,82.227364
"2018-02-08",83,83.209999,79.239998,79.900002,8116200,79.242149
"2018-02-09",80.769997,81.980003,78.330002,81.040001,5716800,80.372765
"2018-02-12",81.510002,83.510002,81.510002,83.019997,5019900,82.336456
"2018-02-13",82.110001,82.709999,80.129997,80.809998,4296500,80.144653
"2018-02-14",80.040001,82.379997,80,82.209999,3687100,81.533127
"2018-02-15",83.110001,83.279999,81,82.489998,3580500,81.810822
"2018-02-16",82.230003,83.82,82.230003,83.410004,3553600,82.723251
"2018-02-20",82.639999,86.519997,82.639999,84.860001,4026500,84.529182
"2018-02-21",85.230003,85.839996,83.599998,84.150002,3235800,83.821945
"2018-02-22",84.18,85.629997,83.25,83.919998,2198200,83.592842
"2018-02-23",84.809998,85.220001,83.669998,85.160004,2063800,84.828011
"2018-02-26",85.449997,86.459999,85.25,86.379997,2214600,86.043251
"2018-02-27",87.760002,92.269997,87.610001,88.550003,6108500,88.204796
"2018-02-28",89.419998,90.510002,88.699997,88.93,4115500,88.583313
"2018-03-01",89.019997,90,87.559998,89.019997,3838400,88.672958
"2018-03-02",92.389999,93.75,89,91.290001,8528600,90.934113
"2018-03-05",91.730003,94.910004,91.089996,94.470001,3937400,94.101715
