"","open","high","low","close","volume","adjusted"
"2018-01-02",43.220001,43.220001,42.400002,42.41,6516100,41.955536
"2018-01-03",42.5,42.77,42.360001,42.580002,8633800,42.123714
"2018-01-04",42.720001,43.049999,42.48,42.68,8718800,42.222645
"2018-01-05",42.82,43.369999,42.700001,43.23,10811500,42.76675
"2018-01-08",43.099998,43.459999,42.98,43.009998,8140300,42.549103
"2018-01-09",43.139999,43.139999,42.889999,42.990002,5805300,42.52932
"2018-01-10",42.759998,43.049999,42.459999,42.630001,6494700,42.17318
"2018-01-11",42.68,42.799999,42.290001,42.509998,6526500,42.054462
"2018-01-12",42.650002,42.700001,42.34,42.470001,7179400,42.014896
"2018-01-16",42.52,43.200001,42.5,42.990002,8659500,42.52932
"2018-01-17",43.27,44.18,43.130001,43.860001,11519000,43.389999
"2018-01-18",43.779999,44.049999,43.240002,43.68,6824600,43.211929
"2018-01-19",43.68,44.18,43.669998,44.139999,8893300,43.666996
"2018-01-22",43.689999,44.41,43.689999,44.279999,6940100,43.805496
"2018-01-23",44.07,44.59,43.93,44.5,6831600,44.02314
"2018-01-24",44.59,44.759998,44.459999,44.59,6794200,44.112175
"2018-01-25",44.720001,45,44.200001,44.470001,7402900,43.993462
"2018-01-26",44.610001,44.610001,44.119999,44.419998,5733000,43.943993
"2018-01-29",44.959999,45.009998,44.310001,44.540001,10451700,44.062714
"2018-01-30",44.580002,45.060001,44.25,44.34,7110700,43.864857
"2018-01-31",44.330002,44.77,44.169998,44.400002,14784000,43.924213
"2018-02-01",44.360001,46.540001,44.290001,45.869999,20120900,45.378456
"2018-02-02",45.84,46.130001,45.439999,45.5,10937100,45.012424
"2018-02-05",45.32,46.200001,43.939999,43.939999,14324200,43.469139
"2018-02-06",43.639999,44.57,43.27,44.549999,12196800,44.072605
"2018-02-07",44.290001,44.779999,43.849998,44.049999,8322200,43.577961
"2018-02-08",44.169998,44.34,42.669998,42.68,13672600,42.222645
"2018-02-09",42.830002,43.130001,41.82,42.139999,13993500,41.688427
"2018-02-12",42.369999,42.880001,42.099998,42.529999,15788600,42.074249
"2018-02-13",42.259998,43.02,42,42.799999,9240100,42.341358
"2018-02-14",42.66,43.310001,42.040001,42.959999,10233100,42.499645
"2018-02-15",43.169998,44.09,42.779999,44.080002,8637800,43.607643
"2018-02-16",44.049999,44.290001,43.709999,44.139999,6814900,43.666996
"2018-02-20",44.09,44.290001,43.619999,43.759998,5158900,43.291069
"2018-02-21",43.91,44.189999,43.57,43.619999,10029700,43.152569
"2018-02-22",43.740002,44.02,43.419998,43.509998,8485300,43.043747
"2018-02-23",43.790001,43.950001,43.310001,43.75,8856200,43.281178
"2018-02-26",44.150002,45.18,43.790001,44.77,12241500,44.290249
"2018-02-27",44.400002,44.599998,43.900002,44.009998,11704100,43.538387
"2018-02-28",44.240002,44.459999,43.900002,43.900002,11833000,43.429573
"2018-03-01",43.970001,44.169998,43.150002,43.619999,8331200,43.152569
