"","open","high","low","close","volume","adjusted"
"2018-01-02",82.160004,82.690002,81.949997,82.209999,4783500,81.737526
"2018-01-03",82.199997,84.82,82.169998,83.919998,6879100,83.437698
"2018-01-04",84.449997,84.900002,83.139999,84.120003,5943200,83.636551
"2018-01-05",84.529999,85.739998,84.010002,85.540001,7428500,85.048393
"2018-01-08",85.5,85.690002,85.209999,85.510002,6117600,85.018562
"2018-01-09",85.860001,86.75,85.660004,85.879997,6099900,85.386436
"2018-01-10",85.550003,85.989998,84.519997,85.489998,3575300,84.998672
"2018-01-11",85.940002,85.940002,85.080002,85.730003,3930300,85.237305
"2018-01-12",85.849998,85.989998,85.300003,85.449997,5085900,84.9589
"2018-01-16",85.580002,86.129997,84.870003,85.32,5428200,84.829651
"2018-01-17",85.879997,86.449997,85.440002,86.110001,5334300,85.615112
"2018-01-18",86.160004,87.93,85.949997,87.260002,7328600,86.758507
"2018-01-19",87.580002,87.900002,86.029999,86.68,7314800,86.181839
"2018-01-22",86.419998,86.57,85.400002,86.050003,5926900,85.555458
"2018-01-23",86.220001,86.220001,84.980003,85.230003,4962300,84.740173
"2018-01-24",85.830002,86.129997,85.160004,85.760002,5680200,85.267128
"2018-01-25",85.989998,86.980003,85.660004,86.82,3947800,86.32103
"2018-01-26",86.860001,87.18,86.360001,87.120003,3815100,86.619308
"2018-01-29",86.849998,87.300003,86.32,86.720001,3804900,86.221611
"2018-01-30",85.93,86.720001,85.75,85.959999,3881700,85.465973
"2018-01-31",86.330002,86.5,85.620003,85.889999,5258300,85.396378
"2018-02-01",85.379997,85.68,84.629997,84.980003,4201600,84.491608
"2018-02-02",84.669998,85.25,84.360001,84.449997,5564500,83.964653
"2018-02-05",84.07,84.580002,80.919998,81.419998,7237200,80.952065
"2018-02-06",80.059998,82.059998,79.089996,81.669998,10190000,81.20063
"2018-02-07",81.400002,82.959999,81.290001,81.349998,5929900,80.882469
"2018-02-08",81.330002,81.510002,78.349998,78.379997,7346100,77.929535
"2018-02-09",78.879997,80.080002,77.559998,79.480003,6061800,79.023224
"2018-02-12",79.709999,80.75,79.25,80.239998,4314100,79.778847
"2018-02-13",79.849998,80.589996,79.349998,80.220001,4574600,79.758965
"2018-02-14",79.720001,82.059998,79.629997,81.860001,5e+06,81.389542
"2018-02-15",82.410004,82.980003,81.949997,82.940002,4002000,82.463333
"2018-02-16",82.800003,83.760002,82.120003,83.309998,6863500,82.8312
"2018-02-20",83.139999,83.370003,80.870003,81.610001,11125900,81.140976
"2018-02-21",81.43,81.699997,80.220001,80.720001,6805700,80.256096
"2018-02-22",80.910004,81.809998,80.209999,80.410004,4528200,79.947876
"2018-02-23",80.949997,81.199997,79.889999,80.389999,5174100,79.927986
"2018-02-26",81.400002,82.480003,80.32,82.419998,6201200,81.94632
"2018-02-27",82.620003,82.690002,81.07,81.239998,5179400,80.773102
"2018-02-28",81.519997,81.610001,79.839996,79.889999,6712100,79.430862
"2018-03-01",79.790001,79.830002,77.769997,78.300003,7946100,77.849998
"2018-03-02",77.900002,78.5,77.690002,78.330002,5695900,77.879829
"2018-03-05",77.849998,80.040001,77.75,79.739998,5371700,79.281723
"2018-03-06",80.010002,80.610001,79.839996,80.410004,5338300,79.947876
"2018-03-07",79.790001,81.32,79.629997,81.129997,6040200,80.663734
"2018-03-08",81.330002,82.25,81.279999,82.209999,6434600,81.737526
"2018-03-09",82.440002,83.389999,82.360001,83.150002,4659200,82.672127
"2018-03-12",83.260002,83.720001,83,83.300003,4218700,82.821266
"2018-03-13",83.75,84.18,83.25,83.470001,4678800,82.990288
"2018-03-14",83.779999,83.959999,81.910004,82.300003,5182300,81.827011
"2018-03-15",82.389999,82.510002,81.660004,82.029999,3453700,81.558563
"2018-03-16",82.360001,82.57,81.290001,81.290001,9386600,80.822815
"2018-03-19",81.279999,81.620003,79.389999,80.129997,4601300,79.669479
"2018-03-20",80.529999,81,79.400002,79.900002,4267000,79.440804
"2018-03-21",79.900002,80.769997,79.760002,80.040001,4329400,79.580002
"2018-03-22",79.160004,79.809998,78,78.139999,4455900,78.139999
"2018-03-23",78.209999,78.599998,76.410004,76.550003,6070300,76.550003
"2018-03-26",77.440002,78.529999,76.57,78.459999,6635500,78.459999
"2018-03-27",78.739998,79.5,77.650002,78.160004,5458700,78.160004
"2018-03-28",78.389999,79.25,78.260002,78.459999,5299700,78.459999
"2018-03-29",79.260002,80.919998,78.779999,80.220001,6162300,80.220001
"2018-04-02",79.790001,79.900002,76.620003,77.480003,6409800,77.480003
"2018-04-03",77.760002,78.550003,77.279999,78.349998,4444000,78.349998
"2018-04-04",77.239998,78.949997,76.919998,78.720001,4134600,78.720001
"2018-04-05",79.019997,80.080002,78.690002,79.699997,4183500,79.699997
"2018-04-06",79.199997,79.82,77.129997,77.639999,5186000,77.639999
"2018-04-09",78.269997,79.639999,77.870003,78.459999,4708400,78.459999
"2018-04-10",79.129997,79.690002,78.779999,79.290001,4718300,79.290001
"2018-04-11",78.629997,79.279999,78.25,78.589996,3751500,78.589996
