"","open","high","low","close","volume","adjusted"
"2018-01-02",117.050003,117.519997,116.900002,117.519997,11010900,116.441116
"2018-01-03",117.510002,118,117.440002,118,2803800,116.916718
"2018-01-04",118,118.25,117.529999,117.93,3545900,117.384544
"2018-01-05",118.459999,118.690002,117.709999,118.599998,4292200,118.051445
"2018-01-08",118.610001,119.120003,118.449997,119.099998,1321800,118.549133
"2018-01-09",119.150002,119.610001,118.790001,119.32,1739300,118.768112
"2018-01-10",119.160004,119.290001,118.639999,118.830002,3171900,118.28038
"2018-01-11",118.989998,119.730003,118.760002,119.540001,2864100,118.987099
"2018-01-12",119.540001,119.739998,119.050003,119.699997,2201000,119.146355
"2018-01-16",119.779999,120.110001,119.029999,119.720001,4182400,119.166267
"2018-01-17",119.690002,120.099998,118.75,118.809998,3491100,118.260468
"2018-01-18",118.610001,119.190002,118.5,118.860001,3617100,118.310242
"2018-01-19",119.150002,121.25,118.93,120.660004,6986500,120.101921
"2018-01-22",120.5,121.059998,120.300003,120.989998,1927300,120.430389
"2018-01-23",120.370003,122.199997,120.199997,121.550003,3930000,120.987801
"2018-01-24",121.339996,122.529999,120.989998,122.18,3400400,121.614883
"2018-01-25",122.400002,123.150002,121.599998,122.389999,3285900,121.823914
"2018-01-26",122.75,122.809998,122.25,122.410004,1843900,121.843826
"2018-01-29",122.099998,122.339996,121.75,121.769997,1879400,121.206779
"2018-01-30",121.699997,122.419998,121,122.25,2835100,121.684563
"2018-01-31",122,122.5,121.709999,121.800003,2813400,121.236649
"2018-02-01",121.800003,122.379997,121.449997,121.889999,2930600,121.326225
"2018-02-02",121.25,122.279999,121,121,2926000,120.440346
"2018-02-05",121,121.830002,119.029999,119.18,3593600,118.628761
"2018-02-06",118.629997,120.139999,118.5,119.290001,5796500,118.738251
"2018-02-07",119,121.5,118.959999,120.410004,3940000,119.853073
"2018-02-08",120.470001,120.669998,119.080002,119.080002,3277800,118.529228
"2018-02-09",119.470001,119.75,118.099998,118.639999,4856300,118.091255
"2018-02-12",119,121.300003,119,120.440002,3684800,119.882935
"2018-02-13",120,120.809998,119.980003,120.110001,1740000,119.554459
"2018-02-14",119.75,120.5,119.75,120.18,1879500,119.624138
"2018-02-15",120.660004,121,120.169998,121,1487600,120.440346
"2018-02-16",120.720001,121.330002,120.309998,120.790001,1758700,120.231316
"2018-02-20",121.050003,121.150002,120.050003,120.309998,2707200,119.753532
"2018-02-21",120.309998,121.099998,120,120.190002,1810300,119.634094
"2018-02-22",120.470001,121.260002,120.019997,120.419998,3704500,119.863022
"2018-02-23",120.5,121.849998,120.440002,121.739998,2663300,121.176918
"2018-02-26",121.760002,124.199997,121.75,122.900002,2491600,122.331558
"2018-02-27",122.739998,123.389999,122.559998,122.699997,2462900,122.132477
