"","open","high","low","close","volume","adjusted"
"2018-01-02",56.59,56.75,56.049999,56.220001,10073000,55.305222
"2018-01-03",56.23,56.259998,55.959999,56.139999,10582500,55.226521
"2018-01-04",56.439999,57.419998,56.380001,57.049999,15030200,56.121712
"2018-01-05",57.389999,57.389999,56.59,56.990002,9499100,56.062691
"2018-01-08",57.209999,57.25,56.5,56.66,11109300,55.73806
"2018-01-09",56.810001,57.099998,56.57,56.799999,10631700,55.875782
"2018-01-10",56.549999,57.369999,56.459999,57.299999,9062400,56.367645
"2018-01-11",57.299999,57.610001,57.16,57.599998,7106300,56.662762
"2018-01-12",57.950001,58.810001,57.889999,58.66,12343100,57.705517
"2018-01-16",61.75,63.779999,61.25,62.07,48091300,61.060032
"2018-01-17",62.290001,62.59,61.889999,62.029999,21118200,61.020679
"2018-01-18",62,62.119999,60.630001,61.130001,19905800,60.135326
"2018-01-19",61.48,61.48,60.639999,61.279999,12161900,60.282883
"2018-01-22",60.950001,61.439999,60.720001,61.25,12247500,60.253372
"2018-01-23",61.029999,62.130001,60.869999,61.700001,11181500,60.696053
"2018-01-24",62.009998,62.110001,60.959999,61.18,13482100,60.184509
"2018-01-25",61.299999,61.380001,60.950001,61.299999,9402300,60.302559
"2018-01-26",61.490002,62.080002,61.34,62.040001,10553700,61.030521
"2018-01-29",61.950001,62.139999,61.560001,61.630001,8776900,60.627193
"2018-01-30",60.790001,61.25,60.439999,60.650002,13040700,59.663139
"2018-01-31",60.77,60.799999,58.900002,59.25,14869000,58.285915
"2018-02-01",59.169998,60.34,59.07,59.860001,13368000,58.88599
"2018-02-02",59.41,59.970001,58.279999,58.560001,12264100,57.607143
"2018-02-05",58.27,58.950001,55.82,56.400002,19605700,55.482292
"2018-02-06",55.139999,56.77,54.330002,55.459999,31006200,54.557583
"2018-02-07",55.169998,56.709999,55.09,55.880001,13692500,54.970753
"2018-02-08",56.040001,56.459999,54.709999,54.73,20870000,53.839462
"2018-02-09",55.150002,55.41,53.360001,54.869999,18580500,53.977184
"2018-02-12",55.349998,55.889999,54.959999,55.43,12652200,54.528072
"2018-02-13",55.23,55.369999,54.77,54.900002,17039400,54.006699
"2018-02-14",54.310001,55.099998,54.220001,54.900002,11446700,54.006699
"2018-02-15",55.43,55.990002,54.830002,55.990002,10099900,55.078964
"2018-02-16",55.970001,56.990002,55.919998,56.290001,11731300,55.374081
"2018-02-20",56.119999,56.139999,54.950001,54.98,13467000,54.085396
"2018-02-21",55.029999,55.439999,54.549999,54.549999,10729900,53.662392
"2018-02-22",54.599998,55.07,54.419998,54.57,10815800,53.682068
"2018-02-23",54.82,55,54.57,54.869999,9064100,53.977184
"2018-02-26",55,56.189999,55,56.060001,12142200,55.147823
"2018-02-27",55.91,55.959999,54.700001,54.720001,9288600,53.829628
"2018-02-28",55.060001,55.169998,54.209999,54.220001,11266800,53.337761
"2018-03-01",54.259998,54.810001,53.419998,53.700001,13023400,52.826225
"2018-03-02",53.48,54.43,53.119999,54.360001,8927200,53.475483
"2018-03-05",54.240002,54.709999,54.080002,54.400002,13114100,53.514835
"2018-03-06",54.490002,54.709999,53.82,54.299999,9271900,53.416458
"2018-03-07",53.84,54.580002,53.75,54.470001,12230500,53.583694
"2018-03-08",54.52,54.82,54.360001,54.759998,7352100,53.868973
"2018-03-09",55.029999,55.189999,54.700001,55.139999,8816800,54.24279
"2018-03-12",55.73,56.130001,55.240002,55.360001,10752900,54.459213
"2018-03-13",55.740002,55.75,55,55.369999,11710000,54.469051
"2018-03-14",55.27,55.43,54.310001,54.799999,11156700,54.379738
"2018-03-15",54.950001,55.73,54.889999,55.25,10076600,54.82629
"2018-03-16",55.189999,55.849998,55.080002,55.669998,21002500,55.243065
"2018-03-19",55.66,55.68,54.240002,54.630001,11824200,54.211044
"2018-03-20",54.75,54.939999,54.360001,54.639999,7780000,54.220966
"2018-03-21",54.759998,55.279999,54.419998,54.689999,10009300,54.270584
"2018-03-22",54.240002,54.98,54.029999,54.119999,12774800,53.704956
"2018-03-23",54.32,54.709999,53.34,53.41,11840300,53.000401
"2018-03-26",54.049999,54.16,52.970001,54.040001,9970200,53.625568
"2018-03-27",53.990002,54.560001,53.470001,53.75,16179900,53.337791
"2018-03-28",54.049999,55.34,54.02,55.09,12693500,54.667515
"2018-03-29",55.360001,55.41,54.470001,54.470001,9750500,54.052273
"2018-04-02",54.400002,54.650002,52.959999,53.27,13398000,52.861473
"2018-04-03",53.34,54.150002,52.830002,54.09,9244600,53.675186
"2018-04-04",53.470001,54.689999,53.400002,54.540001,8902700,54.121735
"2018-04-05",55.060001,55.380001,54.439999,54.529999,12475800,54.111809
"2018-04-06",54.279999,54.580002,52.900002,53.360001,12500800,52.950783
"2018-04-09",55,57.419998,54.560001,56.16,23237000,55.729309
"2018-04-10",56.68,56.790001,56.040001,56.490002,12864400,56.056782
"2018-04-11",56.060001,56.540001,55.889999,56.200001,9013200,55.769005
"2018-04-12",56.599998,57.189999,56.139999,56.740002,11938900,56.304863
"2018-04-13",57.080002,57.330002,56.639999,57.169998,10053700,56.731564
"2018-04-16",57.77,59.25,57.169998,58.650002,22545800,58.200218
"2018-04-17",59.84,59.959999,58.959999,59.27,15334400,58.81546
"2018-04-18",59.41,59.619999,58.59,58.919998,11240200,58.468143
"2018-04-19",58.919998,59.32,58.419998,58.639999,10535500,58.190292
"2018-04-20",58.860001,59.27,58.66,58.830002,9646900,58.378838
"2018-04-23",60.049999,60.619999,59.43,60.25,19816400,59.787945
"2018-04-24",60.41,61,59.77,60.09,13334900,59.629173
"2018-04-25",59.900002,59.919998,58.93,59.630001,13413200,59.172699
"2018-04-26",59.82,60.09,59.110001,59.41,13500100,58.954388
"2018-04-27",59.34,59.650002,59.310001,59.470001,7666100,59.013927
"2018-04-30",59.650002,59.98,58.869999,58.869999,13101400,58.418526
"2018-05-01",59,59.240002,56.880001,57.98,13126700,57.535351
"2018-05-02",57.68,58,57.02,57.299999,10421600,56.860569
"2018-05-03",57.139999,57.799999,56.369999,57.529999,11321500,57.088802
"2018-05-04",57.119999,57.91,56.830002,57.75,8730900,57.307117
"2018-05-07",57.77,58.099998,57.080002,57.380001,10032400,56.939957
"2018-05-08",57.369999,57.419998,56.259998,56.759998,10257200,56.324707
"2018-05-09",56.970001,58.41,56.830002,57.950001,8286300,57.505585
"2018-05-10",58.130001,58.73,57.93,58.060001,8229100,57.614742
"2018-05-11",58.16,59.970001,58.130001,59.689999,12733300,59.232239
"2018-05-14",59.77,60.080002,59.43,59.68,9486700,59.222317
"2018-05-15",59.439999,59.799999,58.900002,59.200001,6821500,58.745998
"2018-05-16",59.32,60.009998,59.110001,59.75,8531700,59.291779
"2018-05-17",59.540001,59.779999,58.880001,59.07,7845800,58.616993
"2018-05-18",58.959999,59.459999,57.490002,59.139999,9686300,58.686455
"2018-05-21",59.18,59.32,58.389999,58.57,8475400,58.120827
"2018-05-22",58.779999,59.139999,58.400002,58.450001,8928500,58.001751
"2018-05-23",58.450001,59.490002,58.43,59.169998,9890900,58.716225
"2018-05-24",59.25,59.41,58.810001,59.130001,6529800,58.676537
"2018-05-25",59.139999,59.459999,58.84,59.09,6665400,58.636841
"2018-05-29",58.580002,58.889999,58.029999,58.400002,8665100,57.952133
"2018-05-30",58.650002,59.799999,58.52,59.720001,11042000,59.262009
"2018-05-31",59.630001,59.880001,59.310001,59.529999,12200400,59.073463
"2018-06-01",59.889999,60.810001,59.619999,60.560001,11003200,60.09557
"2018-06-04",61.549999,62.529999,61.18,62.02,19055300,61.544373
"2018-06-05",62,62.330002,61.060001,61.389999,12498300,60.919201
"2018-06-06",61.509998,61.939999,61.220001,61.93,7549800,61.455059
"2018-06-07",62,62.040001,61.509998,61.990002,7548600,61.514603
"2018-06-08",62.009998,62.650002,61.970001,62.580002,9678200,62.100079
"2018-06-11",62.77,62.860001,62.080002,62.330002,7197200,61.851994
"2018-06-12",62.369999,62.610001,62.009998,62.439999,7927700,61.961147
"2018-06-13",62.57,62.959999,62.349998,62.59,9421500,62.110001
"2018-06-14",62.07,62.380001,61.220001,61.560001,11954400,61.560001
"2018-06-15",61.59,62.099998,61.220001,62.029999,16456600,62.029999
"2018-06-18",61.349998,61.360001,60.59,60.990002,9532700,60.990002
"2018-06-19",60.650002,61.310001,60.630001,61.029999,10020600,61.029999
"2018-06-20",61.060001,61.48,60.790001,61.279999,12172800,61.279999
"2018-06-21",61.27,61.27,60.810001,61.18,8908900,61.18
"2018-06-22",61.279999,61.919998,61.220001,61.470001,12295800,61.470001
"2018-06-25",61.41,61.619999,60.639999,61.080002,10550800,61.080002
"2018-06-26",60.830002,61.02,60.610001,60.720001,11996100,60.720001
"2018-06-27",60.700001,61.080002,59.799999,59.880001,10447300,59.880001
