"","open","high","low","close","volume","adjusted"
"2018-01-02",86.129997,86.309998,85.5,85.949997,22483800,85.17894
"2018-01-03",86.059998,86.510002,85.970001,86.349998,26061400,85.575356
"2018-01-04",86.589996,87.660004,86.57,87.110001,21912000,86.328537
"2018-01-05",87.660004,88.410004,87.43,88.190002,23407100,87.398849
"2018-01-08",88.199997,88.580002,87.599998,88.279999,22113000,87.488037
"2018-01-09",88.650002,88.730003,87.860001,88.220001,19484300,87.428581
"2018-01-10",87.860001,88.190002,87.410004,87.82,18652200,87.032166
"2018-01-11",88.129997,88.129997,87.239998,88.080002,17808900,87.289833
"2018-01-12",88.669998,89.779999,88.449997,89.599998,24271500,88.796204
"2018-01-16",90.099998,90.790001,88.010002,88.349998,36599700,87.557411
"2018-01-17",89.080002,90.279999,88.75,90.139999,25602600,89.331352
"2018-01-18",89.800003,90.669998,89.660004,90.099998,24159700,89.29171
"2018-01-19",90.139999,90.610001,89.660004,90,36875000,89.192604
"2018-01-22",90,91.620003,89.739998,91.610001,23601600,90.78817
"2018-01-23",91.900002,92.300003,91.540001,91.900002,23412800,91.075562
"2018-01-24",92.550003,93.43,91.580002,91.82,33277500,90.996284
"2018-01-25",92.470001,93.239998,91.93,92.330002,26383200,91.501709
"2018-01-26",93.120003,94.059998,92.580002,94.059998,29172200,93.216187
"2018-01-29",95.139999,95.449997,93.720001,93.919998,31569900,93.077446
"2018-01-30",93.300003,93.660004,92.099998,92.739998,38635100,91.908028
"2018-01-31",93.75,95.400002,93.510002,95.010002,48756300,94.157661
"2018-02-01",94.790001,96.07,93.580002,94.260002,47227900,93.414398
"2018-02-02",93.639999,93.970001,91.5,91.779999,47867800,90.956635
"2018-02-05",90.559998,93.239998,88,88,51031500,87.210556
"2018-02-06",86.889999,91.480003,85.25,91.330002,67998600,90.510681
"2018-02-07",90.489998,91.769997,89.199997,89.610001,41107600,88.806107
"2018-02-08",89.709999,89.879997,84.760002,85.010002,55628700,84.247375
"2018-02-09",86.300003,88.93,83.830002,88.18,63499100,87.388939
"2018-02-12",88.739998,89.779999,87.93,89.129997,35720300,88.330406
"2018-02-13",88.93,90,87.800003,89.830002,26407700,89.024132
"2018-02-14",88.510002,90.989998,88.410004,90.809998,34960900,90.418091
"2018-02-15",91.209999,92.720001,90.620003,92.660004,27823900,92.260117
"2018-02-16",92.449997,93.5,91.800003,92,30596900,91.602959
"2018-02-20",91.480003,93.059998,91.010002,92.720001,30911700,92.319855
"2018-02-21",92.980003,93.360001,91.489998,91.489998,26922500,91.095154
"2018-02-22",92.050003,92.730003,91.360001,91.730003,24392800,91.334129
"2018-02-23",93.599998,94.07,92.360001,94.059998,26329200,93.654068
"2018-02-26",94.400002,95.449997,94.25,95.419998,30199800,95.008194
"2018-02-27",95.739998,95.839996,94.199997,94.199997,25869100,93.793457
"2018-02-28",94.839996,95.709999,93.629997,93.769997,31167300,93.365318
"2018-03-01",93.989998,94.57,91.839996,92.849998,37135600,92.449287
"2018-03-02",91.580002,93.150002,90.860001,93.050003,32830400,92.64843
"2018-03-05",92.339996,94.269997,92.260002,93.639999,23901600,93.235878
"2018-03-06",94.339996,94.489998,92.940002,93.32,22175800,92.917259
"2018-03-07",93.160004,93.940002,92.43,93.860001,26716100,93.454933
"2018-03-08",94.269997,95.099998,93.769997,94.43,25887800,94.022469
"2018-03-09",95.290001,96.540001,95,96.540001,36937300,96.123367
"2018-03-12",96.5,97.209999,96.040001,96.769997,26073700,96.352371
"2018-03-13",97,97.239998,93.970001,94.410004,35387800,94.002563
"2018-03-14",95.120003,95.410004,93.5,93.849998,32132000,93.444969
"2018-03-15",93.529999,94.580002,92.830002,94.18,27611000,93.773552
"2018-03-16",94.68,95.379997,93.919998,94.599998,49081300,94.191734
"2018-03-19",93.739998,93.900002,92.110001,92.889999,33344100,92.489113
"2018-03-20",93.050003,93.769997,93,93.129997,23075200,92.728081
"2018-03-21",92.93,94.050003,92.209999,92.480003,24457100,92.080887
"2018-03-22",91.269997,91.75,89.660004,89.790001,38604700,89.402496
"2018-03-23",89.5,90.459999,87.080002,87.18,44068900,86.803757
"2018-03-26",90.610001,94,90.400002,93.779999,56396800,93.375275
"2018-03-27",94.940002,95.139999,88.510002,89.470001,56569000,89.083878
"2018-03-28",89.82,91.230003,88.870003,89.389999,52501100,89.004219
"2018-03-29",90.18,92.290001,88.400002,91.269997,45867500,90.876106
"2018-04-02",90.470001,90.879997,87.510002,88.519997,48515400,88.13797
"2018-04-03",89.580002,90.050003,87.889999,89.709999,37213800,89.322838
"2018-04-04",87.849998,92.760002,87.730003,92.330002,35560000,91.931534
"2018-04-05",92.440002,93.07,91.400002,92.379997,29771900,91.981316
"2018-04-06",91.489998,92.459999,89.480003,90.230003,38026000,89.840599
"2018-04-09",91.040001,93.169998,90.620003,90.769997,31533900,90.378265
"2018-04-10",92.389999,93.279999,91.639999,92.879997,26812000,92.479156
"2018-04-11",92.010002,93.290001,91.480003,91.860001,24872100,91.463562
"2018-04-12",92.43,94.160004,92.43,93.580002,26758900,93.17614
"2018-04-13",94.050003,94.18,92.440002,93.080002,23346100,92.678299
"2018-04-16",94.07,94.660004,93.419998,94.169998,20288100,93.763588
"2018-04-17",95,96.540001,94.879997,96.07,26771000,95.655396
"2018-04-18",96.220001,96.720001,95.519997,96.440002,21043300,96.023796
"2018-04-19",96.440002,97.07,95.339996,96.110001,23552500,95.695221
"2018-04-20",95.910004,96.110001,94.050003,95,31154400,94.590012
"2018-04-23",95.739998,96.290001,94.629997,95.349998,22331800,94.938499
"2018-04-24",96.239998,96.470001,92.410004,93.120003,34524800,92.718124
"2018-04-25",93.300003,93.300003,90.279999,92.309998,33729300,91.911621
"2018-04-26",93.550003,95.150002,93.099998,94.260002,42529000,93.85321
"2018-04-27",97.599998,97.900002,93.910004,95.82,48272800,95.406471
"2018-04-30",96.330002,96.400002,93.150002,93.519997,41523600,93.116394
"2018-05-01",93.209999,95.290001,92.790001,95,31408900,94.590012
"2018-05-02",94.989998,95.169998,93.190002,93.510002,27471000,93.106445
"2018-05-03",92.959999,94.93,92.449997,94.07,31142500,93.664024
"2018-05-04",93.32,95.370003,92.919998,95.160004,22531300,94.749321
"2018-05-07",95.169998,96.709999,95.099998,96.220001,24242000,95.804749
