"","open","high","low","close","volume","adjusted"
"2018-01-02",172.479996,172.899994,170,171.190002,424000,169.726761
"2018-01-03",171.009995,173.559998,170.380005,173.110001,437600,171.630356
"2018-01-04",173.399994,176.710007,173.050003,173.440002,628300,171.957535
"2018-01-05",174.460007,176.5,171.789993,172.820007,549700,171.342834
"2018-01-08",172.639999,172.919998,171.729996,172.419998,488900,170.946243
"2018-01-09",173.389999,176.570007,173.210007,174.910004,539100,173.414978
"2018-01-10",175.25,178.419998,174.919998,176.75,549900,175.239243
"2018-01-11",177.330002,178.199997,176.039993,177.990005,342000,176.468658
"2018-01-12",178.679993,179.490005,177.610001,178.520004,439600,176.994125
"2018-01-16",179.179993,179.820007,176.839996,177.779999,607900,176.260437
"2018-01-17",178.5,179.610001,175.600006,179.210007,822100,177.678223
"2018-01-18",180,188.699997,179.199997,186.149994,1397000,184.558899
"2018-01-19",187.429993,188.850006,186.699997,188.779999,749600,187.166412
"2018-01-22",188,188.979996,186.779999,188.759995,649400,187.146591
"2018-01-23",187.350006,190.100006,187.259995,188.830002,991900,187.215988
"2018-01-24",189.619995,190.070007,188.119995,189.460007,637900,187.840607
"2018-01-25",190.059998,190.059998,187.259995,187.660004,597500,186.056
"2018-01-26",188.300003,189.449997,187.070007,189.369995,434400,187.751373
"2018-01-29",189.75,191.929993,189.570007,189.789993,649800,188.16777
"2018-01-30",188.559998,191.199997,187.869995,190.570007,614700,188.941116
"2018-01-31",190.539993,192.679993,189.839996,190.779999,633100,189.149323
"2018-02-01",190.169998,192.910004,188.389999,192.850006,571500,191.20163
"2018-02-02",192,193.850006,188.699997,189.199997,568300,187.582825
"2018-02-05",187.429993,188.669998,179.089996,179.809998,1000600,178.273087
"2018-02-06",175.309998,188.360001,175.309998,185.059998,1422000,183.478226
"2018-02-07",183.830002,187.350006,183.529999,184.970001,512100,183.388992
"2018-02-08",185.199997,185.630005,178.229996,178.350006,1093400,176.825577
"2018-02-09",180.649994,183.979996,177,182.619995,813500,181.059067
"2018-02-12",183.419998,187.369995,181.199997,184.75,783200,183.170868
"2018-02-13",183.339996,187.289993,183.199997,186.149994,711100,184.558899
"2018-02-14",185.149994,192.300003,184.919998,191.979996,763200,190.33905
"2018-02-15",192.520004,193,189.779999,191.100006,671200,189.466583
"2018-02-16",189.919998,194.240005,189.919998,191.639999,821800,190.001968
"2018-02-20",190.600006,193.429993,190.279999,190.639999,807700,189.010513
"2018-02-21",191.029999,196.639999,190.910004,192.820007,845900,191.17189
"2018-02-22",194.139999,194.449997,188.789993,189.5,642700,187.880264
"2018-02-23",190.259995,193.679993,189.990005,193.509995,524700,191.855972
"2018-02-26",194.479996,195.600006,192.919998,195.320007,660300,193.650528
"2018-02-27",195.669998,197.369995,192.190002,192.190002,506400,190.547272
"2018-02-28",192.589996,195.580002,189.839996,189.839996,746700,188.217346
"2018-03-01",190.600006,191.990005,187.240005,188.850006,831600,187.235825
"2018-03-02",187.279999,191.449997,185.800003,190.979996,654600,190.102585
"2018-03-05",188.940002,195.25,186.149994,193.75,663800,192.859863
"2018-03-06",194.080002,195.740005,191.830002,195.339996,532600,194.442551
"2018-03-07",194.039993,195.440002,191.860001,195.190002,594500,194.293243
"2018-03-08",196,196,191.779999,194.690002,556100,193.795547
"2018-03-09",196.279999,196.860001,194.440002,196.809998,805000,195.905807
"2018-03-12",196.279999,197.350006,194.080002,194.910004,631000,194.014542
"2018-03-13",196.259995,196.300003,192.470001,193.050003,406000,192.163086
"2018-03-14",194.119995,194.350006,189.529999,190.309998,476400,189.435669
"2018-03-15",191.259995,191.690002,189.350006,190.330002,473800,189.455582
"2018-03-16",190.360001,192.350006,190.259995,190.369995,1298900,189.495392
"2018-03-19",190.389999,190.970001,187.089996,189.289993,635900,188.420349
"2018-03-20",190.350006,191.089996,188.080002,188.690002,482100,187.823105
"2018-03-21",189.220001,192.149994,188.220001,189.649994,419000,188.778687
"2018-03-22",186.690002,189.080002,182.350006,182.449997,906200,181.611771
"2018-03-23",182.449997,183.710007,177.009995,177.509995,958100,176.694473
"2018-03-26",180.889999,184.919998,179.830002,184.240005,819500,183.393555
"2018-03-27",184.800003,185.389999,178.990005,180.330002,511100,179.501511
"2018-03-28",180.869995,182.779999,178.949997,180.589996,578600,179.760315
"2018-03-29",181.820007,184.360001,180.539993,184.360001,861600,183.513
"2018-04-02",183.399994,183.880005,177.279999,179.889999,586500,179.063538
"2018-04-03",180.850006,183.949997,180.070007,183.020004,537900,182.179169
"2018-04-04",180.789993,186.440002,180.270004,185.979996,506900,185.125549
"2018-04-05",187.229996,187.839996,184.850006,186.559998,498400,185.702896
"2018-04-06",185.089996,186.179993,179.300003,181.690002,641500,180.85527
"2018-04-09",182.889999,186.770004,182.339996,182.839996,424700,181.999985
"2018-04-10",183.899994,187.759995,183.770004,186.440002,780700,185.58345
"2018-04-11",184.5,186.449997,184.190002,184.929993,600300,184.080368
"2018-04-12",186.5,188.740005,186.470001,187.139999,918200,186.280228
"2018-04-13",188.800003,188.800003,182.160004,183.160004,941000,182.318512
"2018-04-16",185,186.679993,179.869995,181.570007,1219700,180.735825
"2018-04-17",182.199997,183.850006,175.899994,177.429993,1092800,176.614838
"2018-04-18",178.770004,180.490005,177.380005,178.050003,1057000,177.231995
"2018-04-19",178.360001,181.050003,177.820007,180.240005,1070500,179.411942
"2018-04-20",180.300003,183.149994,179.789993,181.529999,936100,180.695999
"2018-04-23",181.869995,183.710007,180.699997,181.979996,981700,181.143936
"2018-04-24",183.360001,185.830002,181.050003,182.320007,932400,181.482376
"2018-04-25",181.550003,184.779999,179.929993,182.520004,898900,181.681458
"2018-04-26",182.520004,184.720001,181.389999,182.460007,766100,181.621735
"2018-04-27",182.270004,185.440002,182.270004,184.5,759000,183.652359
"2018-04-30",184.979996,186.240005,182.199997,182.270004,582400,181.432602
