"","open","high","low","close","volume","adjusted"
"2018-01-02",41.540001,43.720001,41.189999,43.669998,37097000,43.669998
"2018-01-03",44.5,45.049999,44.049999,44.98,43376700,44.98
"2018-01-04",45.990002,46.98,45.009998,46.880001,52229500,46.880001
"2018-01-05",46.130001,46.66,45.380001,45.799999,47381100,45.799999
"2018-01-08",45.310001,46.09,44.91,45.549999,32217400,45.549999
"2018-01-09",45.27,45.549999,42.77,42.970001,62982900,42.970001
"2018-01-10",41.950001,43.369999,41.389999,43.310001,53348000,43.310001
"2018-01-11",43.52,44,42.619999,42.82,39402200,42.82
"2018-01-12",42.82,43.349998,42.68,42.810001,28458500,42.810001
"2018-01-16",43.139999,43.860001,42.419998,42.919998,38174800,42.919998
"2018-01-17",43.209999,44.380001,42.98,44.259998,38010300,44.259998
"2018-01-18",44.209999,44.650002,43.91,43.990002,25152100,43.990002
"2018-01-19",43.950001,44.200001,42.650002,42.75,41469200,42.75
"2018-01-22",42.470001,42.880001,41.68,42.880001,37879400,42.880001
"2018-01-23",43.25,44.66,42.73,43.950001,41334100,43.950001
"2018-01-24",43.759998,43.950001,42.740002,43.080002,31305700,43.080002
"2018-01-25",44.23,44.720001,42.860001,43.009998,40519200,43.009998
"2018-01-26",43.220001,43.810001,43.029999,43.669998,27177500,43.669998
"2018-01-29",43.25,43.419998,42.380001,43.290001,29455000,43.290001
"2018-01-30",41.990002,42.799999,41.470001,41.669998,38861900,41.669998
"2018-01-31",42.98,43.959999,42.77,43.720001,45114600,43.720001
"2018-02-01",43.040001,44.09,42.099998,42.490002,35713500,42.490002
"2018-02-02",42,42.209999,40.610001,40.82,40657400,40.82
"2018-02-05",40.139999,41.529999,39.009998,39.400002,45796800,39.400002
"2018-02-06",40.549999,43.93,40.549999,43.880001,66972800,43.880001
"2018-02-07",43.259998,43.560001,41.740002,42.009998,51354800,42.009998
"2018-02-08",42.52,43.029999,40,40,53794100,40
"2018-02-09",41.049999,41.189999,37.52,40.41,65189300,40.41
"2018-02-12",41.009998,42.68,40.880001,42.189999,47941100,42.189999
"2018-02-13",42.049999,42.919998,41.98,42.630001,30296800,42.630001
"2018-02-14",41.93,43.630001,41.93,43.450001,36765900,43.450001
"2018-02-15",43.73,43.919998,42.259998,43.5,35072300,43.5
"2018-02-16",43.290001,45.110001,43.130001,44.209999,49404600,44.209999
"2018-02-20",44.02,45.27,43.900002,44.900002,36215900,44.900002
"2018-02-21",45.369999,45.549999,44.52,44.540001,31618700,44.540001
"2018-02-22",44.779999,44.830002,44.040001,44.25,24359600,44.25
"2018-02-23",45.18,46.799999,45.02,46.529999,48476700,46.529999
"2018-02-26",46.970001,48.23,46.700001,47.98,41966100,47.98
"2018-02-27",47.66,48.990002,47.419998,48.580002,44731100,48.580002
"2018-02-28",48.799999,49.459999,48.349998,48.810001,45031400,48.810001
"2018-03-01",48.77,48.810001,46.77,47.619999,61278800,47.619999
"2018-03-02",46.360001,49.25,45.950001,49.110001,52492900,49.110001
"2018-03-05",48.799999,52.360001,48.720001,52.029999,70984100,52.029999
"2018-03-06",53.400002,54.639999,53.209999,53.740002,73096300,53.740002
"2018-03-07",53.34,55,53.130001,53.970001,61670000,53.970001
"2018-03-08",54.59,55.470001,54.299999,55.220001,51685900,55.220001
"2018-03-09",55.759998,55.830002,53.619999,54.59,65504600,54.59
"2018-03-12",56.5,61.169998,56.349998,59.369999,138651600,59.369999
"2018-03-13",62.169998,63.419998,58.52,59.43,142315800,59.43
