"","open","high","low","close","volume","adjusted"
"X2018.01.02",6.88,6.92,6.72,6.87,9256900,6.81259
"X2018.01.03",6.92,7.22,6.85,7.05,11900100,6.991086
"X2018.01.04",7.1,7.41,6.98,7.32,12917000,7.25883
"X2018.01.05",7.28,7.33,7.04,7.18,12191200,7.12
"X2018.01.08",7.16,7.5,7.08,7.47,17115800,7.407576
"X2018.01.09",7.48,7.67,7.24,7.4,10668000,7.338161
"X2018.01.10",7.47,7.61,7.22,7.57,19251900,7.506741
"X2018.01.11",7.66,8.24,7.6,8.02,24192200,7.952981
"X2018.01.12",8,8.34,8,8.19,13735000,8.121559
"X2018.01.16",8.2,8.62,8.08,8.23,17063700,8.161225
"X2018.01.17",8.12,8.39,7.78,8.25,11257400,8.181058
"X2018.01.18",8.25,8.32,7.95,7.99,11081500,7.923231
"X2018.01.19",7.9,8.15,7.83,8.12,7926500,8.052145
"X2018.01.22",8.13,8.2,8.02,8.09,8676300,8.022395
"X2018.01.23",8.11,8.18,7.95,8.12,7720600,8.052145
"X2018.01.24",8.13,8.27,7.9,8.18,8842100,8.111644
"X2018.01.25",8.3,8.41,8.12,8.27,8994700,8.200891
"X2018.01.26",8.34,8.5,8.21,8.45,6895500,8.379387
"X2018.01.29",8.35,8.49,8.21,8.3,7124200,8.23064
"X2018.01.30",8.12,8.17,7.81,7.92,9808800,7.853816
"X2018.01.31",7.94,8,7.76,7.84,7813800,7.774485
"X2018.02.01",7.87,8.23,7.84,8.15,9274000,8.081894
"X2018.02.02",7.98,8.06,7.63,7.64,9029400,7.576156
"X2018.02.05",7.45,7.69,7.29,7.45,10200900,7.387743
"X2018.02.06",7.19,7.66,7.14,7.58,8933000,7.516657
"X2018.02.07",7.61,7.87,7.29,7.31,7841100,7.248913
"X2018.02.08",7.34,7.39,6.76,6.77,10600400,6.713426
"X2018.02.09",6.89,6.89,6.09,6.53,16251200,6.475432
"X2018.02.12",6.63,6.82,6.52,6.61,9920300,6.554763
"X2018.02.13",6.51,6.63,6.34,6.59,8148600,6.53493
"X2018.02.14",6.44,6.93,6.37,6.84,10557600,6.782841
"X2018.02.15",6.83,6.89,6.45,6.62,9119300,6.56468
"X2018.02.16",6.55,6.71,6.48,6.62,7782200,6.56468
"X2018.02.20",6.63,6.77,6.44,6.51,6238500,6.455599
"X2018.02.21",6.49,6.67,6.42,6.44,5445100,6.386184
"X2018.02.22",6.55,6.86,6.54,6.68,9223300,6.624178
"X2018.02.23",6.72,6.93,6.66,6.89,5461200,6.832423
"X2018.02.26",6.98,6.99,6.78,6.92,4083200,6.862173
"X2018.02.27",6.93,7.03,6.65,6.66,7304100,6.604345
"X2018.02.28",6.65,6.81,6.16,6.47,15212000,6.415933
"X2018.03.01",6.49,6.74,6.42,6.65,7783300,6.594429
"X2018.03.02",6.53,6.77,6.41,6.75,5608500,6.693593
"X2018.03.05",6.68,7.13,6.66,7.06,7481500,7.001003
"X2018.03.06",7.14,7.22,6.99,7.08,5846600,7.020835
"X2018.03.07",6.99,7.17,6.85,6.97,5855900,6.911755
"X2018.03.08",7.05,7.12,6.86,7.01,4532500,6.951421
"X2018.03.09",7.1,7.35,7.09,7.18,8444500,7.12
"X2018.03.12",7.13,7.36,7.1,7.24,10094800,7.24
"X2018.03.13",7.26,7.36,7.04,7.12,6633000,7.12
"X2018.03.14",7.17,7.22,7.05,7.11,4637000,7.11
"X2018.03.15",7.12,7.16,6.79,6.9,8030200,6.9
"X2018.03.16",6.92,7.14,6.86,7,10854000,7
"X2018.03.19",6.99,7,6.72,6.9,6004700,6.9
"X2018.03.20",6.99,7.09,6.92,7.03,6394500,7.03
"X2018.03.21",7.13,7.6,7.02,7.55,9447100,7.55
"X2018.03.22",7.44,7.71,7.17,7.21,12068000,7.21
"X2018.03.23",7.28,7.53,7.13,7.34,8991900,7.34
"X2018.03.26",7.46,7.46,7.11,7.36,5735200,7.36
"X2018.03.27",7.38,7.4,6.88,6.94,6690000,6.94
"X2018.03.28",6.89,6.98,6.78,6.85,5012300,6.85
"X2018.03.29",6.9,7.02,6.76,6.99,9042700,6.99
"X2018.04.02",6.95,6.95,6.41,6.53,8554700,6.53
"X2018.04.03",6.58,6.66,6.44,6.62,7265000,6.62
"X2018.04.04",6.41,6.58,6.37,6.54,8907900,6.54
"X2018.04.05",6.6,6.96,6.59,6.88,8843900,6.88
"X2018.04.06",6.78,6.91,6.58,6.69,5932700,6.69
"X2018.04.09",6.77,6.84,6.68,6.69,5477300,6.69
"X2018.04.10",6.84,7.2,6.8,7.08,8401800,7.08
"X2018.04.11",7.08,7.65,7.08,7.53,12119700,7.53
"X2018.04.12",7.53,7.63,7.39,7.54,6219000,7.54
"X2018.04.13",7.6,7.8,7.56,7.58,8988200,7.58
"X2018.04.16",7.56,7.59,7.44,7.5,5440000,7.5
"X2018.04.17",7.51,7.69,7.46,7.59,7227400,7.59
"X2018.04.18",7.74,8,7.72,7.82,8917500,7.82
"X2018.04.19",7.87,8.02,7.75,7.82,8355900,7.82
"X2018.04.20",7.75,7.82,7.59,7.73,6134800,7.73
"X2018.04.23",7.67,7.78,7.51,7.72,6730700,7.72
"X2018.04.24",7.79,7.88,7.55,7.6,5182100,7.6
"X2018.04.24.1",7.79,7.8799,7.55,7.6,5182526,7.6
