"","open","high","low","close","volume","adjusted"
"2018-01-02",37.869999,38.299999,37.82,38.16,5325800,37.884403
"2018-01-03",38.209999,38.259998,37.490002,37.84,5143600,37.566715
"2018-01-04",37.75,38.259998,37.369999,38.259998,3876000,37.983677
"2018-01-05",38.18,38.43,38.02,38.400002,2877300,38.122669
"2018-01-08",38.349998,38.52,37.959999,38.360001,4719800,38.082958
"2018-01-09",38.150002,38.32,37.950001,38.110001,3902600,37.834763
"2018-01-10",38.470001,38.5,38.080002,38.34,3542100,38.063103
"2018-01-11",38.41,38.900002,38.400002,38.84,4093300,38.559494
"2018-01-12",39.040001,39.84,38.860001,39.790001,5068400,39.502632
"2018-01-16",39.790001,40.220001,39.130001,40,6917800,39.711117
"2018-01-17",39.689999,40.25,39.41,39.450001,5215700,39.165085
"2018-01-18",39.48,40,39.169998,39.240002,4669400,38.956608
"2018-01-19",39.639999,39.639999,39.23,39.470001,3960100,39.18494
"2018-01-22",39.549999,39.689999,39.240002,39.66,2860900,39.373569
"2018-01-23",39.529999,40.439999,39.099998,40.32,3284000,40.028801
"2018-01-24",41.169998,42.040001,41.169998,41.57,8014400,41.269775
"2018-01-25",41.75,41.93,40.669998,40.77,5814400,40.475552
"2018-01-26",40.849998,41.299999,40.830002,41.049999,3338400,40.753532
"2018-01-29",40.779999,40.919998,40.040001,40.080002,4742300,39.790539
"2018-01-30",40.119999,40.549999,39.650002,40.099998,4204300,39.81039
"2018-01-31",40.389999,40.610001,39.830002,40.509998,5987600,40.21743
"2018-02-01",40.23,41.02,40.169998,40.360001,4339300,40.068516
"2018-02-02",39.880001,39.889999,38.900002,38.970001,5936200,38.688557
"2018-02-05",39.169998,39.48,37.759998,37.799999,8489700,37.527
"2018-02-06",37.41,37.830002,37.02,37.630001,8980000,37.358234
"2018-02-07",37.619999,37.860001,36.880001,37.029999,8964000,36.762562
"2018-02-08",37.189999,37.23,36.549999,36.610001,13378900,36.345596
"2018-02-09",36.880001,36.880001,35.98,36.759998,11000500,36.494511
"2018-02-12",36.900002,37.189999,36.419998,36.91,6256700,36.643433
"2018-02-13",36.93,37.23,36.740002,37.02,5421600,36.752636
"2018-02-14",36.93,39.310001,36.849998,39,8195500,38.718334
"2018-02-15",39.200001,39.43,38.48,39.41,5359800,39.125374
"2018-02-16",39.139999,39.389999,38.68,39.110001,5395600,38.827541
"2018-02-20",38.740002,39.09,38.189999,38.389999,5718400,38.112743
"2018-02-21",38.580002,39.130001,38.09,38.16,5736600,37.884403
"2018-02-22",37.970001,38.73,37.580002,37.630001,4903500,37.358234
"2018-02-23",37.799999,38.75,37.689999,38.689999,4812800,38.410572
"2018-02-26",39.02,39.369999,38.650002,39.32,4770400,39.036026
"2018-02-27",39.099998,39.310001,38.16,38.439999,5350800,38.162376
"2018-02-28",38.48,39.049999,38.169998,38.200001,6266300,37.924114
"2018-03-01",38.040001,38.27,37.139999,38.110001,6502700,37.834763
"2018-03-02",38.279999,38.59,37.93,37.93,5202900,37.656063
"2018-03-05",37.790001,38.369999,37.48,38.279999,4398500,38.003536
"2018-03-06",38.630001,39.16,38.419998,38.849998,6411500,38.569416
"2018-03-07",38.59,38.880001,37.610001,37.700001,5732400,37.563087
"2018-03-08",37.720001,37.889999,37.32,37.66,4149600,37.523232
"2018-03-09",37.650002,37.849998,37.240002,37.709999,5675400,37.573048
"2018-03-12",37.310001,38.029999,37.279999,37.98,3691700,37.842068
"2018-03-13",38.080002,38.470001,38.009998,38.220001,3895400,38.0812
"2018-03-14",38.310001,38.540001,38.07,38.189999,3480000,38.051308
"2018-03-15",37.830002,38.080002,37.27,37.310001,4156900,37.174503
"2018-03-16",37.400002,37.630001,36.959999,37.389999,10404900,37.254211
"2018-03-19",37.389999,37.599998,37.110001,37.470001,5226600,37.333923
"2018-03-20",37.439999,37.540001,37.189999,37.299999,3516500,37.164539
"2018-03-21",37.509998,38.529999,37.330002,38.220001,5200500,38.0812
"2018-03-22",38.259998,38.450001,37.59,37.610001,4823100,37.473415
"2018-03-23",38.259998,39.169998,38.16,38.759998,6879800,38.619236
"2018-03-26",39.150002,40.029999,39.150002,39.889999,7583300,39.745132
"2018-03-27",39.459999,39.639999,38.900002,39.029999,5873700,38.888256
"2018-03-28",38.830002,38.900002,38.220001,38.389999,5371500,38.25058
"2018-03-29",38.27,39.169998,38.27,39.07,4651000,38.928112
"2018-04-02",39.389999,39.619999,39.18,39.27,4128400,39.127384
"2018-04-03",39.150002,39.150002,38.599998,38.830002,3488800,38.688984
"2018-04-04",39.200001,39.279999,38.84,38.990002,4202800,38.848404
"2018-04-05",38.790001,39.380001,38.639999,39.27,4815300,39.127384
"2018-04-06",39.400002,39.610001,39.049999,39.290001,4107000,39.147312
"2018-04-09",39.349998,39.349998,38.169998,38.580002,5983100,38.439892
"2018-04-10",38.790001,39.709999,38.75,39.470001,4794700,39.32666
"2018-04-11",40,41.139999,39.849998,40.639999,9140100,40.492409
"2018-04-12",40.310001,40.740002,39.830002,40.400002,5722200,40.253284
"2018-04-13",40.880001,41.98,40.880001,41.599998,5578000,41.448921
"2018-04-16",41.75,41.860001,41.119999,41.419998,3876100,41.269577
"2018-04-17",41.470001,41.790001,41.23,41.380001,4155300,41.229725
"2018-04-18",41.75,41.900002,40.98,41.09,7317000,40.940777
"2018-04-19",41.330002,41.959999,41.240002,41.939999,5464700,41.787685
"2018-04-20",41.720001,41.810001,41.18,41.349998,3779900,41.199829
"2018-04-23",40.860001,41.209999,40.549999,41.060001,3383700,40.910885
"2018-04-24",41.23,41.490002,40.860001,41.049999,3986100,40.900921
"2018-07-02",37.470001,37.825001,37.23,37.549999,2813113,37.549999
