"","open","high","low","close","volume","adjusted"
"X2018.01.01",74.660004,80.190002,71.860001,78.089996,16202027,78.089996
"X2018.01.02",78.089996,98.900002,77.919998,89.010002,63526818,89.010002
"X2018.01.03",89.010002,106.360001,85.940002,104.730003,45012832,104.730003
"X2018.01.04",104.730003,110.099998,92.610001,97.93,50310180,97.93
"X2018.01.05",97.93,106.480003,88.940002,94.669998,36916962,94.669998
"X2018.01.06",94.669998,102.82,90.980003,100.040001,14442427,100.040001
"X2018.01.07",100.040001,108.239998,98.220001,100.709999,19090429,100.709999
"X2018.01.08",100.709999,107.489998,86.18,100.160004,29173371,100.160004
"X2018.01.09",100.160004,130.910004,100.080002,126.379997,82354403,126.379997
"X2018.01.10",126.379997,126.720001,106.150002,122.519997,44645429,122.519997
"X2018.01.11",122.519997,124.410004,100.07,107.139999,41695786,107.139999
"X2018.01.12",107.129997,126.389999,102.639999,123.120003,26775323,123.120003
"X2018.01.13",123.089996,146.679993,122.769997,138.440002,48713062,138.440002
"X2018.01.14",138.440002,168.699997,132.610001,166.710007,72668382,166.710007
"X2018.01.15",166.710007,197.559998,145.080002,188.610001,144930142,188.610001
"X2018.01.16",188.610001,189.270004,103.5,140.899994,232458357,140.899994
"X2018.01.17",140.899994,154.479996,93.419998,143.479996,186343372,143.479996
"X2018.01.18",143.479996,160.179993,127.059998,139.789993,79282592,139.789993
"X2018.01.19",139.789993,150.119995,130.880005,139.190002,38943815,139.190002
"X2018.01.20",139.190002,157.529999,136.339996,149.630005,42028730,149.630005
"X2018.01.21",149.630005,149.830002,123.849998,131.320007,36670032,131.320007
"X2018.01.22",131.320007,137.220001,109.849998,122.620003,39530101,122.620003
"X2018.01.23",122.620003,129.970001,109.370003,121.660004,27649351,121.660004
"X2018.01.24",121.709999,145.919998,116.919998,137.729996,43525209,137.729996
"X2018.01.25",137.729996,146.460007,133.970001,137.259995,31562447,137.259995
"X2018.01.26",137.259995,141.350006,124.269997,137.419998,28874900,137.419998
"X2018.01.27",137.419998,143.130005,134.039993,140.919998,16445791,140.919998
"X2018.01.28",140.919998,154.229996,139.529999,152.929993,18775018,152.929993
"X2018.01.29",152.929993,167.570007,149.979996,166.589996,48284014,166.589996
"X2018.01.30",166.589996,169.020004,135.949997,143.600006,67979718,143.600006
"X2018.01.31",143.600006,147.490005,131.259995,145.740005,37414174,145.740005
"X2018.02.01",145.75,147.320007,114.129997,125.589996,47844293,125.589996
"X2018.02.02",125.57,131.770004,93.949997,121.629997,79912243,121.629997
"X2018.02.03",121.629997,129.949997,107.360001,124.489998,29901510,124.489998
"X2018.02.04",124.489998,124.980003,99.400002,106.849998,33951028,106.849998
"X2018.02.05",106.849998,109.25,74.730003,82.059998,58267696,82.059998
"X2018.02.06",82.059998,111.440002,64,104.669998,88216252,104.669998
"X2018.02.07",104.669998,119.349998,93.769997,102.040001,72124496,102.040001
"X2018.02.08",102.040001,118.089996,101.190002,110.349998,42421123,110.349998
"X2018.02.09",110.339996,115.839996,104.199997,114.730003,27599493,114.730003
"X2018.02.10",114.730003,120.099998,100.650002,107.449997,46073546,107.449997
"X2018.02.11",107.449997,111.419998,94.330002,101.769997,23653690,101.769997
"X2018.02.12",101.769997,114.870003,101.360001,111.489998,18971066,111.489998
"X2018.02.13",111.459999,113.18,105.639999,108.370003,11203610,108.370003
"X2018.02.14",108.339996,122.32,108.339996,122.019997,21079695,122.019997
"X2018.02.15",122.019997,124.629997,115.849998,121.169998,18773321,121.169998
"X2018.02.16",121.169998,128.869995,117.849998,127.32,16337395,127.32
"X2018.02.17",127.32,138.410004,126.980003,134.220001,23196377,134.220001
"X2018.02.18",134.210007,136.270004,120.779999,124.970001,19542358,124.970001
"X2018.02.19",124.970001,137.820007,124.080002,136.199997,23046492,136.199997
"X2018.02.20",136.199997,140.889999,123.809998,125.110001,25831540,125.110001
"X2018.02.21",125.110001,127.910004,114.720001,118.160004,23656397,118.160004
"X2018.02.22",118.160004,125.760002,109.43,111.620003,21680468,111.620003
"X2018.02.23",111.620003,122.610001,108.410004,119.019997,16177609,119.019997
"X2018.02.24",119.019997,124.059998,111.07,115.559998,9701303,115.559998
"X2018.02.25",115.559998,118.419998,112.75,116.949997,6293867,116.949997
"X2018.02.26",116.959999,136.919998,116.150002,134.369995,31697958,134.369995
"X2018.02.27",134.410004,145.449997,130.130005,140.190002,43935726,140.190002
"X2018.02.28",140.190002,144.130005,129.300003,131.529999,36404173,131.529999
"X2018.03.01",131.630005,135,124.330002,128.740005,23511501,128.740005
"X2018.03.02",128.740005,130.240005,121.940002,124,12773889,124
"X2018.03.03",124,128.330002,120.68,121.32,12427681,121.32
"X2018.03.04",121.32,125.029999,115.330002,119.620003,16417489,119.620003
"X2018.03.05",119.620003,119.739998,110.900002,111.669998,21269106,111.669998
"X2018.03.06",111.669998,114.68,101.529999,104.339996,26722728,104.339996
"X2018.03.07",104.339996,113.620003,88.980003,100.110001,41785402,100.110001
"X2018.03.08",100.099998,101.510002,89.620003,90.760002,18906392,90.760002
"X2018.03.09",90.760002,94.099998,79.43,92.019997,29656690,92.019997
"X2018.03.10",92.019997,94.480003,83.989998,84.809998,15078747,84.809998
"X2018.03.11",84.800003,92.480003,81.290001,90.620003,14790874,90.620003
"X2018.03.12",90.620003,92.580002,83.18,85.080002,16114616,85.080002
"X2018.03.13",85.080002,88.419998,81.660004,83.129997,10564683,83.129997
"X2018.03.14",83.129997,85.669998,68.32,71.449997,16873759,71.449997
"X2018.03.15",71.449997,72.980003,65,69.059998,22082161,69.059998
"X2018.03.16",69.059998,71.879997,65.209999,67.489998,12221823,67.489998
"X2018.03.17",67.489998,69.139999,60.34,60.75,10860757,60.75
"X2018.03.18",60.75,67.919998,49.23,65.470001,37547385,65.470001
"X2018.03.19",65.470001,73.769997,62.279999,72.660004,41073420,72.660004
"X2018.03.20",72.660004,79.860001,66.559998,75.589996,36314117,75.589996
"X2018.03.21",75.589996,78.019997,71.07,72.480003,20353601,72.480003
"X2018.03.22",72.480003,75.209999,66.160004,69.300003,21328866,69.300003
"X2018.03.23",69.300003,69.540001,63.290001,69.150002,13923733,69.150002
"X2018.03.24",69.150002,70.239998,64.720001,65.220001,9948608,65.220001
"X2018.03.25",65.220001,67.639999,63.48,65.309998,6624241,65.309998
"X2018.03.25.1",65.309998,66.160004,55.299999,59.150002,20439050,59.150002
"X2018.03.26",59.139999,61.540001,52.200001,55.400002,24125576,55.400002
"X2018.03.27",55.389999,60.349998,54.689999,57.099998,11142503,57.099998
"X2018.03.28",57.099998,57.330002,50.720001,51.77,16188069,51.77
"X2018.03.29",51.77,53.84,48.580002,50.220001,14294142,50.220001
"X2018.03.30",50.220001,52.889999,49.75,50.130001,7609673,50.130001
"X2018.03.31",50.119999,50.799999,45.099998,47.41,8812616,47.41
"X2018.04.01",47.41,50.419998,46.799999,48.950001,7866621,48.950001
"X2018.04.02",48.950001,54.299999,48.459999,53.630001,10729070,53.630001
"X2018.04.03",53.630001,53.689999,46.689999,47.650002,10719096,47.650002
"X2018.04.04",47.66,48.080002,45.540001,47.130001,7987511,47.130001
"X2018.04.05",47.119999,47.66,44.389999,45.099998,5141432,45.099998
"X2018.04.06",45.099998,48.110001,44.91,46.57,5639201,46.57
"X2018.04.07",46.57,49.529999,46.43,49.470001,4119993,49.470001
"X2018.04.08",49.470001,57.57,49.290001,52.919998,27640631,52.919998
"X2018.04.09",52.919998,53.220001,48.93,52.779999,10473031,52.779999
"X2018.04.10",52.779999,59.830002,52.299999,58.43,18303268,58.43
"X2018.04.11",58.43,67.739998,54.59,67.099998,32823394,67.099998
"X2018.04.12",67.099998,68.510002,61.560001,62.27,25314478,62.27
"X2018.04.13",62.27,66.010002,61.759998,64.260002,8959302,64.260002
"X2018.04.14",64.260002,71.029999,64.209999,70.889999,15585110,70.889999
"X2018.04.15",70.889999,71.540001,64.300003,67.099998,16120363,67.099998
"X2018.04.16",67.099998,70.220001,65.540001,65.730003,11422702,65.730003
"X2018.04.17",65.730003,73.790001,65.669998,73.040001,16258995,73.040001
"X2018.04.18",73.040001,75.309998,70.690002,74.089996,21882561,74.089996
"X2018.04.19",74.089996,79.739998,71.730003,79.300003,25136368,79.300003
"X2018.04.20",79.300003,79.690002,70.650002,74.690002,18299448,74.690002
"X2018.04.21",74.690002,77.589996,72.839996,73.739998,12634328,73.739998
"X2018.04.22",73.739998,78.360001,73.480003,76.18,11885296,76.18
"X2018.04.23",76.190002,84.699997,76.18,82.370003,29041143,82.370003
"X2018.04.24",82.370003,82.440002,68.290001,71.43,35581976,71.43
"X2018.04.25",71.43,77.459999,69.459999,77.089996,16894886,77.089996
"X2018.04.26",77.089996,77.669998,72.279999,72.510002,12383503,72.510002
"X2018.04.27",72.510002,78.389999,72.080002,76.730003,11294142,76.730003
"X2018.04.28",76.730003,92.660004,76.010002,90.730003,55270280,90.730003
"X2018.04.29",90.709999,94.730003,82.019997,84.010002,53838179,84.010002
"X2018.04.30",84.010002,84.959999,78.220001,84,22034331,84
"X2018.05.01",84,85.529999,82.07,84.889999,17854569,84.889999
"X2018.05.02",84.889999,89.980003,83.360001,87.639999,29254173,87.639999
"X2018.05.03",87.639999,87.639999,82.239998,84.330002,13295210,84.330002
"X2018.05.04",84.330002,86.449997,84.190002,84.510002,9004214,84.510002
"X2018.05.05",84.510002,88.410004,80.059998,83.760002,21094504,83.760002
"X2018.05.06",83.760002,83.779999,75.919998,79.029999,13535586,79.029999
"X2018.05.07",79.029999,81.160004,75.480003,76.93,8168304,76.93
"X2018.05.08",76.919998,77.239998,72.459999,76.43,9124678,76.43
"X2018.05.09",76.43,76.919998,69.519997,69.779999,9286310,69.779999
"X2018.05.10",69.739998,70.349998,60.830002,63.369999,25857908,63.369999
"X2018.05.11",63.369999,67.43,58.389999,64.589996,15648175,64.589996
"X2018.05.12",64.589996,69.32,62.610001,67.230003,9002271,67.230003
"X2018.05.13",67.25,69.089996,62.380001,65.949997,13971371,65.949997
"X2018.05.14",65.949997,69.169998,61.889999,63.040001,9668945,63.040001
"X2018.05.15",63.040001,63.189999,59.16,61.599998,8245573,61.599998
"X2018.05.16",61.599998,63.310001,56.639999,57.709999,8768489,57.709999
"X2018.05.17",57.709999,60.619999,56.580002,59.57,5318527,59.57
"X2018.05.18",59.57,60.630001,57.91,59.060001,3828093,59.060001
"X2018.05.19",59.060001,63.990002,58.610001,63.720001,6481578,63.720001
"X2018.05.20",63.720001,66.5,60.599998,62.27,9391034,62.27
"X2018.05.21",62.27,62.369999,56.650002,57.029999,6173870,57.029999
"X2018.05.22",57.02,57.560001,51.27,51.830002,10105736,51.830002
"X2018.05.23",51.830002,55.240002,50,55.040001,8675528,55.040001
"X2018.05.24",55.040001,56.310001,51.77,52.889999,4900545,52.889999
"X2018.05.25",52.889999,54.470001,51.580002,52.099998,3625662,52.099998
"X2018.05.26",52.099998,53.07,51.049999,52.860001,3261453,52.860001
"X2018.05.27",52.860001,53.009998,47.560001,47.810001,6386806,47.810001
"X2018.05.28",47.810001,53.639999,47.509998,52.23,7688466,52.23
"X2018.05.29",52.23,53.52,50.310001,51.459999,4283672,51.459999
"X2018.05.30",51.459999,54.279999,50.790001,53.040001,4672140,53.040001
"X2018.05.31",53.040001,56.200001,52.93,55.650002,7585321,55.650002
"X2018.06.01",55.650002,57.560001,54.860001,56.740002,7528006,56.740002
"X2018.06.02",56.740002,58.279999,55.639999,56.41,6333671,56.41
"X2018.06.03",56.41,57.360001,52.27,53.450001,6484028,53.450001
"X2018.06.04",53.450001,55.02,51.84,54.540001,5506974,54.540001
"X2018.06.05",54.610001,54.689999,52.580002,53.810001,3889144,53.810001
"X2018.06.06",53.810001,54.939999,52.939999,53.529999,3354528,53.529999
"X2018.06.07",53.529999,53.84,51.830002,52.310001,3052951,52.310001
"X2018.06.08",52.310001,53.279999,50.619999,50.77,2885901,50.77
"X2018.06.09",50.77,50.91,43.810001,45.349998,10704189,45.349998
"X2018.06.10",45.349998,45.68,42.549999,45.560001,5297634,45.560001
"X2018.06.11",45.619999,46.490002,40.209999,41.25,7111306,41.25
"X2018.06.12",41.25,41.5,35.759998,37.939999,9450744,37.939999
"X2018.06.13",37.939999,41.959999,37.43,40.650002,7791560,40.650002
"X2018.06.14",40.650002,40.799999,37.810001,37.869999,2563157,37.869999
"X2018.06.15",37.869999,38.540001,36.400002,37.91,2980574,37.91
"X2018.06.16",37.91,39.720001,37.41,38.5,2977110,38.5
"X2018.06.17",38.5,40.799999,36.869999,39.529999,6653946,39.529999
"X2018.06.18",39.529999,41.439999,38.740002,39.950001,3673261,39.950001
"X2018.06.19",39.950001,39.950001,37.509998,38.959999,3748221,38.959999
"X2018.06.20",38.959999,39.57,37,37.630001,3139820,37.630001
"X2018.06.21",37.630001,37.630001,32.130001,32.990002,8126221,32.990002
"X2018.06.22",32.990002,34.73,32.59,33.860001,2412331,33.860001
"X2018.06.23",33.860001,34.16,28.629999,31.120001,10579694,31.120001
"X2018.06.24",31.120001,32.82,30.559999,31.59,2886534,31.59
"X2018.06.25",31.59,31.690001,29.76,30,2795798,30
"X2018.06.26",30,30.57,29.440001,30.389999,2152506,30.389999
"X2018.06.27",30.389999,30.57,28.08,28.24,2336925,28.24
"X2018.06.28",28.24,30.17,27.059999,29.59,4877737,29.59
"X2018.06.29",29.59,32.09,29.57,30.9,6080560,30.9
"X2018.06.30",30.9,31.6,29.9,31.33,4272648,31.33
"X2018.07.01",31.33,37.200001,31.049999,36.189999,16967653,36.189999
"X2018.07.02",36.189999,38.860001,35.41,35.810001,21055958,35.810001
"X2018.07.05",40.580002,43.130001,40.099998,42.299999,3654502,42.299999
