"","open","high","low","close","volume","adjusted"
"2018-01-02",62.849998,63.490002,62.849998,63.490002,6511000,63.122215
"2018-01-03",63.48,63.66,62.759998,63.48,6091100,63.11227
"2018-01-04",63.400002,63.549999,62.549999,63.439999,5780500,63.072506
"2018-01-05",63.700001,64.300003,63.470001,63.98,11632300,63.609375
"2018-01-08",64.150002,64.709999,63.98,64.550003,11905700,64.176079
"2018-01-09",64.230003,64.720001,63.470001,64.089996,8771300,63.718735
"2018-01-10",63.880001,64.230003,63.439999,64.220001,5010600,63.847992
"2018-01-11",64.029999,64.309998,63.779999,64.290001,5103500,63.917583
"2018-01-12",64.5,64.720001,64.32,64.669998,5135700,64.29538
"2018-01-16",64.779999,65.360001,63.369999,63.419998,9117000,63.05262
"2018-01-17",63.669998,64.010002,63.080002,63.810001,7335900,63.440361
"2018-01-18",64,64.209999,63.540001,64.110001,5656900,63.738625
"2018-01-19",65.309998,67.239998,65.120003,67.209999,12896100,66.820671
"2018-01-22",66.550003,66.830002,65.760002,66.389999,8491800,66.005417
"2018-01-23",66.529999,67.330002,66.440002,67.139999,6412000,66.751068
"2018-01-24",67.339996,68.18,67.07,68,7421800,67.606087
"2018-01-25",68.129997,68.639999,67.449997,67.709999,5707600,67.317772
"2018-01-26",68.199997,68.639999,67.919998,68.040001,6290500,67.645859
"2018-01-29",67.82,68.139999,67.419998,67.580002,5067300,67.188522
"2018-01-30",67.5,68.309998,67.160004,67.330002,6350500,66.939972
"2018-01-31",67.5,68.830002,67.470001,68.220001,11036400,67.824814
"2018-02-01",67.669998,67.970001,66.699997,67.650002,5790500,67.258118
"2018-02-02",67.220001,67.790001,67,67.220001,9348300,66.830612
"2018-02-05",66.629997,67.209999,64.389999,64.389999,12549500,64.016998
"2018-02-06",62.48,65.419998,62.09,65.220001,13356700,64.842194
"2018-02-07",65.150002,66.839996,65.099998,65.629997,8845700,65.249817
"2018-02-08",65.529999,65.709999,62.459999,62.490002,14121800,62.12801
"2018-02-09",63.759998,66.050003,62.84,65.489998,13733300,65.110634
"2018-02-12",65.940002,66.82,65.68,65.980003,9792200,65.597794
"2018-02-13",65.849998,66.230003,65.43,65.870003,9538400,65.488426
"2018-02-14",65.720001,68.029999,65.550003,67.959999,8662600,67.566322
"2018-02-15",68.389999,68.760002,67.25,68.290001,7390200,67.894409
"2018-02-16",67.900002,69,67.739998,68.300003,6842100,67.904358
"2018-02-20",67.639999,67.970001,67.050003,67.489998,4859100,67.099045
