"","open","high","low","close","volume","adjusted"
"2018-01-02",28.57,29,28.43,28.9,6522600,28.839285
"2018-01-03",28.950001,29.610001,28.610001,28.879999,7780700,28.819326
"2018-01-04",28.879999,29.290001,28.49,28.549999,4346700,28.490019
"2018-01-05",28.639999,28.85,28.379999,28.73,4539200,28.669641
"2018-01-08",28.75,29.4,28.74,29.17,12297800,29.108719
"2018-01-09",29.32,29.379999,28.68,28.719999,3402100,28.659662
"2018-01-10",28.49,28.51,28.030001,28.24,3241100,28.180672
"2018-01-11",28.370001,28.809999,28.209999,28.610001,6183600,28.549894
"2018-01-12",28.540001,28.9,28.43,28.700001,4825500,28.639706
"2018-01-16",28.799999,28.879999,27.85,27.9,4521300,27.841387
"2018-01-17",28.1,28.16,27.280001,27.43,6914000,27.372374
"2018-01-18",27.040001,27.43,26.459999,26.809999,10096100,26.753675
"2018-01-19",26.73,27,26.32,26.9,8706000,26.843487
"2018-01-22",26.99,27.27,26.709999,26.92,10257900,26.863445
"2018-01-23",27,27.459999,26.85,27.139999,3161500,27.082983
"2018-01-24",27.02,27.52,27,27.25,4660000,27.192751
"2018-01-25",27.34,27.870001,27.190001,27.65,4606300,27.591909
"2018-01-26",28.049999,28.049999,27.24,27.4,5814000,27.342436
"2018-01-29",27.290001,27.4,26.85,26.860001,4122800,26.803572
"2018-01-30",26.709999,26.73,25.709999,26.09,7600100,26.035189
"2018-01-31",26.110001,26.299999,25.790001,26.01,5764800,25.985237
"2018-02-01",25.889999,26.68,25.700001,26.43,5319100,26.404837
"2018-02-02",26.15,26.379999,25.73,26.190001,4394200,26.165066
"2018-02-05",26.02,26.139999,25.07,25.16,7126700,25.136045
"2018-02-06",24.629999,25.690001,24.15,25.51,8603100,25.485714
"2018-02-07",26.73,27.040001,25.32,25.360001,12115800,25.335855
"2018-02-08",25.219999,25.280001,24,24,8448500,23.97715
"2018-02-09",24.15,24.790001,23.75,24.59,8992300,24.566589
"2018-02-12",24.700001,24.889999,24.25,24.719999,8545300,24.696465
"2018-02-13",24.68,24.76,24.450001,24.610001,4256700,24.586571
