"","open","high","low","close","volume","adjusted"
"2018-01-02",195.779999,199.5,194.5,199.350006,8890400,199.103073
"2018-01-03",204.100006,213.699997,203.75,212.470001,22867600,212.206802
"2018-01-04",215.759995,218.050003,212.690002,213.589996,14581700,213.325424
"2018-01-05",214.190002,216.910004,211.080002,215.399994,14503100,215.133163
"2018-01-08",220.399994,225,218.580002,222,22030400,221.724991
"2018-01-09",222.220001,223.820007,218.639999,221.940002,12425000,221.665085
"2018-01-10",218.199997,223.820007,216,223.679993,14566600,223.402908
"2018-01-11",225,226.270004,223.210007,224.080002,10150800,223.802429
"2018-01-12",223.600006,224.990005,221.339996,222.979996,8997900,222.703781
"2018-01-16",224.050003,227.509995,216.690002,220.110001,17558700,219.837341
"2018-01-17",220.699997,225.119995,216.899994,224.720001,13407100,224.441635
"2018-01-18",223.940002,226.639999,222.679993,224.440002,10215800,224.161972
"2018-01-19",228.089996,231.089996,227,230.110001,15234500,229.824966
"2018-01-22",230.429993,233.759995,228.100006,233.690002,13773600,233.400528
"2018-01-23",235.850006,239.830002,235.100006,238.910004,11880700,238.614059
"2018-01-24",239.039993,240.490005,233.550003,235.800003,14499300,235.507904
"2018-01-25",238,239.75,235.75,236.350006,10247100,236.057236
"2018-01-26",238.119995,243.339996,237.600006,243.330002,12908900,243.02858
"2018-01-29",242.740005,248.110001,240.610001,246.850006,11377900,246.544235
"2018-01-30",241.110001,246.419998,238.410004,242.720001,14270800,242.419342
"2018-01-31",245.770004,249.270004,244.449997,245.800003,11964400,245.495514
"2018-02-01",238.520004,246.899994,238.059998,240.5,12980600,240.202087
"2018-02-02",237,237.970001,231.169998,233.520004,17961600,233.230743
"2018-02-05",227,233.229996,205,213.699997,29130100,213.435272
"2018-02-06",204.399994,225.699997,204,225.580002,27870000,225.300568
"2018-02-07",229.580002,234.970001,226.699997,228.800003,20073300,228.516586
"2018-02-08",233.880005,235.220001,217.509995,217.520004,28600000,217.250565
"2018-02-09",238.25,238.889999,217.520004,232.080002,41865100,231.792511
"2018-02-12",235.360001,235.479996,225.029999,228.029999,27329300,227.747528
"2018-02-13",226.559998,234.5,225.25,232.630005,15638100,232.341843
"2018-02-14",231,242.589996,230.550003,241.419998,18624700,241.120956
"2018-02-15",244.789993,248.369995,241.520004,246.5,17472500,246.194656
"2018-02-16",245.399994,250,243.470001,243.839996,15941400,243.537949
"2018-02-20",244.75,251.869995,244.600006,249.080002,17156000,248.771454
"2018-02-21",251.690002,251.970001,241.360001,241.509995,22307300,241.210831
"2018-02-22",242.729996,245.630005,239.5,242.149994,13359100,242.000336
"2018-02-23",244.570007,245.929993,242.520004,245.929993,10382500,245.778
"2018-02-26",247.800003,247.979996,244.059998,246.580002,11732800,246.427612
"2018-02-27",245.5,248.910004,245.130005,246.059998,11385900,245.907928
"2018-02-28",246.5,248.100006,241.529999,242,13077900,241.850433
"2018-03-01",241.910004,244.089996,228.119995,232.210007,26003000,232.066498
"2018-03-02",227.860001,236.800003,221.850006,236.539993,22835700,236.393799
"2018-03-05",234.509995,237.25,229.520004,235.649994,15519400,235.504349
"2018-03-06",239.100006,242.940002,237.360001,242.160004,15920200,242.010345
"2018-03-07",238,243.949997,237.949997,241.839996,14530200,241.690536
"2018-03-08",242.949997,242.949997,239.389999,241.179993,10297800,241.03093
"2018-03-09",243.100006,245.850006,242.449997,245.330002,12638100,245.178375
"2018-03-12",247,253,246.669998,249.759995,15126500,249.605637
"2018-03-13",251.490005,254.5,246.039993,247.710007,15494300,247.556915
"2018-03-14",249.449997,250.550003,246.220001,248.740005,12637400,248.586273
"2018-03-15",249.289993,252.619995,247.639999,249.339996,10048800,249.185898
"2018-03-16",250,251.25,248.479996,250.479996,9986400,250.325195
"2018-03-19",248.179993,249.350006,237,241,17844300,240.851059
"2018-03-20",241.119995,251.149994,241.119995,249.580002,13867400,249.425751
"2018-03-21",249.320007,252,247.330002,248.559998,10967200,248.406372
"2018-03-22",246,247.880005,240.339996,241.850006,13779900,241.700531
"2018-03-23",242.399994,242.5,232.520004,232.970001,18390500,232.826019
"2018-03-26",238,244.529999,235.899994,244.479996,15285600,244.328903
"2018-03-27",247.75,250,219.850006,225.520004,35225000,225.38063
"2018-03-28",224.130005,229.389999,217,221.350006,23647600,221.213196
"2018-03-29",224.110001,235.5,220.699997,231.589996,22915700,231.446869
"2018-04-02",228.740005,234.649994,217.5,221.050003,23052300,220.913391
"2018-04-03",227.800003,230.350006,221.350006,225.350006,16685800,225.210724
"2018-04-04",215.009995,226.660004,214,226.240005,19729200,226.100174
"2018-04-05",228.600006,229.130005,218.490005,221.380005,17531000,221.243179
"2018-04-06",217.229996,221.600006,213.070007,214.25,16574700,214.117584
"2018-04-09",216.800003,221.970001,214.600006,215.410004,12488100,215.276871
"2018-04-10",224.720001,229,222.410004,227.910004,19041900,227.76915
"2018-04-11",227.309998,228.979996,224.919998,226.240005,11506100,226.100174
"2018-04-12",230,235.320007,228.210007,234.600006,14848000,234.455017
"2018-04-13",237.169998,237.509995,229.550003,231.5,12575900,231.356918
"2018-04-16",231.770004,232.839996,227.679993,231.490005,8769800,231.346939
"2018-04-17",233.600006,238.399994,231.350006,237.539993,11180600,237.393188
"2018-04-18",235.5,239.25,232.770004,236.369995,9784100,236.223907
"2018-04-19",231.75,233.100006,226.800003,229.039993,11799900,228.898438
"2018-04-20",228.690002,232.100006,227.449997,228.710007,9655000,228.568649
"2018-04-23",229.429993,231.5,222.830002,223.880005,10687700,223.741638
"2018-04-24",224.919998,228.800003,218.559998,221.199997,10364900,221.063293
"2018-04-25",220,221.580002,210.300003,216.660004,14712300,216.526093
"2018-04-26",223.199997,225.550003,220.529999,225.220001,9395600,225.080811
"2018-04-27",229.5,230.300003,224.619995,226.330002,10021200,226.190125
"2018-04-30",226.990005,229,224.119995,224.899994,8196100,224.761002
"2018-05-01",224.570007,227.25,222.199997,227.139999,6344700,226.999619
"2018-05-02",227,228.800003,225.25,226.309998,6706200,226.170135
"2018-05-03",227.600006,234.050003,225.770004,232.990005,11078600,232.846008
"2018-05-04",231.830002,239.190002,231.130005,239.059998,10016500,238.912247
"2018-05-07",243.289993,250.990005,242.889999,248.679993,17190400,248.526291
"2018-05-08",248.690002,250.509995,246.710007,250.399994,12665400,250.245239
"2018-05-09",251.210007,255.869995,250.110001,255.779999,14919000,255.621918
"2018-05-10",257.920013,260.5,257.200012,260.130005,24852000,259.969238
"2018-05-11",252.779999,259.790009,250.539993,254.529999,30361400,254.372696
