"","open","high","low","close","volume","adjusted"
"2018-01-02",31.09,31.75,30.98,31.639999,4264400,31.087759
"2018-01-03",31.67,32.209999,31.610001,31.83,6211000,31.274445
"2018-01-04",31.99,32.209999,31.629999,32.060001,3833000,31.500431
"2018-01-05",32.16,32.360001,31.83,31.98,3471500,31.421825
"2018-01-08",32.02,32.27,31.709999,32.080002,2977200,31.520081
"2018-01-09",32.029999,32.400002,31.83,31.91,5118100,31.353046
"2018-01-10",31.73,31.99,31.040001,31.15,5102800,30.606312
"2018-01-11",31.35,31.99,31.200001,31.91,3356900,31.353046
"2018-01-12",31.950001,32.27,31.809999,32.259998,3519200,31.696936
"2018-01-16",32.419998,32.580002,31.42,31.75,5853200,31.195839
"2018-01-17",31.950001,32.139999,31.709999,31.780001,3023600,31.225317
"2018-01-18",31.700001,31.870001,31.23,31.290001,4629400,30.74387
"2018-01-19",31.5,31.58,30.809999,31.219999,5488200,30.675089
"2018-01-22",31.1,31.629999,31.01,31.540001,6170600,30.989506
"2018-01-23",31.5,31.860001,31.450001,31.65,4007100,31.097586
"2018-01-24",31.77,31.83,30.98,31.23,5255300,30.684916
"2018-01-25",27.959999,28,23.85,24.809999,74382000,24.376968
"2018-01-26",24.65,26.549999,24.4,25.33,37608300,24.887894
"2018-01-29",25.08,25.68,24.9,25.360001,13188100,24.917372
"2018-01-30",25.129999,25.799999,25,25.73,10434900,25.280912
"2018-01-31",25.85,26.459999,25.700001,26.440001,14463900,25.978521
"2018-02-01",26.440001,27.540001,26.4,27.4,15220100,26.921764
"2018-02-02",27.200001,28.049999,26.790001,27.98,19499200,27.49164
"2018-02-05",27.65,28.15,26.01,26.120001,17133200,25.664106
"2018-02-06",25.870001,29.09,25.559999,28.75,19699100,28.248203
"2018-02-07",28.620001,30.17,28.57,29.459999,16507100,28.945808
"2018-02-08",29.379999,29.459999,27.440001,27.91,14725400,27.422863
"2018-02-09",28.530001,28.700001,26.26,27.610001,23307300,27.128099
