"","open","high","low","close","volume","adjusted"
"2018-01-02",22.32,23.07,22.24,22.84,1491700,22.84
"2018-01-03",22.940001,22.98,22.41,22.57,834700,22.57
"2018-01-04",22.66,22.83,22.41,22.440001,1691100,22.440001
"2018-01-05",22.49,22.629999,22.200001,22.610001,1343400,22.610001
"2018-01-08",22.540001,22.73,22.440001,22.51,1233400,22.51
"2018-01-09",22.700001,22.76,22.459999,22.5,1285900,22.5
"2018-01-10",22.48,22.6,22.09,22.120001,1271100,22.120001
"2018-01-11",22.200001,22.530001,22.120001,22.27,2042000,22.27
"2018-01-12",22.34,22.549999,22.24,22.440001,1445300,22.440001
"2018-01-16",22.559999,22.91,22.48,22.709999,2297200,22.709999
"2018-01-17",22.83,23.030001,22.290001,22.48,1817700,22.48
"2018-01-18",22.370001,22.57,22.299999,22.33,993700,22.33
"2018-01-19",22.34,22.68,22.33,22.6,853000,22.6
"2018-01-22",22.540001,22.73,22.379999,22.700001,1215800,22.700001
"2018-01-23",22.610001,22.9,22.370001,22.780001,1013300,22.780001
"2018-01-24",22.83,22.940001,22.57,22.68,1178700,22.68
"2018-01-25",22.82,23.290001,22.809999,23.129999,1504000,23.129999
"2018-01-26",23.17,23.610001,23.129999,23.32,1615400,23.32
"2018-01-29",23.389999,23.49,23.15,23.15,1109700,23.15
"2018-01-30",23.040001,23.27,22.559999,22.9,1712900,22.9
"2018-01-31",22.950001,23.23,22.91,23.219999,1663600,23.219999
"2018-02-01",23.09,23.51,23.040001,23.18,2002700,23.18
"2018-02-02",23.059999,23.059999,22.309999,22.469999,1450200,22.469999
"2018-02-05",22.27,22.389999,21.049999,21.049999,1930800,21.049999
"2018-02-06",20.6,21.9,20.41,21.690001,2488900,21.690001
"2018-02-07",21.700001,22.940001,21.700001,22.540001,3841100,22.540001
"2018-02-08",22.52,22.52,21.43,21.43,2646800,21.43
"2018-02-09",21.67,21.790001,20.73,21.07,2119600,21.07
"2018-02-12",21.190001,21.299999,20.780001,21.18,1470600,21.18
"2018-02-13",21.1,21.24,20.879999,20.98,1590100,20.98
"2018-02-14",20.790001,21.299999,20.790001,21.27,1100500,21.27
"2018-02-15",21.389999,21.870001,21.379999,21.700001,1387800,21.700001
"2018-02-16",21.620001,22.059999,21.559999,21.85,958300,21.85
"2018-02-20",21.68,21.83,21.26,21.360001,1353200,21.360001
"2018-02-21",21.34,22.02,21.299999,21.59,1378900,21.59
