"","open","high","low","close","volume","adjusted"
"2018-01-02",53.759998,54.75,53.560001,54.650002,2547900,53.242012
"2018-01-03",54.689999,55.84,54.57,55.540001,2539100,54.109077
"2018-01-04",55.689999,56.330002,55.450001,56.200001,2790800,54.752075
"2018-01-05",55.25,56.290001,55.07,56.060001,10159500,54.615685
"2018-01-08",56.18,56.959999,55.93,56.639999,3640600,55.180737
"2018-01-09",56.689999,56.959999,56.330002,56.490002,2056000,55.034607
"2018-01-10",56.540001,57,56.41,56.740002,2517400,55.278164
"2018-01-11",57.400002,58.549999,57.09,58.360001,3359500,56.856426
"2018-01-12",58.490002,58.900002,57.84,58.669998,2965200,57.158436
"2018-01-16",59,60.060001,58.720001,58.799999,4511900,57.285088
"2018-01-17",59.459999,59.790001,58.66,59.41,4201500,57.879375
"2018-01-18",59.25,59.369999,58.119999,58.139999,3439100,56.64209
"2018-01-19",58.07,58.34,57.139999,58.32,8657000,56.817459
"2018-01-22",58.34,59.880001,58.34,59.880001,4065600,58.337265
"2018-01-23",60,60.709999,59.59,60.48,3110500,58.921806
"2018-01-24",60.889999,61.360001,60.610001,60.709999,2818600,59.145878
"2018-01-25",60.950001,61.110001,60.27,60.580002,2412400,59.01923
"2018-01-26",60,60.389999,59.73,60.150002,2590800,59.354736
"2018-01-29",59.860001,60.130001,59.450001,59.490002,4023800,58.703461
"2018-01-30",58.900002,59.130001,58.18,58.73,2008700,57.953506
"2018-01-31",58.830002,59.459999,58.689999,58.860001,2467300,58.081791
"2018-02-01",58.98,60.040001,58.869999,59.740002,1858600,58.950157
"2018-02-02",59.099998,59.220001,57.610001,57.75,2459900,56.986465
"2018-02-05",57.200001,57.610001,54.779999,55.560001,3529800,54.82542
"2018-02-06",54.540001,56.650002,54.380001,56.419998,3572800,55.674049
"2018-02-07",56.330002,57.540001,56.32,56.580002,2495400,55.831936
"2018-02-08",56.540001,56.880001,54.369999,54.400002,2720300,53.680759
"2018-02-09",54.939999,55.220001,52.389999,54.330002,3602900,53.611683
"2018-02-12",55.27,56.990002,55.040001,56.549999,2582600,55.80233
"2018-02-13",56.240002,57.32,55.919998,56.84,2030500,56.088497
"2018-02-14",56.27,57.880001,56.169998,57.470001,3417100,56.710167
"2018-02-15",57.630001,57.939999,57.119999,57.799999,3163700,57.035805
"2018-02-16",57.57,57.68,56.619999,56.91,2343400,56.15757
"2018-02-20",57,57.68,56.709999,57.02,1468700,56.266117
"2018-02-21",56.939999,57.400002,56.09,56.099998,2010700,55.35828
"2018-02-22",56.619999,58.369999,56.360001,57.18,3773500,56.424
"2018-02-23",57.43,58.34,57.049999,58.02,2595900,57.252895
"2018-02-26",58.32,58.34,56.759998,57.470001,3330300,56.710167
"2018-02-27",57.799999,58.040001,56.560001,57,3969700,56.24638
"2018-02-28",57.259998,58.080002,56.220001,56.330002,3880200,55.585239
"2018-03-01",56.349998,56.880001,55.709999,56.509998,3106600,55.762859
"2018-03-02",56,57.259998,55.169998,57.080002,2415000,56.325325
"2018-03-05",56.720001,57.299999,56.16,56.91,2535400,56.15757
"2018-03-06",57.150002,57.459999,56.639999,57.02,1537400,56.266117
"2018-03-07",56.43,57.470001,56.419998,56.709999,2265300,55.960213
"2018-03-08",56.689999,56.959999,55.900002,56.599998,2253100,55.851669
"2018-03-09",56.990002,57.380001,56.889999,57.310001,2060400,56.552284
"2018-03-12",57.25,57.849998,57.200001,57.59,3031500,56.828579
"2018-03-13",57.82,57.970001,57.360001,57.759998,2205300,56.99633
"2018-03-14",57.889999,58.060001,57.080002,57.16,2304400,56.404266
"2018-03-15",57.380001,58.09,54.450001,56.639999,7757400,55.89114
"2018-03-16",56.73,58.32,56.639999,57.810001,7013500,57.045673
"2018-03-19",57.599998,57.700001,56.040001,56.470001,3371400,55.723389
"2018-03-20",57.689999,58.470001,57.380001,57.639999,3788500,56.877918
"2018-03-21",57.98,58.849998,57.700001,58.459999,3186800,57.687077
"2018-03-22",57.91,58.330002,57.279999,57.330002,2754700,56.572021
"2018-03-23",57.619999,57.619999,56.75,56.75,3591800,55.999687
"2018-03-26",57.34,57.450001,56.310001,57.02,2414800,56.266117
"2018-03-27",57.029999,57.869999,56.419998,56.959999,3790400,56.206909
"2018-03-28",56.880001,57.130001,55.580002,55.630001,3115200,54.894497
"2018-03-29",55.740002,57.200001,55.5,56.919998,2701700,56.167439
"2018-04-02",56.759998,57.48,55.450001,56.139999,3108700,55.397751
"2018-04-03",56.310001,56.630001,55.150002,56.599998,2454300,55.851669
"2018-04-04",55.540001,56.68,55.259998,56.52,2379600,55.772728
"2018-04-05",56.740002,57.599998,56.580002,57.439999,1750400,56.680561
"2018-04-06",57.130001,57.470001,56.119999,56.689999,2169900,55.940479
"2018-04-09",56.950001,57.68,56.419998,56.75,1879700,55.999687
"2018-04-10",57.59,58.889999,57.369999,58.310001,2558100,57.539063
"2018-04-11",58.080002,58.869999,58,58.619999,2014400,57.844963
"2018-04-12",58.59,58.700001,57.790001,58.32,2190800,57.548927
"2018-04-13",58.540001,58.98,58.080002,58.509998,1604100,57.736416
"2018-04-16",58.830002,59.889999,58.459999,59.75,2173800,58.960022
"2018-04-17",59.810001,60.099998,59.52,59.669998,1964100,58.881077
"2018-04-18",60.330002,60.619999,59.830002,59.830002,2676600,59.038967
"2018-04-19",59.990002,60.610001,59.639999,59.740002,1874500,58.950157
"2018-04-20",59.860001,59.91,59.279999,59.540001,1777300,58.7528
"2018-04-23",59.5,60.279999,59.259998,59.959999,1649300,59.167244
"2018-04-24",60.07,60.119999,58.82,59.389999,1654400,58.604782
"2018-04-25",58.970001,59.610001,58.66,59.599998,1824600,58.812004
"2018-04-26",59.810001,60.330002,59.619999,60.130001,2547400,59.334999
"2018-04-27",59.110001,60.279999,58.380001,59.880001,1617500,59.880001
"2018-04-30",59.779999,60.630001,59.610001,60.220001,2145200,60.220001
"2018-05-01",60,60.759998,59.919998,60.490002,2209300,60.490002
"2018-05-02",60.57,63.150002,60.57,62.57,3924300,62.57
"2018-05-03",62.560001,63.169998,62.279999,62.84,2347700,62.84
"2018-05-04",62.68,63.73,62.560001,63.450001,1843700,63.450001
"2018-05-07",64.18,64.760002,63.540001,64.07,2542300,64.07
"2018-05-08",63.919998,64.199997,62.48,63.939999,2310300,63.939999
"2018-05-09",64.610001,65.489998,64.400002,64.709999,2188000,64.709999
"2018-05-10",65.199997,65.459999,64.650002,65.300003,1905500,65.300003
"2018-05-11",65.57,66.040001,65.360001,65.82,2549100,65.82
"2018-05-14",65.919998,66.769997,65.860001,66.589996,1810500,66.589996
"2018-05-15",66.639999,66.830002,65.940002,66.669998,2378600,66.669998
"2018-05-16",66.510002,66.779999,66.150002,66.650002,2137100,66.650002
"2018-05-17",66.889999,67.309998,66.300003,66.519997,1732000,66.519997
"2018-05-18",66.540001,66.669998,65.800003,66.269997,1865300,66.269997
"2018-05-21",66.550003,66.599998,66.019997,66.489998,1941600,66.489998
"2018-05-22",66.610001,66.910004,65.949997,66.059998,1847100,66.059998
"2018-05-23",65.800003,66.870003,65.419998,66.730003,1944500,66.730003
"2018-05-24",66.169998,66.589996,65.870003,66.379997,2096600,66.379997
"2018-05-25",65.330002,65.949997,64.709999,65.889999,1708500,65.889999
"2018-05-29",65.610001,66.580002,65.510002,66.300003,2786300,66.300003
"2018-05-30",66.660004,68.410004,66.57,68.230003,2586600,68.230003
"2018-05-31",67.769997,68.879997,67.760002,68.160004,3821200,68.160004
"2018-06-01",68.349998,68.949997,67.900002,68.510002,1738600,68.510002
"2018-06-04",68.900002,69.110001,67.849998,68.300003,1503400,68.300003
"2018-06-05",68.199997,69.25,68.080002,68.57,2515000,68.57
"2018-06-06",68.660004,68.849998,67.410004,67.660004,1954900,67.660004
"2018-06-07",68.290001,68.629997,68.029999,68.550003,1727300,68.550003
"2018-06-08",68.669998,68.93,67.900002,68.449997,2173400,68.449997
"2018-06-11",68.290001,69.379997,67.849998,69.019997,1680900,69.019997
"2018-06-12",69.080002,69.839996,68.949997,69.239998,1736100,69.239998
"2018-06-13",69.110001,69.110001,68.400002,68.870003,2603300,68.870003
"2018-06-14",69.07,69.709999,68.989998,69.339996,2362700,69.339996
"2018-06-15",69.230003,69.459999,67.650002,67.779999,4014900,67.779999
"2018-06-18",67.839996,68.849998,67.75,68.519997,3584900,68.519997
"2018-06-19",67.830002,68.910004,67.5,68.790001,2281900,68.790001
"2018-06-20",69.230003,70.309998,69.160004,70.07,1912700,70.07
"2018-06-21",69.730003,69.860001,68.68,68.779999,1751100,68.779999
"2018-06-22",70.209999,70.769997,69.800003,69.989998,4425400,69.989998
"2018-06-25",69.82,69.919998,68.389999,68.699997,1630800,68.699997
"2018-06-26",68.949997,69.889999,68.800003,69.720001,1605000,69.720001
"2018-06-27",70.290001,70.989998,69.529999,69.75,1883000,69.75
"2018-06-28",69.93,70.309998,69.050003,69.93,1628900,69.93
"2018-06-29",70.290001,70.489998,69.550003,69.830002,1877900,69.830002
