"","open","high","low","close","volume","adjusted"
"2018-01-02",47.57,47.799999,46.169998,46.630001,25380000,46.257595
"2018-01-03",47.529999,48.07,47.439999,47.709999,24165000,47.328968
"2018-01-04",47.990002,48.189999,47.720001,48.18,19815100,47.795216
"2018-01-05",48.419998,48.630001,48.279999,48.470001,14496400,48.082901
"2018-01-08",48.299999,49.07,47.939999,48.98,15075000,48.588825
"2018-01-09",49.25,49.360001,48.919998,49.060001,14153700,48.857716
"2018-01-10",48.860001,49.27,48.580002,48.799999,13476600,48.598785
"2018-01-11",48.869999,49.02,48.439999,48.950001,11687800,48.748165
"2018-01-12",49.18,49.830002,49.060001,49.509998,15978200,49.305855
"2018-01-16",49.849998,50.060001,49.439999,49.59,17152600,49.385529
"2018-01-17",49.91,50.290001,49.849998,50.27,23115200,50.062725
"2018-01-18",50.189999,50.68,50.099998,50.23,17119200,50.022888
"2018-01-19",50.5,50.599998,50.27,50.580002,14011500,50.371449
"2018-01-22",50.43,50.740002,50.27,50.709999,16840000,50.500908
"2018-01-23",50.75,51.27,50.57,51.119999,14141400,50.909218
"2018-01-24",51.360001,52,51.209999,51.450001,17205600,51.237858
"2018-01-25",51.540001,52.049999,51.540001,51.599998,13904300,51.387238
"2018-01-26",51.860001,52.75,51.759998,52.75,14909200,52.532497
"2018-01-29",52.669998,52.790001,51.880001,51.939999,12234900,51.725838
"2018-01-30",51.740002,51.990002,50.75,50.959999,16863500,50.749878
"2018-01-31",50.860001,51.849998,50.860001,51.59,16806800,51.377281
"2018-02-01",51.360001,51.98,51.259998,51.630001,11674100,51.417118
"2018-02-02",51.25,51.41,50.040001,50.130001,17562200,49.923302
"2018-02-05",50.040001,50.700001,48.060001,48.09,19725800,47.891712
"2018-02-06",47.330002,49.509998,46.810001,49.400002,25921200,49.196312
"2018-02-07",49.200001,49.849998,48.82,48.869999,15138000,48.668495
"2018-02-08",49.09,49.119999,46.810001,46.84,21255400,46.646866
"2018-02-09",47.580002,48.150002,45.919998,47.73,23191000,47.533195
"2018-02-12",48.220001,48.490002,47.720001,48.150002,16261600,47.951466
"2018-02-13",48.009998,48.68,47.77,48.490002,12633100,48.290066
"2018-02-14",48.189999,49.52,48.139999,49.450001,14271400,49.246105
"2018-02-15",49.700001,50.689999,49.43,50.639999,14132500,50.431198
"2018-02-16",50.549999,51.139999,50.490002,50.709999,11098800,50.500908
"2018-02-20",50.200001,50.310001,49.66,49.889999,14144900,49.684288
"2018-02-21",49.869999,50.34,49.43,49.43,13050800,49.226189
"2018-02-22",49.59,50.060001,49.41,49.59,9513200,49.385529
"2018-02-23",49.790001,50.57,49.619999,50.5,8866800,50.291775
"2018-02-26",50.59,51.259998,50.5,51.169998,12956000,50.959011
"2018-02-27",51.07,51.400002,50.540001,50.73,14339600,50.520824
"2018-02-28",51.060001,51.5,50.669998,50.669998,14947900,50.461071
"2018-03-01",50.959999,50.959999,49.419998,49.709999,16539800,49.505032
"2018-03-02",49.330002,50.400002,49.16,50.32,17291000,50.112518
"2018-03-05",49.900002,51.490002,49.849998,51.290001,18771500,51.078518
"2018-03-06",51.560001,51.790001,51.220001,51.5,13907100,51.287651
"2018-03-07",51.060001,51.810001,51.029999,51.720001,11727300,51.506744
"2018-03-08",51.939999,52.16,51.470001,52.130001,15864400,51.915054
"2018-03-09",52.349998,53,52.200001,52.970001,16218600,52.751591
"2018-03-12",52.98,53.439999,52.669998,52.900002,14108400,52.681881
"2018-03-13",53.240002,53.48,52.34,52.580002,12864400,52.363201
"2018-03-14",52.880001,53.150002,52.18,52.32,10885500,52.104271
"2018-03-15",52.220001,52.669998,52.110001,52.369999,14155200,52.154064
"2018-03-16",52.400002,52.689999,52.25,52.27,21011500,52.054478
"2018-03-19",52.43,52.580002,51.509998,51.950001,25777400,51.735798
"2018-03-20",46.799999,47.75,46.43,47.049999,68601000,46.855999
"2018-03-21",47.290001,48.060001,47.009998,47.02,34597700,46.826126
"2018-03-22",46.720001,47.02,45.73,45.889999,25610100,45.700783
"2018-03-23",45.98,46.279999,44.759998,44.790001,21398900,44.60532
"2018-03-26",45.549999,46.639999,45.389999,46.48,20754800,46.288349
"2018-03-27",46.630001,46.82,45,45.380001,18925300,45.192886
"2018-03-28",45.279999,45.360001,44.509998,44.98,22156900,44.794537
"2018-03-29",45.310001,46.290001,45.009998,45.75,14256400,45.561359
"2018-04-02",45.650002,45.849998,44.419998,45.009998,15343300,44.824409
"2018-04-03",45.330002,45.330002,44.290001,44.889999,15734600,44.704906
"2018-04-04",44.07,45.619999,44.040001,45.509998,18505900,45.32235
"2018-04-05",45.73,46.18,45.549999,45.959999,12313000,45.770493
"2018-04-06",45.509998,45.75,44.599998,44.830002,13893600,44.645157
"2018-04-09",45.110001,45.650002,44.880001,44.900002,15200000,44.714867
"2018-04-10",45.549999,46.07,45.459999,45.82,14868900,45.631073
"2018-04-11",45.400002,45.990002,45.360001,45.610001,14911400,45.42194
"2018-04-12",45.689999,46.169998,45.650002,45.880001,13970300,45.690826
"2018-04-13",46.310001,46.529999,45.610001,46.080002,12493600,45.890003
"2018-04-16",46.029999,46.389999,45.599998,46.049999,11639000,46.049999
"2018-04-17",46.41,46.93,46.389999,46.66,10762700,46.66
"2018-04-18",46.68,47.290001,46.68,47.080002,11312900,47.080002
"2018-04-19",46.990002,47.110001,46.700001,46.82,8563200,46.82
"2018-04-20",46.470001,46.619999,45.98,46.23,15675600,46.23
"2018-04-23",46.380001,46.470001,45.720001,45.799999,14904400,45.799999
"2018-04-24",45.93,46.369999,45.279999,45.529999,13357000,45.529999
"2018-04-25",45.419998,45.84,45.049999,45.75,12637500,45.75
"2018-04-26",46.09,46.209999,45.900002,45.959999,12175800,45.959999
"2018-04-27",46.119999,46.119999,45.470001,45.529999,14420800,45.529999
"2018-04-30",45.66,46.02,45.560001,45.669998,13896600,45.669998
"2018-05-01",45.389999,45.950001,45.389999,45.950001,8838000,45.950001
"2018-05-02",45.889999,46.080002,45.470001,45.509998,10715200,45.509998
"2018-05-03",45.360001,45.389999,44.490002,45.060001,15370200,45.060001
"2018-05-04",44.93,45.919998,44.799999,45.709999,10571800,45.709999
"2018-05-07",45.939999,46.240002,45.779999,46.07,9006000,46.07
"2018-05-08",45.880001,45.990002,45.549999,45.939999,9830600,45.939999
"2018-05-09",46.23,46.68,45.98,46.580002,11822400,46.580002
"2018-05-10",46.799999,47.099998,46.610001,46.93,10974200,46.93
"2018-05-11",47.110001,47.150002,46.639999,46.82,9498100,46.82
"2018-05-14",46.810001,47.259998,46.689999,46.82,9689500,46.82
"2018-05-15",46.509998,46.82,46.25,46.810001,11304900,46.810001
"2018-05-16",46.93,46.93,46.450001,46.73,9874200,46.73
"2018-05-17",46.689999,47.060001,46.419998,46.540001,10162300,46.540001
"2018-05-18",46.689999,46.790001,46.240002,46.32,13517300,46.32
"2018-05-21",46.529999,47.290001,46.490002,47.209999,13416300,47.209999
"2018-05-22",47.240002,47.540001,46.310001,46.369999,18505100,46.369999
"2018-05-23",46.080002,46.970001,46.02,46.900002,8921500,46.900002
"2018-05-24",46.66,46.939999,46.139999,46.459999,12496400,46.459999
"2018-05-25",46.490002,47.169998,46.48,47,11354300,47
"2018-05-29",46.549999,46.799999,46.040001,46.259998,12367100,46.259998
"2018-05-30",46.630001,47.23,46.43,47.049999,11906500,47.049999
"2018-05-31",46.93,47.169998,46.709999,46.720001,13062400,46.720001
"2018-06-01",47.080002,47.360001,46.900002,47.349998,10797800,47.349998
"2018-06-04",47.48,47.57,47.23,47.32,12141000,47.32
"2018-06-05",47.330002,47.419998,46.810001,47.130001,13430900,47.130001
"2018-06-06",47.419998,47.810001,47.099998,47.75,13299100,47.75
"2018-06-07",47.93,48.029999,47.419998,47.68,13714100,47.68
"2018-06-08",47.41,48.380001,47.41,48.18,14515400,48.18
"2018-06-11",48.150002,48.389999,47.970001,48.189999,12521100,48.189999
"2018-06-12",48.209999,48.59,48.16,48.450001,14713600,48.450001
"2018-06-13",48.110001,48.669998,48.09,48.27,18053300,48.27
"2018-06-14",47.009998,47.02,45.66,45.900002,37001300,45.900002
"2018-06-15",45.869999,46.490002,45.189999,46.279999,28120400,46.279999
"2018-06-18",45.82,46.599998,45.459999,46.52,21474100,46.52
"2018-06-19",45.84,46.41,45.77,46.27,22764900,46.27
