"","open","high","low","close","volume","adjusted"
"2018-01-02",74.010002,74.300003,73.489998,73.980003,2830000,72.455254
"2018-01-03",74.040001,75.110001,74,75,3463300,73.454231
"2018-01-04",74.599998,74.989998,74.110001,74.959999,2706100,73.415054
"2018-01-05",74.830002,74.970001,74.25,74.550003,3240300,73.013512
"2018-01-08",74.599998,75.239998,74.410004,75.190002,3174600,73.64032
"2018-01-09",75.230003,75.440002,74.809998,74.889999,2985100,73.346497
"2018-01-10",74.900002,74.949997,74.139999,74.25,4094300,72.719688
"2018-01-11",74.639999,75.989998,74.269997,75.82,5061100,74.257332
"2018-01-12",76,76.760002,75.769997,76.529999,5781100,74.95269
"2018-01-16",76.779999,76.790001,75.269997,75.269997,4333100,73.718666
"2018-01-17",75.57,76.190002,74.959999,75.860001,3083300,74.296509
"2018-01-18",75.809998,76.099998,75.370003,75.389999,3012400,73.836189
"2018-01-19",75.449997,75.629997,75.099998,75.550003,3224800,73.992905
"2018-01-22",75.739998,77.629997,75.739998,77.629997,4309400,76.030022
"2018-01-23",77.449997,77.900002,77.220001,77.419998,3314000,75.824356
"2018-01-24",77.760002,78.089996,77.07,77.559998,3356100,75.961472
"2018-01-25",77.580002,77.769997,76.68,76.739998,2468700,75.158363
"2018-01-26",76.800003,77.300003,76.489998,77.18,2345900,75.589302
"2018-01-29",76.879997,77.190002,76.080002,76.239998,3014800,74.668671
"2018-01-30",75.480003,76.040001,74.68,74.760002,4415200,73.219185
"2018-01-31",74.860001,75.25,74.220001,74.970001,4626100,73.424858
"2018-02-01",75.019997,76.279999,74.989998,76.099998,3165300,74.531555
"2018-02-02",75.199997,75.199997,73.349998,73.580002,5505000,72.063507
"2018-02-05",72.989998,73.870003,70.050003,70.910004,5786800,69.448532
"2018-02-06",69.769997,71.660004,69.400002,71.220001,5616400,69.752136
"2018-02-07",71.480003,72.199997,69.849998,69.870003,5630300,68.429962
"2018-02-08",69.989998,70.160004,68.470001,68.470001,7126300,67.058823
"2018-02-09",69.040001,69.410004,65.709999,68.18,5440300,66.774796
"2018-02-12",68.889999,70.529999,68.889999,69.870003,3951700,68.429962
"2018-02-13",69.209999,70.169998,69.120003,69.720001,4519800,68.283051
"2018-02-14",66.620003,70.199997,66.599998,69.849998,8007800,68.41037
"2018-02-15",69.949997,70.050003,67.690002,69.43,5020800,67.999031
"2018-02-16",69.209999,69.410004,68.07,68.160004,5793600,66.755211
"2018-02-20",68.879997,68.879997,67.809998,67.989998,5107900,66.588707
"2018-02-21",67.989998,68.699997,67.190002,67.209999,5113600,65.824783
"2018-02-22",67.82,68.809998,67.360001,67.919998,3785300,66.520149
"2018-02-23",68.339996,68.849998,67.720001,68.32,3854700,66.911911
"2018-02-26",68.360001,68.419998,67.150002,67.269997,7385600,65.883545
"2018-02-27",67.610001,67.980003,66.75,66.75,6623600,65.374268
"2018-02-28",67.25,67.389999,65.589996,65.599998,8149600,64.247971
"2018-03-01",65.699997,66.389999,65.080002,65.629997,5519300,64.277344
"2018-03-02",65.120003,65.849998,64.239998,65.639999,3752500,64.28714
"2018-03-05",65.169998,66.379997,65.010002,65.919998,4746900,64.561371
"2018-03-06",66.449997,66.510002,65.559998,65.660004,4435300,64.306732
"2018-03-07",65.120003,65.709999,64.199997,65.190002,4694200,63.846424
"2018-03-08",64.389999,64.550003,62.470001,62.959999,9402600,62.399414
"2018-03-09",63.389999,63.759998,63.099998,63.669998,12059700,63.103092
"2018-03-12",63.75,64.540001,63.5,63.889999,7821500,63.321136
"2018-03-13",64.18,64.93,63.919998,64.199997,4840300,63.628372
"2018-03-14",64.540001,64.809998,63.93,64.040001,3466700,63.469803
"2018-03-15",64.339996,64.660004,63.209999,63.91,3226100,63.340958
"2018-03-16",64,64.470001,63.630001,64.449997,6189300,63.876148
"2018-03-19",64.07,64.209999,63.130001,63.650002,4686200,63.083275
"2018-03-20",63.900002,64.730003,63.610001,63.91,4877700,63.340958
"2018-03-21",64.239998,66.510002,64.209999,66.040001,4784800,65.451996
"2018-03-22",65.309998,65.980003,64.989998,65.18,6320700,64.599648
"2018-03-23",66,67.379997,65.360001,65.489998,6253700,64.906891
"2018-03-26",66.220001,67.279999,65.93,67.199997,3938800,66.601662
"2018-03-27",67.32,67.620003,65.440002,65.82,5378600,65.233948
"2018-03-28",65.959999,65.989998,62.98,63.150002,10391800,62.587727
"2018-03-29",63.580002,65.459999,63.450001,64.959999,7823500,64.381607
"2018-04-02",64.860001,65.160004,63.439999,64.669998,6816400,64.094193
"2018-04-03",64.879997,66.68,64.459999,66.629997,7486000,66.036736
"2018-04-04",65.75,66.690002,65.5,66.620003,6631900,66.026833
"2018-04-05",66.889999,68.029999,66.709999,67.769997,7941200,67.166588
"2018-04-06",67.43,68.110001,66.669998,67.529999,6898800,66.928726
"2018-04-09",68.080002,69.699997,67.599998,68.93,7918700,68.316261
"2018-04-10",69.900002,70.839996,69.540001,70.510002,7965100,69.882195
"2018-04-11",70.529999,71.949997,70.489998,71.68,4999400,71.041779
"2018-04-12",71.769997,72.25,71.360001,71.779999,4736800,71.140884
"2018-04-13",72.480003,73.82,72.309998,73.629997,6321800,72.974411
"2018-04-16",74.449997,74.980003,73.779999,74.910004,5205600,74.243019
"2018-04-17",74.949997,75.489998,74.550003,75.220001,4187700,74.550255
"2018-04-18",76.139999,76.660004,75.709999,75.919998,4276300,75.244019
"2018-04-19",76.209999,76.529999,75.57,75.989998,5457600,75.3134
"2018-04-20",75.800003,76.879997,75.459999,76.470001,5027900,75.789131
"2018-04-23",76.269997,77.260002,75.669998,77.239998,3220800,76.552269
"2018-04-24",77.449997,78.019997,76.900002,77.339996,4876800,76.651375
"2018-04-25",77.25,77.400002,76.360001,77.360001,5583100,76.671204
"2018-04-26",77.699997,77.779999,77.150002,77.599998,3672100,76.909065
"2018-04-27",77.099998,77.660004,76.760002,77.040001,2901700,76.35405
"2018-04-30",76.980003,78.110001,76.980003,77.260002,3742400,76.572098
"2018-05-01",76.959999,77.080002,75.970001,76.580002,3895000,75.898148
"2018-05-02",76.360001,77.160004,76.360001,76.830002,3978300,76.14592
"2018-05-03",76.629997,77.769997,76.230003,77.290001,4773200,76.60183
"2018-05-04",76.879997,78.120003,76.690002,77.709999,2975000,77.018082
"2018-05-07",78.209999,79.309998,77.269997,77.279999,5105400,76.591911
