"","open","high","low","close","volume","adjusted"
"2018-01-02",18.83,18.93,18.65,18.799999,2783800,18.459805
"2018-01-03",18.73,18.799999,18.57,18.719999,2472100,18.381252
"2018-01-04",18.860001,19.01,18.790001,18.84,2262700,18.499081
"2018-01-05",18.92,18.99,18.799999,18.940001,2132100,18.597273
"2018-01-08",18.93,18.98,18.75,18.969999,2626300,18.626728
"2018-01-09",19.040001,19.35,19,19.07,2768400,18.72492
"2018-01-10",19.17,19.5,19.08,19.25,2180700,18.901663
"2018-01-11",19.379999,19.49,19.25,19.48,1829300,19.127499
"2018-01-12",19.549999,19.629999,19.41,19.48,2098700,19.127499
"2018-01-16",19.6,19.6,19.299999,19.389999,2783400,19.039129
"2018-01-17",19.48,19.51,19.24,19.450001,2497000,19.098045
"2018-01-18",19.440001,19.559999,19.32,19.43,3653000,19.078405
"2018-01-19",19.870001,20.120001,19.58,20.08,6113000,19.716642
"2018-01-22",19.950001,20.07,19.82,20.02,3973900,19.657728
"2018-01-23",19.870001,20.110001,19.83,20.059999,2739400,19.697006
"2018-01-24",20.110001,20.139999,19.85,19.940001,2084100,19.579176
"2018-01-25",19.99,20.049999,19.860001,19.91,4205200,19.549721
"2018-01-26",19.92,20,19.75,19.92,2181500,19.559538
"2018-01-29",19.92,19.99,19.73,19.76,2300100,19.402435
"2018-01-30",19.709999,19.93,19.65,19.66,3315600,19.304243
"2018-01-31",19.59,19.75,19.49,19.67,6455600,19.485527
"2018-02-01",19.620001,19.83,19.52,19.809999,2966500,19.624214
"2018-02-02",19.74,19.99,19.6,19.629999,3028200,19.445902
"2018-02-05",19.549999,19.709999,19.01,19.01,6518400,18.831717
"2018-02-06",18.65,19.200001,18.280001,19.120001,5110400,18.940687
"2018-02-07",19.049999,19.389999,18.969999,19.200001,3538000,19.019936
"2018-02-08",19.190001,19.190001,18.559999,18.559999,3106300,18.385937
"2018-02-09",18.940001,19.040001,18.42,18.91,4113700,18.732655
"2018-02-12",18.969999,19.26,18.860001,19.07,2095300,18.891153
"2018-02-13",18.99,19.15,18.93,19.129999,1923000,18.95059
"2018-02-14",19.08,19.610001,19.02,19.58,2521500,19.396372
"2018-02-15",19.66,19.799999,19.610001,19.74,2684300,19.554871
"2018-02-16",19.639999,19.91,19.639999,19.84,2754000,19.653933
"2018-02-20",19.809999,19.9,19.52,19.620001,2071600,19.435997
"2018-02-21",19.6,19.99,19.540001,19.76,2179900,19.574684
"2018-02-22",19.83,19.92,19.370001,19.43,2341400,19.247778
"2018-02-23",19.469999,19.690001,19.440001,19.690001,1965500,19.505341
"2018-02-26",19.75,19.75,19.42,19.719999,2732700,19.535057
"2018-02-27",19.709999,19.92,19.450001,19.459999,2601600,19.277496
"2018-02-28",19.58,19.690001,19.129999,19.139999,2566200,18.960497
"2018-03-01",19.110001,19.32,19.01,19.16,3225300,18.98031
"2018-03-02",19.049999,19.459999,18.82,19.440001,2495600,19.257685
"2018-03-05",19.27,19.74,19.18,19.67,3574700,19.485527
"2018-03-06",19.719999,19.940001,19.57,19.9,1933600,19.713369
"2018-03-07",19.68,20,19.68,19.92,1968100,19.733183
"2018-03-08",19.93,20.01,19.6,19.77,1822400,19.584591
"2018-03-09",19.860001,20.15,19.790001,20.15,2536300,19.961025
"2018-03-12",20.120001,20.26,20.040001,20.110001,3034400,19.921402
"2018-03-13",20.200001,20.25,20.01,20.049999,2405600,19.861963
"2018-03-14",20.15,20.16,19.790001,19.82,3232600,19.634121
"2018-03-15",19.84,19.91,19.709999,19.77,3030100,19.584591
"2018-03-16",19.77,20.08,19.77,19.799999,9483300,19.614307
"2018-03-19",19.809999,19.83,19.4,19.620001,3514400,19.435997
"2018-03-20",19.67,19.790001,19.52,19.549999,2088100,19.366652
"2018-03-21",19.6,19.790001,19.469999,19.639999,2693500,19.455809
"2018-03-22",19.440001,19.48,18.889999,18.889999,3396300,18.712841
"2018-03-23",18.93,18.93,18.219999,18.25,3196100,18.078844
"2018-03-26",18.34,18.74,18.309999,18.690001,6138000,18.514719
"2018-03-27",18.780001,18.780001,18.200001,18.290001,4273100,18.118471
"2018-03-28",18.280001,18.639999,18.18,18.459999,2808900,18.286875
"2018-03-29",18.5,18.790001,18.5,18.66,3224500,18.484999
"2018-04-02",18.67,18.700001,18.09,18.370001,3430800,18.19772
"2018-04-03",18.440001,18.68,18.34,18.639999,3056900,18.465187
"2018-04-04",18.35,18.790001,18.35,18.75,2367700,18.574156
"2018-04-05",18.9,18.959999,18.74,18.809999,3992300,18.633593
"2018-04-06",18.709999,18.799999,18.200001,18.389999,4548200,18.217531
"2018-04-09",18.469999,18.76,18.33,18.35,2272600,18.177908
"2018-04-10",18.58,18.74,18.459999,18.66,2607300,18.484999
"2018-04-11",18.559999,18.690001,18.43,18.59,1913200,18.415657
"2018-04-12",18.65,18.9,18.639999,18.799999,2379900,18.623686
"2018-04-13",18.93,19.040001,18.5,18.57,2565200,18.395844
"2018-04-16",18.700001,18.77,18.540001,18.700001,1966500,18.524626
"2018-04-17",18.780001,18.85,18.34,18.440001,2367600,18.267063
"2018-04-18",18.469999,18.530001,18.24,18.34,4881200,18.168001
"2018-04-19",18.299999,18.389999,18.02,18.07,5603000,17.900532
"2018-04-20",18.25,18.35,18.110001,18.219999,4993800,18.049126
"2018-04-23",18.25,18.540001,18.200001,18.48,3039700,18.306686
"2018-04-24",18.540001,18.809999,18.41,18.59,4566700,18.415657
"2018-04-25",18.5,18.639999,18.33,18.469999,2666600,18.296782
"2018-04-26",18.42,18.59,18.35,18.459999,2238200,18.286875
"2018-04-27",18.469999,18.690001,18.459999,18.66,2342300,18.484999
"2018-04-30",18.57,18.610001,18.27,18.290001,3985800,18.290001
"2018-05-01",18.219999,18.440001,18.059999,18.379999,2439400,18.379999
"2018-05-02",18.299999,18.51,18.200001,18.280001,2478600,18.280001
"2018-05-03",18.200001,18.33,18.030001,18.23,2664600,18.23
"2018-05-04",18.059999,18.549999,18.040001,18.41,2573900,18.41
"2018-05-07",18.389999,18.629999,18.24,18.469999,3886400,18.469999
"2018-05-08",18.440001,18.629999,18.32,18.469999,4158500,18.469999
"2018-05-09",18.58,18.780001,18.51,18.639999,2414300,18.639999
"2018-05-10",18.700001,18.75,18.49,18.67,1766300,18.67
"2018-05-11",18.68,18.75,18.610001,18.639999,1238200,18.639999
"2018-05-14",18.68,18.74,18.49,18.57,1775700,18.57
"2018-05-15",18.57,18.93,18.5,18.77,3539600,18.77
"2018-05-16",18.700001,18.870001,18.629999,18.76,2127000,18.76
"2018-05-17",18.74,18.83,18.66,18.799999,1598300,18.799999
"2018-05-18",18.75,18.77,18.610001,18.629999,1879300,18.629999
"2018-05-21",18.690001,18.889999,18.639999,18.82,1981800,18.82
"2018-05-22",18.879999,19.15,18.799999,19.02,4065800,19.02
"2018-05-23",18.969999,19.07,18.83,18.889999,2006500,18.889999
"2018-05-24",18.860001,18.889999,18.52,18.879999,2251300,18.879999
"2018-05-25",18.74,18.860001,18,18.76,1891300,18.76
"2018-05-29",18.620001,18.700001,18.200001,18.32,3005300,18.32
"2018-05-30",18.48,18.690001,18.379999,18.610001,1983700,18.610001
