"","open","high","low","close","volume","adjusted"
"2018-01-02",11.25,11.44,11.22,11.4,2278600,11.226039
"2018-01-03",11.4,11.48,11.24,11.3,1125800,11.127565
"2018-01-04",11.36,11.47,11.22,11.39,1241400,11.216192
"2018-01-05",11.44,11.53,11.35,11.51,1105800,11.33436
"2018-01-08",11.55,11.66,11.37,11.63,1677700,11.452529
"2018-01-09",11.56,11.63,11.43,11.49,1310400,11.314666
"2018-01-10",11.44,11.71,11.4,11.63,1488600,11.452529
"2018-01-11",11.68,13.68,11.68,13.36,9752400,13.15613
"2018-01-12",13.1,13.25,12.52,13.18,4302100,12.978877
"2018-01-16",13.21,13.22,12.77,12.83,2180300,12.634217
"2018-01-17",12.98,13.08,12.83,12.95,1898300,12.752386
"2018-01-18",12.95,12.95,12.52,12.53,1982800,12.338795
"2018-01-19",12.55,12.7,12.47,12.66,1501900,12.466811
"2018-01-22",12.63,12.78,12.59,12.78,1256400,12.58498
"2018-01-23",12.71,12.9,12.65,12.86,1052000,12.663759
"2018-01-24",12.9,12.99,12.77,12.84,1345200,12.644065
"2018-01-25",12.84,12.87,12.61,12.81,1264400,12.614523
"2018-01-26",12.85,12.87,12.75,12.85,1505800,12.653913
"2018-01-29",12.76,12.9,12.7,12.79,1339000,12.594828
"2018-01-30",12.67,12.9,12.56,12.62,3017000,12.427422
"2018-01-31",13,14.8,13,14.11,9565100,13.894685
"2018-02-01",14.21,14.59,13.67,13.68,3629200,13.471247
"2018-02-02",13.52,13.54,12.98,12.99,3154300,12.791776
"2018-02-05",12.94,13.33,12.63,12.64,3231000,12.447117
"2018-02-06",12.39,12.96,12.25,12.75,3069500,12.555438
"2018-02-07",12.76,12.95,12.61,12.62,2140400,12.427422
"2018-02-08",12.65,12.72,12.2,12.2,2433100,12.013831
"2018-02-09",12.34,12.5,11.9,12.18,2521200,11.994137
"2018-02-12",12.26,12.36,12.13,12.3,1803800,12.112306
"2018-02-13",12.22,12.34,12.08,12.26,1871100,12.072916
"2018-02-14",12.17,12.45,12.14,12.32,2631600,12.132
"2018-02-15",12.19,12.37,12.06,12.28,2009100,12.28
"2018-02-16",12.23,12.47,12.23,12.34,1273400,12.34
"2018-02-20",12.27,12.55,12.27,12.36,1366700,12.36
"2018-02-21",12.42,12.56,12.28,12.28,1399700,12.28
"2018-02-22",12.37,12.51,12.25,12.28,3872000,12.28
"2018-02-23",12.39,12.65,12.3,12.64,1314400,12.64
"2018-02-26",12.64,12.76,12.46,12.71,1116900,12.71
"2018-02-27",12.71,12.93,12.52,12.57,1165900,12.57
"2018-02-28",12.65,12.65,12.4,12.4,1604900,12.4
"2018-03-01",12.43,12.59,12.25,12.48,1334200,12.48
"2018-03-02",12.39,12.86,12.28,12.82,1558100,12.82
"2018-03-05",12.74,12.86,12.55,12.83,2576300,12.83
"2018-03-06",12.83,13.09,12.39,13.04,3503500,13.04
"2018-03-07",12.91,13.09,12.83,12.96,1860900,12.96
"2018-03-08",13.01,13.08,12.7,12.79,1623600,12.79
"2018-03-09",12.92,12.94,12.81,12.87,1502200,12.87
"2018-03-12",12.83,12.91,12.63,12.71,1287600,12.71
"2018-03-13",12.75,12.8,12.6,12.67,4099700,12.67
"2018-03-14",12.75,12.78,12.5,12.54,2120500,12.54
"2018-03-15",12.54,12.63,12.49,12.49,941400,12.49
"2018-03-16",12.48,12.55,12.39,12.43,4154200,12.43
"2018-03-19",12.39,12.41,12.24,12.29,1396700,12.29
"2018-03-20",12.36,12.41,12.03,12.11,1360800,12.11
"2018-03-21",12.08,12.32,12.06,12.24,1223600,12.24
"2018-03-22",12.12,12.15,11.8,11.84,2705700,11.84
"2018-03-23",11.88,11.92,11.32,11.32,1269200,11.32
"2018-03-26",11.49,11.54,10.88,10.98,1780500,10.98
"2018-03-27",11,11.11,10.87,10.92,1582600,10.92
"2018-03-28",10.92,11.01,10.84,10.97,1105100,10.97
"2018-03-29",11.01,11.07,10.88,10.89,1446900,10.89
"2018-04-02",10.86,10.95,10.63,10.75,1930800,10.75
"2018-04-03",10.77,10.95,10.77,10.83,1715000,10.83
"2018-04-04",10.72,11.13,10.72,11.09,3317800,11.09
"2018-04-05",11.13,11.17,10.9,10.95,1889600,10.95
"2018-04-06",10.87,10.96,10.66,10.73,1152600,10.73
"2018-04-09",10.82,10.87,10.56,10.57,1306000,10.57
"2018-04-10",10.71,10.92,10.69,10.84,1199000,10.84
"2018-04-11",10.78,11.05,10.77,10.8,1713800,10.8
"2018-04-12",10.84,10.96,10.84,10.91,687600,10.91
"2018-04-13",11,11,10.71,10.74,929300,10.74
"2018-04-16",10.77,10.88,10.72,10.79,960600,10.79
"2018-04-17",10.87,11.03,10.81,10.92,3058700,10.92
"2018-04-18",10.93,11.01,10.84,10.96,1199300,10.96
"2018-04-19",10.96,11.09,10.92,10.95,1587500,10.95
"2018-04-20",10.97,11.1,10.66,10.73,1572300,10.73
"2018-04-23",10.72,10.89,10.7,10.73,866500,10.73
"2018-04-24",10.83,11.03,10.59,10.66,1719200,10.66
"2018-07-02",8.51,8.67,8.41,8.65,2003886,8.65
