"","open","high","low","close","volume","adjusted"
"2018-01-02",91.919998,91.93,90.550003,90.650002,7558900,89.139297
"2018-01-03",90.730003,91.089996,90.519997,90.540001,5863600,89.031128
"2018-01-04",90.830002,91.769997,90.610001,91.18,6322500,89.660461
"2018-01-05",91.269997,91.300003,90.57,91.239998,5949700,89.71946
"2018-01-08",90.93,91.769997,90.93,91.720001,4860700,90.191467
"2018-01-09",91.470001,91.650002,91.010002,91.050003,6630100,89.532639
"2018-01-10",90.910004,90.910004,90.010002,90.470001,6564700,88.962303
"2018-01-11",90.400002,90.519997,89.919998,90.150002,5469700,88.647629
"2018-01-12",90.050003,90.339996,89.349998,89.610001,8111000,88.116631
"2018-01-16",90.139999,90.769997,89.639999,90.220001,9465300,88.716461
"2018-01-17",90.559998,91.730003,90.43,91.199997,8323300,89.680122
"2018-01-18",90.239998,90.650002,89.669998,90.18,7699800,89.353157
"2018-01-19",90.279999,91.260002,90.239998,91.07,9364000,90.234993
"2018-01-22",90.879997,91.919998,90.769997,91.889999,8658000,91.047478
"2018-01-23",89.82,90.209999,88.599998,89.050003,18756300,88.233521
"2018-01-24",89.059998,89.160004,87.699997,88.309998,15141900,87.500298
"2018-01-25",88.68,89.050003,88.010002,88.339996,11264400,87.530022
"2018-01-26",88.169998,88.169998,87.230003,87.730003,11503100,86.925621
"2018-01-29",87.690002,87.739998,86.690002,86.860001,11685800,86.063599
"2018-01-30",86.82,87.440002,86.629997,86.949997,9662900,86.152771
"2018-01-31",86.809998,87.410004,86.080002,86.339996,11798100,85.548363
"2018-02-01",86.150002,86.5,85.559998,85.849998,8606300,85.062859
"2018-02-02",85.559998,85.610001,84.209999,84.25,12846300,83.477531
"2018-02-05",83.989998,84.370003,80.099998,81.059998,17462200,80.316772
"2018-02-06",80.529999,82.449997,80.120003,82.379997,19955500,81.624672
"2018-02-07",82.300003,83.389999,81.82,81.839996,11851800,81.089622
"2018-02-08",82.029999,82.220001,80.150002,80.220001,14596100,79.484482
"2018-02-09",80.980003,81.029999,78.589996,79.919998,18838800,79.187225
"2018-02-12",80.610001,81.669998,80.580002,81.330002,10769000,80.584305
"2018-02-13",81.150002,81.830002,80.910004,81.5,9278700,80.752739
"2018-02-14",81.059998,81.260002,80.269997,80.68,9412000,79.940262
"2018-02-15",80.970001,82.410004,80.5,82.410004,8910700,81.654404
"2018-02-16",82.209999,83.25,82.129997,82.599998,10371700,81.842659
"2018-02-20",82.190002,82.220001,81.07,81.339996,7087700,80.594208
"2018-02-21",81.309998,81.809998,80.190002,80.239998,9134500,79.504295
"2018-02-22",80.470001,81.279999,80.169998,80.839996,10277700,80.098793
"2018-02-23",81.010002,81.120003,80.480003,81.050003,10321800,80.30687
"2018-02-26",81.449997,81.690002,81.050003,81.629997,9422200,80.881546
"2018-02-27",81.889999,82,80.510002,80.540001,8919600,79.801544
"2018-02-28",80.68,80.790001,78.5,78.519997,16862000,77.800064
"2018-03-01",78.400002,79.279999,77.900002,78.699997,13504200,77.978409
"2018-03-02",78.480003,79.660004,78.419998,79.5,9317700,78.77108
"2018-03-05",79.279999,80.389999,79.150002,80.290001,8177000,79.553841
"2018-03-06",80.410004,80.419998,79.370003,80.019997,9085300,79.286308
"2018-03-07",79.529999,79.639999,78.900002,79.160004,9089500,78.434204
"2018-03-08",79.169998,79.989998,79.019997,79.970001,7951700,79.236771
"2018-03-09",80.18,80.75,79.900002,80.290001,7662200,79.553841
"2018-03-12",80.230003,80.620003,79.760002,79.860001,7182000,79.127777
"2018-03-13",80,80.190002,79.360001,79.720001,9620200,78.989067
"2018-03-14",79.690002,79.839996,78.860001,79,8898100,78.275665
"2018-03-15",79.089996,79.139999,78.540001,78.669998,6996900,77.948685
"2018-03-16",78.93,79.389999,78.839996,78.970001,17715400,78.245941
"2018-03-19",78.970001,79.57,78.269997,78.660004,8368200,77.938782
"2018-03-20",78.739998,79.099998,77.959999,78.309998,8465500,77.591988
"2018-03-21",78.050003,78.239998,76.879997,77.040001,9822800,76.333633
"2018-03-22",76.830002,77.519997,76.370003,76.410004,10481600,75.709412
"2018-03-23",76.790001,77.18,75.809998,75.910004,11728300,75.213997
"2018-03-26",76.57,76.870003,76.019997,76.410004,12937000,75.709412
"2018-03-27",76.529999,78.440002,76.300003,77.790001,11288200,77.076759
"2018-03-28",77.949997,79.139999,77.949997,78.839996,12857800,78.117126
"2018-03-29",79.43,80.489998,79.18,79.279999,10036400,78.553093
"2018-04-02",79.260002,79.370003,77.059998,77.400002,12017200,76.690338
"2018-04-03",77.559998,78.800003,77.18,78.459999,11933100,77.740616
"2018-04-04",77.82,79.519997,77.589996,79.050003,9030800,78.325211
"2018-04-05",79.089996,79.32,78.510002,78.800003,7864700,78.077499
"2018-04-06",78.370003,79.360001,77.900002,78.43,8300800,77.710892
"2018-04-09",78.800003,78.849998,77.57,78.160004,9031200,77.443367
"2018-04-10",78.709999,78.839996,77.940002,78.370003,6779000,77.651443
"2018-04-11",78.190002,78.690002,78.040001,78.269997,7143500,77.552353
"2018-04-12",78.639999,78.699997,77.790001,77.790001,8282300,77.076759
"2018-04-13",78.059998,78.440002,77.720001,78.370003,6198500,77.651443
"2018-04-16",78.559998,78.860001,78.040001,78.610001,5962200,77.889244
"2018-04-17",78.93,78.940002,78.099998,78.43,6492400,77.710892
"2018-04-18",78.580002,78.68,78.019997,78.199997,7349400,77.482994
"2018-04-19",75.389999,75.720001,74.199997,74.949997,16955600,74.949997
"2018-04-20",74.040001,74.919998,73.739998,73.800003,14085000,73.800003
"2018-04-23",73.589996,73.980003,72.760002,73,13653400,73
"2018-04-24",73.059998,73.330002,72.150002,72.5,16551700,72.5
"2018-04-25",72.410004,72.75,71.949997,72.300003,14208800,72.300003
"2018-04-26",72.57,73.010002,72.370003,72.75,11204300,72.75
"2018-04-27",72.529999,73.080002,72.209999,72.809998,8144800,72.809998
"2018-04-30",72.910004,72.919998,72.160004,72.339996,13076500,72.339996
"2018-05-01",72.050003,72.330002,71.660004,71.959999,8103800,71.959999
"2018-05-02",71.940002,72.010002,70.730003,70.940002,10830900,70.940002
"2018-05-03",70.809998,71.720001,70.739998,71.360001,9386500,71.360001
"2018-05-04",71.379997,72.620003,71.339996,72.43,8107400,72.43
"2018-05-07",72.669998,73.220001,71.889999,71.980003,6633600,71.980003
"2018-05-08",72.050003,72.120003,71.110001,71.440002,8084100,71.440002
"2018-05-09",71.769997,72.550003,71.739998,72.370003,7528400,72.370003
"2018-05-10",72.940002,73.339996,72.690002,73.150002,7618500,73.150002
"2018-05-11",73.629997,74.099998,73.050003,73.370003,7586200,73.370003
"2018-05-14",73.779999,73.779999,73.089996,73.279999,8646900,73.279999
"2018-05-15",73.309998,73.410004,72.599998,72.949997,11502800,72.949997
"2018-05-16",72.980003,73.93,72.959999,73.529999,8325000,73.529999
"2018-05-17",73.519997,74,73.400002,73.959999,8053600,73.959999
"2018-05-18",73.980003,74.07,73.110001,73.449997,7042700,73.449997
"2018-05-21",73.75,74.25,73.419998,74.059998,6428400,74.059998
"2018-05-22",74.459999,74.940002,73.830002,74.029999,7744200,74.029999
"2018-05-23",74.019997,74.300003,73.720001,74.18,6334100,74.18
"2018-05-24",74.080002,74.349998,73.589996,73.769997,6495600,73.769997
"2018-05-25",73.900002,74.620003,73.75,74.309998,7546500,74.309998
"2018-05-29",74.059998,74.699997,73.769997,74.050003,8889000,74.050003
"2018-05-30",74.330002,75.019997,74.050003,74.889999,8128600,74.889999
"2018-05-31",74.669998,74.690002,72.800003,73.169998,15526000,73.169998
"2018-06-01",73.330002,73.739998,72.860001,73.449997,7152400,73.449997
"2018-06-04",73.540001,74.620003,73.449997,74.18,8364000,74.18
"2018-06-05",74.279999,74.379997,73.599998,73.970001,6910100,73.970001
"2018-06-06",74.07,74.419998,73.720001,74.349998,7002900,74.349998
"2018-06-07",74.18,76.389999,74.099998,75.760002,13476100,75.760002
"2018-06-08",75.849998,77.209999,75.739998,77.18,13625300,77.18
"2018-06-11",76.970001,77.690002,76.879997,77.529999,9049400,77.529999
"2018-06-12",77.82,77.889999,77.110001,77.239998,8786000,77.239998
"2018-06-13",77.400002,77.400002,76.199997,76.470001,8022400,76.470001
"2018-06-14",76.559998,76.559998,75.699997,75.989998,8895200,75.989998
"2018-06-15",76.160004,77.510002,75.919998,77.379997,14943500,77.379997
"2018-06-18",76.860001,77.099998,75.389999,75.839996,7384900,75.839996
"2018-06-19",75.589996,76.68,75.57,76.330002,8514000,76.330002
"2018-06-20",76.349998,76.349998,75.540001,75.849998,6603500,75.849998
"2018-06-21",75.529999,77.050003,75.529999,76.440002,8691200,76.440002
"2018-06-22",76.790001,77.629997,76.769997,77.43,11446400,77.43
"2018-06-25",77.279999,77.940002,77.18,77.790001,11300500,77.790001
"2018-06-26",77.790001,78.309998,77.360001,78,9558500,78
"2018-06-27",78.110001,78.709999,77.559998,77.690002,7873300,77.690002
"2018-06-28",77.860001,78.32,77.660004,78.050003,5714400,78.050003
"2018-06-29",77.93,78.540001,77.290001,78.059998,7679900,78.059998
"2018-07-02",77.5,78.309998,77.419998,78.129997,6092800,78.129997
