"","open","high","low","close","volume","adjusted"
"2018-01-02",87.75,90.82,87.650002,89.690002,798200,89.480804
"2018-01-03",89.589996,89.93,88.860001,89.440002,868100,89.231392
"2018-01-04",91.580002,92.040001,89.589996,91.080002,1597700,90.867561
"2018-01-05",91.410004,91.720001,89.779999,91.18,662800,90.967331
"2018-01-08",91.389999,91.389999,87.730003,90.129997,1655100,89.919777
"2018-01-09",90.660004,91.120003,90.019997,90.839996,1057000,90.62812
"2018-01-10",90.43,90.879997,89.230003,90.080002,884900,89.869896
"2018-01-11",90.169998,92.160004,90.029999,91.989998,981100,91.775436
"2018-01-12",92.190002,92.75,91.089996,91.800003,559700,91.585884
"2018-01-16",91.190002,92.580002,90.379997,90.860001,848700,90.648071
"2018-01-17",90.720001,92.360001,90.5,91.599998,894100,91.386345
"2018-01-18",91.339996,91.739998,89.370003,91.690002,1036800,91.476143
"2018-01-19",92,92.230003,90.660004,91.879997,1239300,91.665695
"2018-01-22",91.660004,93.470001,91.529999,93.440002,765100,93.222061
"2018-01-23",92.599998,94.169998,92.379997,93.989998,919100,93.770767
"2018-01-24",94.050003,94.809998,92.699997,93.610001,723800,93.391663
"2018-01-25",94.260002,94.690002,93.720001,94.589996,692400,94.36937
"2018-01-26",95.059998,95.93,94.290001,95.150002,989300,94.92807
"2018-01-29",93.660004,95.040001,92.360001,92.360001,1287800,92.144577
"2018-01-30",90.709999,90.989998,89.639999,90.160004,889400,89.949707
"2018-01-31",90.269997,90.970001,89.489998,90.620003,1203200,90.408638
"2018-02-01",90.629997,92.300003,90.629997,90.959999,793200,90.747841
"2018-02-02",90.720001,91.059998,89.879997,90.400002,859900,90.189148
"2018-02-05",90.220001,90.660004,86.839996,86.889999,1216000,86.687332
"2018-02-06",86.339996,88.580002,85.839996,88.040001,1154900,87.834656
"2018-02-07",87.199997,88.43,86.980003,87.519997,744700,87.315857
"2018-02-08",87.139999,87.949997,84.440002,84.440002,1103200,84.24305
"2018-02-09",85.089996,86.260002,82.790001,85.309998,1059800,85.111015
"2018-02-12",85.949997,86.150002,84.419998,85.300003,1001700,85.101044
"2018-02-13",84.760002,86.690002,84.089996,85.809998,875500,85.609848
"2018-02-14",85.190002,87.339996,84.989998,86.660004,743200,86.45787
"2018-02-15",87.32,89.690002,86.699997,89.650002,800100,89.440895
"2018-02-16",89.269997,90.720001,89.199997,89.550003,781500,89.341133
"2018-02-20",88.730003,89.129997,86.860001,87.040001,1323300,86.836983
"2018-02-21",87.040001,88.800003,86.849998,87.099998,625600,86.896843
"2018-02-22",87.099998,88.720001,86.839996,87.07,705900,86.866913
"2018-02-23",87.5,88.419998,87.019997,88.25,739700,88.044159
"2018-02-26",88.440002,89.5,87.559998,88.300003,1133100,88.094048
"2018-02-27",85,85.529999,81.709999,82,2486000,81.808739
"2018-02-28",83.080002,83.449997,81.370003,81.459999,1788500,81.269997
"2018-03-01",80.980003,81.489998,78.5,79.57,2178400,79.57
"2018-03-02",80.5,84.529999,79.209999,82.989998,2456600,82.989998
"2018-03-05",82.650002,83.330002,80.800003,82.809998,1379600,82.809998
"2018-03-06",82.580002,82.919998,81.639999,82.419998,688900,82.419998
"2018-03-07",81.730003,83.32,81.419998,82.860001,623800,82.860001
"2018-03-08",83.599998,85.220001,83.309998,85.059998,901600,85.059998
"2018-03-09",85.730003,85.730003,83.919998,84.949997,1275900,84.949997
"2018-03-12",84.589996,86.419998,84.419998,86.139999,994700,86.139999
"2018-03-13",86.5,87.690002,86.080002,86.510002,789800,86.510002
"2018-03-14",86.720001,86.839996,85.040001,85.779999,858000,85.779999
"2018-03-15",85.970001,86.330002,84.040001,84.449997,935800,84.449997
"2018-03-16",84.589996,85.389999,84.010002,84.230003,1440200,84.230003
"2018-03-19",83.839996,84.18,81.459999,82.199997,1045300,82.199997
"2018-03-20",82.230003,82.230003,80.440002,80.760002,1143100,80.760002
"2018-03-21",80.5,82.919998,80.5,82.339996,758300,82.339996
"2018-03-22",81.449997,82.860001,81.32,81.550003,939300,81.550003
"2018-03-23",81.790001,82.300003,80.230003,80.370003,815300,80.370003
"2018-03-26",80.660004,82,79.57,81.900002,916100,81.900002
"2018-03-27",81.970001,83.300003,81.339996,81.93,1032400,81.93
"2018-03-28",82.449997,84.300003,82.449997,82.599998,988000,82.599998
"2018-03-29",82.620003,83.720001,82.279999,83.339996,711700,83.339996
"2018-04-02",82.949997,83.220001,80.339996,81.050003,1207400,81.050003
"2018-04-03",81.5,82.93,80.900002,82.82,1020200,82.82
"2018-04-04",81.489998,83.580002,81.309998,83.389999,742700,83.389999
"2018-04-05",83.889999,84.940002,83.050003,83.720001,975100,83.720001
"2018-04-06",83.400002,84.150002,81.190002,81.989998,1150400,81.989998
"2018-04-09",82.449997,83.910004,82.269997,82.889999,747800,82.889999
"2018-04-10",83.639999,84.849998,83.169998,84,786300,84
"2018-04-11",82.629997,83.370003,81.449997,81.940002,1855800,81.940002
"2018-04-12",82.25,82.620003,80.739998,80.860001,1162600,80.860001
"2018-04-13",81.050003,81.32,80.25,80.769997,923000,80.769997
"2018-04-16",81.160004,81.660004,80.870003,81.470001,1006100,81.470001
"2018-04-17",82.110001,82.629997,81.830002,82.480003,464400,82.480003
"2018-04-18",82.519997,83.260002,81.779999,82.769997,637200,82.769997
"2018-04-19",82.480003,82.949997,81.68,82.730003,819300,82.730003
"2018-04-20",82.510002,82.809998,80.919998,81.540001,652300,81.540001
"2018-04-23",82,82.339996,81.529999,81.910004,526200,81.910004
"2018-04-24",81.790001,82.849998,80.209999,80.489998,893800,80.489998
"2018-04-25",80.279999,80.529999,77.559998,77.82,1544400,77.82
"2018-04-26",78.449997,79.07,77.879997,78.599998,1379200,78.599998
"2018-04-27",78.5,79.860001,78.5,79.400002,1220900,79.400002
"2018-04-30",79.160004,79.669998,78.07,78.139999,834000,78.139999
"2018-05-01",77.839996,78.540001,77.550003,78.07,967500,78.07
"2018-05-02",77.82,78.129997,76.230003,76.32,1097000,76.32
"2018-05-03",76.489998,76.68,74.68,75.25,1939900,75.25
"2018-05-04",75.059998,76.459999,74.510002,76.260002,2309900,76.260002
"2018-05-07",76.279999,77.660004,76.279999,77.239998,1521600,77.239998
"2018-05-08",78.400002,79.559998,73.669998,74.5,2601600,74.5
"2018-05-09",74.540001,74.669998,72.620003,73.449997,1609200,73.449997
"2018-05-10",73.220001,76.120003,73.18,75.540001,1701800,75.540001
"2018-05-11",75.599998,78.029999,75.43,77.519997,1625300,77.519997
"2018-05-14",72.599998,75.370003,71.370003,74.940002,3174300,74.940002
"2018-05-15",74.370003,75.699997,73.900002,75.550003,1407700,75.550003
"2018-05-16",75.849998,76.290001,75.400002,75.68,743400,75.68
"2018-05-17",75.690002,76.370003,75.459999,75.860001,693300,75.860001
"2018-05-18",76.599998,76.610001,75.580002,76.209999,805300,76.209999
"2018-05-21",77.07,77.099998,75.440002,75.690002,860500,75.690002
"2018-05-22",75.779999,76.550003,75.660004,75.970001,734100,75.970001
"2018-05-23",75.459999,76.25,74.970001,75.160004,990300,75.160004
"2018-05-24",75.5,75.699997,74.629997,75.110001,1032000,75.110001
"2018-05-25",74.879997,75.480003,74.769997,75.239998,1170500,75.239998
"2018-05-29",74.440002,75.07,73.839996,74.199997,1074100,74.199997
"2018-05-30",75.099998,76.339996,74.970001,75.940002,980800,75.940002
"2018-05-31",75.400002,75.57,73.050003,73.160004,1786800,73.160004
"2018-06-01",73.639999,74.129997,72.800003,74.080002,1038100,74.080002
"2018-06-04",74.07,74.18,72.879997,73.800003,919800,73.800003
"2018-06-05",73.639999,74.620003,73.440002,74.010002,917400,74.010002
"2018-06-06",73.360001,74.099998,72.370003,73.220001,1393300,73.220001
"2018-06-07",73.510002,73.940002,73.050003,73.209999,1093500,73.209999
"2018-06-08",73.389999,73.790001,72.360001,73.260002,855600,73.260002
"2018-06-11",73.220001,74.32,72.669998,73.480003,1474500,73.480003
"2018-06-12",73.050003,74.5,73.019997,74.040001,1012700,74.040001
"2018-06-13",74.220001,74.650002,73.800003,74.309998,993900,74.309998
"2018-06-14",74.290001,75.129997,73.800003,74.830002,1444100,74.830002
"2018-06-15",74.370003,75.150002,73.940002,75.110001,2107500,75.110001
"2018-06-18",74.010002,74.739998,73.440002,74.360001,1256100,74.360001
"2018-06-19",73.800003,75.660004,73.760002,75.639999,879300,75.639999
"2018-06-20",76.050003,76.839996,75.5,75.860001,877400,75.860001
"2018-06-21",75.489998,75.82,74.550003,75.349998,911200,75.349998
"2018-06-22",75.779999,76.220001,75.400002,75.660004,1064100,75.660004
"2018-06-25",75.669998,75.910004,74.589996,75.120003,757600,75.120003
"2018-06-26",75.209999,75.220001,73.519997,74.5,1501500,74.5
"2018-06-27",74.239998,74.839996,73.709999,74.209999,1551200,74.209999
"2018-06-28",74.220001,74.669998,72.389999,73.129997,1106700,73.129997
