"","open","high","low","close","volume","adjusted"
"2018-01-02",101.660004,101.830002,101.07,101.75,1222300,100.319359
"2018-01-03",101.449997,102.800003,101.410004,102.43,1351700,100.989799
"2018-01-04",102.400002,102.720001,101.82,102.150002,1110600,100.713737
"2018-01-05",102.199997,102.349998,101.639999,102.160004,1752500,100.723595
"2018-01-08",102.5,102.5,101.459999,102.059998,1236500,100.624992
"2018-01-09",101.900002,102.25,101.370003,101.720001,1537000,100.28978
"2018-01-10",101.919998,102.410004,101.300003,102.080002,977500,100.644722
"2018-01-11",102.620003,102.620003,101.510002,102.370003,1358600,100.930641
"2018-01-12",102.540001,105.089996,102.5,104.970001,1849300,103.49408
"2018-01-16",104.540001,104.889999,103.169998,103.5,2601200,102.044754
"2018-01-17",103.949997,106.910004,103.830002,106.160004,2316200,104.667351
"2018-01-18",106.43,106.43,104.550003,105.290001,1514000,103.809586
"2018-01-19",105.529999,105.650002,104.82,105.629997,1657500,104.144798
"2018-01-22",105.589996,106.82,105.389999,106.660004,1348000,105.160324
"2018-01-23",106.900002,107.339996,106.559998,106.900002,1436500,105.39695
"2018-01-24",107.220001,107.470001,103.800003,104.629997,1945300,103.158859
"2018-01-25",105.010002,105.330002,103.970001,104.169998,1864000,102.705322
"2018-01-26",104.620003,106.919998,104.519997,106.589996,2645100,105.091301
"2018-01-29",106.120003,106.440002,103.949997,104.25,2563500,102.78421
"2018-01-30",103.050003,103.690002,101.889999,102.279999,2049800,100.841904
"2018-01-31",102.599998,102.949997,101.639999,102.400002,3388700,100.960213
"2018-02-01",102.330002,102.989998,99.669998,100.860001,3243600,99.441864
"2018-02-02",101.099998,101.099998,96.080002,97.010002,4492300,95.646004
"2018-02-05",95.82,99.57,93.550003,95.209999,4252500,93.871315
"2018-02-06",92.879997,97,92.699997,96.879997,2894200,95.51783
"2018-02-07",96.82,98.089996,95.589996,95.610001,2199700,94.265694
"2018-02-08",95.489998,95.519997,92.410004,92.440002,2621100,91.140259
"2018-02-09",93.120003,94.129997,89.139999,92.599998,2679300,91.298004
"2018-02-12",93.459999,94.769997,92.610001,93.589996,1809000,92.274086
"2018-02-13",93.239998,94.290001,92.959999,93.760002,1441200,92.441696
"2018-02-14",93.389999,93.809998,91.32,93.330002,4091300,92.017746
"2018-02-15",93.980003,94.400002,91.620003,92.769997,2639600,91.465614
"2018-02-16",91.779999,92.919998,90.949997,91.989998,2224800,91.386139
"2018-02-20",91.949997,92.580002,90.260002,90.989998,2957100,90.392708
"2018-02-21",91.059998,91.529999,89.559998,89.580002,2256700,88.991966
"2018-02-22",90.099998,91.199997,89.589996,90.129997,2905600,89.538353
"2018-02-23",90.589996,91.860001,90.110001,91.830002,2922000,91.227196
"2018-02-26",92.620003,93.230003,91.959999,92.519997,3391100,91.912659
"2018-02-27",92.769997,93.75,92.099998,92.120003,3183100,91.515289
"2018-02-28",92.949997,93.040001,90.339996,90.370003,3233800,89.776779
"2018-03-01",90.540001,91.919998,89.5,90.870003,3431900,90.273499
"2018-03-02",90.07,91.639999,89.790001,91.370003,1903800,90.770218
"2018-03-05",91.019997,93.220001,90.669998,93.059998,2953300,92.44912
"2018-03-06",93.550003,94.309998,92.75,93.93,2056500,93.313408
"2018-03-07",93.029999,95.040001,93.019997,94.220001,1791400,93.601509
"2018-03-08",94.230003,95.230003,93.550003,95.190002,2101300,94.56514
"2018-03-09",96,96.290001,95.43,95.910004,1776400,95.280411
"2018-03-12",95.709999,96.25,94.889999,94.989998,1310600,94.366447
"2018-03-13",95.110001,96.120003,94.110001,94.550003,1735500,93.929344
"2018-03-14",94.839996,95.309998,94.010002,94.209999,1607800,93.591568
"2018-03-15",94.639999,95.18,93.25,94.459999,2688200,93.839928
"2018-03-16",94.610001,96.019997,94.580002,95.790001,3193400,95.161201
"2018-03-19",95.139999,95.449997,93.889999,94.400002,1778400,93.780327
"2018-03-20",94.68,95.900002,94.580002,95.099998,2011800,94.475723
"2018-03-21",95.339996,96.980003,95.199997,96.150002,1623300,95.518837
"2018-03-22",95.230003,96.220001,94.5,94.699997,1401500,94.078354
"2018-03-23",95.120003,96.169998,93.080002,93.389999,1743600,92.776955
"2018-03-26",94.730003,96.110001,93.989998,96,1618800,95.36982
"2018-03-27",96.330002,97.290001,95.129997,95.709999,1533100,95.081726
"2018-03-28",95.769997,96.57,94.209999,94.330002,2399200,93.710785
"2018-03-29",94.93,96.5,94.870003,95.919998,1553000,95.290344
"2018-04-02",95.830002,96.209999,93.379997,94.949997,1677600,94.326706
"2018-04-03",95.400002,96.300003,94.779999,96.18,1511100,95.548637
"2018-04-04",94.989998,96.230003,92.68,95.989998,2492100,95.359886
"2018-04-05",96.75,98.260002,96.260002,97.769997,1856800,97.128197
"2018-04-06",97.459999,97.889999,95.919998,96.970001,2596300,96.33345
