"","open","high","low","close","volume","adjusted"
"2018-01-02",39.290001,39.59,39.029999,39.240002,885700,39.240002
"2018-01-03",39.349998,39.619999,38.950001,39.549999,973300,39.549999
"2018-01-04",39.75,40.099998,39.459999,39.860001,1219000,39.860001
"2018-01-05",39.91,39.91,39.209999,39.509998,1417800,39.509998
"2018-01-08",39.57,39.720001,38.700001,39.099998,1322800,39.099998
"2018-01-09",39.200001,39.369999,38.630001,38.639999,1753100,38.639999
"2018-01-10",38.700001,38.790001,38.060001,38.139999,1669800,38.139999
"2018-01-11",38.349998,39.16,38.139999,39.07,1614800,39.07
"2018-01-12",39.23,39.470001,38.950001,39.439999,1082900,39.439999
"2018-01-16",39.689999,39.790001,38.560001,38.689999,1248700,38.689999
"2018-01-17",39,39.029999,38.330002,38.73,987100,38.73
"2018-01-18",38.759998,39,38.459999,38.529999,1190100,38.529999
"2018-01-19",38.669998,39,38.369999,38.990002,1175600,38.990002
"2018-01-22",38.900002,39.27,38.849998,39.09,907600,39.09
"2018-01-23",39.029999,39.18,38.59,38.869999,1367100,38.869999
"2018-01-24",39.189999,39.310001,38.68,38.970001,1790900,38.970001
"2018-01-25",39.240002,39.240002,38.360001,38.889999,1451000,38.889999
"2018-01-26",39,39.139999,38.740002,39.139999,1343800,39.139999
"2018-01-29",39.110001,39.59,38.77,38.869999,890500,38.869999
"2018-01-30",38.580002,38.689999,38.049999,38.400002,1306900,38.400002
"2018-01-31",38.950001,39.09,38.290001,38.490002,1177700,38.490002
"2018-02-01",38.400002,38.580002,38.119999,38.259998,1406300,38.259998
"2018-02-02",38,38,36.07,36.09,2779700,36.09
"2018-02-05",35.77,36.25,34.240002,34.400002,2300000,34.400002
"2018-02-06",33.709999,35.360001,33.099998,35.18,2047200,35.18
"2018-02-07",35,35.599998,34.419998,34.450001,2807800,34.450001
"2018-02-08",34.48,34.490002,33.5,33.509998,2003400,33.509998
"2018-02-09",34.040001,34.23,32.700001,33.529999,2084800,33.529999
"2018-02-12",33.73,34.259998,33.48,33.98,1535700,33.98
"2018-02-13",33.75,34.009998,33.490002,33.720001,1020100,33.720001
"2018-02-14",33.439999,34.459999,33.299999,34.43,1345700,34.43
"2018-02-15",34.77,34.830002,34.119999,34.830002,933300,34.830002
"2018-02-16",34.73,35.450001,34.720001,35.07,1123600,35.07
"2018-02-20",34.91,35.330002,34.759998,34.950001,1451100,34.950001
"2018-02-21",34.919998,35.73,34.810001,34.84,2165900,34.84
"2018-02-22",36.25,37.220001,35.82,35.900002,3045900,35.900002
"2018-02-23",36.139999,36.139999,34.779999,35.669998,2007700,35.669998
"2018-02-26",35.650002,35.950001,35.310001,35.66,1648400,35.66
"2018-02-27",35.650002,36.099998,35.029999,35.040001,1702700,35.040001
"2018-02-28",35.18,35.290001,34.439999,34.439999,2337900,34.439999
"2018-03-01",34.32,34.619999,33.720001,33.860001,2162300,33.860001
"2018-03-02",33.52,34.299999,33.34,34.240002,1888300,34.240002
"2018-03-05",34.009998,34.549999,33.950001,34.220001,1419500,34.220001
"2018-03-06",34.330002,35.009998,34.209999,34.68,1686100,34.68
"2018-03-07",34.34,35.389999,34.34,35.169998,1898500,35.169998
"2018-03-08",35.23,35.400002,34.900002,35.169998,1745200,35.169998
"2018-03-09",35.459999,36.07,35.349998,35.990002,1020500,35.990002
"2018-03-12",35.990002,36.200001,35.689999,35.959999,898300,35.959999
"2018-03-13",36.119999,36.380001,35.27,35.459999,1355400,35.459999
"2018-03-14",35.619999,35.669998,35.009998,35.07,1435800,35.07
"2018-03-15",35.25,36.16,34.810001,35,3586200,35
"2018-03-16",34.959999,35.59,34.889999,35.360001,2128700,35.360001
"2018-03-19",35.25,35.439999,34.630001,34.939999,1572200,34.939999
"2018-03-20",35.049999,35.189999,34.939999,35.099998,1213900,35.099998
"2018-03-21",35.189999,36.27,35.189999,35.82,1391400,35.82
"2018-03-22",35.400002,35.84,34.32,34.389999,1546200,34.389999
"2018-03-23",34.5,34.610001,33.130001,33.209999,1490500,33.209999
"2018-03-26",33.779999,34.34,33.220001,34.25,1867600,34.25
"2018-03-27",34.43,34.52,33.82,34,1981400,34
"2018-03-28",34.09,34.18,33.709999,33.869999,1856300,33.869999
"2018-03-29",34.139999,34.610001,34.07,34.349998,1125500,34.349998
"2018-04-02",34.240002,34.349998,33.009998,33.529999,1282400,33.529999
"2018-04-03",33.630001,34.189999,33.400002,34.169998,1068400,34.169998
"2018-04-04",33.549999,34.57,33.549999,34.509998,1140100,34.509998
"2018-04-05",34.700001,34.950001,34.439999,34.599998,875500,34.599998
"2018-04-06",34.27,34.509998,33.119999,33.720001,1290400,33.720001
"2018-04-09",33.950001,34.040001,33.419998,33.459999,636000,33.459999
"2018-04-10",34,34.27,33.740002,34.169998,1204400,34.169998
"2018-04-11",33.84,34.150002,33.599998,33.98,786100,33.98
"2018-04-12",34.189999,34.5,34.099998,34.310001,631700,34.310001
"2018-04-13",34.529999,34.580002,34.049999,34.150002,1007400,34.150002
"2018-04-16",34.400002,34.75,34.23,34.540001,769600,34.540001
"2018-04-17",34.759998,35.060001,34.619999,34.68,1358900,34.68
"2018-04-18",34.799999,34.830002,34.23,34.580002,1314600,34.580002
"2018-04-19",34.580002,34.580002,34.07,34.279999,930200,34.279999
"2018-04-20",34.130001,34.490002,33.700001,33.810001,1524400,33.810001
"2018-04-23",33.810001,33.849998,33.459999,33.490002,1115700,33.490002
"2018-04-24",33.75,33.790001,32.66,32.709999,1649200,32.709999
"2018-04-25",32.709999,33.009998,32.529999,32.779999,1513100,32.779999
"2018-04-26",33,33,32.369999,32.830002,945400,32.830002
"2018-04-27",32.73,33.09,32.689999,32.919998,2014600,32.919998
"2018-04-30",33.049999,33.169998,32.5,32.5,1248700,32.5
"2018-05-01",32.57,32.880001,32.189999,32.810001,1517400,32.810001
"2018-05-02",32.77,33.290001,32.700001,32.810001,2115100,32.810001
"2018-05-03",34.049999,34.369999,32.540001,34.060001,3455800,34.060001
"2018-05-04",34.009998,35.099998,33.610001,34.950001,1672800,34.950001
"2018-05-07",35.130001,35.419998,34.84,35.139999,1456700,35.139999
"2018-05-08",35.25,35.709999,35.209999,35.529999,1062700,35.529999
"2018-05-09",35.82,36.130001,35.700001,36.080002,1443400,36.080002
"2018-05-10",36.150002,36.360001,35.77,36.259998,922300,36.259998
"2018-05-11",36.299999,36.549999,36.130001,36.380001,1335500,36.380001
"2018-05-14",36.419998,36.650002,36.380001,36.490002,1053000,36.490002
"2018-05-15",36.310001,36.580002,36.139999,36.5,999200,36.5
"2018-05-16",36.549999,36.970001,36.389999,36.740002,1168200,36.740002
"2018-05-17",36.650002,37.060001,36.639999,36.720001,1133100,36.720001
"2018-05-18",36.77,36.970001,36.610001,36.619999,677500,36.619999
"2018-05-21",36.84,37.029999,36.779999,36.919998,678100,36.919998
"2018-05-22",36.77,36.779999,36.16,36.189999,981200,36.189999
"2018-05-23",35.900002,36.110001,35.169998,35.630001,1295100,35.630001
"2018-05-24",35.529999,35.66,35.139999,35.599998,856000,35.599998
"2018-05-25",35.610001,35.66,35.369999,35.59,787700,35.59
"2018-05-29",35.380001,35.860001,35.23,35.619999,1553400,35.619999
