"","open","high","low","close","volume","adjusted"
"2018-01-02",55.810001,55.919998,55.380001,55.91,673800,55.394238
"2018-01-03",56,56.18,55.540001,55.810001,706700,55.295162
"2018-01-04",55.959999,56.48,55.939999,55.98,757100,55.463593
"2018-01-05",55.98,56.360001,55.830002,56.310001,780600,55.79055
"2018-01-08",56.459999,56.830002,55.91,56.77,665500,56.246304
"2018-01-09",56.73,57.119999,56.580002,56.630001,617300,56.107597
"2018-01-10",56.5,56.68,55.689999,55.790001,539900,55.275345
"2018-01-11",55.919998,56.610001,55.919998,56.59,539400,56.067966
"2018-01-12",56.740002,56.900002,56.139999,56.360001,747800,55.840088
"2018-01-16",56.799999,57.150002,55.400002,55.700001,828600,55.186176
"2018-01-17",56.18,57.259998,56.040001,57.119999,1236100,56.593075
"2018-01-18",56.73,56.889999,55.41,55.919998,1483600,55.404144
"2018-01-19",56.169998,57.049999,56.169998,57.02,773200,56.493999
"2018-01-22",56.82,57.5,56.450001,57.450001,958500,56.920033
"2018-01-23",57.189999,57.389999,56.599998,57.060001,597900,56.53363
"2018-01-24",57.360001,57.66,56.849998,57.43,741000,56.900215
"2018-01-25",57.419998,57.689999,57.009998,57.34,825000,56.811047
"2018-01-26",57.959999,58.57,57.369999,58.540001,917400,57.999977
"2018-01-29",58.349998,58.459999,57.490002,57.610001,1076000,57.078556
"2018-01-30",57.07,57.610001,56.799999,57.400002,1349000,56.870495
"2018-01-31",58.400002,60.59,57.790001,57.880001,2777400,57.346066
"2018-02-01",57.869999,59.09,57.689999,58.529999,1151800,57.990067
"2018-02-02",58,58.48,55.720001,56.240002,1995000,55.721195
"2018-02-05",55.900002,56.66,54.400002,54.41,2000100,53.908077
"2018-02-06",53.189999,56.389999,52.98,56.009998,1843700,55.493313
"2018-02-07",55.73,56.75,55.419998,56.220001,1844000,55.701378
"2018-02-08",56.330002,56.330002,52.220001,52.259998,1789000,51.777908
"2018-02-09",53.25,53.68,51.349998,53.220001,1622200,52.729057
"2018-02-12",53.580002,54.139999,53.02,53.599998,1211600,53.105545
"2018-02-13",53.369999,54.869999,53.369999,54.639999,1423000,54.135952
"2018-02-14",54.099998,56.389999,54.099998,56.119999,1242000,55.602299
"2018-02-15",56.5,56.610001,55.82,56.380001,1715300,55.859901
"2018-02-16",56.209999,57.150002,55.98,56.200001,769400,55.681564
"2018-02-20",55.779999,56.91,55.599998,56.32,1261900,55.800453
"2018-02-21",56.560001,58.310001,56.560001,57.57,2139800,57.038925
"2018-02-22",57.650002,58.299999,57.279999,57.330002,1849700,57.078751
"2018-02-23",57.540001,58,57.169998,57.849998,890100,57.596466
"2018-02-26",57.970001,57.970001,57.169998,57.68,1672100,57.427216
"2018-02-27",57.84,58.209999,57.419998,57.43,880800,57.17831
"2018-02-28",57.810001,58.110001,57.07,57.07,1644200,56.819889
"2018-03-01",56.91,57.57,56.07,56.75,1778300,56.501289
"2018-03-02",56.169998,58.099998,55.91,57.98,1521900,57.725899
