"","open","high","low","close","volume","adjusted"
"2018-01-02",10.77,10.98,10.59,10.94,10801500,10.94
"2018-01-03",11,11.29,10.7,11.17,14594600,11.17
"2018-01-04",11.3,11.94,11.21,11.79,19852800,11.79
"2018-01-05",11.71,11.72,11.31,11.61,14426900,11.61
"2018-01-08",11.59,11.93,11.5,11.86,9990300,11.86
"2018-01-09",11.87,12.11,11.63,12.06,15707600,12.06
"2018-01-10",12.09,12.14,11.76,11.83,12267200,11.83
"2018-01-11",11.9,12.4,11.77,12.12,16217100,12.12
"2018-01-12",12.15,12.34,12.01,12.2,12020400,12.2
"2018-01-16",12.2,12.21,11.45,11.47,17406200,11.47
"2018-01-17",11.55,11.73,11.45,11.61,10738900,11.61
"2018-01-18",11.68,11.74,11.3,11.32,11037200,11.32
"2018-01-19",11.29,11.65,11.1,11.6,12901200,11.6
"2018-01-22",11.61,11.99,11.59,11.93,12815700,11.93
"2018-01-23",11.92,11.95,11.56,11.72,10676500,11.72
"2018-01-24",11.78,11.8,11.37,11.5,12223700,11.5
"2018-01-25",11.5,11.58,11.16,11.32,17852700,11.32
"2018-01-26",11.36,11.38,11.15,11.16,8954400,11.16
"2018-01-29",11.15,11.25,10.9,11.01,12048500,11.01
"2018-01-30",10.86,11.01,10.71,10.99,19851800,10.99
"2018-01-31",10.98,11.01,10.69,10.79,11763100,10.79
"2018-02-01",10.85,11.46,10.83,11.02,17999100,11.02
"2018-02-02",10.91,10.95,10.3,10.32,13795900,10.32
"2018-02-05",10.14,10.4,9.73,9.79,18545700,9.79
"2018-02-06",9.69,10.18,9.61,10,23050600,10
"2018-02-07",9.99,10.29,9.64,9.64,16616300,9.64
"2018-02-08",9.87,9.91,9.17,9.18,23854100,9.18
"2018-02-09",9.27,9.42,8.7,9.36,24149200,9.36
"2018-02-12",9.39,9.66,9.3,9.51,16799700,9.51
"2018-02-13",9.45,9.5,9.18,9.22,14173100,9.22
"2018-02-14",9.03,9.4,8.95,9.3,14841200,9.3
"2018-02-15",9.37,9.39,9.03,9.23,14765300,9.23
"2018-02-16",9.14,9.32,9.04,9.09,15652500,9.09
"2018-02-20",9.13,9.41,9.02,9.09,13645200,9.09
"2018-02-21",9.03,9.4,8.92,9.01,16599100,9.01
"2018-02-22",9.16,9.53,9.16,9.36,13456400,9.36
"2018-02-23",9.5,9.72,9.45,9.7,12037700,9.7
"2018-02-26",9.75,9.81,9.46,9.67,11028300,9.67
"2018-02-27",9.72,10.05,9.61,9.62,14823400,9.62
"2018-02-28",9.69,9.71,9.06,9.11,15638600,9.11
"2018-03-01",9.08,9.43,9.07,9.36,16781900,9.36
"2018-03-02",9.2,9.49,9.09,9.48,10694500,9.48
"2018-03-05",9.34,9.79,9.34,9.65,10537600,9.65
"2018-03-06",9.69,9.87,9.46,9.54,15568800,9.54
"2018-03-07",9.41,9.6,9.24,9.39,10199000,9.39
"2018-03-08",9.4,9.48,9.23,9.44,7481300,9.44
"2018-03-09",9.5,9.8,9.5,9.58,12538800,9.58
"2018-03-12",9.56,10,9.56,9.9,14268100,9.9
"2018-03-13",9.94,10.1,9.75,9.79,13777800,9.79
"2018-03-14",9.82,9.9,9.69,9.78,10215400,9.78
"2018-03-15",9.8,9.87,9.44,9.54,14606100,9.54
"2018-03-16",9.68,9.97,9.63,9.88,19792900,9.88
"2018-03-19",9.81,9.89,9.45,9.64,12836900,9.64
"2018-03-20",9.66,9.8,9.6,9.69,12638100,9.69
"2018-03-21",9.75,10.47,9.72,10.41,24577400,10.41
"2018-03-22",10.21,10.3,10.02,10.03,13866600,10.03
"2018-03-23",10.08,10.47,10.05,10.18,13068700,10.18
"2018-03-26",10.28,10.3,9.77,10.06,10322400,10.06
"2018-03-27",10.09,10.19,9.78,9.85,9368400,9.85
"2018-03-28",9.83,9.86,9.6,9.76,11083400,9.76
"2018-03-29",9.78,9.96,9.75,9.9,10635100,9.9
"2018-04-02",9.82,9.87,9.42,9.63,11909500,9.63
"2018-04-03",9.68,9.83,9.45,9.81,11549000,9.81
"2018-04-04",9.6,9.7,9.36,9.59,12852300,9.59
"2018-04-05",9.64,10.11,9.62,9.98,12822200,9.98
"2018-04-06",9.9,10.06,9.6,9.72,12565900,9.72
"2018-04-09",9.79,9.92,9.65,9.9,9079900,9.9
"2018-04-10",10.1,10.65,10.09,10.51,21458500,10.51
"2018-04-11",10.51,11.3,10.46,11.18,31727000,11.18
"2018-04-12",11.03,11.22,10.72,11.1,22114300,11.1
"2018-04-13",11.09,11.74,11.06,11.59,23828100,11.59
"2018-04-16",11.49,11.88,11.36,11.82,21069700,11.82
"2018-04-17",11.77,12.12,11.67,12.01,22777600,12.01
"2018-04-18",12.19,12.68,12.16,12.43,26143200,12.43
"2018-04-19",12.51,12.75,12.27,12.54,23426800,12.54
"2018-04-20",12.45,12.46,12.02,12.34,15045100,12.34
"2018-04-23",12.28,12.54,12.1,12.48,11060900,12.48
