"","open","high","low","close","volume","adjusted"
"2018-01-02",5.91,6.01,5.84,5.93,12796400,5.93
"2018-01-03",5.99,6.01,5.89,5.9,13298200,5.9
"2018-01-04",5.87,5.89,5.5,5.63,35177000,5.63
"2018-01-05",5.71,5.82,5.69,5.8,15941900,5.8
"2018-01-08",5.8,5.94,5.79,5.8,16268000,5.8
"2018-01-09",5.85,5.94,5.64,5.69,25999300,5.69
"2018-01-10",5.67,5.77,5.61,5.62,14294200,5.62
"2018-01-11",5.63,5.8,5.61,5.69,17627300,5.69
"2018-01-12",5.73,5.76,5.65,5.69,18428100,5.69
"2018-01-16",5.71,5.74,5.6,5.6,15117000,5.6
"2018-01-17",5.6,5.63,5.43,5.49,17847300,5.49
"2018-01-18",5.46,5.49,5.24,5.34,27041900,5.34
"2018-01-19",5.34,5.54,5.3,5.47,23097400,5.47
"2018-01-22",5.49,5.49,5.28,5.32,19616300,5.32
"2018-01-23",5.25,5.32,5.1,5.3,23209500,5.3
"2018-01-24",5.31,5.35,5.24,5.26,11924100,5.26
"2018-01-25",5.26,5.36,5.24,5.34,12465200,5.34
"2018-01-26",5.34,5.38,5.26,5.37,10685500,5.37
"2018-01-29",5.33,5.34,5.25,5.27,9450200,5.27
"2018-01-30",5.26,5.3,5.2,5.29,10128500,5.29
"2018-01-31",5.31,5.33,5.22,5.33,12501500,5.33
"2018-02-01",5.26,5.28,4.91,5.1,42406100,5.1
"2018-02-02",5.5,5.51,5.21,5.36,36195200,5.36
"2018-02-05",5.36,5.42,5.1,5.13,20358100,5.13
"2018-02-06",5.06,5.24,5.01,5.1,17242100,5.1
"2018-02-07",5.18,5.62,5.17,5.51,35559400,5.51
"2018-02-08",5.51,5.64,5.32,5.37,26664900,5.37
"2018-02-09",5.43,5.44,5.1,5.3,18697100,5.3
"2018-02-12",5.34,5.41,5.25,5.27,7369300,5.27
"2018-02-13",5.28,5.32,5.19,5.26,9609600,5.26
"2018-02-14",5.26,5.34,5.2,5.31,9404900,5.31
"2018-02-15",5.35,5.52,5.3,5.49,10395900,5.49
"2018-02-16",5.49,5.49,5.31,5.39,12454200,5.39
"2018-02-20",5.37,5.5,5.35,5.45,12713100,5.45
"2018-02-21",5.44,5.57,5.34,5.35,11694100,5.35
"2018-02-22",5.35,5.38,5.21,5.23,12633300,5.23
"2018-02-23",5.21,5.31,5.18,5.3,9001800,5.3
"2018-02-26",5.3,5.38,5.24,5.35,8645300,5.35
"2018-02-27",5.33,5.39,5.25,5.25,11012100,5.25
"2018-02-28",5.28,5.34,5.17,5.19,15507200,5.19
"2018-03-01",5.19,5.28,5.18,5.25,11058100,5.25
"2018-03-02",5.21,5.29,5.16,5.29,7643800,5.29
"2018-03-05",5.26,5.42,5.25,5.38,8280500,5.38
"2018-03-06",5.39,5.44,5.29,5.35,7258300,5.35
"2018-03-07",5.31,5.39,5.27,5.31,7781900,5.31
"2018-03-08",5.34,5.36,5.23,5.31,9488200,5.31
"2018-03-09",5.33,5.35,5.28,5.3,6919100,5.3
"2018-03-12",5.31,5.34,5.26,5.32,8572200,5.32
"2018-03-13",5.28,5.32,5.18,5.29,10462700,5.29
"2018-03-14",5.31,5.31,5.22,5.27,9718000,5.27
"2018-03-15",5.29,5.33,5.22,5.26,11020400,5.26
"2018-03-16",5.26,5.38,5.21,5.36,17391800,5.36
"2018-03-19",5.35,5.37,5.21,5.25,12286300,5.25
"2018-03-20",5.2,5.23,5.15,5.19,14429000,5.19
"2018-03-21",5.2,5.25,5.09,5.16,15150300,5.16
"2018-03-22",5.12,5.17,4.99,5.03,13358300,5.03
"2018-03-23",5.05,5.08,4.88,4.92,10828800,4.92
"2018-03-26",4.96,5.02,4.9,5.01,7687200,5.01
"2018-03-27",5.03,5.04,4.87,4.89,9450600,4.89
"2018-03-28",4.88,4.92,4.81,4.86,11823600,4.86
"2018-03-29",4.86,5,4.81,4.88,11720900,4.88
"2018-04-02",4.86,4.96,4.81,4.85,11147600,4.85
"2018-04-03",4.86,4.98,4.84,4.96,11246000,4.96
"2018-04-04",4.87,5.11,4.87,5.06,12616200,5.06
"2018-04-05",5.06,5.22,5,5.17,9652500,5.17
"2018-04-06",5.14,5.23,5.1,5.15,8814800,5.15
"2018-04-09",5.17,5.22,5.12,5.14,7161400,5.14
"2018-04-10",5.2,6.41,5.14,6.02,73223700,6.02
"2018-04-11",6.01,6.15,5.78,6,38594600,6
"2018-04-12",6,6.08,5.85,5.88,12984600,5.88
"2018-04-13",5.89,5.92,5.74,5.78,13639500,5.78
"2018-04-16",5.78,5.87,5.71,5.85,6573400,5.85
"2018-04-17",5.9,6.07,5.86,5.95,14118800,5.95
"2018-04-18",6,6.05,5.95,6,6667800,6
"2018-04-19",6.05,6.12,5.94,5.96,10215900,5.96
"2018-04-20",5.97,6.04,5.92,6,7741600,6
"2018-04-23",5.98,6,5.84,5.88,6798500,5.88
"2018-04-24",5.9,5.97,5.85,5.91,7370400,5.91
"2018-04-25",5.92,6.04,5.76,6.02,11419800,6.02
"2018-04-26",6.02,6.03,5.92,6,7998900,6
"2018-04-27",6.46,6.62,6.29,6.5,58327200,6.5
"2018-04-30",5.83,5.96,5.5,5.61,106777700,5.61
"2018-05-01",5.61,5.68,5.39,5.42,44033700,5.42
"2018-05-02",5.44,5.52,5.1,5.17,51285100,5.17
"2018-05-03",5.25,5.26,5.07,5.21,27485900,5.21
"2018-05-04",5.18,5.32,5.16,5.28,20653000,5.28
"2018-05-07",5.31,5.35,5.16,5.24,25690100,5.24
"2018-05-08",5.21,5.29,5.11,5.15,18872700,5.15
"2018-05-09",5.15,5.21,5.12,5.18,16988000,5.18
"2018-05-10",5.2,5.22,5.11,5.18,17663900,5.18
"2018-05-11",5.2,5.23,5.15,5.16,8357900,5.16
"2018-05-14",5.16,5.19,5.11,5.14,13476400,5.14
"2018-05-15",5.14,5.16,5.07,5.13,14245400,5.13
"2018-05-16",5.14,5.15,5.06,5.07,11269400,5.07
"2018-05-17",5.08,5.1,5.05,5.09,8155900,5.09
"2018-05-18",5.09,5.12,5.04,5.11,13960300,5.11
"2018-05-21",5.13,5.18,5.08,5.16,10517300,5.16
"2018-05-22",5.16,5.24,5.15,5.18,11234100,5.18
"2018-05-23",5.19,5.22,5.1,5.14,9461800,5.14
"2018-05-24",5.11,5.19,5.11,5.16,6766800,5.16
"2018-05-25",5.18,5.18,5.11,5.15,6444600,5.15
"2018-05-29",5.11,5.2,5.09,5.13,9955200,5.13
"2018-05-30",5.14,5.27,5.13,5.22,20029400,5.22
"2018-05-31",5.2,5.21,5.1,5.14,17476800,5.14
"2018-06-01",5.15,5.23,5.14,5.2,12886900,5.2
"2018-06-04",5.21,5.25,5.17,5.23,9499000,5.23
"2018-06-05",5.22,5.28,5.2,5.22,4978000,5.22
"2018-06-06",5.24,5.26,5.21,5.23,11475500,5.23
"2018-06-07",5.24,5.28,5.2,5.22,12809000,5.22
"2018-06-08",5.22,5.23,5.15,5.17,7565800,5.17
"2018-06-11",5.17,5.26,5.12,5.26,7745000,5.26
"2018-06-12",5.27,5.32,5.23,5.31,9747200,5.31
"2018-06-13",5.45,5.46,5.35,5.38,24037800,5.38
"2018-06-14",5.4,5.47,5.38,5.46,8839200,5.46
"2018-06-15",5.45,5.51,5.4,5.49,12451300,5.49
"2018-06-18",5.47,5.55,5.43,5.55,9201400,5.55
"2018-06-19",5.48,5.6,5.41,5.53,8850700,5.53
"2018-06-20",5.59,5.59,5.45,5.47,13351600,5.47
"2018-06-21",5.5,5.5,5.3,5.35,12508200,5.35
"2018-06-22",5.37,5.55,5.37,5.5,18859500,5.5
"2018-06-25",5.51,5.51,5.31,5.32,11600600,5.32
"2018-06-26",5.37,5.41,5.28,5.4,6840900,5.4
"2018-06-27",5.38,5.5,5.35,5.41,8515400,5.41
"2018-06-28",5.42,5.48,5.35,5.47,11813000,5.47
"2018-06-29",5.49,5.5,5.4,5.44,6216300,5.44
"2018-07-02",5.4,5.46,5.38,5.43,7167700,5.43
