"","open","high","low","close","volume","adjusted"
"2018-01-02",51.549999,51.610001,50.959999,51.439999,7220800,51.253712
"2018-01-03",51.200001,51.77,51.040001,51.52,5522700,51.333427
"2018-01-04",51.93,52.48,51.639999,51.810001,5310400,51.622375
"2018-01-05",51.990002,52.049999,51.470001,52.009998,5696200,51.821651
"2018-01-08",51.900002,52.330002,51.84,52.240002,4803600,52.050819
"2018-01-09",52.41,53.59,52.32,53.34,6660600,53.146835
"2018-01-10",53.48,54.48,53.349998,53.560001,9043300,53.366039
"2018-01-11",53.75,54.23,53.240002,54.169998,5379300,53.973827
"2018-01-12",54.66,55.52,54.66,55.389999,7517000,55.189407
"2018-01-16",55.73,56.130001,54.970001,55.529999,9365300,55.328903
"2018-01-17",55.610001,56.25,54.52,56.09,8298500,55.886875
"2018-01-18",55.779999,56.220001,55.139999,55.330002,5837300,55.129631
"2018-01-19",55.439999,55.599998,55.150002,55.48,7439500,55.279083
"2018-01-22",55.400002,55.610001,54.73,55.439999,7245600,55.239227
"2018-01-23",55.16,55.860001,55.029999,55.32,7011500,55.119663
"2018-01-24",55.75,55.869999,54.959999,55.389999,6351400,55.189407
"2018-01-25",55.610001,55.66,53.990002,54.18,7453700,53.983791
"2018-01-26",54.369999,54.43,53.740002,54.27,8782000,54.073467
"2018-01-29",54.360001,54.75,53.869999,54.049999,8052400,53.854259
"2018-01-30",53.759998,54.380001,53.200001,53.200001,8368000,53.007343
"2018-01-31",53.439999,53.810001,53.07,53.34,7737200,53.146835
"2018-02-01",53.279999,54.919998,53.139999,54.91,6938100,54.711147
"2018-02-02",54.75,55.049999,53.139999,53.34,9097600,53.146835
"2018-02-05",52.540001,54.099998,50.950001,51.290001,11267100,51.104259
"2018-02-06",50,53.16,49.150002,52.860001,14434800,52.668571
"2018-02-07",51.790001,53.02,51.639999,52.029999,10182200,51.841576
"2018-02-08",51.990002,52.169998,48.900002,48.900002,11895200,48.816738
"2018-02-09",50.209999,50.52,48.040001,50.119999,12923600,50.034657
"2018-02-12",50.720001,51.5,50.43,50.939999,7561300,50.85326
"2018-02-13",50.630001,51.220001,50.290001,51.150002,6467100,51.062908
"2018-02-14",50.950001,52.610001,50.900002,52.400002,5995500,52.31078
"2018-02-15",52.919998,53.130001,51.66,52.330002,4921400,52.240898
"2018-02-16",52.040001,52.59,51.720001,52.169998,5886200,52.081165
"2018-02-20",51.950001,52.720001,51.950001,52.34,4671500,52.250881
"2018-02-21",52.279999,53.130001,52.209999,52.299999,5896600,52.210945
"2018-02-22",52.689999,53.09,51.849998,52.029999,6315600,51.941406
"2018-02-23",52.200001,52.759998,52.029999,52.740002,5252800,52.6502
"2018-02-26",53,53.73,52.52,53.73,5767300,53.638512
"2018-02-27",53.740002,55.389999,53.740002,53.799999,8601900,53.708393
"2018-02-28",54,54.509998,53,53.02,5915600,52.929722
"2018-03-01",52.900002,53.490002,51.490002,52.049999,7096100,51.961372
"2018-03-02",51.560001,52.759998,50.470001,52.630001,8586600,52.540386
"2018-03-05",51.959999,53.84,51.799999,53.610001,5762400,53.518719
"2018-03-06",53.700001,54.740002,53.349998,54.73,7464500,54.63681
"2018-03-07",53.939999,55.470001,53.150002,55.43,7656100,55.335617
"2018-03-08",55.669998,55.970001,54.889999,55.91,8160800,55.8148
