"","open","high","low","close","volume","adjusted"
"2018-01-02",3.58,3.78,3.52,3.78,1300100,3.78
"2018-01-03",3.72,3.9,3.72,3.76,1440900,3.76
"2018-01-04",3.76,3.8,3.46,3.58,2528400,3.58
"2018-01-05",3.59,3.68,3.48,3.48,1692600,3.48
"2018-01-08",3.57,3.63,3.37,3.42,1817900,3.42
"2018-01-09",3.41,3.42,3.09,3.13,2874300,3.13
"2018-01-10",3.23,3.43,3.16,3.29,4574200,3.29
"2018-01-11",3.25,3.74,3.2,3.32,8342900,3.32
"2018-01-12",3.35,3.64,3.33,3.6,3410100,3.6
"2018-01-16",3.66,3.77,3.51,3.52,1702100,3.52
"2018-01-17",3.5,3.65,3.46,3.51,1542400,3.51
"2018-01-18",3.48,3.75,3.39,3.67,1825900,3.67
"2018-01-19",3.67,3.74,3.56,3.63,1272800,3.63
"2018-01-22",3.6,3.65,3.41,3.45,1620000,3.45
"2018-01-23",3.56,3.58,3.33,3.41,1799900,3.41
"2018-01-24",3.43,3.43,3.12,3.13,2441900,3.13
"2018-01-25",3.16,3.18,2.75,2.78,3899400,2.78
"2018-01-26",2.8,2.8,2.49,2.54,4806200,2.54
"2018-01-29",2.55,2.8,2.37,2.57,3393400,2.57
"2018-01-30",2.51,2.66,2.47,2.66,2048600,2.66
"2018-01-31",2.64,2.68,2.54,2.57,865400,2.57
"2018-02-01",2.52,2.6,2.4,2.49,1895600,2.49
"2018-02-02",2.44,2.46,2.31,2.35,2071600,2.35
"2018-02-05",2.31,2.32,2.2,2.22,1939200,2.22
"2018-02-06",2.14,2.34,2.11,2.28,1667000,2.28
"2018-02-07",2.26,2.31,2.17,2.26,1181300,2.26
"2018-02-08",2.23,2.3,2.09,2.11,1451500,2.11
"2018-02-09",2.12,2.21,2.06,2.15,964200,2.15
"2018-02-12",2.15,2.18,1.99,2.07,2396900,2.07
"2018-02-13",2.06,2.35,2.05,2.27,2216900,2.27
"2018-02-14",2.27,2.36,2.13,2.3,1634000,2.3
"2018-02-15",2.45,2.73,2.23,2.63,5035100,2.63
"2018-02-16",2.62,2.85,2.55,2.61,2574800,2.61
"2018-02-20",2.64,2.75,2.28,2.33,2417600,2.33
"2018-02-21",2.35,2.42,2.3,2.36,1424000,2.36
"2018-02-22",2.41,2.45,2.31,2.33,827100,2.33
"2018-02-23",2.36,2.5,2.33,2.43,893300,2.43
"2018-02-26",2.45,2.6,2.4,2.58,1056300,2.58
"2018-02-27",2.66,2.76,2.52,2.57,1351400,2.57
"2018-02-28",2.57,2.6,2.35,2.42,1105700,2.42
"2018-03-01",2.41,2.51,2.33,2.47,985700,2.47
"2018-03-02",2.45,2.74,2.4,2.73,1876900,2.73
"2018-03-05",2.73,2.75,2.5,2.55,1675200,2.55
"2018-03-06",2.54,2.58,2.37,2.46,1544900,2.46
"2018-03-07",2.44,2.5,2.35,2.42,1254600,2.42
"2018-03-08",2.41,2.48,2.38,2.43,628500,2.43
"2018-03-09",2.42,2.64,2.41,2.56,1666900,2.56
"2018-03-12",2.58,2.72,2.37,2.44,1347100,2.44
"2018-03-13",2.5,2.65,2.45,2.55,1657900,2.55
"2018-03-14",2.56,2.61,2.38,2.42,1424400,2.42
"2018-03-15",2.5,2.57,2.19,2.26,3699500,2.26
"2018-03-16",2.29,2.4,2.21,2.32,3562300,2.32
"2018-03-19",2.34,2.36,2.21,2.33,1165100,2.33
"2018-03-20",2.33,2.36,2.21,2.29,1086400,2.29
"2018-03-21",2.28,2.42,2.28,2.32,1269300,2.32
"2018-03-22",2.31,2.33,2.17,2.3,1352100,2.3
"2018-03-23",2.28,2.28,2.16,2.18,1116400,2.18
"2018-03-26",2.24,2.33,2.17,2.33,1322300,2.33
"2018-03-27",2.3,2.6,2.29,2.5,2863700,2.5
"2018-03-28",2.5,2.87,2.5,2.81,3134500,2.81
"2018-03-29",2.81,3.18,2.6,2.67,3707400,2.67
"2018-04-02",2.68,2.88,2.49,2.59,1682100,2.59
"2018-04-03",2.6,2.79,2.57,2.69,1357800,2.69
"2018-04-04",2.66,2.9,2.62,2.89,1349600,2.89
"2018-04-05",2.89,3.07,2.74,2.97,1454800,2.97
"2018-04-06",2.95,3.06,2.86,2.88,818300,2.88
"2018-04-09",2.89,2.98,2.82,2.82,795600,2.82
"2018-04-10",2.88,3.1,2.84,3.07,1560600,3.07
"2018-04-11",3.05,3.45,3.05,3.3,3284600,3.3
"2018-04-12",3.34,3.54,3.27,3.4,2160100,3.4
"2018-04-13",3.42,3.53,3.31,3.32,1206300,3.32
"2018-04-16",3.34,3.59,3.32,3.35,1738800,3.35
"2018-04-17",3.36,3.48,3,3.03,1647600,3.03
"2018-04-18",3.06,3.19,3.06,3.15,699700,3.15
"2018-04-19",3.13,3.2,2.93,3.05,934100,3.05
"2018-04-20",3.02,3.11,2.9,3.01,820800,3.01
"2018-04-23",3.24,3.28,3.04,3.24,2365200,3.24
"2018-04-24",3.26,3.39,3.09,3.32,1422900,3.32
"2018-04-25",3.26,3.31,3.17,3.22,687600,3.22
"2018-04-26",3.23,3.28,3.17,3.22,433900,3.22
"2018-04-27",3.2,3.28,3.11,3.16,718400,3.16
"2018-04-30",3.16,3.16,2.98,2.99,1064100,2.99
"2018-05-01",2.99,3.02,2.88,3,861400,3
"2018-05-02",3.01,3.15,2.98,3.05,718500,3.05
"2018-05-03",3.05,3.19,3.02,3.13,974100,3.13
"2018-05-04",3.13,3.39,3.09,3.3,1313300,3.3
"2018-05-07",3.29,3.31,2.98,2.99,1549000,2.99
"2018-05-08",2.97,3.01,2.74,2.76,1801100,2.76
"2018-05-09",2.81,3.46,2.61,3.2,12319700,3.2
"2018-05-10",3.23,3.29,3,3.15,3522600,3.15
"2018-05-11",3.17,3.58,3.09,3.42,3886100,3.42
"2018-05-14",3.8,4.08,3.5,3.65,7551600,3.65
"2018-05-15",3.6,3.65,3.35,3.5,2451200,3.5
"2018-05-16",3.55,3.85,3.5,3.8,2245400,3.8
"2018-05-17",3.8,3.86,3.62,3.69,1930200,3.69
"2018-05-18",3.71,3.71,3.47,3.59,1624900,3.59
"2018-05-21",3.72,3.91,3.58,3.63,2219600,3.63
"2018-05-22",3.64,3.65,3.27,3.38,3212100,3.38
"2018-05-23",3.33,3.42,3.22,3.39,2100200,3.39
"2018-05-24",3.4,3.4,3.25,3.31,760300,3.31
"2018-05-25",3.31,3.6,3.31,3.49,1795100,3.49
"2018-05-29",3.48,3.59,3.41,3.44,1080300,3.44
"2018-05-30",3.46,3.46,3.14,3.21,3801100,3.21
"2018-05-31",3,3.02,2.8,2.81,3740300,2.81
"2018-06-01",2.81,2.81,2.27,2.28,5501500,2.28
"2018-06-04",2.3,2.3,2.11,2.15,2481400,2.15
"2018-06-05",2.13,2.39,2.08,2.28,3465800,2.28
"2018-06-06",2.23,2.27,2.17,2.19,1798900,2.19
"2018-06-07",2.19,2.35,2.19,2.28,1749600,2.28
"2018-06-08",2.29,2.35,2.25,2.3,1515200,2.3
"2018-06-11",2.28,2.47,2.24,2.41,1941700,2.41
"2018-06-12",2.52,2.67,2.43,2.45,3347100,2.45
"2018-06-13",2.49,2.79,2.45,2.66,3120900,2.66
"2018-06-14",2.68,2.83,2.55,2.57,2600000,2.57
"2018-06-15",2.54,2.68,2.51,2.58,1642200,2.58
"2018-06-18",2.58,2.66,2.53,2.58,1325600,2.58
"2018-06-19",2.53,2.59,2.46,2.48,1075700,2.48
"2018-06-20",2.5,2.58,2.44,2.47,976300,2.47
"2018-06-21",2.48,2.49,2.35,2.37,1258600,2.37
"2018-06-22",2.39,2.48,2.36,2.42,3671800,2.42
"2018-06-25",2.39,2.4,2.23,2.26,1938600,2.26
"2018-06-26",2.27,2.34,2.27,2.3,985100,2.3
"2018-06-27",2.29,2.34,2.16,2.17,1247500,2.17
"2018-06-28",2.16,2.29,2.13,2.26,1143300,2.26
