"","open","high","low","close","volume","adjusted"
"2018-01-02",107.239998,107.480003,105.279999,105.349998,2285500,103.683533
"2018-01-03",102.989998,108.5,102.989998,108.139999,3571400,106.429405
"2018-01-04",108.089996,109.690002,106.849998,107.419998,3502700,105.720795
"2018-01-05",108.839996,109.739998,107.599998,108.449997,12607600,106.734505
"2018-01-08",108.449997,108.529999,107.620003,108.480003,3887800,106.76403
"2018-01-09",108.559998,108.699997,107.519997,107.620003,4307000,105.917641
"2018-01-10",106.849998,107.5,106.730003,107.190002,2579400,105.494431
"2018-01-11",107.269997,107.550003,106.389999,106.699997,1839100,105.012177
"2018-01-12",106.339996,107.440002,106.129997,106.889999,2561900,105.199173
"2018-01-16",107.779999,107.809998,106.5,107.059998,3808700,105.366493
"2018-01-17",106.959999,107.089996,106.029999,106.589996,2153300,104.903923
"2018-01-18",106.209999,106.580002,104.93,106.019997,3442400,104.342941
"2018-01-19",106.129997,106.529999,105.68,105.989998,2167800,104.313408
"2018-01-22",106.660004,106.959999,104.830002,105.050003,2748500,103.388283
"2018-01-23",105.139999,107.099998,105.080002,106.220001,2601500,104.53978
"2018-01-24",106.230003,106.459999,105.459999,105.68,3445400,104.008324
"2018-01-25",105.949997,106.470001,105.57,106.400002,1835100,104.716934
"2018-01-26",106.720001,106.739998,104.620003,105.529999,3059400,103.860687
"2018-01-29",105.099998,105.419998,103.660004,104.449997,2433100,102.797775
"2018-01-30",104.5,106.18,104.400002,105.830002,2633500,104.155945
"2018-01-31",106,107.169998,105.550003,107.019997,2787200,105.327118
"2018-02-01",107.099998,109.190002,105.839996,106.529999,2977200,104.844872
"2018-02-02",105.900002,106.720001,105.18,105.580002,2005600,103.909904
"2018-02-05",105.459999,107.110001,103.940002,104.25,3137200,102.600937
"2018-02-06",103.360001,103.779999,100.629997,103.400002,3161400,101.764381
"2018-02-07",103.410004,105.110001,103.019997,104.089996,3910500,102.443466
"2018-02-08",103.790001,104.970001,102.93,103.360001,3074000,101.725021
"2018-02-09",103.730003,106.809998,102.919998,106.110001,3397300,104.431519
"2018-02-12",106.169998,107.209999,105.339996,106.620003,1698100,104.933449
"2018-02-13",106.389999,107.220001,105.059998,106.809998,1470600,105.120438
"2018-02-14",106.050003,106.300003,105.160004,105.470001,1146000,103.801643
"2018-02-15",106.080002,108,105.32,107.980003,2222800,106.271942
"2018-02-16",107.730003,109.309998,107.540001,109.010002,1328500,107.285645
"2018-02-20",108.610001,109.209999,106.709999,107.540001,2287500,105.838898
"2018-02-21",107.519997,108.18,105.379997,105.43,2563200,103.762268
"2018-02-22",105.959999,107.489998,105.059998,106.639999,1990600,104.953133
"2018-02-23",106.879997,109.639999,106.879997,109.57,1514100,107.836784
