"","open","high","low","close","volume","adjusted"
"2018-01-02",98.25,98.25,96.5,96.720001,1479100,96.306664
"2018-01-03",96.959999,97.639999,96.230003,97.43,1492900,97.013626
"2018-01-04",97.790001,99.040001,97.769997,98.480003,1026400,98.059143
"2018-01-05",98.739998,98.739998,97.730003,98.57,1134900,98.148758
"2018-01-08",98.559998,100.059998,98.230003,99.650002,1497700,99.224144
"2018-01-09",100,102.07,99.949997,101.400002,1627500,100.966667
"2018-01-10",102.809998,104.93,102,104.25,1827400,103.804482
"2018-01-11",104.879997,105.849998,104.160004,105.779999,1637000,105.327942
"2018-01-12",106.260002,107.57,106.110001,107.239998,1475600,106.781708
"2018-01-16",107.849998,108.5,105.690002,105.970001,1887500,105.517136
"2018-01-17",106.480003,106.709999,105.610001,106.400002,1749100,105.945297
"2018-01-18",106.110001,106.459999,104.879997,105.050003,2504400,104.601067
"2018-01-19",105.459999,107.639999,105.25,107.610001,1884800,107.150124
"2018-01-22",107.519997,109.099998,107.169998,108.989998,2068800,108.524223
"2018-01-23",108.989998,112.43,108.989998,112.18,3373100,111.700592
"2018-01-24",112.559998,114.269997,112,112.709999,2224200,112.228333
"2018-01-25",112.769997,112.800003,110.059998,110.330002,1731000,109.858505
"2018-01-26",110.330002,110.910004,109.230003,110.910004,1695000,110.436028
"2018-01-29",111.050003,112.639999,110.970001,111.690002,1875300,111.212692
"2018-01-30",111.470001,111.650002,109.860001,110.139999,1567700,109.669312
"2018-01-31",110.129997,110.949997,109.690002,110.169998,2048400,109.699181
"2018-02-01",109.769997,110.989998,109.389999,110.330002,1465800,109.858505
"2018-02-02",110.279999,110.769997,107.300003,107.470001,2503700,107.010727
"2018-02-05",106.5,107.809998,102.220001,102.470001,1958900,102.032089
"2018-02-06",100.150002,104.709999,99.419998,104.5,2766300,104.053413
"2018-02-07",103.730003,106.089996,103.419998,103.519997,2110400,103.077599
"2018-02-08",103.660004,103.919998,98.489998,98.540001,2277900,98.118889
"2018-02-09",100.18,100.870003,96.790001,100.010002,1809700,99.582603
"2018-02-12",100.769997,102.82,100.120003,101.779999,1404900,101.345039
"2018-02-13",101.07,101.989998,100.370003,101.269997,987800,100.837219
"2018-02-14",100.82,104.089996,100.660004,103.940002,1263200,103.495811
"2018-02-15",104.5,105.18,103.050003,103.959999,1344400,103.515724
"2018-02-16",103.040001,105.370003,101.949997,104.550003,1988700,104.103203
"2018-02-20",103.989998,105.220001,103.32,103.790001,1189700,103.346451
"2018-02-21",103.940002,105.889999,103.349998,103.959999,1237600,103.515724
"2018-02-22",104.589996,105.309998,102.480003,102.720001,1504200,102.281021
"2018-02-23",103.209999,104.589996,103.050003,104.5,911000,104.053413
"2018-02-26",105,106.849998,104.599998,106.82,1435000,106.363503
"2018-02-27",107.25,108.800003,106.839996,107.169998,3284000,106.712006
"2018-02-28",107.269997,108.989998,106.089996,106.150002,3278200,105.696365
"2018-03-01",106.349998,106.919998,103.910004,104.580002,2694400,104.133072
"2018-03-02",103.919998,104.5,101.639999,104.279999,2707300,103.834358
"2018-03-05",103.650002,106.580002,103.410004,105.849998,2290400,105.397644
"2018-03-06",106.269997,106.510002,105.110001,105.459999,2139300,105.009315
"2018-03-07",104.190002,105.75,104.139999,105.349998,1489600,104.89978
"2018-03-08",105.919998,106.589996,104.809998,106.18,2343900,105.726234
"2018-03-09",107.050003,110.239998,106.760002,109.830002,2598000,109.360641
"2018-03-12",110,110.330002,108.470001,108.830002,1720700,108.364914
"2018-03-13",109.5,109.82,107.220001,107.330002,2182000,106.871323
"2018-03-14",107.709999,107.709999,105.519997,105.779999,1486200,105.327942
"2018-03-15",106,106.839996,105.459999,105.900002,1629600,105.447433
"2018-03-16",106.32,107.629997,106.129997,106.870003,2708200,106.413292
"2018-03-19",106.760002,107.120003,104.769997,105.830002,1232700,105.377731
"2018-03-20",106.43,106.669998,105.610001,106.150002,1008200,105.696365
"2018-03-21",106.410004,108.410004,106.150002,106.809998,1966100,106.353539
"2018-03-22",105.529999,105.720001,101.360001,101.5,2411200,101.066238
"2018-03-23",101.879997,101.889999,97.5,97.709999,2842500,97.292435
