"","open","high","low","close","volume","adjusted"
"2018-01-02",42.349998,43.139999,41.91,42.93,2888400,42.028442
"2018-01-03",42.93,43.150002,42.48,42.849998,3446100,41.950123
"2018-01-04",42.869999,43.23,41.970001,42.639999,2825000,41.744534
"2018-01-05",42.84,42.990002,42.439999,42.939999,2183200,42.038231
"2018-01-08",48.779999,49.700001,45.619999,46,23460800,45.03397
"2018-01-09",46.48,47.290001,46.040001,46.389999,10500200,45.415783
"2018-01-10",46.16,47.27,45.810001,47.07,3808800,46.081501
"2018-01-11",47.360001,49.049999,47.110001,49.009998,6246600,47.980759
"2018-01-12",49.119999,51.880001,49.110001,51.259998,7747400,50.18351
"2018-01-16",50.77,52.34,50.419998,51.509998,6885300,50.428257
"2018-01-17",51.27,52.419998,50.889999,52.139999,4104800,51.045029
"2018-01-18",52.200001,52.290001,51.619999,52.009998,3981600,50.917755
"2018-01-19",52.139999,52.77,51.740002,52.619999,3871200,51.514946
"2018-01-22",52.490002,53.25,52.040001,53.16,3591700,52.04361
"2018-01-23",53.18,54.119999,52.93,54.060001,3192200,52.924709
"2018-01-24",54.040001,54.080002,52.299999,52.970001,5551500,51.857597
"2018-01-25",53.459999,53.799999,52.669998,53.169998,3618300,52.053394
"2018-01-26",53.509998,55,53.439999,54.939999,7318600,53.786228
"2018-01-29",54,55.619999,53.509998,55.110001,8941000,53.95266
"2018-01-30",54,55.009998,53.150002,54.98,7756300,53.825386
"2018-01-31",55.150002,56.450001,55.07,55.200001,5110200,54.040768
"2018-02-01",54.720001,55.529999,53.799999,54.439999,5356400,53.296726
"2018-02-02",53.990002,54,51.380001,51.77,6567200,50.682796
"2018-02-05",51.259998,52.419998,49.509998,49.650002,7359000,48.607323
"2018-02-06",48.080002,49.450001,47.200001,48.68,9556600,47.657688
"2018-02-07",49.200001,50.610001,48.790001,49.549999,6042700,48.509418
"2018-02-08",49.459999,49.66,47.43,47.439999,4587900,46.443729
"2018-02-09",48.049999,48.5,46.119999,47.82,5633200,46.81575
"2018-02-12",48.150002,49.509998,48.150002,49.169998,3380100,48.137398
"2018-02-13",49.32,49.889999,48.82,49.630001,2919500,48.587742
"2018-02-14",49.02,51.73,49.02,51.369999,3675000,50.291199
"2018-02-15",51.869999,52.16,50.549999,51.52,3207600,50.438049
"2018-02-16",51.459999,51.93,51.099998,51.419998,2738000,50.340145
"2018-02-20",51.259998,52.400002,50.950001,52.119999,2635600,51.025448
"2018-02-21",52.200001,52.77,51.380001,51.439999,2345400,50.35973
"2018-02-22",51.59,52.169998,51.16,51.360001,2121200,50.281406
"2018-02-23",51.880001,53.580002,51.689999,53.290001,3214500,52.170879
"2018-02-26",53.470001,53.59,52.349998,53.549999,2972000,52.425415
"2018-02-27",53.610001,54.09,52.389999,52.869999,3662500,51.759697
"2018-02-28",52.849998,54.540001,52.810001,53.400002,4306400,52.278568
"2018-03-01",53.82,55.119999,53.310001,54,5929200,52.865967
"2018-03-02",53.380001,54.27,52.709999,54.119999,3142400,52.983448
"2018-03-05",53.549999,55.459999,53.509998,55.139999,4328400,53.982025
"2018-03-06",55.5,56.34,55.200001,56.23,3797500,55.049133
"2018-03-07",55.77,56.650002,55.529999,56.299999,3224900,55.117664
"2018-03-08",57,59.48,56.880001,58.880001,8549200,57.643486
"2018-03-09",59.32,60.630001,59.150002,60.189999,4783800,58.925972
"2018-03-12",60.150002,60.470001,59.740002,60.209999,3245900,58.945553
"2018-03-13",60.150002,60.470001,59.470001,59.68,4374700,58.426685
"2018-03-14",59.970001,61.009998,59.259998,59.93,4136200,58.671436
"2018-03-15",60.23,60.290001,59.16,59.57,2882000,58.318993
"2018-03-16",59.540001,60.52,59.41,60.09,7073300,58.828072
"2018-03-19",59.849998,60.720001,59.599998,60.400002,6849400,59.131561
"2018-03-20",60.130001,60.84,59.880001,59.91,4445000,59.270065
"2018-03-21",59.900002,60.720001,59.349998,59.900002,3421100,59.260174
"2018-03-22",59.150002,59.830002,58.459999,59.040001,4309900,58.409363
