"","open","high","low","close","volume","adjusted"
"2018-01-02",38.799999,39,38.52,38.860001,3326900,38.532295
"2018-01-03",38.869999,39.18,38.73,39.119999,4327300,38.7901
"2018-01-04",39.470001,39.860001,39.369999,39.400002,3645900,39.067741
"2018-01-05",39.66,39.790001,39.25,39.740002,4686500,39.404873
"2018-01-08",39.610001,39.779999,39.240002,39.259998,4959600,38.928917
"2018-01-09",39.529999,39.810001,39.299999,39.439999,6594300,39.107399
"2018-01-10",39.509998,40.029999,39.380001,39.66,7627100,39.325546
"2018-01-11",39.77,40.169998,39.279999,39.759998,6144200,39.424702
"2018-01-12",40.040001,40.049999,37.66,39.369999,8532100,39.037991
"2018-01-16",39.459999,39.580002,37.779999,37.93,12961200,37.610138
"2018-01-17",38.16,38.330002,37.791,38.060001,10728700,37.73904
"2018-01-18",38.290001,38.290001,36.75,37.299999,13731000,36.985447
"2018-01-19",37.740002,38.84,36.849998,38.470001,11775700,38.14558
"2018-01-22",38.18,39.599998,38.16,39.52,15163700,39.186726
"2018-01-23",39.419998,39.939999,39.060001,39.779999,8378400,39.44453
"2018-01-24",39.889999,40.189999,39.459999,39.740002,7679400,39.404873
"2018-01-25",39.91,40.029999,39.470001,39.580002,7034600,39.246223
"2018-01-26",39.630001,40.235001,39.490002,40.209999,5504700,39.870907
"2018-01-29",40.110001,40.59,40.099998,40.16,5791900,39.821331
"2018-01-30",39.919998,40.16,39.604,39.630001,5453700,39.295799
"2018-01-31",39.75,40.299999,39.66,39.68,6981700,39.345379
"2018-02-01",39.540001,39.669998,39.029999,39.66,5474400,39.325546
"2018-02-02",39.5,39.884998,38.505001,38.68,6192000,38.49942
"2018-02-05",38.259998,38.91,36.580002,36.880001,10395400,36.707825
"2018-02-06",36.049999,37.84,35.450001,37.669998,9275000,37.494133
"2018-02-07",37.439999,38.189999,37.299999,37.5,8031500,37.324928
"2018-02-08",37.5,37.549999,34.970001,34.98,9244100,34.816692
"2018-02-09",35.349998,35.860001,33.605,35.029999,11802200,34.866459
"2018-02-12",35.349998,36.485001,35.240002,36.240002,7027400,36.070812
"2018-02-13",35.919998,36.139999,35.52,36.009998,4509900,35.841885
"2018-02-14",35.810001,36.720001,35.535,36.700001,6964800,36.528667
"2018-02-15",37.040001,37.134998,36.310001,36.84,5219300,36.668011
"2018-02-16",36.740002,37.18,36.610001,36.73,4413100,36.558525
"2018-02-20",36.630001,36.91,36.360001,36.560001,4235100,36.38932
"2018-02-21",36.610001,37.404999,36.5,36.57,4423200,36.399273
