"","open","high","low","close","volume","adjusted"
"2018-01-02",28.26,29.049999,28.049999,28.91,5539600,28.651585
"2018-01-03",28.809999,29.17,28.700001,28.91,4273700,28.651585
"2018-01-04",29.200001,29.25,28.790001,28.969999,5283000,28.711046
"2018-01-05",29.200001,29.57,28.93,29.51,5086300,29.24622
"2018-01-08",29.4,29.65,29.190001,29.57,4741900,29.305685
"2018-01-09",29.52,29.73,28.959999,29.01,4580900,28.75069
"2018-01-10",28.780001,29.059999,28.379999,28.66,8636900,28.40382
"2018-01-11",28.5,29.08,28.5,28.77,3685100,28.512835
"2018-01-12",29.459999,29.52,28.52,28.82,10488400,28.562389
"2018-01-16",28.93,28.950001,27.84,27.870001,7504700,27.620882
"2018-01-17",28.110001,28.379999,27.440001,27.52,15786000,27.27401
"2018-01-18",26.49,27.48,25.65,27.25,12557500,27.006424
"2018-01-19",27.25,27.700001,27.040001,27.459999,7871600,27.214544
"2018-01-22",26.76,27.15,26.370001,26.540001,11278600,26.302769
"2018-01-23",26.540001,26.709999,26.360001,26.610001,9058600,26.372143
"2018-01-24",26.74,27.34,26.66,26.799999,7351200,26.560444
"2018-01-25",26.99,27.16,26.870001,27.15,4800600,26.907318
"2018-01-26",27.219999,27.709999,27.1,27.709999,5616300,27.462311
"2018-01-29",27.459999,27.639999,27.059999,27.07,4746600,26.828033
"2018-01-30",27.059999,27.15,26.58,26.620001,5232200,26.382053
"2018-01-31",26.59,27.309999,26.51,27.23,8203200,26.986603
"2018-02-01",26.35,28.09,25.85,27.360001,13743400,27.115438
"2018-02-02",27.16,27.41,26.709999,27.02,8481900,26.778479
"2018-02-05",26.889999,28.01,26.77,26.790001,12943700,26.550537
"2018-02-06",26.469999,27.1,25.93,27.08,10022200,26.83794
"2018-02-07",27.08,27.41,26.549999,26.58,5519900,26.342411
"2018-02-08",26.610001,26.790001,25.59,25.59,8028500,25.361259
"2018-02-09",25.969999,26.219999,24.940001,25.91,10723000,25.6784
"2018-02-12",26.110001,26.41,25.84,26.1,9016700,25.866701
"2018-02-13",26.1,26.639999,25.790001,26.58,5147900,26.342411
"2018-02-14",26.360001,27.17,26.309999,27.02,6464300,26.778479
"2018-02-15",27.17,27.75,27.040001,27.700001,5167600,27.452402
"2018-02-16",27.75,27.799999,27.4,27.549999,7371300,27.377869
"2018-02-20",27.43,27.99,26.9,27.02,4801500,26.851181
"2018-02-21",27.08,27.559999,26.9,27.030001,5603300,26.935886
"2018-02-22",27.08,27.459999,26.950001,26.98,3406200,26.886059
"2018-02-23",27.23,27.43,27.040001,27.43,3416100,27.334494
"2018-02-26",27.4,27.52,27,27.23,4460700,27.135189
"2018-02-27",27.32,27.4,26.18,26.32,7159000,26.228357
"2018-02-28",26.469999,26.92,26.27,26.290001,6592800,26.198463
"2018-03-01",26.34,26.66,25.99,26.51,6137900,26.417696
"2018-03-02",26.25,26.98,26.15,26.91,4289600,26.816303
"2018-03-05",26.719999,27.139999,26.450001,27.09,5602300,26.995676
"2018-03-06",27.190001,27.24,26.9,26.959999,3507500,26.866129
"2018-03-07",26.93,27.280001,26.799999,27.24,2663800,27.145153
"2018-03-08",27.309999,27.68,27.16,27.629999,3935400,27.533794
"2018-03-09",27.719999,27.870001,27.52,27.85,5312100,27.753031
"2018-03-12",27.860001,28.049999,27.48,27.76,3738600,27.663343
