"","open","high","low","close","volume","adjusted"
"2018-01-02",38.799999,38.799999,38.34,38.490002,1059400,38.490002
"2018-01-03",38.419998,38.720001,38.389999,38.68,863300,38.68
"2018-01-04",38.779999,38.799999,38.490002,38.650002,729200,38.650002
"2018-01-05",38.860001,38.93,38.68,38.830002,577000,38.830002
"2018-01-08",38.689999,38.860001,38.5,38.82,1042000,38.82
"2018-01-09",38.970001,39,38.34,38.400002,871100,38.400002
"2018-01-10",38.240002,38.279999,37.860001,37.990002,967000,37.990002
"2018-01-11",38.09,38.259998,37.98,38.18,1229300,38.18
"2018-01-12",38.16,38.529999,37.98,38.32,999800,38.32
"2018-01-16",38.279999,38.490002,37.650002,37.77,1283100,37.77
"2018-01-17",37.959999,38.849998,37.880001,38.810001,693900,38.810001
"2018-01-18",38.889999,39.099998,38.689999,38.810001,870600,38.810001
"2018-01-19",38.919998,39.299999,38.82,39.09,567900,39.09
"2018-01-22",38.98,39.049999,38.509998,38.849998,685800,38.849998
"2018-01-23",39.919998,40.5,39.400002,39.830002,825600,39.830002
"2018-01-24",39.91,40.349998,39.82,39.900002,1362200,39.900002
"2018-01-25",40.029999,40.189999,39.66,40.189999,1144600,40.189999
"2018-01-26",40.23,40.869999,39.950001,40.860001,870000,40.860001
"2018-01-29",40.73,41.32,40.720001,41.220001,1147200,41.220001
"2018-01-30",40.950001,41.299999,40.630001,40.889999,1594600,40.889999
"2018-01-31",41.040001,41.32,40.450001,40.5,1359200,40.5
"2018-02-01",40.439999,41.419998,40.310001,41.369999,914600,41.369999
"2018-02-02",42.529999,42.740002,40.799999,40.799999,2559600,40.799999
"2018-02-05",40.41,41.41,40.18,40.34,1624200,40.34
"2018-02-06",39.560001,40.459999,38.93,39.75,2404100,39.75
"2018-02-07",39.689999,40.540001,39.650002,40.099998,2720100,40.099998
"2018-02-08",41,41.439999,36.5,37.299999,4599800,37.299999
"2018-02-09",36.669998,37.439999,33.630001,35,5688200,35
"2018-02-12",35.360001,36.169998,34.810001,35.93,3239400,35.93
"2018-02-13",35.779999,36.450001,35.310001,36.220001,2055500,36.220001
"2018-02-14",35.970001,37.099998,35.860001,36.689999,1287600,36.689999
"2018-02-15",36.919998,37.080002,36.299999,37.02,1223100,37.02
"2018-02-16",36.610001,37.200001,36.450001,36.709999,996700,36.709999
"2018-02-20",36.27,36.93,36.27,36.759998,930800,36.759998
"2018-02-21",36.849998,37.369999,36.459999,36.459999,1112500,36.459999
"2018-02-22",36.57,36.959999,36.43,36.610001,787600,36.610001
"2018-02-23",36.93,37.299999,36.93,37.200001,834200,37.200001
"2018-02-26",37.200001,37.540001,36.880001,37.299999,1199800,37.299999
"2018-02-27",37.299999,37.41,36.810001,36.84,1288700,36.84
"2018-02-28",36.98,37.400002,36.68,36.82,1628300,36.82
"2018-03-01",37.009998,38.32,36.849998,38.130001,1898100,38.130001
"2018-03-02",37.849998,39.299999,37.66,39.18,1716800,39.18
"2018-03-05",40.110001,41.689999,39.59,41.650002,2774800,41.650002
"2018-03-06",41.73,42.84,41.5,41.939999,2038300,41.939999
"2018-03-07",41.580002,42.27,41.41,41.59,1138200,41.59
"2018-03-08",41.700001,41.919998,41.299999,41.75,720100,41.75
"2018-03-09",42,42.549999,42,42.400002,762400,42.400002
"2018-03-12",42.400002,42.740002,41.91,42.59,1018500,42.59
"2018-03-13",42.68,42.709999,42.029999,42.299999,844300,42.299999
"2018-03-14",42.380001,42.599998,42,42.450001,665400,42.450001
"2018-03-15",42.450001,42.599998,42.040001,42.360001,1076900,42.360001
"2018-03-16",42.43,42.82,42,42.009998,1366700,42.009998
"2018-03-19",41.939999,42.580002,41.619999,42.450001,946900,42.450001
"2018-03-20",42.34,42.48,41.84,42.139999,1181800,42.139999
"2018-03-21",42.049999,42.57,41.939999,41.939999,832500,41.939999
"2018-03-22",41.5,41.82,40.709999,40.709999,1022200,40.709999
"2018-03-23",40.75,41.009998,39.889999,39.900002,1045300,39.900002
"2018-03-26",40.459999,40.75,39.939999,40.73,833000,40.73
"2018-03-27",40.540001,40.82,39.470001,39.57,1185700,39.57
"2018-03-28",39.43,39.650002,38.650002,38.75,1485700,38.75
"2018-03-29",38.98,40.049999,38.860001,39.669998,1401900,39.669998
"2018-04-02",39.720001,39.970001,38.919998,39.150002,975000,39.150002
"2018-04-03",39.34,39.790001,39.189999,39.580002,1052200,39.580002
"2018-04-04",39.040001,39.959999,38.950001,39.849998,784200,39.849998
"2018-04-05",40.080002,40.169998,39.740002,39.919998,878900,39.919998
"2018-04-06",39.75,39.970001,39.119999,39.369999,572800,39.369999
"2018-04-09",39.57,39.950001,39.209999,39.259998,544900,39.259998
"2018-04-10",39.810001,40.439999,39.650002,39.919998,1175200,39.919998
"2018-04-11",39.790001,40.75,39.540001,40.09,1071300,40.09
"2018-04-12",40.16,40.73,40.16,40.459999,822000,40.459999
"2018-04-13",40.59,40.610001,39.900002,40.07,461900,40.07
"2018-04-16",40.400002,40.990002,40.27,40.91,945200,40.91
"2018-04-17",41.040001,41.630001,41.040001,41.509998,781000,41.509998
"2018-04-18",41.48,41.900002,41.32,41.599998,585200,41.599998
"2018-04-19",41.52,41.639999,41.200001,41.41,460900,41.41
"2018-04-20",41.27,41.5,40.779999,40.93,525200,40.93
"2018-04-23",41.080002,41.16,40.349998,40.610001,335400,40.610001
"2018-04-24",40.919998,41.200001,39.759998,40.25,607100,40.25
"2018-04-25",40.200001,40.23,39.599998,40.130001,454400,40.130001
"2018-04-26",40.349998,40.939999,40.279999,40.759998,599600,40.759998
"2018-04-27",41.02,41.029999,40.560001,40.93,827800,40.93
"2018-04-30",41.099998,41.360001,40.889999,40.919998,936800,40.919998
"2018-05-01",40.740002,41.029999,40.439999,41,872700,41
"2018-05-02",40.970001,41.139999,40.720001,40.810001,829700,40.810001
"2018-05-03",40.810001,41.080002,39.869999,40,2485400,40
"2018-05-04",38.009998,38.950001,36.619999,38.060001,4829200,38.060001
"2018-05-07",38,38.709999,37.880001,38.459999,1653300,38.459999
"2018-05-08",38.560001,39.509998,38.560001,39.25,1212400,39.25
"2018-05-09",39.279999,39.630001,39.169998,39.48,695600,39.48
"2018-05-10",39.790001,40.07,39.560001,39.59,707100,39.59
"2018-05-11",39.66,39.93,39.18,39.48,1398900,39.48
"2018-05-14",39.41,39.560001,37.939999,37.990002,1603000,37.990002
"2018-05-15",37.689999,38.049999,37.41,38,1239800,38
"2018-05-16",38.099998,38.41,37.939999,38.02,855100,38.02
"2018-05-17",39.75,40.450001,38.830002,38.860001,1623900,38.860001
"2018-05-18",38.709999,39.389999,38.41,38.689999,969500,38.689999
"2018-05-21",38.779999,38.970001,38.279999,38.490002,841200,38.490002
"2018-05-22",38.599998,38.599998,38.279999,38.299999,550000,38.299999
"2018-05-23",38.200001,38.5,37.950001,38.389999,452600,38.389999
"2018-05-24",38.470001,38.900002,38.310001,38.799999,712100,38.799999
"2018-05-25",38.669998,38.950001,38.57,38.77,370200,38.77
"2018-05-29",38.279999,38.790001,38.279999,38.669998,446300,38.669998
"2018-05-30",39.849998,40.330002,39.57,39.650002,1032700,39.650002
"2018-05-31",39.650002,40.009998,39.599998,39.869999,1253600,39.869999
"2018-06-01",39.939999,40.43,39.669998,39.700001,800600,39.700001
"2018-06-04",39.900002,40.84,39.849998,40.759998,698500,40.759998
"2018-06-05",40.98,41.650002,40.66,41.650002,784600,41.650002
"2018-06-06",41.650002,42.689999,41.490002,42.630001,986800,42.630001
"2018-06-07",42.669998,42.759998,40.810001,41.080002,1706100,41.080002
"2018-06-08",40.860001,40.98,40.380001,40.720001,930000,40.720001
"2018-06-11",40.889999,41.25,40.490002,41,769700,41
"2018-06-12",41.189999,41.34,40.759998,41,970400,41
"2018-06-13",41.23,42.23,41.029999,41.900002,1198100,41.900002
"2018-06-14",41.91,42.5,41.75,42.25,1194500,42.25
"2018-06-15",42.310001,43.330002,42.049999,43.259998,3428400,43.259998
"2018-06-18",43.049999,44.27,43,44,1440800,44
"2018-06-19",43.509998,43.709999,42.82,43.459999,895100,43.459999
"2018-06-20",43.700001,43.93,43.150002,43.34,682900,43.34
"2018-06-21",43.419998,43.5,42.529999,42.68,552300,42.68
"2018-06-22",42.470001,42.470001,40.830002,41.080002,2469800,41.080002
"2018-06-25",40.84,40.950001,39.369999,39.91,1112000,39.91
"2018-06-26",39.98,40.639999,39.98,40.25,878600,40.25
