"","open","high","low","close","volume","adjusted"
"2018-01-02",95.709999,95.709999,94.239998,95.32,1805700,94.506828
"2018-01-03",95.419998,97.169998,95.099998,96.93,1812300,96.103096
"2018-01-04",97.339996,97.919998,96.839996,97.379997,1399100,96.549255
"2018-01-05",98.080002,99.699997,97.839996,99.599998,2318300,98.75032
"2018-01-08",98.809998,99.900002,98.809998,99.809998,1609100,98.958527
"2018-01-09",99.75,99.940002,98.720001,98.82,1630500,97.976974
"2018-01-10",98.660004,98.660004,97.870003,98.519997,2253800,97.679527
"2018-01-11",98.760002,99.400002,98.529999,99.260002,1200000,98.413216
"2018-01-12",99.400002,100.699997,99.120003,100.169998,1501100,99.315453
"2018-01-16",100.57,101.010002,99.639999,100.110001,1977600,99.255966
"2018-01-17",100.730003,100.879997,100.199997,100.57,1678200,99.712044
"2018-01-18",100.699997,101.050003,99.800003,99.970001,2215700,99.117165
"2018-01-19",100.730003,101.559998,100.379997,100.730003,2095100,99.870682
"2018-01-22",100.559998,101.260002,100.029999,101.260002,1645700,100.396156
"2018-01-23",101.529999,101.93,100.589996,100.699997,1989000,99.840927
"2018-01-24",108.099998,108.230003,102.18,102.389999,4131400,101.516518
"2018-01-25",102.790001,105.480003,102.269997,102.639999,2644000,101.764389
"2018-01-26",103.25,105.059998,102.730003,104.349998,2321400,103.459793
"2018-01-29",103.5,105.230003,103.5,103.879997,2693900,102.993797
"2018-01-30",103.18,103.300003,102.099998,102.330002,1941300,101.457031
"2018-01-31",102.900002,103.07,102.050003,102.529999,2907400,101.655319
"2018-02-01",102.279999,104.519997,102.190002,103.779999,1939300,102.894661
"2018-02-02",103.32,104.139999,102.050003,102.18,2801900,101.308311
"2018-02-05",101.199997,103.059998,98.720001,98.720001,2189000,97.877823
"2018-02-06",97.139999,99.910004,96,99.139999,3189500,98.294243
"2018-02-07",98.860001,101.599998,98.419998,99.610001,1996800,98.760239
"2018-02-08",99.730003,99.970001,95.190002,95.269997,1887700,94.457253
"2018-02-09",96.269997,97.239998,92.480003,96.400002,2892500,95.577621
"2018-02-12",97.25,99.269997,96.910004,98.699997,2201800,97.857986
"2018-02-13",98.019997,99.120003,97.800003,98.790001,1087000,97.947227
"2018-02-14",98.019997,99.980003,97.989998,99.739998,1512900,98.889122
"2018-02-15",100.370003,101.419998,99.809998,101.400002,1470300,100.534966
"2018-02-16",101.129997,102.830002,100.589996,102.099998,1706900,101.228989
"2018-02-20",101.459999,103.220001,101.199997,102.510002,1264100,101.63549
"2018-02-21",102.839996,104.160004,102.150002,102.169998,1384600,101.298393
"2018-02-22",102.019997,102.18,100.720001,101.019997,1355500,100.551865
"2018-02-23",101.68,102.32,101.32,102.269997,759200,101.796074
"2018-02-26",102.910004,104.599998,102.480003,104.440002,1179000,103.956024
"2018-02-27",104.389999,106,104.309998,104.389999,1380300,103.90625
"2018-02-28",104.580002,105.339996,103.059998,103.089996,1456800,102.612274
"2018-03-01",103.019997,103.449997,99.93,100.080002,2264700,99.616226
"2018-03-02",99.309998,101.529999,98.93,101.379997,1397100,100.910202
"2018-03-05",101,102.059998,99.580002,101.589996,1654600,101.119225
"2018-03-06",102.150002,102.790001,101.580002,101.93,993200,101.457657
"2018-03-07",100.82,102.419998,100.610001,102.169998,2248300,101.696541
"2018-03-08",102.650002,102.919998,102.019997,102.830002,1544200,102.353485
"2018-03-09",103.32,105.790001,103.129997,105.75,1497400,105.259949
"2018-03-12",105.620003,105.889999,104.589996,105.239998,1430400,104.752312
"2018-03-13",105.669998,105.809998,104.379997,104.620003,1216100,104.135193
"2018-03-14",105,105,103.339996,103.93,1066800,103.448387
"2018-03-15",103.839996,105.080002,103.150002,104.510002,1221100,104.025703
"2018-03-16",104.629997,105.230003,103.970001,104.440002,1388400,103.956024
"2018-03-19",104.199997,104.209999,102.239998,103.370003,1110400,102.890984
"2018-03-20",103.739998,105.169998,103.690002,104.540001,1282200,104.055557
"2018-03-21",104.610001,106,104.190002,104.68,873300,104.194908
"2018-03-22",103.5,103.900002,100.379997,100.489998,1450000,100.024323
"2018-03-23",100.889999,100.889999,96.699997,96.839996,1723700,96.391235
"2018-03-26",98.230003,99.120003,97.199997,98.959999,1403600,98.501419
"2018-03-27",99.889999,100.739998,97.25,97.800003,1869000,97.346794
"2018-03-28",97.980003,98.269997,96.07,96.339996,1566800,95.893555
"2018-03-29",97.330002,100.699997,97.089996,99.900002,1907000,99.437065
"2018-04-02",99.339996,99.470001,95.800003,96.910004,1265700,96.460922
"2018-04-03",97.379997,98.370003,96.639999,98.300003,1448200,97.844475
"2018-04-04",96.580002,98.5,96.269997,98.339996,1477700,97.884285
"2018-04-05",98.980003,99.330002,98.199997,98.790001,1053200,98.332207
"2018-04-06",97.709999,98.029999,94.769997,95.910004,1162100,95.465553
"2018-04-09",96.75,98.080002,96.029999,96.25,1805500,95.803978
"2018-04-10",97.949997,99.68,97.800003,99.160004,2302800,98.700493
"2018-04-11",98.349998,99.769997,98.169998,98.720001,1987600,98.262527
"2018-04-12",99.18,99.919998,98.730003,99.099998,3376400,98.64077
"2018-04-13",99.669998,99.970001,98.889999,99.370003,1370500,98.909523
"2018-04-16",100.129997,100.129997,99.120003,99.620003,1208300,99.158363
