"","open","high","low","close","volume","adjusted"
"2018-01-02",65.949997,68.129997,65.949997,67.629997,8509000,66.505623
"2018-01-03",68.629997,68.839996,67.099998,67.169998,6057500,66.053276
"2018-01-04",67.230003,67.82,65.059998,65.849998,7124500,64.755219
"2018-01-05",66.379997,66.739998,65.949997,66.550003,5549700,65.443588
"2018-01-08",67.199997,68.32,66.25,67.18,8337200,66.06311
"2018-01-09",69.519997,70.019997,68.5,69.139999,18160800,67.990524
"2018-01-10",69.410004,71.760002,69.300003,70.730003,10985200,69.554092
"2018-01-11",70.900002,74.059998,70.5,74,12186000,72.769722
"2018-01-12",74.540001,77,74.449997,76.800003,14846000,75.523178
"2018-01-16",76.879997,77.580002,74.639999,74.959999,10167900,73.71376
"2018-01-17",74.989998,77.25,74.830002,76.82,7046400,75.542839
"2018-01-18",76.860001,77.910004,76.260002,77.900002,7668600,76.604889
"2018-01-19",78.169998,78.169998,76.889999,78.099998,7808100,76.801559
"2018-01-22",78.110001,78.639999,77.57,78.580002,5621600,77.273582
"2018-01-23",78.580002,78.699997,77.839996,78.120003,5372700,76.821228
"2018-01-24",78.290001,78.290001,76.370003,76.889999,9765100,75.611671
"2018-01-25",77.550003,77.559998,75.760002,76.300003,6347700,75.031487
"2018-01-26",76.620003,77.019997,75.82,76.949997,4981200,75.670677
"2018-01-29",76.669998,77.139999,76.379997,76.800003,3489400,75.523178
"2018-01-30",76.389999,76.699997,74.82,75.099998,5626300,73.851433
"2018-01-31",75.389999,75.75,74.599998,75.220001,8706300,73.969437
"2018-02-01",74.629997,75.650002,74.150002,74.970001,4649100,73.723602
"2018-02-02",74.279999,74.489998,72.720001,72.949997,6807800,71.737183
"2018-02-05",72.449997,74.169998,70.510002,70.769997,6518200,69.593422
"2018-02-06",69.540001,73.059998,68.389999,72.709999,8051600,71.501167
"2018-02-07",72.529999,74.150002,72.339996,73.25,6521900,72.032188
"2018-02-08",73.510002,73.889999,71.07,71.110001,5705500,69.927773
"2018-02-09",71.809998,72.970001,68.910004,72.449997,7733200,71.245491
"2018-02-12",73.129997,73.230003,71.529999,71.879997,4624500,70.684967
"2018-02-13",71.860001,73.949997,71.68,73.879997,4417500,72.651718
"2018-02-14",74.290001,76.620003,74.059998,75.349998,7388700,74.097275
"2018-02-15",75.720001,76.209999,75.120003,76.040001,3428600,74.77581
"2018-02-16",76.139999,76.809998,75.309998,75.699997,4279000,74.44146
"2018-02-20",72.839996,73.839996,71.68,72.860001,7086000,72.240341
"2018-02-21",73.220001,74.68,72.919998,72.959999,8645200,72.339485
"2018-02-22",73.489998,75.959999,73.470001,75.029999,6987100,74.391884
"2018-02-23",75.519997,76.300003,74.290001,75.410004,5475600,74.768654
"2018-02-26",76.25,76.989998,75.18,76.900002,5779300,76.245979
"2018-02-27",77.739998,78.43,75.269997,75.57,6234300,74.927292
"2018-02-28",76.059998,76.68,75.410004,75.410004,5520500,74.768654
"2018-03-01",75.510002,75.550003,73,74.129997,7084400,73.499535
"2018-03-02",73.629997,75.480003,73.300003,75.150002,4956200,74.510864
"2018-03-05",74.769997,75.75,73.949997,75.139999,7654800,74.500946
"2018-03-06",74.25,74.639999,69.940002,71.790001,20019700,71.179443
"2018-03-07",71.059998,72.139999,70.580002,71.43,7684600,70.822502
"2018-03-08",71.43,71.580002,69.150002,69.75,8753900,69.156792
"2018-03-09",70.379997,70.82,69.330002,70.489998,6813000,69.890495
"2018-03-12",70.050003,70.989998,69.809998,70.669998,3665100,70.068962
"2018-03-13",71,72.099998,70.879997,71.169998,4485800,70.564713
"2018-03-14",71.440002,71.720001,70.379997,70.650002,4683700,70.049133
"2018-03-15",71.279999,71.5,70.279999,70.629997,6528600,70.029305
"2018-03-16",70.550003,71.43,70.410004,70.989998,7297000,70.386238
"2018-03-19",70.919998,71.32,70.110001,70.339996,3214900,69.741768
"2018-03-20",70.599998,71.769997,70.510002,71.559998,5015000,70.951393
"2018-03-21",71.18,71.5,70.139999,70.139999,3792600,69.543472
"2018-03-22",69.849998,70.480003,68.809998,68.889999,6614000,68.3041
"2018-03-23",69.720001,69.940002,67.769997,67.879997,5261000,67.302689
"2018-03-26",68.669998,70.629997,68.650002,70.279999,4893900,69.682281
"2018-03-27",70.790001,70.900002,68.230003,68.510002,6896500,67.927338
"2018-03-28",68.739998,71.769997,68.739998,69.18,8052400,68.591637
"2018-03-29",69.230003,69.870003,68.860001,69.43,7594300,68.839508
"2018-04-02",69.029999,69.379997,67.440002,68.980003,5903000,68.393341
"2018-04-03",69.389999,69.940002,69.010002,69.529999,3484200,68.93866
"2018-04-04",68.879997,71.93,68.849998,71.860001,5200200,71.248848
"2018-04-05",71.959999,72.580002,70.739998,72.440002,4525100,71.823914
"2018-04-06",71.769997,73.419998,71.519997,72.290001,6360100,71.675186
"2018-04-09",72.449997,72.720001,71.410004,71.480003,3093300,70.872078
"2018-04-10",72.860001,73.010002,71.830002,72.790001,4653900,72.170937
"2018-04-11",72.480003,73.510002,72.139999,72.82,3545700,72.200676
"2018-04-12",73.129997,73.589996,72.110001,72.43,3020200,71.813995
"2018-04-13",72.779999,72.790001,71.139999,71.519997,3824400,70.911736
"2018-04-16",71.940002,72.43,71.470001,72,4837600,71.387657
"2018-04-17",72.809998,72.940002,72.389999,72.449997,3066500,71.833824
"2018-04-18",72.730003,73.459999,72.419998,72.529999,3211100,71.913147
"2018-04-19",72.309998,72.309998,70.18,70.980003,5816500,70.376335
"2018-04-20",71.129997,71.639999,70.120003,70.32,4110000,69.721939
"2018-04-23",70.75,71.080002,69.760002,70.949997,3346000,70.346581
"2018-04-24",70.970001,71.959999,70.199997,70.529999,3946100,69.930153
"2018-04-25",70.25,71.669998,69.900002,71.139999,2590900,70.534966
"2018-04-26",71.32,72.139999,71.089996,71.879997,3112700,71.268669
"2018-04-27",71.510002,73.080002,71.389999,72.849998,3711800,72.230423
"2018-04-30",72.800003,73.690002,72.489998,72.599998,4810200,71.982552
"2018-05-01",71.870003,72.300003,71.07,71.07,5619600,70.465561
"2018-05-02",70.610001,71.519997,69.440002,71.449997,4603400,70.842331
"2018-05-03",71.43,71.629997,70.57,71.150002,3217300,70.544884
"2018-05-04",70.650002,71.389999,69.93,71.050003,2609500,70.44574
"2018-05-07",70.919998,70.940002,68.900002,69.330002,5927700,68.740364
"2018-05-08",69.309998,70.010002,69.040001,69.419998,3852300,68.829597
"2018-05-09",68.68,70.120003,68.330002,69.93,4122900,69.335258
"2018-05-10",69.75,70.5,69.169998,70.239998,3574200,69.642624
"2018-05-11",69.940002,70.330002,69.300003,70.25,3032200,69.652534
"2018-05-14",70.639999,73.129997,70.589996,72.900002,7312700,72.279999
"2018-05-15",72.330002,73.449997,72.209999,73.080002,5e+06,73.080002
"2018-05-16",73.980003,75.690002,73.940002,75.230003,8596200,75.230003
"2018-05-17",75.18,76.379997,75.099998,75.830002,5476000,75.830002
"2018-05-18",76.190002,76.550003,75.599998,75.940002,4317600,75.940002
"2018-05-21",76.629997,77.190002,76.300003,76.870003,5073900,76.870003
"2018-05-22",77,77.629997,75.190002,75.470001,7550100,75.470001
"2018-05-23",71.470001,72.959999,70.860001,71.169998,17153800,71.169998
"2018-05-24",71.25,71.529999,70.080002,70.940002,8151000,70.940002
"2018-05-25",71.18,71.959999,70.93,71.209999,5984000,71.209999
"2018-05-29",71,71.760002,70.699997,71.699997,6709900,71.699997
"2018-05-30",72,74.050003,71.610001,73.470001,7652200,73.470001
"2018-05-31",73.150002,73.599998,72.370003,72.889999,6418900,72.889999
"2018-06-01",72.93,73.639999,72.580002,72.800003,4016400,72.800003
"2018-06-04",73.25,76.82,73.239998,76.349998,7585600,76.349998
"2018-06-05",76.32,78.839996,75.769997,78.5,8824700,78.5
