"","open","high","low","close","volume","adjusted"
"2018-01-02",91.419998,91.419998,90.080002,90.209999,515400,89.889236
"2018-01-03",90.199997,90.559998,89.989998,90.470001,460200,90.148308
"2018-01-04",90.580002,91.290001,90.580002,90.699997,464800,90.527588
"2018-01-05",90.93,91.089996,90.480003,91.059998,749600,90.886902
"2018-01-08",91.199997,91.440002,90.730003,91.330002,426500,91.156395
"2018-01-09",91.709999,92.730003,91.709999,92.07,508000,91.894981
"2018-01-10",92.260002,93.199997,92.019997,92.760002,367600,92.583672
"2018-01-11",93.110001,93.339996,92.620003,92.860001,622100,92.683479
"2018-01-12",93.150002,93.150002,91.650002,92.25,727700,92.074638
"2018-01-16",92.32,92.639999,91.059998,91.419998,727800,91.246216
"2018-01-17",91.82,92.559998,91.5,92.029999,550800,91.855057
"2018-01-18",92.309998,92.620003,91.5,91.660004,558200,91.485764
"2018-01-19",91.989998,92.459999,91.57,92.150002,545700,91.974831
"2018-01-22",92.43,92.800003,92.019997,92.779999,466600,92.60363
"2018-01-23",92.480003,92.959999,92.230003,92.769997,373400,92.593651
"2018-01-24",93.139999,93.32,92.529999,93.07,625400,92.893082
"2018-01-25",93.260002,93.260002,92.470001,92.709999,299000,92.533768
"2018-01-26",92.900002,93.449997,92.449997,93.32,558700,93.142609
"2018-01-29",93.220001,93.599998,92.330002,92.339996,548500,92.164467
"2018-01-30",91.769997,92.459999,91.18,91.330002,745500,91.156395
"2018-01-31",91.300003,91.75,90.459999,90.849998,853800,90.677299
"2018-02-01",90.860001,91.400002,90.269997,90.739998,1095600,90.567513
"2018-02-02",90.440002,90.650002,88.190002,88.209999,796900,88.04232
"2018-02-05",87.43,87.900002,83.550003,83.959999,1356500,83.8004
"2018-02-06",81.989998,84.089996,81.599998,83.419998,1357300,83.261421
"2018-02-07",83.059998,84.440002,82.709999,83.279999,976500,83.121689
"2018-02-08",83.279999,84.019997,80.43,80.519997,1109800,80.366936
"2018-02-09",81.550003,83.120003,81.040001,82.639999,1226800,82.48291
"2018-02-12",83.260002,84.309998,82.32,83.529999,974400,83.371216
"2018-02-13",82.839996,84.330002,82.709999,84.040001,680400,83.880249
"2018-02-14",83.709999,86.360001,83.629997,86.300003,771700,86.135956
"2018-02-15",86.910004,86.949997,85.639999,86.120003,525600,85.956299
"2018-02-16",85.800003,87.010002,85.760002,86.650002,698200,86.485291
"2018-02-20",86.580002,87.160004,86.050003,86.379997,606300,86.215797
"2018-02-21",86.199997,87.550003,86.059998,86.169998,572900,86.006195
"2018-02-22",86.5,86.93,85.580002,85.639999,722100,85.477203
"2018-02-23",85.860001,86.550003,85.68,86.510002,350300,86.345551
"2018-02-26",86.790001,87.620003,86.349998,87.599998,433400,87.433479
"2018-02-27",87.5,88.160004,86.989998,86.989998,510700,86.824638
"2018-02-28",87.410004,87.599998,85.339996,85.370003,507600,85.207726
"2018-03-01",85.449997,85.610001,82.739998,83.169998,815900,83.011902
"2018-03-02",82.349998,83.18,81.559998,82.959999,832700,82.802299
"2018-03-05",82.389999,84.610001,82.150002,84.110001,794100,83.950111
"2018-03-06",84.220001,84.849998,83.629997,84.720001,784400,84.558952
"2018-03-07",83.910004,85.080002,83.779999,84.839996,504200,84.678726
"2018-03-08",85.129997,85.660004,84.050003,85.620003,651200,85.457245
"2018-03-09",86.059998,87.400002,85.900002,87.339996,572800,87.173973
"2018-03-12",87.150002,87.739998,86.709999,87.019997,630200,86.854576
"2018-03-13",87.529999,87.529999,86.07,86.379997,625500,86.215797
"2018-03-14",86.839996,86.839996,85.059998,85.239998,490500,85.077965
"2018-03-15",85.419998,85.779999,85.139999,85.540001,575200,85.377396
"2018-03-16",85.470001,85.980003,85.199997,85.589996,1345600,85.427299
"2018-03-19",85.660004,85.660004,84.550003,85.440002,726000,85.277588
"2018-03-20",85.849998,86.32,85.559998,86.029999,475700,85.866463
"2018-03-21",86.169998,86.919998,85.919998,86.059998,649700,85.896408
"2018-03-22",85.050003,85.650002,83.720001,83.830002,554500,83.670647
"2018-03-23",84.110001,84.110001,80.779999,80.910004,560000,80.756203
"2018-03-26",82.370003,84.290001,82.110001,84.120003,813100,83.960098
"2018-03-27",84.660004,84.660004,82.760002,83.169998,676400,83.011902
"2018-03-28",83.410004,84.120003,82.669998,83.699997,653100,83.540894
"2018-03-29",84.160004,84.879997,83.830002,84.169998,628000,84.010002
"2018-04-02",84.199997,84.260002,81.190002,82.199997,600600,82.199997
"2018-04-03",82.830002,83.769997,82.260002,83.580002,708300,83.580002
"2018-04-04",82.389999,84.82,82.389999,84.589996,1224200,84.589996
"2018-04-05",85.059998,85.459999,84.419998,84.959999,822300,84.959999
"2018-04-06",84.129997,84.639999,82.18,82.980003,782600,82.980003
"2018-04-09",83.519997,84.559998,83.07,83.150002,392900,83.150002
"2018-04-10",84.25,84.889999,83.839996,84.169998,506800,84.169998
"2018-04-11",83.339996,83.870003,83,83.419998,482600,83.419998
"2018-04-12",83.910004,84.5,83.68,84.230003,441400,84.230003
"2018-04-13",84.879997,84.970001,83.940002,84.339996,660400,84.339996
"2018-04-16",84.980003,85.620003,84.760002,85.089996,632000,85.089996
"2018-04-17",85.690002,86.099998,84.860001,85.360001,684700,85.360001
"2018-04-18",85.690002,86.169998,85.230003,85.709999,557600,85.709999
"2018-04-19",87.050003,87.699997,86.129997,87.220001,658000,87.220001
"2018-04-20",87.220001,87.980003,86.669998,87.18,792000,87.18
"2018-04-23",87.5,87.919998,86.620003,86.889999,531200,86.889999
"2018-04-24",87.209999,87.540001,85.589996,86.120003,823000,86.120003
"2018-04-25",86.169998,86.959999,85.559998,86.470001,435900,86.470001
"2018-04-26",86.480003,87.239998,86.080002,86.769997,386600,86.769997
"2018-04-27",86.529999,87.669998,86.389999,87.519997,368500,87.519997
"2018-04-30",87.779999,88.25,86.739998,86.739998,447800,86.739998
"2018-05-01",86.480003,86.769997,85.900002,86.68,292400,86.68
"2018-05-02",86.239998,86.239998,84.739998,84.870003,632300,84.870003
"2018-05-03",84.410004,84.809998,83.019997,84.089996,518000,84.089996
"2018-05-04",83.639999,85.93,83.370003,85.459999,340200,85.459999
"2018-05-07",85.550003,85.800003,84.989998,85.440002,438800,85.440002
"2018-05-08",85.400002,86.010002,84.779999,85.040001,453200,85.040001
"2018-05-09",85.349998,85.43,84.489998,85.019997,412400,85.019997
"2018-05-10",85.019997,85.529999,84.580002,85.379997,337300,85.379997
"2018-05-11",85.470001,86.169998,85.330002,85.519997,241900,85.519997
"2018-05-14",85.610001,85.739998,84.599998,84.75,368600,84.75
"2018-05-15",84.589996,85.25,84.410004,84.889999,511100,84.889999
"2018-05-16",84.720001,85.68,84.720001,85.300003,398600,85.300003
"2018-05-17",85.260002,85.910004,85,85.669998,327000,85.669998
"2018-05-18",85.629997,85.980003,85.400002,85.639999,8e+05,85.639999
"2018-05-21",85.919998,86.739998,85.82,86.580002,517000,86.580002
"2018-05-22",86.599998,87.269997,86.470001,86.989998,347700,86.989998
"2018-05-23",86.650002,86.720001,86.239998,86.580002,400400,86.580002
"2018-05-24",86.269997,86.510002,85.5,86.209999,413400,86.209999
"2018-05-25",85.959999,86.5,85.389999,85.709999,328400,85.709999
"2018-05-29",84.529999,84.849998,82.589996,83.129997,677900,83.129997
"2018-05-30",83.989998,85.449997,83.839996,85.099998,718000,85.099998
"2018-05-31",84.889999,85.309998,84.129997,84.830002,627800,84.830002
"2018-06-01",85.870003,86.629997,85.779999,85.779999,493800,85.779999
"2018-06-04",85.980003,86.410004,85.120003,85.18,408200,85.18
"2018-06-05",84.980003,85.050003,84.019997,84.93,655500,84.93
"2018-06-06",85.300003,85.760002,84.830002,85.519997,473800,85.519997
"2018-06-07",85.779999,85.910004,85.239998,85.660004,783800,85.660004
"2018-06-08",85.790001,86.300003,85.510002,86.239998,479300,86.239998
"2018-06-11",86.510002,86.669998,85.5,85.68,297700,85.68
"2018-06-12",85.690002,85.690002,84.389999,84.620003,399700,84.620003
"2018-06-13",84.75,85.129997,84.040001,84.339996,927400,84.339996
"2018-06-14",84.610001,84.800003,83.75,84.199997,803400,84.199997
"2018-06-15",83.760002,84.559998,82.970001,84.480003,1023500,84.480003
"2018-06-18",84.029999,84.360001,83.400002,84.120003,652600,84.120003
"2018-06-19",83.459999,84.510002,83.419998,84.269997,641300,84.269997
"2018-06-20",84.620003,84.879997,83.980003,84.050003,816600,84.050003
"2018-06-21",83.93,84.300003,83.449997,83.699997,663900,83.699997
"2018-06-22",84.129997,84.230003,83.400002,83.68,1060900,83.68
"2018-06-25",83.309998,83.900002,82.760002,83.620003,486000,83.620003
"2018-06-26",83.650002,83.650002,83,83.019997,425300,83.019997
"2018-06-27",82.830002,83.290001,81.330002,81.360001,376400,81.360001
"2018-06-28",81.25,81.580002,80.660004,81.150002,509600,81.150002
