"","open","high","low","close","volume","adjusted"
"2018-01-02",34.610001,34.880001,34.150002,34.77,2588500,34.77
"2018-01-03",34.959999,35.5,34.669998,34.970001,1998100,34.970001
"2018-01-04",35.220001,35.41,34.240002,34.919998,2805300,34.919998
"2018-01-05",34.98,35.150002,34.650002,34.73,1763600,34.73
"2018-01-08",34.599998,34.830002,34.27,34.669998,1865500,34.669998
"2018-01-09",34.869999,34.880001,34.450001,34.59,1478300,34.59
"2018-01-10",34.360001,34.619999,34.16,34.490002,2243600,34.490002
"2018-01-11",34.59,35.610001,34.419998,35.279999,4183100,35.279999
"2018-01-12",35.43,36.669998,35.25,36.540001,4419300,36.540001
"2018-01-16",37.360001,37.419998,35.779999,35.889999,4055000,35.889999
"2018-01-17",36.209999,36.23,35.169998,35.900002,4656300,35.900002
"2018-01-18",35.91,36.470001,35.150002,35.619999,2940700,35.619999
"2018-01-19",35.540001,35.799999,35.060001,35.450001,3190800,35.450001
"2018-01-22",35.490002,37.27,35.150002,37.200001,3137900,37.200001
"2018-01-23",37.189999,38.169998,36.259998,36.299999,3377300,36.299999
"2018-01-24",36.349998,36.830002,35.84,36.310001,2361000,36.310001
"2018-01-25",36.77,36.799999,35.580002,36.490002,1680300,36.490002
"2018-01-26",36.799999,36.970001,36.119999,36.779999,1199400,36.779999
"2018-01-29",36.549999,37.48,36.139999,36.330002,1944000,36.330002
"2018-01-30",36.040001,36.110001,34.880001,34.900002,2064600,34.900002
"2018-01-31",34.990002,35.139999,34.09,34.669998,2666000,34.669998
"2018-02-01",34.279999,34.950001,34.23,34.619999,1516700,34.619999
"2018-02-02",34.439999,34.93,34.080002,34.349998,1493600,34.349998
"2018-02-05",34.34,36.200001,34.18,35.619999,4758200,35.619999
"2018-02-06",34.889999,41.310001,34.759998,40.84,11626500,40.84
"2018-02-07",40.509998,41.34,40,41.049999,4229400,41.049999
"2018-02-08",41.200001,41.330002,40.049999,40.049999,5234500,40.049999
"2018-02-09",38.970001,40.349998,36.5,38.310001,7047900,38.310001
"2018-02-12",38.52,38.75,36.27,37.709999,3842300,37.709999
"2018-02-13",37.630001,40.139999,37.470001,39.880001,3643900,39.880001
"2018-02-14",39.5,40.93,39.02,40.720001,6076900,40.720001
"2018-02-15",46,47.02,41.450001,42.400002,19137900,42.400002
"2018-02-16",42.450001,44.259998,41.900002,43.32,5179500,43.32
"2018-02-20",43.209999,43.599998,42.240002,42.650002,3659800,42.650002
"2018-02-21",42.669998,43.110001,41.68,42.369999,4005200,42.369999
"2018-02-22",42.619999,42.619999,41.450001,41.650002,2757200,41.650002
"2018-02-23",41.779999,42.52,41.259998,42.299999,2727300,42.299999
"2018-02-26",42.400002,42.68,41.130001,41.450001,2174300,41.450001
"2018-02-27",41.639999,42.099998,39.639999,39.73,3869300,39.73
"2018-02-28",40.09,40.599998,39.549999,40.080002,2635500,40.080002
"2018-03-01",40.490002,40.75,39.349998,39.759998,2093700,39.759998
"2018-03-02",39.299999,40.259998,38.27,39.689999,2220700,39.689999
"2018-03-05",39.540001,42.110001,39.330002,41.970001,2710000,41.970001
"2018-03-06",41.889999,42.639999,41.150002,42.380001,2681700,42.380001
"2018-03-07",41.849998,43.25,41.560001,42.580002,1958500,42.580002
"2018-03-08",42.689999,42.779999,41.68,42.450001,1775400,42.450001
