"","open","high","low","close","volume","adjusted"
"X2018.01.01",0.04862,0.06129,0.04231,0.0579,1385041,0.0579
"X2018.01.02",0.0579,0.119,0.0579,0.09997,4832193,0.09997
"X2018.01.03",0.09809,0.131,0.08494,0.1294,3817909,0.1294
"X2018.01.04",0.1307,0.3876,0.1172,0.2537,18153816,0.2537
"X2018.01.05",0.2536,0.382,0.2083,0.2985,16580952,0.2985
"X2018.01.06",0.2981,0.3182,0.1453,0.194,10868708,0.194
"X2018.01.07",0.1963,0.2376,0.1466,0.2182,10881560,0.2182
"X2018.01.08",0.2163,0.219,0.1241,0.1509,7437614,0.1509
"X2018.01.09",0.1517,0.1547,0.1031,0.1254,5415399,0.1254
"X2018.01.10",0.1254,0.1437,0.09765,0.1328,6006715,0.1328
"X2018.01.11",0.1332,0.1339,0.1001,0.1108,3650414,0.1108
"X2018.01.12",0.1108,0.117,0.104,0.1086,2013551,0.1086
"X2018.01.13",0.1086,0.122,0.1009,0.1041,2647531,0.1041
"X2018.01.14",0.1041,0.1061,0.08429,0.08614,2149288,0.08614
"X2018.01.15",0.08614,0.1046,0.06668,0.07826,3613876,0.07826
"X2018.01.16",0.07767,0.0839,0.04135,0.05808,2900953,0.05808
"X2018.01.17",0.05743,0.107,0.04902,0.0854,5023979,0.0854
"X2018.01.18",0.08543,0.1085,0.07608,0.086,3867488,0.086
"X2018.01.19",0.08338,0.09487,0.07865,0.0809,1456384,0.0809
"X2018.01.20",0.0809,0.08946,0.08067,0.08601,1351560,0.08601
"X2018.01.21",0.08601,0.08601,0.0675,0.0719,1450560,0.0719
"X2018.01.22",0.07176,0.08292,0.06265,0.07199,1270665,0.07199
"X2018.01.23",0.07179,0.07499,0.06296,0.06861,1173388,0.06861
"X2018.01.24",0.06858,0.07628,0.06656,0.07221,1474028,0.07221
"X2018.01.25",0.07221,0.07687,0.06671,0.06896,702261,0.06896
"X2018.01.26",0.0697,0.07213,0.06009,0.06635,1096115,0.06635
"X2018.01.27",0.06637,0.0703,0.06399,0.06983,849904,0.06983
"X2018.01.28",0.06956,0.0729,0.06561,0.06665,991763,0.06665
"X2018.01.29",0.06657,0.06861,0.06364,0.06446,683635,0.06446
"X2018.01.30",0.0646,0.0655,0.05194,0.05421,1004559,0.05421
"X2018.01.31",0.05421,0.05564,0.05047,0.05564,722256,0.05564
"X2018.02.01",0.05701,0.06013,0.04378,0.04681,979648,0.04681
"X2018.02.02",0.04681,0.04758,0.03215,0.04201,1371128,0.04201
"X2018.02.03",0.0421,0.0498,0.03652,0.04664,1064799,0.04664
"X2018.02.04",0.04664,0.04813,0.03675,0.03872,909145,0.03872
"X2018.02.05",0.03872,0.04025,0.02854,0.03032,1997487,0.03032
"X2018.02.06",0.03032,0.03791,0.0252,0.03624,3144536,0.03624
"X2018.02.07",0.03622,0.04132,0.03189,0.03267,2886402,0.03267
"X2018.02.08",0.03267,0.03928,0.03245,0.03828,1488810,0.03828
"X2018.02.09",0.03827,0.04747,0.03595,0.0469,3169599,0.0469
"X2018.02.10",0.0469,0.05688,0.04322,0.04815,5515945,0.04815
"X2018.02.11",0.04815,0.04856,0.03904,0.04219,2553929,0.04219
"X2018.02.12",0.04214,0.04863,0.042,0.04581,1958326,0.04581
"X2018.02.13",0.04581,0.04647,0.04213,0.04308,1519732,0.04308
"X2018.02.14",0.04308,0.04683,0.04271,0.04607,1979480,0.04607
"X2018.02.15",0.04607,0.04821,0.04452,0.04643,2296375,0.04643
"X2018.02.16",0.04643,0.05412,0.04614,0.05273,3744960,0.05273
"X2018.02.17",0.05269,0.05503,0.05103,0.05493,2673484,0.05493
"X2018.02.18",0.05493,0.05551,0.04751,0.0496,2730967,0.0496
"X2018.02.19",0.04957,0.05341,0.04941,0.05172,1257505,0.05172
"X2018.02.20",0.0517,0.05244,0.04609,0.04729,1961116,0.04729
"X2018.02.21",0.04729,0.0488,0.04291,0.04494,2052235,0.04494
"X2018.02.22",0.04494,0.04743,0.03962,0.04035,1564196,0.04035
"X2018.02.23",0.0404,0.04398,0.03862,0.04319,1245572,0.04319
"X2018.02.24",0.04319,0.0461,0.03943,0.04077,1276240,0.04077
"X2018.02.25",0.04077,0.04257,0.03935,0.04021,820436,0.04021
"X2018.02.26",0.04015,0.04305,0.0386,0.04187,1086740,0.04187
"X2018.02.27",0.04191,0.04363,0.04085,0.04258,1112999,0.04258
"X2018.02.28",0.04258,0.047,0.04085,0.04364,2638571,0.04364
"X2018.03.01",0.04364,0.05,0.04246,0.04872,1949685,0.04872
"X2018.03.02",0.04872,0.057,0.04699,0.05325,4889133,0.05325
"X2018.03.03",0.05325,0.05325,0.04789,0.04919,1957332,0.04919
"X2018.03.04",0.04923,0.05003,0.04715,0.04819,1432861,0.04819
"X2018.03.05",0.04819,0.04849,0.04631,0.04673,1364904,0.04673
"X2018.03.06",0.04673,0.0483,0.0435,0.0441,1225108,0.0441
"X2018.03.07",0.0441,0.04535,0.03517,0.03864,2044761,0.03864
"X2018.03.08",0.03862,0.04007,0.03563,0.03711,1090591,0.03711
"X2018.03.09",0.03711,0.03827,0.03065,0.03747,1497573,0.03747
"X2018.03.10",0.03747,0.03889,0.03448,0.03534,1026967,0.03534
"X2018.03.11",0.03534,0.03984,0.03359,0.03875,921161,0.03875
"X2018.03.12",0.03875,0.03964,0.03467,0.03662,971406,0.03662
"X2018.03.13",0.0367,0.03861,0.03479,0.03628,641934,0.03628
"X2018.03.14",0.0363,0.03714,0.03075,0.03139,936742,0.03139
"X2018.03.15",0.03139,0.03175,0.02866,0.03033,913548,0.03033
"X2018.03.16",0.03033,0.03179,0.02919,0.03043,642437,0.03043
"X2018.03.17",0.03043,0.03109,0.02831,0.02885,525047,0.02885
"X2018.03.18",0.02885,0.03111,0.02349,0.02932,1636431,0.02932
"X2018.03.19",0.02932,0.03756,0.02852,0.03276,1568107,0.03276
"X2018.03.20",0.03276,0.04327,0.03143,0.03855,2670008,0.03855
"X2018.03.21",0.03855,0.04133,0.0363,0.03727,2839705,0.03727
"X2018.03.22",0.03726,0.03949,0.03423,0.03818,1509675,0.03818
"X2018.03.23",0.03818,0.04203,0.0351,0.04202,2136851,0.04202
"X2018.03.24",0.04202,0.05279,0.0412,0.04927,7851301,0.04927
"X2018.03.25",0.04927,0.04993,0.04502,0.04534,2971654,0.04534
"X2018.03.25.1",0.04531,0.04644,0.03934,0.04422,3450852,0.04422
"X2018.03.26",0.04422,0.04767,0.03993,0.0433,3417656,0.0433
"X2018.03.27",0.0433,0.04958,0.04274,0.04879,1873578,0.04879
"X2018.03.28",0.04879,0.05404,0.04267,0.04341,6817996,0.04341
"X2018.03.29",0.04341,0.04748,0.03871,0.04136,4160661,0.04136
"X2018.03.30",0.04136,0.04358,0.03364,0.03413,4067852,0.03413
"X2018.03.31",0.03413,0.03519,0.02833,0.03229,2749087,0.03229
"X2018.04.01",0.03229,0.03605,0.03105,0.03599,1767312,0.03599
"X2018.04.02",0.03599,0.03619,0.03368,0.0349,1840237,0.0349
"X2018.04.03",0.03493,0.03547,0.02983,0.03024,2014016,0.03024
"X2018.04.04",0.03024,0.04612,0.029,0.0393,8382193,0.0393
"X2018.04.05",0.0393,0.04423,0.03551,0.03671,2850320,0.03671
"X2018.04.06",0.03671,0.0385,0.0363,0.03724,1692723,0.03724
"X2018.04.07",0.03724,0.03917,0.03668,0.0379,1139503,0.0379
"X2018.04.08",0.03787,0.03845,0.03406,0.03606,2193685,0.03606
"X2018.04.09",0.03606,0.03784,0.03509,0.03731,1165950,0.03731
"X2018.04.10",0.03731,0.03794,0.03628,0.03657,1211249,0.03657
"X2018.04.11",0.03657,0.04078,0.03531,0.04029,4487674,0.04029
"X2018.04.12",0.04029,0.04409,0.03872,0.0393,4044318,0.0393
"X2018.04.13",0.03926,0.04159,0.03877,0.04055,1700413,0.04055
"X2018.04.14",0.04055,0.04432,0.04055,0.04367,1726453,0.04367
"X2018.04.15",0.04365,0.04463,0.03997,0.04122,2552829,0.04122
"X2018.04.16",0.04123,0.04401,0.04058,0.04248,1999202,0.04248
"X2018.04.17",0.04239,0.0477,0.04227,0.0477,3090608,0.0477
"X2018.04.18",0.0477,0.05198,0.04694,0.04936,3443474,0.04936
"X2018.04.19",0.04936,0.05413,0.04832,0.05399,3222157,0.05399
"X2018.04.20",0.05399,0.05664,0.04933,0.05332,3903637,0.05332
"X2018.04.21",0.05332,0.05484,0.05144,0.05207,2717291,0.05207
"X2018.04.22",0.05207,0.05886,0.05205,0.05879,3501239,0.05879
"X2018.04.23",0.05879,0.07723,0.0573,0.07248,12335295,0.07248
"X2018.04.24",0.07248,0.08042,0.06456,0.07004,15179312,0.07004
"X2018.04.25",0.07004,0.07413,0.06561,0.07407,5005635,0.07407
"X2018.04.26",0.07403,0.0794,0.07104,0.07338,7601950,0.07338
"X2018.04.27",0.07338,0.08432,0.07321,0.0819,7460296,0.0819
"X2018.04.28",0.0819,0.08934,0.07951,0.08836,9107801,0.08836
"X2018.04.29",0.08838,0.1008,0.08433,0.09296,16480061,0.09296
"X2018.04.30",0.09296,0.09372,0.08456,0.0923,8455983,0.0923
"X2018.05.01",0.0923,0.09277,0.08918,0.09135,4678799,0.09135
"X2018.05.02",0.09135,0.09155,0.08334,0.08704,8276408,0.08704
"X2018.05.03",0.08711,0.08894,0.08023,0.086,5316728,0.086
"X2018.05.04",0.086,0.09099,0.08551,0.08719,3174340,0.08719
"X2018.05.05",0.08719,0.08727,0.08141,0.08452,2975980,0.08452
"X2018.05.06",0.08452,0.08467,0.07857,0.08261,3763211,0.08261
"X2018.05.07",0.08269,0.08596,0.08001,0.08246,3242389,0.08246
"X2018.05.08",0.08248,0.0825,0.07808,0.08026,2681103,0.08026
"X2018.05.09",0.08027,0.0819,0.07225,0.07285,2855953,0.07285
"X2018.05.10",0.07285,0.07646,0.06264,0.06438,5329420,0.06438
"X2018.05.11",0.06438,0.07086,0.05914,0.06689,3629499,0.06689
"X2018.05.12",0.06691,0.0759,0.06621,0.07398,3004217,0.07398
"X2018.05.13",0.07399,0.07434,0.0684,0.07076,3708942,0.07076
"X2018.05.14",0.07076,0.07246,0.06637,0.06748,3259462,0.06748
"X2018.05.15",0.06745,0.0713,0.06252,0.07113,4295451,0.07113
"X2018.05.16",0.07123,0.07317,0.06516,0.06622,3989017,0.06622
"X2018.05.17",0.0662,0.06914,0.064,0.06882,4412165,0.06882
"X2018.05.18",0.06882,0.07109,0.06696,0.06875,4201472,0.06875
"X2018.05.19",0.06875,0.07804,0.06814,0.07698,6323486,0.07698
"X2018.05.20",0.07697,0.08427,0.07685,0.08109,10067157,0.08109
"X2018.05.21",0.08109,0.08222,0.07244,0.07322,7146132,0.07322
"X2018.05.22",0.07322,0.07538,0.06505,0.06805,6735895,0.06805
"X2018.05.23",0.06805,0.0733,0.06687,0.07235,4875761,0.07235
"X2018.05.24",0.07235,0.07263,0.06813,0.07044,1865309,0.07044
"X2018.05.25",0.07043,0.07635,0.06961,0.07245,3895747,0.07245
"X2018.05.26",0.07245,0.07305,0.0686,0.07016,3735956,0.07016
"X2018.05.27",0.07016,0.07056,0.05897,0.05969,5748364,0.05969
"X2018.05.28",0.05969,0.06557,0.05643,0.06402,5071403,0.06402
"X2018.05.29",0.06402,0.06732,0.05898,0.06148,4444916,0.06148
"X2018.05.30",0.06152,0.0638,0.05775,0.06018,4533732,0.06018
"X2018.05.31",0.06018,0.0612,0.05576,0.05826,2976406,0.05826
"X2018.06.01",0.05826,0.06314,0.05701,0.06076,3288550,0.06076
"X2018.06.02",0.06074,0.06336,0.06016,0.06173,3291717,0.06173
"X2018.06.03",0.06173,0.06226,0.05793,0.05873,2932892,0.05873
"X2018.06.04",0.05873,0.06121,0.05704,0.06034,2978909,0.06034
"X2018.06.05",0.06034,0.06056,0.05803,0.05915,2725558,0.05915
"X2018.06.06",0.05916,0.06032,0.05856,0.05907,3091804,0.05907
"X2018.06.07",0.05902,0.05911,0.05659,0.05752,3761816,0.05752
"X2018.06.08",0.05752,0.05926,0.05698,0.05711,3379081,0.05711
"X2018.06.09",0.05711,0.05715,0.04506,0.04718,6274584,0.04718
"X2018.06.10",0.04728,0.04882,0.04052,0.04832,2547812,0.04832
"X2018.06.11",0.04832,0.04847,0.04211,0.04369,1354156,0.04369
"X2018.06.12",0.04369,0.04386,0.03759,0.04082,2052013,0.04082
"X2018.06.13",0.04082,0.04552,0.04008,0.04505,1644149,0.04505
"X2018.06.14",0.04505,0.04594,0.04171,0.04232,1113966,0.04232
"X2018.06.15",0.04232,0.04345,0.04139,0.04305,443306,0.04305
"X2018.06.16",0.04305,0.04344,0.0424,0.04246,321547,0.04246
"X2018.06.17",0.04246,0.04593,0.04107,0.04495,1019373,0.04495
"X2018.06.18",0.04495,0.05186,0.04444,0.04979,2281152,0.04979
"X2018.06.19",0.04979,0.05021,0.04543,0.04977,2214804,0.04977
