"","open","high","low","close","volume","adjusted"
"2018-01-02",105.110001,105.620003,104.5,105.57,4236200,104.360657
"2018-01-03",105.879997,108.510002,105.599998,108.43,6918900,107.187897
"2018-01-04",108.480003,109.209999,108.050003,108.290001,5460400,107.0495
"2018-01-05",108.699997,109.230003,108.290001,109.120003,5254900,107.869995
"2018-01-08",108.550003,110.370003,108.410004,109.639999,4549400,108.384033
"2018-01-09",109.620003,110.980003,109.080002,110.389999,4747800,109.125443
"2018-01-10",109.849998,109.989998,108.209999,109.699997,5737400,108.443336
"2018-01-11",110.050003,110.760002,109.43,110.669998,3903700,109.402237
"2018-01-12",110.739998,113,110.580002,112.720001,4577800,111.428749
"2018-01-16",113.550003,113.910004,111.940002,112.919998,9251500,111.626457
"2018-01-17",113.949997,119.43,113.510002,119.160004,6907700,117.794983
"2018-01-18",119,119.980003,116,116.410004,7970300,115.076485
"2018-01-19",117.010002,117.559998,115.709999,116.830002,6367300,115.491669
"2018-01-22",117.919998,119.480003,117.459999,119.440002,7217400,118.07177
"2018-01-23",120.019997,120.75,118.900002,119.889999,8087100,118.516609
"2018-01-24",111.139999,114,108.68,109.699997,19223900,108.443336
"2018-01-25",110.860001,111.709999,109.080002,110.150002,8564800,108.888191
"2018-01-26",110.93,114,109.540001,113.690002,7801600,112.387642
"2018-01-29",112.470001,113.400002,111.25,112.650002,6389300,111.35955
"2018-01-30",111.199997,111.470001,109.300003,109.889999,6492900,109.232361
"2018-01-31",110.980003,110.989998,108.300003,109.669998,7362500,109.013672
"2018-02-01",108.75,110.75,108.57,110.080002,5828200,109.421227
"2018-02-02",109.019997,110.230003,107.519997,107.660004,7474400,107.015709
"2018-02-05",107.019997,109.120003,103.379997,104.209999,8460400,103.586349
"2018-02-06",102.620003,106.660004,102.25,105.870003,9266900,105.23642
"2018-02-07",104.599998,105.68,101.910004,101.980003,10009100,101.369698
"2018-02-08",102.029999,102.610001,97.599998,97.660004,11506600,97.075554
"2018-02-09",99.519997,101.300003,96.989998,100.489998,11599300,99.888611
"2018-02-12",101.550003,102.550003,100.43,101.940002,6673700,101.329941
"2018-02-13",101.110001,101.730003,100.120003,100.980003,5061400,100.375687
"2018-02-14",99.849998,102.959999,99.849998,102.68,7413500,102.065506
"2018-02-15",103.82,104.580002,101.540001,104.57,5264800,103.944199
"2018-02-16",104.279999,105.540001,103.879997,104.470001,4910400,103.844795
"2018-02-20",103.989998,106.860001,103.910004,105.290001,4970500,104.659889
"2018-02-21",105.769997,106.18,103.589996,103.660004,6536500,103.039642
"2018-02-22",104,105.080002,103.410004,103.93,4036500,103.308029
"2018-02-23",105.010002,107.059998,104.739998,107.040001,4936900,106.399414
"2018-02-26",107.279999,109.739998,107.279999,109.629997,5496100,108.973915
"2018-02-27",109.379997,110.290001,108.339996,108.339996,5311900,107.691628
"2018-02-28",109.040001,110.220001,108.32,108.349998,7333000,107.701576
"2018-03-01",108.93,108.93,105.720001,106.529999,8626600,105.892464
"2018-03-02",104.790001,108.480003,104.660004,108.220001,6476300,107.572357
"2018-03-05",107.480003,109.330002,106.519997,109.010002,4417200,108.357628
"2018-03-06",109.970001,110.18,108.940002,109.690002,4109600,109.033554
"2018-03-07",108.040001,109.459999,107.129997,108.559998,4637600,107.910316
"2018-03-08",109.18,109.489998,108.269997,109.489998,3573500,108.834747
"2018-03-09",110,111.610001,109.330002,111.529999,5535900,110.862541
"2018-03-12",112.040001,113,111.459999,111.629997,4270800,110.961945
"2018-03-13",112.040001,113,110.089996,110.589996,5845500,109.928169
"2018-03-14",111.209999,111.699997,109.169998,109.970001,3240600,109.311882
