"","open","high","low","close","volume","adjusted"
"X2018.01.02",221.020004,222.449997,220,221.160004,3485000,220.430176
"X2018.01.03",221.619995,223.809998,220.520004,223.479996,2417600,222.742508
"X2018.01.04",224.339996,226.100006,224.169998,224.449997,2749100,223.709305
"X2018.01.05",225.190002,229.050003,224.720001,228.729996,2432800,227.975189
"X2018.01.08",228.130005,228.710007,224.610001,224.759995,2850800,224.01828
"X2018.01.09",224.759995,226.630005,223.300003,225.880005,2672200,225.134598
"X2018.01.10",224.830002,225.009995,223.029999,224.199997,2311600,223.460129
"X2018.01.11",224.179993,225.919998,223.699997,225.389999,2543600,224.64621
"X2018.01.12",227.449997,229.899994,226.520004,228.639999,3943800,227.885483
"X2018.01.16",233.369995,235,231.25,232.899994,6852600,232.131424
"X2018.01.17",234.669998,238.960007,233.850006,238.429993,5124800,237.643173
"X2018.01.18",239.259995,243.899994,238.550003,243.160004,6234200,242.357574
"X2018.01.19",244.179993,244.350006,241.070007,243.350006,4293600,242.546951
"X2018.01.22",243.589996,243.800003,241.360001,243.559998,4012200,242.756241
"X2018.01.23",242.990005,246.979996,242.410004,245.210007,3300000,244.400818
"X2018.01.24",246.009995,247.309998,243.710007,244.850006,2733300,244.041992
"X2018.01.25",244.75,246.190002,243.899994,245.179993,2420500,244.370895
"X2018.01.26",245,248.740005,244.460007,248.470001,2615300,247.650055
"X2018.01.29",249.279999,250.789993,247.399994,247.410004,2564700,246.593552
"X2018.01.30",232.880005,242.740005,232.100006,236.649994,11565500,235.869049
"X2018.01.31",242.839996,247,235.759995,236.779999,5187400,235.998627
"X2018.02.01",235.259995,237.820007,233.830002,235.220001,4268300,234.443771
"X2018.02.02",233,236.300003,231.190002,231.880005,3959900,231.114792
"X2018.02.05",230.789993,233.110001,208.479996,220.020004,6290000,219.29393
"X2018.02.06",212.199997,226.509995,210.210007,225.179993,7064800,224.43689
"X2018.02.07",222.330002,229.289993,221.509995,225.820007,5589200,225.074799
"X2018.02.08",225.330002,226.630005,216.259995,216.460007,4902400,215.745682
"X2018.02.09",218,223.279999,212.009995,220.960007,6225300,220.230835
"X2018.02.12",222.440002,228,222.149994,225.690002,4912000,224.945221
"X2018.02.13",223.149994,227.119995,222.389999,226.639999,3536800,225.89209
"X2018.02.14",224.949997,229.339996,223.919998,228.779999,2878400,228.025024
"X2018.02.15",229.270004,230,221.740005,226.020004,4662700,225.274139
"X2018.02.16",225.990005,230.550003,225.699997,229.369995,3621700,228.613068
"X2018.02.20",227.910004,228.75,225.610001,226.660004,3172300,225.912018
"X2018.02.21",226.149994,229.350006,225.110001,225.130005,3371900,224.38707
"X2018.02.22",226.300003,229.839996,225.080002,227.089996,2767900,226.340591
"X2018.02.23",227.899994,230.320007,225.910004,230.160004,2393900,229.400467
"X2018.02.26",231.639999,234.509995,229.699997,234.059998,3307000,233.287598
"X2018.02.27",234.399994,235.889999,232.440002,232.520004,2899500,231.752686
"X2018.02.28",234.419998,234.75,226.089996,226.160004,4368600,225.413666
"X2018.03.01",225.699997,229.289993,222.740005,224.449997,3514600,223.709305
"X2018.03.02",223.210007,225.820007,222.589996,225.190002,2613600,224.446869
"X2018.03.05",223.369995,229.429993,222.789993,228.380005,2627300,227.626343
"X2018.03.06",228.919998,229.149994,223.889999,226.179993,2652800,225.433594
"X2018.03.07",224.350006,227.820007,223.75,227.270004,3242200,226.520004
"X2018.03.08",227.929993,227.990005,223.919998,224.729996,3500900,224.729996
"X2018.03.09",226.110001,226.520004,222.5,225.429993,4834600,225.429993
"X2018.03.12",226.210007,227,222.770004,222.770004,3117300,222.770004
"X2018.03.13",223.529999,228.059998,223.160004,226.940002,3343800,226.940002
"X2018.03.14",227.130005,229.389999,225.020004,225.380005,3048200,225.380005
"X2018.03.15",225.830002,230.759995,225.660004,229.479996,3330200,229.479996
"X2018.03.16",229.660004,231.270004,227.75,227.860001,5690300,227.860001
"X2018.03.19",227.309998,227.970001,223.679993,225.050003,3407300,225.050003
"X2018.03.20",225.160004,227.600006,223.880005,226.779999,3429100,226.779999
"X2018.03.21",226.449997,227.440002,222.820007,222.820007,3419800,222.820007
"X2018.03.22",221.649994,221.660004,215.100006,215.210007,5894800,215.210007
"X2018.03.23",215.75,217.729996,212.5,212.550003,5741200,212.550003
"X2018.03.26",215.190002,219.410004,214.699997,219.070007,3561300,219.070007
"X2018.03.27",220.320007,221.949997,216.410004,217.960007,3722100,217.960007
"X2018.03.28",218.889999,219.910004,217.039993,218.5,3179500,218.5
"X2018.03.29",219.380005,223.350006,214,214,5529400,214
"X2018.04.02",218.460007,222.990005,214.630005,217.199997,6220700,217.199997
"X2018.04.03",220.339996,225.100006,219.690002,224.580002,4652000,224.580002
"X2018.04.04",220.690002,229.479996,220.419998,228.789993,4674000,228.789993
"X2018.04.05",229.460007,231.580002,226.800003,229.070007,3348100,229.070007
"X2018.04.06",226.649994,228.190002,221.820007,223.960007,3231700,223.960007
"X2018.04.09",225.580002,226.130005,222.360001,222.729996,3031500,222.729996
"X2018.04.10",225.399994,228.160004,223.490005,226.789993,2737500,226.789993
"X2018.04.11",224.270004,225.389999,221.690002,221.899994,3482100,221.899994
"X2018.04.12",224.039993,225.75,223.410004,224.240005,2664500,224.240005
"X2018.04.13",225.100006,226.130005,223.080002,224.279999,2496600,224.279999
"X2018.04.16",227.110001,231.850006,226.350006,230.320007,4510600,230.320007
"X2018.04.17",239.309998,241.669998,236.080002,238.550003,6180300,238.550003
"X2018.04.18",239,239.740005,236.300003,236.399994,2940100,236.399994
"X2018.04.19",236.199997,238.270004,234.800003,235.759995,2734900,235.759995
"X2018.04.20",236.050003,237.100006,233.5,235.059998,2842000,235.059998
"X2018.04.23",235.289993,236.210007,233.080002,234.339996,3051700,234.339996
"X2018.04.24",235.949997,237.320007,232.559998,234.220001,2599200,234.220001
"X2018.04.24.1",235.949997,237.320007,232.559998,234.220001,2771226,234.220001
