"","open","high","low","close","volume","adjusted"
"2018-01-02",55.439999,55.580002,54.599998,54.860001,1744600,54.371101
"2018-01-03",54.849998,55.360001,54.75,55.259998,2057700,54.767536
"2018-01-04",55.580002,56.220001,55.459999,55.75,1057400,55.25317
"2018-01-05",56,56.040001,55.48,55.990002,1031100,55.491035
"2018-01-08",56.049999,56.540001,55.830002,56.470001,1571100,55.966755
"2018-01-09",56.720001,57.419998,56.66,56.959999,1219000,56.452385
"2018-01-10",57.02,57.849998,56.73,57.52,1838000,57.007401
"2018-01-11",57.900002,58.5,57.84,58.220001,1270200,57.70116
"2018-01-12",58.610001,58.73,58.290001,58.59,997300,58.06786
"2018-01-16",58.189999,58.189999,55.369999,55.540001,3415000,55.045044
"2018-01-17",55.84,56.549999,55.650002,56.349998,2130700,55.847824
"2018-01-18",56.619999,56.959999,56.040001,56.139999,1209200,55.639698
"2018-01-19",56.34,56.52,55.549999,55.990002,1822900,55.491035
"2018-01-22",56.02,56.16,55.740002,56.099998,1130900,55.600052
"2018-01-23",55.860001,56.439999,55.689999,56.200001,1141200,55.699162
"2018-01-24",56.490002,57.119999,55.869999,55.959999,1612000,55.4613
"2018-01-25",56.18,56.189999,54.959999,55.029999,1686300,54.539589
"2018-01-26",55.029999,55.810001,54.849998,55.740002,1668900,55.475124
"2018-01-29",55.790001,56.279999,55.25,55.259998,1314500,54.997402
"2018-01-30",54.68,54.900002,53.669998,53.669998,2003900,53.414955
"2018-01-31",53.599998,53.790001,53.040001,53.189999,3014200,52.937237
"2018-02-01",52.389999,54.32,50.400002,53.279999,4222400,53.02681
"2018-02-02",53.200001,54.73,52.68,52.709999,2413000,52.459518
"2018-02-05",52.09,52.599998,50.200001,50.43,2452800,50.190353
"2018-02-06",49.169998,50.889999,48.490002,50.639999,2371900,50.399357
"2018-02-07",50.369999,51.23,50.209999,50.580002,2824700,50.339645
"2018-02-08",50.639999,50.639999,47.84,47.869999,2511500,47.642517
"2018-02-09",48.439999,49.630001,47.529999,49.209999,2096700,48.976151
"2018-02-12",49.59,50.93,49.27,50.48,3594900,50.240116
"2018-02-13",50.650002,51.16,50.18,50.82,3265300,50.578503
"2018-02-14",50.459999,52.599998,50.41,52.450001,1587600,52.200756
"2018-02-15",52.799999,53.099998,51.810001,52.150002,1415500,51.902184
"2018-02-16",51.84,52.810001,51.060001,52.450001,1927100,52.200756
"2018-02-20",52.27,52.68,52.060001,52.34,1455400,52.091278
"2018-02-21",52.389999,52.860001,51.959999,51.98,1360700,51.73299
"2018-02-22",52.110001,52.23,51.16,51.259998,2302400,51.016407
"2018-02-23",51.41,51.77,51.23,51.73,1091500,51.484177
"2018-02-26",51.959999,52.5,51.77,52.41,1026900,52.160946
"2018-02-27",52.349998,53.060001,51.939999,51.939999,1394700,51.693176
"2018-02-28",52.220001,52.450001,50.950001,50.959999,1942700,50.717834
"2018-03-01",50.900002,51.150002,49.110001,49.310001,2398800,49.07568
"2018-03-02",48.93,49.259998,47.790001,49.150002,1940100,48.916439
"2018-03-05",48.709999,50.330002,48.52,49.959999,1431400,49.722588
"2018-03-06",50.18,50.240002,49.279999,49.959999,1303900,49.722588
"2018-03-07",49.32,50.07,49.209999,49.939999,1267300,49.702682
"2018-03-08",50.060001,50.060001,49.09,49.630001,1229600,49.394157
"2018-03-09",50.18,51.23,49.810001,51.189999,1383400,50.946743
"2018-03-12",51.150002,51.330002,50.639999,50.689999,1578600,50.44912
"2018-03-13",51.119999,51.200001,50.209999,50.32,1080700,50.080875
"2018-03-14",50.599998,50.75,49.380001,49.509998,1108200,49.274723
"2018-03-15",49.799999,50.240002,49.490002,49.810001,1053600,49.573303
"2018-03-16",50,50.790001,49.810001,50.279999,2400500,50.041065
"2018-03-19",50.310001,50.5,49.34,49.869999,1227200,49.633015
"2018-03-20",50.209999,50.509998,50.049999,50.27,851800,50.031116
"2018-03-21",50.439999,51.169998,50.139999,50.630001,1104400,50.389404
"2018-03-22",49.939999,50.150002,48.52,48.619999,1170000,48.388954
"2018-03-23",48.799999,48.799999,46.869999,46.98,1399700,46.756748
"2018-03-26",47.860001,48.32,47.110001,48.240002,2346800,48.010765
"2018-03-27",48.25,48.619999,47.18,47.470001,1527900,47.244423
"2018-03-28",47.59,47.849998,46.700001,47.290001,1797700,47.065277
"2018-03-29",47.639999,48.060001,47.389999,47.610001,1383900,47.383755
"2018-04-02",47.669998,47.959999,45.91,46.68,1766700,46.458176
"2018-04-03",47.139999,47.360001,46.48,47.169998,1512500,46.945843
"2018-04-04",46.299999,47.82,46.299999,47.68,1078100,47.453423
"2018-04-05",48.02,48.220001,47.560001,47.950001,1357500,47.722141
"2018-04-06",47.5,47.610001,46.209999,46.59,1700100,46.368603
"2018-04-09",47,47.470001,46.380001,46.450001,1831100,46.229267
"2018-04-10",47.220001,47.98,47.040001,47.630001,1504800,47.40366
"2018-04-11",47.080002,47.310001,46.740002,46.810001,1150500,46.587559
"2018-04-12",47.189999,48.169998,47.040001,47.990002,1189000,47.761951
"2018-04-13",48.380001,48.48,47.369999,47.509998,1116500,47.284229
"2018-04-16",47.959999,48.23,47.669998,47.950001,1590500,47.722141
"2018-04-17",48.310001,48.310001,47.450001,47.560001,1134400,47.333996
"2018-04-18",47.830002,48.110001,47.59,48.029999,2713300,47.801758
"2018-04-19",48.119999,48.849998,48.060001,48.73,1294700,48.498432
"2018-04-20",48.950001,49.029999,48.459999,48.880001,1669600,48.64772
"2018-04-23",49.110001,49.16,48.59,48.790001,708700,48.558147
"2018-04-24",48.91,49.330002,47.959999,48.240002,953300,48.010765
"2018-04-25",48.349998,48.689999,47.73,48.459999,1062200,48.229713
"2018-04-26",48.34,48.68,48.02,48.400002,1142200,48.170002
"2018-04-27",48,48.959999,47.970001,48.919998,1469600,48.919998
"2018-04-30",48.939999,49.240002,48.380001,48.380001,1292300,48.380001
"2018-05-01",48.209999,48.380001,47.59,47.900002,1249900,47.900002
"2018-05-02",40.389999,41.689999,39.599998,39.779999,8186900,39.779999
"2018-05-03",39.360001,40,38.93,39.049999,3501500,39.049999
"2018-05-04",38.830002,39.950001,38.75,39.860001,3922700,39.860001
"2018-05-07",39.939999,39.98,39.419998,39.610001,2436300,39.610001
"2018-05-08",39.720001,39.799999,38.049999,38.25,5605800,38.25
"2018-05-09",38.209999,38.259998,37.639999,37.759998,3870400,37.759998
"2018-05-10",37.759998,38.18,37.57,38.009998,3074500,38.009998
"2018-05-11",38.130001,38.779999,37.799999,37.950001,2972400,37.950001
"2018-05-14",38.099998,38.450001,37.779999,37.880001,2439400,37.880001
"2018-05-15",37.880001,38.400002,37.830002,38.110001,2109100,38.110001
"2018-05-16",38.049999,38.689999,38.049999,38.470001,2761900,38.470001
"2018-05-17",38.529999,39.110001,38.43,38.860001,2641800,38.860001
