"","open","high","low","close","volume","adjusted"
"2018-01-01",8.1799,8.1924,7.92795,8.1799,0,8.1799
"2018-01-02",8.18021,8.18887,8.1283,8.17945,0,8.17945
"2018-01-03",8.1559,8.1887,8.1558,8.1569,0,8.1569
"2018-01-04",8.1799,8.18399,8.1228,8.1806,0,8.1806
"2018-01-05",8.13275,8.16392,8.1232,8.13209,0,8.13209
"2018-01-08",8.1446,8.21988,8.1317,8.14562,0,8.14562
"2018-01-09",8.20457,8.25028,8.1911,8.2035,0,8.2035
"2018-01-10",8.23528,8.23723,8.16024,8.2356,0,8.2356
"2018-01-11",8.19468,8.20399,8.1239,8.192,0,8.192
"2018-01-12",8.12407,8.12859,8.0858,8.12411,0,8.12411
"2018-01-15",8.0462,8.05917,8.002,8.0424,0,8.0424
"2018-01-16",8.01418,8.0543,8.00392,8.01217,0,8.01217
"2018-01-17",8.0298,8.07082,8.00626,8.0319,0,8.0319
"2018-01-18",8.05053,8.05701,8.0058,8.04787,0,8.04787
"2018-01-19",8.01751,8.04225,7.99823,8.0153,0,8.0153
"2018-01-22",8.0222,8.04823,8.012,8.0228,0,8.0228
"2018-01-23",8.0251,8.04645,8.0077,8.0226,0,8.0226
"2018-01-24",7.99848,8.00829,7.9238,7.99723,0,7.99723
"2018-01-25",7.92719,7.93255,7.8286,7.9308,0,7.9308
"2018-01-26",7.92677,7.92989,7.85286,7.92659,0,7.92659
"2018-01-29",7.8655,7.91296,7.8623,7.86941,0,7.86941
"2018-01-30",7.88388,7.92501,7.8594,7.8814,0,7.8814
"2018-01-31",7.88763,7.89126,7.82663,7.88546,0,7.88546
"2018-02-01",7.87976,7.90261,7.854,7.8763,0,7.8763
"2018-02-02",7.84011,7.92573,7.8376,7.84182,0,7.84182
"2018-02-05",7.90385,7.93866,7.8781,7.90385,0,7.90385
"2018-02-06",7.97925,8.0074,7.92768,7.97942,0,7.97942
"2018-02-07",7.945,8.0421,7.935,7.9478,0,7.9478
"2018-02-08",8.08117,8.13961,8.04407,8.0786,0,8.0786
"2018-02-09",8.1037,8.15635,8.0879,8.10416,0,8.10416
"2018-02-12",8.0894,8.11146,8.059,8.08996,0,8.08996
"2018-02-13",8.05718,8.06715,8.02379,8.053,0,8.053
"2018-02-14",8.02716,8.10361,7.98745,8.02549,0,8.02549
"2018-02-15",7.94094,7.97344,7.9124,7.94167,0,7.94167
"2018-02-16",7.9213,7.97196,7.89697,7.92666,0,7.92666
"2018-02-19",7.96369,8.00468,7.9475,7.96463,0,7.96463
"2018-02-20",7.9884,8.10198,7.984,7.9905,0,7.9905
"2018-02-21",8.09593,8.11164,8.0786,8.0968,0,8.0968
"2018-02-22",8.11805,8.14703,8.0976,8.11946,0,8.11946
"2018-02-23",8.11866,8.18411,8.1176,8.12077,0,8.12077
"2018-02-26",8.17874,8.18299,8.1217,8.1792,0,8.1792
"2018-02-27",8.15096,8.23313,8.1323,8.15114,0,8.15114
"2018-02-28",8.22926,8.3107,8.2174,8.2251,0,8.2251
"2018-03-01",8.29188,8.31678,8.25673,8.29271,0,8.29271
"2018-03-02",8.2438,8.2867,8.22803,8.24425,0,8.24425
"2018-03-05",8.2454,8.28921,8.2361,8.2476,0,8.2476
"2018-03-06",8.25846,8.27365,8.2026,8.2576,0,8.2576
"2018-03-07",8.20407,8.25995,8.2017,8.20413,0,8.20413
"2018-03-08",8.2256,8.2762,8.21197,8.22701,0,8.22701
"2018-03-09",8.2714,8.27461,8.22657,8.2689,0,8.2689
"2018-03-12",8.2392,8.2665,8.2186,8.24258,0,8.24258
"2018-03-13",8.23702,8.2508,8.19138,8.23638,0,8.23638
"2018-03-14",8.21145,8.21819,8.17437,8.2106,0,8.2106
