"","open","high","low","close","volume","adjusted"
"2018-01-01",3.7949,3.7949,3.789,3.7949,0,3.7949
"2018-01-02",3.7913,3.7913,3.7529,3.7911,0,3.7911
"2018-01-03",3.7654,3.77866,3.7555,3.7656,0,3.7656
"2018-01-04",3.7808,3.7848,3.74537,3.7806,0,3.7806
"2018-01-05",3.74963,3.75921,3.7305,3.75027,0,3.75027
"2018-01-08",3.73308,3.75594,3.7315,3.73235,0,3.73235
"2018-01-09",3.7436,3.77829,3.7397,3.7439,0,3.7439
"2018-01-10",3.76832,3.80572,3.76528,3.76842,0,3.76842
"2018-01-11",3.79747,3.80555,3.7736,3.7987,0,3.7987
"2018-01-12",3.77374,3.78171,3.7487,3.77355,0,3.77355
"2018-01-15",3.7552,3.80245,3.74605,3.75156,0,3.75156
"2018-01-16",3.80044,3.83162,3.785,3.79997,0,3.79997
"2018-01-17",3.7994,3.83164,3.7934,3.79867,0,3.79867
"2018-01-18",3.8162,3.81988,3.7639,3.81517,0,3.81517
"2018-01-19",3.7655,3.81633,3.75985,3.76548,0,3.76548
"2018-01-22",3.827,3.83173,3.7718,3.82323,0,3.82323
"2018-01-23",3.7766,3.80236,3.7669,3.7765,0,3.7765
"2018-01-24",3.7679,3.77341,3.7325,3.7682,0,3.7682
"2018-01-25",3.74999,3.75479,3.7163,3.7494,0,3.7494
"2018-01-26",3.7593,3.76295,3.7284,3.75968,0,3.75968
"2018-01-29",3.75072,3.79254,3.75024,3.74998,0,3.74998
"2018-01-30",3.78597,3.79874,3.76257,3.7864,0,3.7864
"2018-01-31",3.77748,3.7806,3.7444,3.77572,0,3.77572
"2018-02-01",3.7565,3.77125,3.7313,3.7563,0,3.7563
"2018-02-02",3.7333,3.77367,3.73327,3.7337,0,3.7337
"2018-02-05",3.7719,3.77439,3.755,3.7719,0,3.7719
"2018-02-06",3.7865,3.79482,3.76903,3.7867,0,3.7867
"2018-02-07",3.7676,3.79123,3.76296,3.76471,0,3.76471
"2018-02-08",3.80333,3.83402,3.7918,3.8025,0,3.8025
"2018-02-09",3.82236,3.83174,3.8093,3.82262,0,3.82262
"2018-02-12",3.8166,3.81795,3.79936,3.81675,0,3.81675
"2018-02-13",3.7982,3.80983,3.791,3.79766,0,3.79766
"2018-02-14",3.80471,3.82168,3.78198,3.8048,0,3.8048
"2018-02-15",3.77926,3.7843,3.7648,3.77973,0,3.77973
"2018-02-16",3.76385,3.77307,3.7374,3.7646,0,3.7646
"2018-02-19",3.74774,3.76215,3.74599,3.74685,0,3.74685
"2018-02-20",3.7581,3.81125,3.7576,3.75819,0,3.75819
"2018-02-21",3.7978,3.80792,3.7809,3.7978,0,3.7978
"2018-02-22",3.79194,3.80893,3.7797,3.79186,0,3.79186
"2018-02-23",3.7823,3.79398,3.7785,3.7824,0,3.7824
"2018-02-26",3.78784,3.79125,3.7757,3.78784,0,3.78784
"2018-02-27",3.7857,3.81322,3.7811,3.78509,0,3.78509
"2018-02-28",3.8152,3.81562,3.7969,3.8152,0,3.8152
"2018-03-01",3.8029,3.81954,3.7998,3.8029,0,3.8029
"2018-03-02",3.80945,3.82429,3.803,3.8077,0,3.8077
"2018-03-05",3.80966,3.828,3.80814,3.8101,0,3.8101
"2018-03-06",3.8106,3.81285,3.7869,3.8106,0,3.8106
"2018-03-07",3.79726,3.80835,3.7916,3.7988,0,3.7988
"2018-03-08",3.80704,3.82602,3.80172,3.80629,0,3.80629
