"","open","high","low","close","volume","adjusted"
"2018-01-02",12.07,12.1,12.01,12.07,11980700,12.07
"2018-01-03",12.17,12.36,12.17,12.34,17249200,12.34
"2018-01-04",12.33,12.42,12.31,12.37,11847900,12.37
"2018-01-05",12.28,12.33,12.21,12.31,12879100,12.31
"2018-01-08",12.31,12.38,12.27,12.38,9833800,12.38
"2018-01-09",12.41,12.64,12.37,12.57,21329200,12.57
"2018-01-10",12.67,12.71,12.6,12.68,14572400,12.68
"2018-01-11",12.76,12.92,12.7,12.7,20632800,12.7
"2018-01-12",12.68,12.89,12.65,12.87,22801600,12.87
"2018-01-16",12.81,12.86,12.68,12.76,18222800,12.76
"2018-01-17",12.73,12.84,12.71,12.78,15936200,12.78
"2018-01-18",12.75,12.85,12.7,12.76,16605700,12.76
"2018-01-19",12.68,12.74,12.61,12.72,17345400,12.72
"2018-01-22",12.68,12.84,12.63,12.78,14929800,12.78
"2018-01-23",12.84,12.99,12.83,12.97,16617900,12.97
"2018-01-24",12.94,13.23,12.91,13.22,26137800,13.22
"2018-01-25",13.28,13.3,13.03,13.06,16774400,13.06
"2018-01-26",13.11,13.29,13.1,13.24,31775900,13.24
"2018-01-29",13.11,13.15,13.01,13.11,15828900,13.11
"2018-01-30",12.94,12.95,12.84,12.9,34429400,12.9
"2018-01-31",12.91,13.01,12.79,12.98,19696100,12.98
"2018-02-01",13.08,13.26,13.03,13.24,20074200,13.24
"2018-02-02",13.12,13.17,12.92,13.04,28757500,13.04
"2018-02-05",13.03,13.07,12.73,12.77,30728600,12.77
"2018-02-06",12.7,12.88,12.67,12.7,23636300,12.7
"2018-02-07",12.72,12.81,12.28,12.37,36909300,12.37
"2018-02-08",12.42,12.44,12.08,12.09,27259500,12.09
"2018-02-09",12.11,12.14,11.65,11.86,43183100,11.86
"2018-02-12",11.98,12.1,11.87,11.89,16312100,11.89
"2018-02-13",11.79,11.93,11.71,11.87,18982100,11.87
"2018-02-14",11.73,12.23,11.69,12.18,35759100,12.18
"2018-02-15",12.09,12.36,11.99,12.33,19248300,12.33
"2018-02-16",12.27,12.44,12.22,12.38,17782500,12.38
"2018-02-20",12.42,12.56,12.35,12.39,21757900,12.39
"2018-02-21",12.33,12.44,12.28,12.29,11380400,12.29
"2018-02-22",12.46,12.69,12.38,12.59,19294700,12.59
"2018-02-23",12.61,12.82,12.6,12.77,18401000,12.77
"2018-02-26",12.73,12.92,12.68,12.86,13987400,12.86
"2018-02-27",12.84,12.85,12.61,12.65,17031600,12.65
"2018-02-28",12.71,12.76,12.34,12.37,27806400,12.37
"2018-03-01",12.26,12.38,12.11,12.35,25910900,12.35
"2018-03-02",12.22,12.37,12.1,12.37,18037700,12.37
"2018-03-05",12.33,12.63,12.32,12.59,19666800,12.59
"2018-03-06",12.62,12.64,12.51,12.57,18055900,12.57
"2018-03-07",12.48,12.59,12.19,12.35,24957700,12.35
"2018-03-08",12.32,12.33,12.08,12.15,23049800,12.15
"2018-03-09",12.27,12.5,12.26,12.47,19384800,12.47
"2018-03-12",12.41,12.44,12.22,12.37,17481100,12.37
"2018-03-13",12.31,12.5,12.15,12.24,24193900,12.24
"2018-03-14",12.28,12.34,12.14,12.28,18557000,12.28
"2018-03-15",12.35,12.42,12.29,12.34,11738900,12.34
"2018-03-16",12.35,12.62,12.32,12.55,27880700,12.55
"2018-03-19",12.57,12.58,12.39,12.55,22842900,12.55
"2018-03-20",12.76,12.9,12.71,12.81,18254700,12.81
"2018-03-21",12.96,13.21,12.93,13.18,23088200,13.18
"2018-03-22",13.01,13.05,12.93,12.95,15731600,12.95
"2018-03-23",13.09,13.3,13.08,13.28,18159100,13.28
"2018-03-26",13.23,13.28,13.12,13.21,24974700,13.21
"2018-03-27",13.28,13.29,13.04,13.08,20617300,13.08
"2018-03-28",13.02,13.13,12.85,13.04,18983200,13.04
"2018-03-29",12.99,13.16,12.94,13.09,16318400,13.09
"2018-04-02",12.98,12.98,12.7,12.74,19311400,12.74
"2018-04-03",12.78,12.86,12.72,12.81,9174600,12.81
"2018-04-04",12.55,12.83,12.52,12.82,20310800,12.82
"2018-04-05",12.82,12.94,12.74,12.83,17246300,12.83
"2018-04-06",12.8,12.85,12.47,12.51,25180100,12.51
"2018-04-09",12.69,12.83,12.67,12.77,12814100,12.77
"2018-04-10",13.02,13.27,13.02,13.25,23747600,13.25
"2018-04-11",13.3,13.59,13.25,13.45,24684500,13.45
"2018-04-12",13.4,13.54,13.3,13.52,14872000,13.52
"2018-04-13",13.55,13.64,13.5,13.55,14162800,13.55
"2018-04-16",13.49,13.5,13.34,13.38,14024600,13.38
"2018-04-17",13.27,13.44,13.24,13.41,13155100,13.41
"2018-04-18",13.7,13.9,13.64,13.88,26579100,13.88
"2018-04-19",13.95,14,13.72,13.77,17428400,13.77
"2018-04-20",13.66,13.84,13.62,13.75,11831000,13.75
"2018-04-23",13.61,13.94,13.55,13.92,16592800,13.92
"2018-04-24",13.85,14,13.63,13.68,20080400,13.68
"2018-04-25",13.69,13.76,13.55,13.72,13658500,13.72
"2018-04-26",13.83,13.84,13.67,13.77,17213700,13.77
"2018-04-27",13.68,13.8,13.67,13.73,12811800,13.73
"2018-04-30",13.62,14,13.6,13.8,28937300,13.8
"2018-05-01",13.69,13.7,13.5,13.61,16092100,13.61
"2018-05-02",13.56,13.76,13.51,13.67,13823000,13.67
"2018-05-03",13.63,13.85,13.58,13.82,12158000,13.82
"2018-05-04",13.83,14.13,13.83,14.09,18774100,14.09
"2018-05-07",14.19,14.3,14.03,14.1,28789200,14.1
"2018-05-08",14.18,14.22,13.66,14.06,52862500,14.06
"2018-05-09",14.27,14.41,14.26,14.37,19482500,14.37
"2018-05-10",14.38,14.44,14.25,14.41,15627100,14.41
"2018-05-11",14.37,14.43,14.24,14.25,14070000,14.25
