"","open","high","low","close","volume","adjusted"
"2018-01-02",114.57,115.080002,113.949997,114.510002,6080900,114.127594
"2018-01-03",114.949997,115.790001,114.660004,115.650002,6946100,115.263779
"2018-01-04",116.25,117.360001,116.029999,116.080002,7805300,115.692345
"2018-01-05",116.989998,119,116.419998,118.860001,8590500,118.463058
"2018-01-08",118.610001,120.480003,118.07,119.339996,6660700,118.94146
"2018-01-09",119.970001,119.970001,118.660004,119.110001,6562400,118.712227
"2018-01-10",118.690002,119.050003,117.459999,118.980003,7490300,118.582664
"2018-01-11",118.800003,119.980003,118.68,119.839996,5982100,119.439789
"2018-01-12",120.120003,120.349998,119.709999,120.089996,5585800,119.68895
"2018-01-16",121.18,121.940002,119.910004,120.389999,8803800,119.987953
"2018-01-17",121.199997,122.160004,120.730003,121.980003,7805900,121.572647
"2018-01-18",122.519997,123.199997,122.029999,123.110001,8661000,122.698868
"2018-01-19",123.050003,123.650002,121.919998,122.699997,8250700,122.29023
"2018-01-22",122.870003,124.330002,122.400002,124.330002,9355000,123.914795
"2018-01-23",124.599998,125.510002,124.209999,124.650002,5683300,124.233727
"2018-01-24",125.050003,125.449997,123.709999,124.550003,6425200,124.134064
"2018-01-25",125,125.470001,124.629997,125.220001,7166400,124.801819
"2018-01-26",125.769997,126.379997,124.760002,126.32,5604900,125.898148
"2018-01-29",126.739998,126.879997,124.690002,124.839996,6257900,124.423088
"2018-01-30",123.82,124.290001,122.839996,123.550003,8154400,123.137405
"2018-01-31",123.779999,124.480003,123.040001,124.230003,7338200,123.815132
"2018-02-01",124.739998,126.260002,124.099998,125.720001,11169700,125.300148
"2018-02-02",123.720001,123.720001,120.699997,120.910004,13937700,120.506218
"2018-02-05",118.699997,121.129997,115.010002,116.269997,16623900,115.881706
"2018-02-06",115.199997,120.300003,113.25,119.970001,19053300,119.569351
"2018-02-07",120.089996,122.459999,119.209999,119.650002,9294000,119.250427
"2018-02-08",119.529999,119.82,113.540001,113.860001,12673400,113.479759
"2018-02-09",114.550003,117.209999,111.019997,116.32,17695500,115.931549
"2018-02-12",117.790001,118.839996,116.879997,118.470001,11526300,118.074364
"2018-02-13",117.849998,118.800003,117.129997,118.349998,7803900,117.954765
"2018-02-14",117.620003,120.949997,117.5,120.830002,9206400,120.426483
"2018-02-15",121.699997,122.309998,119.970001,122.279999,6921300,122.083817
"2018-02-16",121.629997,122.989998,121.57,121.849998,6371400,121.654503
"2018-02-20",121.349998,123.050003,121.019997,122.010002,6182800,121.814255
"2018-02-21",122.050003,122.830002,120.410004,120.43,7676100,120.236786
"2018-02-22",120.669998,121.379997,119.620003,120.379997,4994000,120.186859
"2018-02-23",121.57,122.959999,121.220001,122.93,5036900,122.732773
"2018-02-26",123.580002,124.599998,123.32,124.589996,6270500,124.390106
"2018-02-27",124.699997,125.300003,123.349998,123.370003,7287200,123.172073
"2018-02-28",123.650002,124.980003,122.879997,122.940002,6780900,122.74276
"2018-03-01",123.260002,124,119.620003,120.400002,8819600,120.206833
"2018-03-02",119.089996,120.980003,117.860001,120.769997,7581900,120.576233
"2018-03-05",120.449997,122.309998,119.440002,121.879997,5810200,121.684456
"2018-03-06",122.830002,123.239998,120.669998,121.059998,7464400,120.865768
"2018-03-07",120.029999,122.239998,119.699997,121.849998,7254100,121.654503
"2018-03-08",121.959999,122.82,121.169998,122.220001,6948900,122.023911
"2018-03-09",123.25,124.790001,122.870003,124.510002,6397700,124.310242
"2018-03-12",124.75,124.980003,123.480003,124.239998,8636000,124.040672
"2018-03-13",124.25,125,122.900002,123.199997,9479500,123.002335
"2018-03-14",124.040001,124.040001,121.900002,122.580002,7855000,122.383339
"2018-03-15",123.129997,124.419998,122.699997,123.410004,5861900,123.212006
"2018-03-16",123.849998,125.050003,123.330002,124.529999,9447100,124.330208
"2018-03-19",123.940002,124.309998,122.279999,123.209999,17387800,123.012321
"2018-03-20",123.379997,125.169998,123.300003,124.910004,7779700,124.709602
"2018-03-21",124.900002,125.440002,123.07,123.220001,7359500,123.022308
"2018-03-22",122.199997,122.68,119.699997,119.989998,10501500,119.797485
"2018-03-23",119.889999,120.330002,116.760002,117,10024300,116.812286
"2018-03-26",119.089996,120.739998,117.800003,120.639999,8735400,120.446449
"2018-03-27",121.519997,121.599998,116.739998,117.400002,9008600,117.211647
"2018-03-28",116.93,118.07,116.029999,116.989998,9420400,116.802299
"2018-03-29",117.68,120.589996,117.040001,119.620003,12918100,119.428085
"2018-04-02",119.269997,119.830002,116.760002,118.389999,9877100,118.200058
"2018-04-03",118.889999,119.989998,117.489998,119.199997,7084800,119.008759
"2018-04-04",116.900002,120.120003,116.709999,119.809998,8425700,119.617775
"2018-04-05",121,122.010002,120.370003,121.190002,6816000,120.995567
"2018-04-06",120.18,120.559998,117.120003,117.699997,8383800,117.511162
"2018-04-09",118.629997,120.669998,118.629997,118.790001,7024800,118.599419
"2018-04-10",120.559998,121.160004,119.639999,120.720001,8947200,120.526321
"2018-04-11",119.989998,121.660004,119.620003,119.779999,5874900,119.58783
"2018-04-12",120.400002,121.980003,120.389999,121.07,5666000,120.875755
"2018-04-13",121.730003,122.470001,120.650002,120.75,9174300,120.556274
"2018-04-16",122.110001,122.870003,121.510002,121.879997,6903200,121.684456
"2018-04-17",122.910004,124.260002,122.519997,123.800003,5979600,123.601379
"2018-04-18",124.059998,124.870003,123.379997,124.480003,5171000,124.280289
"2018-04-19",124.309998,124.720001,123.150002,123.959999,7294100,123.761124
"2018-04-20",124.059998,124.82,123.309998,124.199997,7479400,124.000732
"2018-04-23",124.300003,124.970001,123.900002,124.459999,8004300,124.260315
"2018-04-24",124.870003,125.040001,120.550003,121.269997,9434400,121.075432
"2018-04-25",121.139999,121.349998,119.370003,121.209999,8001200,121.015533
"2018-04-26",125.139999,127.589996,123.779999,127.080002,14345800,126.876114
"2018-04-27",126.440002,127.059998,125.389999,126.010002,6842700,125.807831
"2018-04-30",126.739998,127.900002,126.660004,126.879997,8449200,126.676437
"2018-05-01",126.860001,127.57,125.510002,127.510002,6407300,127.305428
"2018-05-02",127.879997,128.100006,126,126.379997,8515300,126.177238
"2018-05-03",125.809998,127.459999,125.32,127.18,6778600,126.975952
"2018-05-04",126.330002,128.360001,126.07,128.160004,5798400,127.954384
"2018-05-07",128.399994,129.520004,128.25,129.259995,5737300,129.052612
"2018-05-08",129.139999,129.970001,128.309998,129.899994,5044700,129.691589
"2018-05-09",130.009995,131,129.589996,130.839996,6119400,130.630081
"2018-05-10",131.289993,131.75,130.720001,131,6585800,130.789825
"2018-05-11",131,132.089996,130.229996,131.820007,5437100,131.608521
"2018-05-14",132.429993,132.5,130.669998,131.210007,5017000,130.999496
"2018-05-15",130.559998,131.399994,129.899994,131.100006,5532300,130.889679
"2018-05-16",131.089996,131.399994,130.539993,130.889999,5124200,130.680008
"2018-05-17",130.580002,130.800003,129.610001,129.929993,4911700,129.929993
"2018-05-18",129.619995,130.339996,129.070007,129.929993,6082700,129.929993
"2018-05-21",130.949997,131.509995,129.990005,130.660004,5591800,130.660004
"2018-05-22",131,131.779999,130.5,130.710007,6645500,130.710007
"2018-05-23",130.059998,131.910004,129.800003,131.880005,6545200,131.880005
"2018-05-24",131.820007,132.210007,130.5,131.889999,5977200,131.889999
"2018-05-25",131.880005,132.100006,130.929993,131.279999,7509600,131.279999
"2018-05-29",130.389999,131.050003,129.059998,129.690002,10367200,129.690002
"2018-05-30",130.199997,131.100006,129.869995,130.639999,10631300,130.639999
"2018-05-31",130.649994,131.580002,129.979996,130.720001,11086000,130.720001
"2018-06-01",131.839996,132.509995,130.360001,130.850006,8302700,130.850006
"2018-06-04",131.940002,133.570007,131.429993,133.070007,7158200,133.070007
"2018-06-05",133.380005,133.619995,132.699997,133.559998,6198200,133.559998
"2018-06-06",134,136.309998,133.610001,136.279999,8065800,136.279999
"2018-06-07",136.360001,136.580002,133.050003,133.839996,8309200,133.839996
"2018-06-08",133.440002,134.919998,133.229996,134.740005,5261000,134.740005
"2018-06-11",134.899994,135.190002,133.809998,133.910004,7988700,133.910004
"2018-06-12",134.039993,135.130005,133.539993,134.860001,5743300,134.860001
"2018-06-13",135.179993,135.770004,134.309998,134.399994,4881600,134.399994
"2018-06-14",134.960007,135.699997,134.75,135,6464100,135
"2018-06-15",135.100006,135.729996,134,135.100006,10044500,135.100006
"2018-06-18",134.369995,136.309998,134.119995,136.199997,8713300,136.199997
"2018-06-19",134.559998,135.240005,133.570007,135.110001,6557600,135.110001
"2018-06-20",135.520004,136.690002,135.5,135.5,7192000,135.5
"2018-06-21",135.270004,136.119995,134.259995,134.529999,8689800,134.529999
"2018-06-22",135.600006,135.850006,134.259995,135.330002,6031900,135.330002
"2018-06-25",134.910004,134.910004,129.529999,130.929993,10086200,130.929993
"2018-06-26",132.110001,133.789993,131.610001,132.550003,7733900,132.550003
"2018-06-27",133.009995,133.660004,131.009995,131.020004,7282100,131.020004
"2018-06-28",131,133.119995,130.649994,132.740005,6576500,132.740005
"2018-06-29",133.279999,134.190002,132.449997,132.449997,7259000,132.449997
"2018-07-02",131.960007,133.050003,131.149994,132.5,7554400,132.5
"2018-07-03",133.009995,133.410004,131.419998,131.449997,3621600,131.449997
