"","open","high","low","close","volume","adjusted"
"2018-01-02",30.51,31.25,30.43,31.190001,4233400,30.77957
"2018-01-03",31.35,31.51,29.91,29.950001,4475700,29.555887
"2018-01-04",30.08,30.15,29.17,29.559999,5323800,29.171019
"2018-01-05",29.809999,29.82,28.99,29.1,5236000,28.717072
"2018-01-08",29.17,29.280001,28.700001,29.18,4230400,28.796019
"2018-01-09",29.139999,29.440001,28.98,29.040001,3222300,28.657862
"2018-01-10",28.98,29.18,27.76,29.16,7085100,28.776281
"2018-01-11",29.110001,30.959999,29.110001,30.809999,6355600,30.40457
"2018-01-12",30.9,35.549999,30.58,33.759998,12828400,33.31575
"2018-01-16",32.66,33.169998,31.219999,31.379999,9609500,30.967068
"2018-01-17",31.459999,33,30.549999,31.959999,8050000,31.539436
"2018-01-18",32.209999,34.360001,32.02,33.950001,10428800,33.503254
"2018-01-19",33.869999,34.279999,32.849998,33.360001,5933800,32.921017
"2018-01-22",33,33.970001,32.549999,33.939999,4515500,33.493378
"2018-01-23",33.900002,34.009998,33.029999,33.389999,3775600,32.950619
"2018-01-24",33.48,33.790001,33.099998,33.130001,2707600,32.694042
"2018-01-25",33.209999,34.5,32.720001,33.610001,4347900,33.167725
"2018-01-26",33.639999,34.09,33.490002,34.09,2351200,33.641407
"2018-01-29",34.09,34.18,33.52,33.709999,3975100,33.266411
"2018-01-30",33.560001,33.84,32.810001,32.939999,3098400,32.506542
"2018-01-31",33.189999,33.66,32.580002,33.419998,4585400,32.980225
"2018-02-01",33.349998,33.790001,32.84,33.209999,4694200,32.772987
"2018-02-02",33.23,33.700001,32.110001,32.220001,5548200,31.796017
"2018-02-05",32.09,32.75,31.02,31.139999,7190300,30.730227
"2018-02-06",30.6,32.009998,30,31.25,6698800,30.838779
"2018-02-07",31.370001,31.719999,30.5,30.51,6895100,30.108517
"2018-02-08",32.790001,34.18,32,32.709999,11727900,32.279568
"2018-02-09",33.200001,33.48,30.83,32.869999,7542200,32.437462
"2018-02-12",33.099998,33.849998,32.639999,32.880001,4408300,32.447334
"2018-02-13",32.709999,33.290001,32.619999,33.099998,4151600,32.664436
"2018-02-14",33.349998,34.169998,32.869999,33.93,4730300,33.483513
"2018-02-15",34,34.169998,33.080002,33.93,4496400,33.483513
"2018-02-16",33.98,34.580002,33.5,33.5,3620800,33.059174
"2018-02-20",33.48,34.540001,33.43,33.98,3121200,33.532856
"2018-02-21",33.93,34.290001,32.98,33.029999,3688200,32.595356
"2018-02-22",33.119999,33.740002,32.810001,32.93,2478500,32.49667
"2018-02-23",33.07,33.740002,32.950001,33.740002,2588200,33.296017
"2018-02-26",33.889999,34.209999,33.529999,33.880001,2030600,33.434174
"2018-02-27",33.790001,33.959999,33.009998,33.209999,2255000,32.772987
"2018-02-28",33.630001,33.880001,32.869999,33.34,4872900,32.901279
"2018-03-01",33.34,33.439999,32.560001,33.130001,3696700,32.694042
"2018-03-02",32.790001,34.32,32.43,34.09,3031800,33.641407
"2018-03-05",33.98,34.400002,33.700001,34.279999,2993500,33.828907
"2018-03-06",34.490002,34.5,33.830002,34.209999,2076300,33.759827
"2018-03-07",34.040001,34.34,33.200001,33.650002,2505900,33.207199
"2018-03-08",33.650002,33.720001,32.73,32.849998,2568400,32.417721
"2018-03-09",32.889999,33.48,32.130001,32.720001,4808700,32.28944
"2018-03-12",32.799999,33.060001,32.610001,32.82,2298600,32.388119
"2018-03-13",32.799999,33.060001,32.549999,32.799999,2951000,32.368385
"2018-03-14",32.689999,32.84,32.279999,32.639999,2776000,32.4081
"2018-03-15",33.310001,33.310001,32.759998,32.830002,2445700,32.596752
"2018-03-16",32.07,33.02,31.65,31.65,4050400,31.425133
"2018-03-19",31.68,31.85,31.059999,31.360001,2066100,31.137194
"2018-03-20",31.540001,31.559999,30.83,30.99,1958400,30.769821
"2018-03-21",31.040001,31.719999,30.91,31.299999,1981400,31.077618
"2018-03-22",31.09,31.370001,30.610001,30.629999,2102200,30.412378
"2018-03-23",30.690001,30.860001,29.950001,30.139999,2346600,29.925859
"2018-03-26",30.41,30.719999,29.280001,30.09,3406700,29.876217
"2018-03-27",30.18,31.120001,30.17,30.73,3037000,30.511669
"2018-03-28",31.5,31.610001,30.360001,30.48,2237100,30.263445
"2018-03-29",30.6,31.23,30.42,31.059999,2394800,30.839323
"2018-04-02",30.870001,31.639999,30.379999,30.549999,3998700,30.332947
"2018-04-03",29.540001,30.42,29,29.42,6758900,29.210976
"2018-04-04",28.860001,30.93,28.860001,30.57,5773700,30.352806
"2018-04-05",30.629999,30.82,30.32,30.77,3395900,30.551386
"2018-04-06",30.709999,31.16,30.639999,30.9,2803300,30.68046
"2018-04-09",31.09,31.27,30.709999,30.969999,4091100,30.749964
"2018-04-10",31.24,31.42,31,31.040001,1948400,30.819468
"2018-04-11",30.940001,31.09,30.43,30.51,2767100,30.293232
"2018-04-12",30.629999,30.879999,30.25,30.52,1525700,30.303162
"2018-04-13",30.68,30.870001,30.469999,30.700001,2411500,30.481882
"2018-04-16",30.860001,31.469999,30.6,31.459999,2705200,31.236481
"2018-04-17",31.549999,31.67,31.209999,31.440001,1320600,31.216625
"2018-04-18",31.32,31.66,31.190001,31.26,1988300,31.037903
"2018-04-19",31.25,31.370001,30.709999,30.76,2623800,30.541456
"2018-04-20",30.870001,31.209999,30.43,30.66,3234100,30.442165
"2018-04-23",30.620001,31.09,30.4,31.059999,2491800,30.839323
"2018-04-24",31.25,31.549999,30.51,30.92,4467000,30.700319
"2018-04-25",30.719999,32.150002,30.18,31.18,4895900,30.958471
"2018-04-26",31.389999,31.84,30.889999,30.969999,2519500,30.749964
"2018-04-27",30.940001,31.08,30.35,30.75,3421900,30.531527
"2018-04-30",30.83,30.83,29.85,30.16,2920000,29.945719
"2018-05-01",30.23,30.360001,29.48,29.959999,2684100,29.747139
"2018-05-02",29.940001,30.08,29.6,29.65,2266700,29.439342
"2018-05-03",29.639999,29.77,28.65,29.370001,2926400,29.161333
"2018-05-04",29.34,31.450001,28.98,30.290001,5713800,30.074797
"2018-05-07",30.360001,30.75,30.049999,30.700001,3905000,30.481882
