"","open","high","low","close","volume","adjusted"
"2018-01-02",78.309998,78.309998,77.150002,77.32,743700,76.645607
"2018-01-03",77.43,77.599998,76.879997,77.099998,618700,76.427521
"2018-01-04",76.790001,77.080002,74.68,74.800003,997900,74.147591
"2018-01-05",75,75.550003,74.57,75.440002,732300,74.782005
"2018-01-08",75.290001,75.589996,74.5,74.580002,842300,73.929504
"2018-01-09",74.650002,74.75,73.68,73.730003,857600,73.086922
"2018-01-10",73.120003,73.370003,72.120003,72.660004,1381900,72.026253
"2018-01-11",72.919998,73.129997,72.389999,72.879997,676000,72.244331
"2018-01-12",72.82,72.93,71.870003,71.919998,872600,71.292702
"2018-01-16",72.260002,72.860001,71.139999,71.209999,953400,70.588898
"2018-01-17",71.370003,71.730003,70.540001,71.300003,1322500,70.678116
"2018-01-18",70.989998,71.529999,70.400002,71.339996,1374400,70.717758
"2018-01-19",71.489998,71.82,70.830002,71.790001,1571300,71.163841
"2018-01-22",72.019997,73.209999,72,73.120003,960100,72.482239
"2018-01-23",73.080002,73.620003,72.889999,73.489998,992900,72.849007
"2018-01-24",73.300003,73.629997,72.029999,72.739998,1026600,72.105553
"2018-01-25",72.660004,72.720001,71.339996,72.230003,856700,71.600006
"2018-01-26",71.709999,72.129997,70.870003,71.57,896800,71.57
"2018-01-29",71.550003,71.550003,70.830002,71.150002,1201700,71.150002
"2018-01-30",70.760002,71.199997,70.010002,70.199997,1226000,70.199997
"2018-01-31",70.220001,71.860001,70.139999,71.68,1281500,71.68
"2018-02-01",71.709999,71.879997,70.25,70.489998,1917900,70.489998
"2018-02-02",70.010002,71.059998,69.459999,70.330002,2462400,70.330002
"2018-02-05",70.160004,70.800003,67.580002,67.580002,2384700,67.580002
"2018-02-06",66.660004,68.239998,66.010002,67.790001,2255100,67.790001
"2018-02-07",67.559998,69.160004,67.279999,67.300003,1315100,67.300003
"2018-02-08",67.239998,68.910004,66.150002,66.18,2656600,66.18
"2018-02-09",66.489998,68.260002,65.639999,67.690002,1587800,67.690002
"2018-02-12",67.790001,68.010002,65.489998,67.599998,1579300,67.599998
"2018-02-13",67.540001,67.970001,66.150002,67.459999,2085200,67.459999
"2018-02-14",66.800003,66.879997,65.290001,66.080002,2127000,66.080002
"2018-02-15",66.18,67.260002,66.029999,67.150002,1215100,67.150002
"2018-02-16",67.029999,68.029999,66.800003,67.660004,941000,67.660004
