"","open","high","low","close","volume","adjusted"
"2018-01-02",30.67,31.190001,30.540001,31.139999,4480300,30.355177
"2018-01-03",31.17,32.060001,31.139999,32,8969500,31.193504
"2018-01-04",32.060001,32.599998,31.82,32.549999,7298600,31.729643
"2018-01-05",32.599998,32.650002,32.049999,32.459999,6366700,31.641909
"2018-01-08",32.450001,32.59,32.259998,32.580002,5546000,31.75889
"2018-01-09",32.66,32.869999,32.470001,32.73,3928200,31.905104
"2018-01-10",32.75,32.779999,32.43,32.75,4201200,31.924601
"2018-01-11",32.82,33.119999,32.599998,33.099998,5733100,32.265778
"2018-01-12",33.09,33.380001,32.830002,33.209999,4371400,32.373009
"2018-01-16",33.330002,33.43,32.529999,32.59,5560100,31.768635
"2018-01-17",32.740002,32.740002,32.240002,32.52,5126600,31.700399
"2018-01-18",32.509998,32.509998,32.240002,32.279999,4128000,31.466446
"2018-01-19",32.200001,32.330002,31.940001,32.299999,4335200,31.485943
"2018-01-22",32.369999,32.849998,32.34,32.849998,5515700,32.022079
"2018-01-23",32.919998,33.32,32.700001,33.150002,6036400,32.314522
"2018-01-24",33.189999,33.669998,33.060001,33.099998,6536800,32.265778
"2018-01-25",32.700001,33.07,32.27,32.400002,8226700,31.583424
"2018-01-26",32.560001,32.75,32.389999,32.529999,4727600,31.710146
"2018-01-29",32.290001,32.470001,31.940001,31.98,4984800,31.174007
"2018-01-30",31.690001,31.77,31.290001,31.51,5362800,30.715853
"2018-01-31",31.620001,31.799999,31.27,31.389999,5094200,30.598877
"2018-02-01",31.540001,31.790001,31.370001,31.68,4304600,30.881569
"2018-02-02",31.379999,31.450001,30.610001,30.700001,4370800,29.926268
"2018-02-05",30.299999,30.76,29,29.48,8692400,28.737015
"2018-02-06",28.950001,30.209999,28.690001,30.17,11131700,29.409626
"2018-02-07",30.08,30.690001,30,30,7717400,29.24391
"2018-02-08",30.040001,30.25,28.559999,28.559999,9151800,27.840202
"2018-02-09",28.76,28.99,27.559999,28.610001,10986200,27.888943
"2018-02-12",28.969999,29.610001,28.92,29.42,6354000,28.678528
"2018-02-13",29.17,29.879999,29.110001,29.77,5151500,29.019707
"2018-02-14",29.440001,30.26,29.360001,29.98,4899500,29.224413
"2018-02-15",29.559999,30.33,29.530001,29.98,5296100,29.224413
"2018-02-16",29.83,29.9,28.85,28.91,6909100,28.181381
"2018-02-20",28.870001,29.540001,28.84,29.09,4534100,28.356844
"2018-02-21",29.17,29.32,28.610001,28.620001,3613000,27.898689
"2018-02-22",28.83,29.360001,28.459999,28.559999,4361600,27.840202
"2018-02-23",28.549999,28.870001,28.379999,28.74,6177300,28.015667
"2018-02-26",28.879999,28.889999,28.02,28.41,5405400,27.693983
"2018-02-27",28.41,28.76,28.219999,28.360001,9133100,27.645243
"2018-02-28",28.450001,28.559999,27.75,27.76,5773300,27.060366
"2018-03-01",27.700001,27.77,27.139999,27.379999,8853500,26.689939
"2018-03-02",27.16,27.309999,26.65,27.110001,6907900,26.426746
"2018-03-05",27,27.620001,27,27.24,5235500,26.553469
"2018-03-06",27.450001,27.709999,27.24,27.629999,6333200,26.933641
"2018-03-07",27.35,27.51,27.17,27.459999,8283300,26.767925
"2018-03-08",27.280001,27.299999,26.709999,27.15,6149100,26.797537
"2018-03-09",27.65,28,27.450001,28,6732600,27.636501
"2018-03-12",28,28.379999,27.950001,28.26,8858000,27.893127
"2018-03-13",28.290001,28.379999,27.93,28.02,6944200,27.656242
"2018-03-14",28.1,28.280001,27.85,28.139999,9613600,27.774683
"2018-03-15",28.200001,28.299999,24.76,26.690001,30585800,26.34351
"2018-03-16",26.799999,27.5,26.790001,27.209999,13132500,26.856756
"2018-03-19",27.049999,27.25,25.98,26.200001,11062600,25.859871
"2018-03-20",26.299999,26.6,26.120001,26.200001,7520600,25.859871
"2018-03-21",26.440001,27.08,26.299999,27,6103700,26.649485
"2018-03-22",26.690001,26.879999,26.379999,26.48,7102600,26.136234
"2018-03-23",26.559999,26.610001,25.620001,25.639999,7161300,25.307138
"2018-03-26",25.879999,26.01,25.1,25.450001,9415200,25.119608
"2018-03-27",25.41,25.719999,24.940001,25.15,9061600,24.8235
"2018-03-28",25.209999,25.49,24.77,24.780001,8600300,24.458305
"2018-03-29",24.950001,25.18,24.59,24.860001,20019600,24.537266
"2018-04-02",24.860001,25.02,24.23,24.530001,9270500,24.21155
"2018-04-03",24.610001,24.700001,24.139999,24.450001,9186100,24.132589
"2018-04-04",24.190001,24.58,24.110001,24.459999,12327900,24.142458
"2018-04-05",24.639999,24.959999,24.360001,24.799999,16241900,24.478045
"2018-04-06",24.74,24.860001,24,24.379999,9889200,24.063496
"2018-04-09",24.49,24.629999,24.15,24.379999,9834400,24.063496
"2018-04-10",24.66,25.25,24.51,25.07,13884200,24.744539
"2018-04-11",24.950001,25.360001,24.84,25.35,9256400,25.020905
"2018-04-12",25.370001,25.41,24.99,25.08,7900700,24.75441
"2018-04-13",25.190001,25.299999,24.99,25.15,5677900,24.8235
"2018-04-16",25.24,25.780001,25,25.59,8199500,25.25779
"2018-04-17",25.639999,25.85,25.540001,25.73,7042900,25.395971
"2018-04-18",25.950001,26.17,25.74,25.77,4544400,25.435453
"2018-04-19",25.870001,25.950001,25.469999,25.549999,5279700,25.218307
"2018-04-20",25.68,25.84,25.42,25.51,5213700,25.178827
"2018-04-23",25.51,25.870001,25.440001,25.85,5244800,25.514414
"2018-04-24",25.879999,25.959999,25.389999,25.549999,6723400,25.218307
"2018-04-25",25.4,25.620001,25.110001,25.620001,4803600,25.287399
"2018-04-26",25.719999,25.75,25.360001,25.58,3357800,25.247919
"2018-04-27",25.52,25.690001,25.299999,25.559999,5576800,25.228178
"2018-04-30",25.58,26.02,25.559999,25.73,6435100,25.395971
"2018-05-01",25.610001,25.959999,25.549999,25.959999,4769600,25.622984
"2018-05-02",25.91,26.379999,25.799999,26.15,8865200,25.810518
"2018-05-03",25.82,26.280001,25.549999,26.1,10326300,25.761168
"2018-05-04",26.01,26.25,25.76,26.190001,6664400,25.85
"2018-05-07",26.360001,26.860001,26.17,26.27,7700600,25.928961
"2018-05-08",26.25,26.27,25.74,26.120001,6790100,25.780909
"2018-05-09",26.32,26.75,26.190001,26.52,5398000,26.175716
"2018-05-10",26.66,26.74,26.34,26.690001,4778900,26.34351
"2018-05-11",26.75,27.209999,26.610001,27.139999,6754200,26.787666
"2018-05-14",27.24,27.459999,27.15,27.25,8070800,26.896238
"2018-05-15",27.219999,27.299999,27.059999,27.26,5919400,26.906109
"2018-05-16",27.26,27.49,27.09,27.370001,7033300,27.014681
"2018-05-17",27.15,28.1,27.07,28.01,24265400,27.646372
"2018-05-18",28.200001,28.23,27.639999,27.799999,12971700,27.439098
"2018-05-21",27.879999,27.99,27.59,27.620001,11940900,27.261436
"2018-05-22",27.690001,28.16,27.549999,27.73,7322900,27.370007
"2018-05-23",27.540001,27.83,27.440001,27.690001,4929300,27.330526
"2018-05-24",27.41,27.52,27.139999,27.190001,8080300,26.837019
"2018-05-25",26.860001,27.09,26.57,26.99,7210700,26.639614
"2018-05-29",26.83,27.08,26.5,26.66,6869600,26.313898
"2018-05-30",26.84,27.25,26.719999,27.190001,8116700,26.837019
"2018-05-31",27.049999,27.23,26.860001,26.860001,9735300,26.511303
"2018-06-01",27.030001,27.25,26.6,26.68,7680500,26.333639
"2018-06-04",26.84,26.91,26.440001,26.540001,7875000,26.195457
"2018-06-05",26.48,26.74,26.389999,26.5,7578600,26.155975
"2018-06-06",26.57,26.690001,26.18,26.190001,11523800,25.85
"2018-06-07",25.93,26.51,25.93,26.41,5373200,26.41
"2018-06-08",26.469999,26.49,25.950001,26.120001,6404800,26.120001
"2018-06-11",26.15,26.809999,26.02,26.75,5497100,26.75
"2018-06-12",26.77,26.93,26.66,26.73,7920400,26.73
"2018-06-13",26.629999,26.790001,26.540001,26.620001,7610600,26.620001
"2018-06-14",26.75,27.41,26.67,27.209999,8796900,27.209999
"2018-06-15",27.139999,27.35,26.610001,26.67,13225900,26.67
"2018-06-18",26.690001,27.120001,26.67,27.09,11647500,27.09
"2018-06-19",26.870001,27.309999,26.790001,27.200001,7096800,27.200001
"2018-06-20",27.389999,27.74,27.280001,27.709999,6790900,27.709999
"2018-06-21",27.620001,27.77,27.530001,27.690001,9841100,27.690001
"2018-06-22",28.15,28.209999,27.6,27.639999,12653400,27.639999
"2018-06-25",27.58,27.65,26.83,26.91,7797300,26.91
"2018-06-26",27.030001,27.25,26.870001,27.17,7716100,27.17
"2018-06-27",27.4,27.52,26.99,27.059999,6920100,27.059999
"2018-06-28",27.1,27.34,26.809999,27.17,6425600,27.17
"2018-06-29",27.32,27.34,26.92,27.110001,9774800,27.110001
