"","open","high","low","close","volume","adjusted"
"2018-01-02",19.059999,19.129999,18.969999,19.08,6822500,18.730247
"2018-01-03",19.15,19.360001,19.07,19.07,6250400,18.72043
"2018-01-04",19.17,19.49,18.950001,19.450001,9184200,19.093466
"2018-01-05",19.450001,20.639999,19.42,20.6,16589600,20.222385
"2018-01-08",21.59,22.209999,21.23,21.49,23503200,21.096071
"2018-01-09",21.5,21.52,20.99,21.040001,6739500,20.654322
"2018-01-10",20.809999,21.27,20.700001,21.23,6453600,20.840837
"2018-01-11",21.299999,21.389999,21.040001,21.18,4058200,20.791754
"2018-01-12",21.219999,21.280001,21,21.120001,3665200,20.732853
"2018-01-16",21.120001,21.139999,20.540001,20.620001,8158200,20.24202
"2018-01-17",20.469999,20.48,20.01,20.24,8384900,19.868984
"2018-01-18",20.209999,20.33,20.129999,20.190001,6504200,19.819902
"2018-01-19",20.280001,20.299999,20.129999,20.24,4212900,19.868984
"2018-01-22",20.24,20.6,20.24,20.549999,4526900,20.173302
"2018-01-23",20.52,20.82,20.48,20.73,4241700,20.350002
"2018-01-24",20.799999,20.91,20.51,20.52,4187400,20.143852
"2018-01-25",20.59,20.809999,20.48,20.799999,3745600,20.418718
"2018-01-26",20.9,21.18,20.780001,21.16,3667500,20.77212
"2018-01-29",21.15,21.15,20.780001,20.83,3536700,20.44817
"2018-01-30",20.66,20.84,20.51,20.6,3387600,20.222385
"2018-01-31",20.65,20.940001,20.639999,20.790001,4503700,20.408903
"2018-02-01",20.709999,20.85,20.629999,20.690001,6317900,20.310736
"2018-02-02",20.57,20.67,20.280001,20.280001,6520700,19.908251
"2018-02-05",20.15,20.24,19.530001,19.540001,5493200,19.181818
"2018-02-06",19.280001,19.870001,18.98,19.809999,7243000,19.446867
"2018-02-07",19.73,20.049999,19.43,19.49,4430800,19.132732
"2018-02-08",19.469999,19.5,18.809999,18.809999,7526600,18.465197
"2018-02-09",18.98,19.49,18.549999,19.360001,7548000,19.005117
"2018-02-12",19.459999,19.940001,19.4,19.77,7008900,19.4076
"2018-02-13",19.59,19.92,19.59,19.75,7356300,19.387966
"2018-02-14",20.5,20.74,19.83,20.299999,13492300,19.927883
"2018-02-15",20.450001,20.540001,20.1,20.200001,7922400,19.82972
"2018-02-16",20.15,20.450001,20.110001,20.26,7246400,19.888617
"2018-02-20",20.24,20.5,20.18,20.25,3932900,19.878799
"2018-02-21",20.27,20.42,20.09,20.09,3709800,19.721733
"2018-02-22",20.200001,20.379999,20.059999,20.09,4950200,19.721733
"2018-02-23",20.25,20.26,20.02,20.24,3527500,19.868984
"2018-02-26",20.309999,20.4,20.18,20.299999,2983800,19.927883
"2018-02-27",20.299999,20.379999,19.969999,19.99,5283000,19.623568
"2018-02-28",20.1,20.15,19.75,19.82,5540100,19.456682
"2018-03-01",19.84,20.01,19.5,19.66,5527500,19.299616
"2018-03-02",19.549999,19.889999,19.49,19.870001,3105000,19.505768
"2018-03-05",19.74,20.07,19.67,19.9,7196900,19.535217
"2018-03-06",19.959999,20,19.719999,19.9,2926500,19.535217
"2018-03-07",19.77,20.01,19.76,19.959999,2503300,19.594116
"2018-03-08",19.969999,19.98,19.6,19.66,4136300,19.299616
"2018-03-09",19.82,20.18,19.799999,20.17,4359100,19.800268
"2018-03-12",20.209999,20.370001,20.059999,20.129999,5393000,19.761
"2018-03-13",20.23,20.549999,20.23,20.370001,6244600,19.996603
"2018-03-14",20.49,20.52,20.23,20.309999,5849100,19.9377
