"","open","high","low","close","volume","adjusted"
"2018-01-02",52.63657,52.79007,52.108353,52.749435,1517300,52.455391
"2018-01-03",52.641083,53.101582,52.641083,53.047405,1514000,52.751701
"2018-01-04",53.205418,53.250565,52.108353,52.248306,2053100,51.957058
"2018-01-05",52.239277,52.3386,50.311512,50.762981,4779700,50.480011
"2018-01-08",50.898418,51.557564,50.383747,51.404064,2427200,51.117519
"2018-01-09",51.589165,51.638824,50.916477,51.182846,1730400,50.897533
"2018-01-10",50.9842,51.246048,50.79007,50.884876,1376400,50.601227
"2018-01-11",51.124153,52.794582,50.839729,52.772011,2177800,52.47784
"2018-01-12",52.817154,53.255077,52.550789,53.241535,2187800,52.944748
"2018-01-16",53.46727,53.819412,52.68623,52.857788,2696300,52.563141
"2018-01-17",52.907448,53.155758,52.609482,52.88036,1675900,52.585587
"2018-01-18",54.266365,56.004513,54.266365,55.408577,4338100,55.099709
"2018-01-19",56.14447,57.769753,56.14447,57.331829,4914400,57.012241
"2018-01-22",57.155758,57.548534,56.930023,57.494358,3188500,57.173866
"2018-01-23",57.200901,57.715576,57.110611,57.485329,1210100,57.164886
"2018-01-24",57.665913,57.688488,56.356659,56.555305,1884500,56.240047
"2018-01-25",56.6772,56.767494,55.945824,56.474041,3748900,56.159237
"2018-01-26",56.731377,56.758465,56.094807,56.415348,2397500,56.100868
"2018-01-29",56.19413,56.744923,55.882618,56.442436,2495400,56.127808
"2018-01-30",56.230247,56.559818,55.580135,55.742664,1709500,55.431934
"2018-01-31",56.04966,56.370205,55.837471,56.04063,1450800,55.728241
"2018-02-01",55.733635,56.618511,55.525959,56.487583,1617800,56.172703
"2018-02-02",56.392776,56.392776,54.717834,54.87133,1691800,54.56546
"2018-02-05",54.261852,55.006771,52.455982,52.717834,3626400,52.423965
"2018-02-06",51.5079,54.257336,51.295712,54.072235,3758200,53.770817
"2018-02-07",53.918736,54.528217,53.458241,53.598194,1751400,53.299419
"2018-02-08",53.390518,53.589165,51.255077,51.268623,1890100,50.982834
"2018-02-09",51.720089,52.325058,50.009029,51.927765,2395500,51.638302
"2018-02-12",52.212189,52.794582,51.905193,52.510159,2264800,52.217449
"2018-02-13",52.383747,53.376976,52.239277,53.237019,2748200,52.940258
"2018-02-14",53.259594,55.047405,53.259594,54.930023,4368600,54.623825
"2018-02-15",55.0158,55.977428,54.9842,55.358917,2240300,55.050327
"2018-02-16",55.372459,55.449211,54.632053,54.663658,1353400,54.358944
"2018-02-20",54.279911,55.345371,54.279911,54.523701,1486000,54.219769
"2018-02-21",54.514671,55.539505,54.446953,54.681717,1708900,54.376904
"2018-02-22",54.970654,55.02483,53.828442,54.063206,2097800,53.761837
"2018-02-23",54.234764,54.48307,53.851017,53.990971,1715700,53.690006
"2018-02-26",54.1535,54.356659,53.259594,53.282166,2893000,52.985153
"2018-02-27",53.291195,53.295712,52.212189,52.352146,3419700,52.060318
"2018-02-28",52.573364,53.133183,52.270882,52.270882,2345200,51.979507
"2018-03-01",52.374718,52.939053,51.869076,52.19413,2206600,51.903183
"2018-03-02",51.796841,52.6772,51.124153,52.546276,2026700,52.253365
"2018-03-05",52.19413,52.735893,51.137699,52.681717,2819000,52.38805
"2018-03-06",52.839729,53.255077,52.749435,53.097065,1655000,52.801083
"2018-03-07",52.465012,53.115124,52.108353,52.988712,1966000,52.693336
"2018-03-08",53.173817,53.336342,52.365688,52.586906,1452800,52.29377
"2018-03-09",52.934536,54.695259,52.934536,54.668171,2014100,54.36343
"2018-03-12",54.627541,54.839729,53.562077,53.683971,1203600,53.38472
"2018-03-13",53.810383,54.302483,53.331829,53.453724,2010600,53.155754
"2018-03-14",53.426636,53.498871,52.126411,52.406319,2169400,52.406319
"2018-03-15",52.406319,52.808125,52.19413,52.437923,1424900,52.437923
"2018-03-16",52.437923,52.78104,52.419865,52.487583,1841600,52.487583
"2018-03-19",52.451466,53.006771,52.275394,52.645599,1403400,52.645599
"2018-03-20",52.812641,53.562077,52.645599,52.794582,1361800,52.794582
"2018-03-21",52.839729,53.476299,52.564335,53.237019,1520800,53.237019
"2018-03-22",52.735893,53.047405,51.995487,52.009029,1604100,52.009029
"2018-03-23",52.031601,52.316029,50.63657,50.740406,1385300,50.740406
"2018-03-26",51.0158,51.738148,50.9842,51.65237,1742800,51.65237
"2018-03-27",51.977428,52.189617,50.6772,50.9842,1069800,50.9842
"2018-03-28",51.011288,51.539505,50.762981,50.920994,1651100,50.920994
"2018-03-29",51.259594,52.054176,51.21896,51.6614,1968000,51.6614
"2018-04-02",51.71106,52.081264,49.042889,50.1535,2561400,50.1535
"2018-04-03",50.514671,51.304741,50.257336,50.632053,1444800,50.632053
"2018-04-04",49.963882,51.354401,49.832958,51.21896,1272100,51.21896
"2018-04-05",51.593681,51.697517,50.735893,51.214447,1913300,51.214447
"2018-04-06",50.97517,51.133183,49.435665,49.787811,1605000,49.787811
"2018-04-09",50.148983,50.29797,49.534988,49.598194,1275000,49.598194
"2018-04-10",50.29797,50.753952,49.259594,49.372459,2110500,49.372459
"2018-04-11",49.264107,50.835213,49.264107,50.334087,2101600,50.334087
"2018-04-12",50.528217,51.042889,50.374718,50.577877,1320600,50.577877
"2018-04-13",50.726864,50.803612,49.395035,49.688488,1937500,49.688488
"2018-04-16",49.945824,50.672688,49.945824,50.465012,2255300,50.465012
"2018-04-17",50.87133,52.04063,50.87133,51.36343,1563800,51.36343
"2018-04-18",51.51693,52.117382,51.291195,51.841988,1409600,51.841988
"2018-04-19",51.814899,51.823929,51.074493,51.512417,1300000,51.512417
"2018-04-20",51.566593,52.203159,51.503387,51.801353,2441400,51.801353
"2018-04-23",51.932281,52.555305,51.620766,52.239277,2218500,52.239277
"2018-04-24",52.401806,52.961624,51.724606,52.28894,2991600,52.28894
"2018-04-25",52.022572,53.291195,51.751694,53.160271,2856900,53.160271
"2018-04-26",53.453724,53.724606,52.293453,52.365688,2828100,52.365688
"2018-04-27",52.3386,53.142212,52.135441,52.257336,1511300,52.257336
"2018-04-30",52.428894,53.088036,51.512417,51.562077,1667500,51.562077
"2018-05-01",51.534988,51.905193,51.02483,51.905193,3245200,51.905193
"2018-05-02",51.471783,51.471783,48.988712,49.011288,4363800,49.011288
"2018-05-03",49.0158,49.042889,46.523701,47.629795,5859100,47.629795
"2018-05-04",47.485329,48.279911,46.794582,47.990971,2664600,47.990971
"2018-05-07",48.027088,48.474041,47.742664,48.270882,2995600,48.270882
"2018-05-08",48.121895,49.12867,48,48.966141,2641600,48.966141
"2018-05-09",49.182846,50.374718,48.902935,50.04966,2915200,50.04966
"2018-05-10",50.487583,50.925507,50.027088,50.722347,2139000,50.722347
"2018-05-11",50.48307,50.799099,50.252823,50.433407,1489600,50.433407
"2018-05-14",50.564335,50.87133,50.076748,50.270882,2148600,50.270882
"2018-05-15",49.990971,50.523701,49.634312,49.95937,2197900,49.95937
"2018-05-16",50.081264,51.088036,49.995487,50.862301,3826200,50.862301
"2018-05-17",50.862301,50.862301,48.460495,49.331829,5858500,49.331829
"2018-05-18",49.200901,49.46727,48.618511,49.358917,3887800,49.358917
"2018-05-21",49.557564,49.571106,48.930023,49.205418,2231200,49.205418
"2018-05-22",49.300224,49.327312,48.884876,48.9842,1993900,48.9842
"2018-05-23",48.87133,49.011288,48.478554,48.875847,1976200,48.875847
"2018-05-24",48.943565,49.232506,48.68623,49.0158,1018600,49.0158
"2018-05-25",48.993229,49.336342,48.722347,48.731377,1614700,48.731377
"2018-05-29",48.325058,49.318283,48.221218,48.979683,4706900,48.979683
"2018-05-30",49.71106,50.397293,49.223476,50.031601,19510800,50.031601
"2018-05-31",50.085777,50.090294,48.78104,48.957111,2767600,48.957111
"2018-06-01",50.650002,50.849998,48.57,48.709999,5726600,48.709999
