"","open","high","low","close","volume","adjusted"
"2018-01-02",48.220001,48.360001,47.5,47.810001,2443400,46.9687
"2018-01-03",47.57,48.029999,47.43,47.490002,4114900,46.654331
"2018-01-04",47.299999,47.860001,47.029999,47.119999,2807000,46.290844
"2018-01-05",47.18,47.349998,46.630001,46.790001,3728000,45.966652
"2018-01-08",46.880001,47.209999,46.700001,47.139999,3837600,46.31049
"2018-01-09",47.16,47.220001,46.400002,46.59,3006300,45.770168
"2018-01-10",46.5,46.580002,46.009998,46.130001,2690000,45.318264
"2018-01-11",46,46.299999,45.380001,45.52,3020900,44.718998
"2018-01-12",45.450001,45.639999,45.060001,45.150002,3422600,44.355511
"2018-01-16",45.110001,45.549999,44.889999,45.290001,4761900,44.493046
"2018-01-17",45.529999,45.860001,45.349998,45.689999,3839100,44.886002
"2018-01-18",45.580002,45.790001,45.049999,45.380001,4937900,44.581463
"2018-01-19",45.200001,45.599998,45.049999,45.130001,2863600,44.335861
"2018-01-22",45.5,45.639999,45.119999,45.23,3106500,44.434101
"2018-01-23",45.32,46.009998,45.23,45.720001,3110300,44.915478
"2018-01-24",45.700001,45.830002,45.41,45.549999,2384600,44.748466
"2018-01-25",45.490002,46.060001,45.400002,46,3688700,45.190552
"2018-01-26",45.970001,46.099998,45.25,45.700001,2656100,44.895832
"2018-01-29",45.540001,45.57,44.849998,44.849998,3613300,44.060783
"2018-01-30",44.740002,45.349998,44.740002,45.209999,3167300,44.414452
"2018-01-31",45.169998,45.689999,44.93,45.639999,3526900,44.836887
"2018-02-01",45.669998,45.779999,44.669998,44.810001,4498200,44.021492
"2018-02-02",44.619999,45.02,44.450001,44.48,2924400,43.697296
"2018-02-05",44.419998,44.75,43.59,43.630001,3978800,42.862259
"2018-02-06",43.240002,43.240002,41.880001,42.73,6022700,41.978092
"2018-02-07",41.57,43.290001,41.509998,42.459999,3961100,41.712841
"2018-02-08",42.18,43.16,42.110001,42.439999,5260900,41.693195
"2018-02-09",42.509998,43.66,42.450001,43.349998,5456100,42.587181
"2018-02-12",43.540001,44,43.040001,43.759998,4518300,42.989967
"2018-02-13",43.919998,44.150002,43.240002,43.959999,3409900,43.186447
"2018-02-14",43.639999,43.759998,43.209999,43.220001,4261400,42.459473
"2018-02-15",43.299999,44.200001,43.07,44.189999,3736300,43.412399
"2018-02-16",44.130001,44.880001,44.049999,44.68,3592600,43.89378
"2018-02-20",44.66,44.779999,43.849998,44.119999,3454700,43.343632
"2018-02-21",44.02,44.59,43.700001,43.700001,4723000,42.931026
"2018-02-22",43.73,44.09,43.5,43.610001,3439900,42.842609
"2018-02-23",43.639999,44.82,43.639999,44.77,3326700,43.982197
"2018-02-26",44.84,44.919998,44.459999,44.540001,3078900,43.756245
"2018-02-27",44.439999,44.689999,43.66,43.700001,4395700,42.931026
"2018-02-28",43.830002,43.959999,43.259998,43.279999,3958600,42.518414
"2018-03-01",43.290001,43.939999,42.84,43.169998,4228700,42.410347
"2018-03-02",43.130001,43.610001,42.650002,43.029999,4515100,42.272812
"2018-03-05",42.880001,44.02,42.779999,43.830002,4149200,43.058739
"2018-03-06",43.619999,43.830002,42.82,42.91,4723800,42.154922
"2018-03-07",42.790001,43.080002,42.57,42.720001,3444300,41.968269
"2018-03-08",42.889999,43.349998,42.639999,43.130001,2844500,42.371056
"2018-03-09",43.080002,43.290001,42.779999,43.279999,2384000,42.518414
"2018-03-12",43.25,43.880001,43.23,43.66,3242000,42.891727
"2018-03-13",43.25,43.880001,43.240002,43.509998,4738600,42.744366
"2018-03-14",43.279999,43.790001,43.259998,43.540001,2768300,43.150703
"2018-03-15",43.490002,43.970001,43.330002,43.650002,3970200,43.25972
"2018-03-16",43.73,44.23,43.73,44.130001,6698500,43.735428
"2018-03-19",44.029999,44.450001,43.889999,44.169998,3357900,43.775066
"2018-03-20",44.220001,44.470001,44.060001,44.259998,3539900,43.864262
"2018-03-21",44.290001,44.990002,44.200001,44.459999,6089700,44.062473
"2018-03-22",44.419998,45.189999,44.360001,44.57,5061500,44.17149
"2018-03-23",44.740002,44.98,43.66,43.740002,4278800,43.348915
"2018-03-26",43.900002,44.32,43.810001,44.139999,2924300,43.745335
"2018-03-27",44.52,45.490002,44.119999,45.110001,4414400,44.706665
"2018-03-28",45.299999,45.509998,44.900002,45.34,4727900,44.934608
"2018-03-29",45.43,45.869999,45.099998,45.48,3709400,45.073357
