"","open","high","low","close","volume","adjusted"
"2018-01-02",32.990002,33.040001,32.709999,32.75,1744200,32.28307
"2018-01-03",32.790001,32.84,32.66,32.759998,1715100,32.292927
"2018-01-04",32.75,32.75,32.200001,32.200001,1824100,31.740913
"2018-01-05",32.27,32.325001,32.18,32.27,1400200,31.809914
"2018-01-08",32.310001,32.529999,32.279999,32.490002,990600,32.026779
"2018-01-09",32.470001,32.490002,32.099998,32.119999,1277200,31.662052
"2018-01-10",31.969999,31.98,31.469999,31.620001,2174500,31.169184
"2018-01-11",31.700001,31.74,31.351999,31.42,1343200,30.972033
"2018-01-12",31.389999,31.43,31.103001,31.190001,1657200,30.745312
"2018-01-16",31.379999,31.85,31.27,31.34,5520200,30.893173
"2018-01-17",31.43,31.610001,31.309999,31.52,1713400,31.070608
"2018-01-18",31.469999,31.48,31.17,31.219999,2276600,30.774883
"2018-01-19",31.299999,31.459999,31.200001,31.440001,1641000,30.991749
"2018-01-22",31.459999,31.75,31.43,31.74,2095700,31.28747
"2018-01-23",31.809999,32.23,31.75,32.23,1873300,31.770485
"2018-01-24",32.139999,32.259998,32.009998,32.139999,2990100,31.681768
"2018-01-25",32.119999,32.139999,31.865,32.07,2115900,31.612764
"2018-01-26",32.080002,32.167,31.91,32.16,1472300,31.701483
"2018-01-29",32.07,32.110001,31.76,31.790001,2092900,31.33676
"2018-01-30",31.65,31.780001,31.549999,31.66,2347200,31.208612
"2018-01-31",31.709999,32.32,31.530001,32.310001,4213100,31.849346
"2018-02-01",32.209999,32.419998,31.66,31.719999,3937800,31.267756
"2018-02-02",31.4,31.629999,31.16,31.360001,3719200,30.912889
"2018-02-05",31.25,31.59,30.49,30.549999,7652400,30.114437
"2018-02-06",30.290001,30.66,29.82,30.49,6741200,30.055294
"2018-02-07",30.42,30.879999,30.32,30.35,10201500,29.91729
"2018-02-08",30.280001,30.57,29.379999,29.4,10497600,28.980833
"2018-02-09",29.549999,30.32,29.17,30.09,9654500,29.660997
"2018-02-12",30.219999,30.32,29.440001,30.17,5294500,29.739855
"2018-02-13",30.09,30.48,29.99,30.389999,3049300,29.956717
"2018-02-14",30.1,30.231001,29.74,30.200001,4055300,29.769428
"2018-02-15",30.219999,30.530001,30.09,30.48,2924100,30.045435
"2018-02-16",30.48,30.82,30.469999,30.68,7702800,30.242584
"2018-02-20",30.52,30.84,30.35,30.370001,12237200,29.937006
"2018-02-21",30.360001,30.469999,29.809999,29.809999,3924000,29.384987
"2018-02-22",29.93,30.41,29.93,30.15,2969600,29.720139
