"","open","high","low","close","volume","adjusted"
"2018-01-02",82.989998,83.650002,82.870003,83.610001,6708900,83.009743
"2018-01-03",83.599998,84.470001,83.360001,84.410004,7606500,83.804008
"2018-01-04",84.68,84.839996,84.32,84.529999,7762500,83.923141
"2018-01-05",84.800003,85.330002,84.639999,85.25,7579300,84.637978
"2018-01-08",85.150002,85.260002,84.510002,84.940002,5167300,84.3302
"2018-01-09",85.199997,86.120003,85.120003,85.940002,6962900,85.323021
"2018-01-10",85.650002,85.809998,85.150002,85.790001,10835800,85.174095
"2018-01-11",85.940002,86.18,85.699997,86.160004,4247800,85.541443
"2018-01-12",86.32,86.919998,86.25,86.82,5391700,86.196701
"2018-01-16",87.360001,87.949997,87.110001,87.25,8920000,86.623611
"2018-01-17",87.650002,88.279999,87.43,88.089996,7159500,87.457581
"2018-01-18",88.099998,88.199997,87.599998,88.110001,7954800,87.47744
"2018-01-19",88.449997,88.470001,88,88.440002,4802400,87.805069
"2018-01-22",88.410004,89.07,88.25,89.019997,11152500,88.380905
"2018-01-23",89.010002,89.18,88.510002,88.589996,7637600,87.953995
"2018-01-24",89.029999,89.18,88.540001,88.849998,8291100,88.212128
"2018-01-25",89.279999,89.699997,88.940002,89.610001,6339300,88.966667
"2018-01-26",90.019997,91.559998,90,91.540001,9784400,90.88282
"2018-01-29",91.300003,91.790001,91.279999,91.290001,12643800,90.634605
"2018-01-30",89.489998,90.110001,89.220001,89.370003,14270600,88.728394
"2018-01-31",89.830002,90.089996,87.790001,88.099998,15858400,87.467514
"2018-02-01",87.760002,88.529999,87.540001,88.129997,12848700,87.497292
"2018-02-02",87.410004,88.18,86.870003,86.889999,10539200,86.266197
"2018-02-05",86.459999,86.989998,82.370003,83.040001,34979800,82.44384
"2018-02-06",81.440002,84.32,81.400002,83.959999,33313400,83.357231
"2018-02-07",83.720001,85.040001,83.43,83.860001,17338000,83.25795
"2018-02-08",83.839996,84.110001,80.879997,80.949997,20252500,80.368843
"2018-02-09",81.690002,82.800003,79.559998,82.099998,35535700,81.51059
"2018-02-12",82.629997,83.510002,81.889999,82.870003,13389200,82.275063
"2018-02-13",82.389999,83.120003,81.879997,82.93,8415200,82.334625
"2018-02-14",82.400002,84.019997,82.32,83.870003,10110800,83.267883
"2018-02-15",84.440002,84.830002,83.589996,84.800003,9519100,84.1912
"2018-02-16",84.379997,86.010002,84.379997,85.410004,9323000,84.796822
"2018-02-20",85,85.279999,84.230003,84.470001,8872100,83.863571
"2018-02-21",84.459999,85.589996,84.110001,84.120003,9417400,83.516083
"2018-02-22",84.389999,84.989998,83.790001,83.989998,6316100,83.387016
"2018-02-23",84.489998,85.360001,84.120003,85.330002,5498500,84.7174
