"","open","high","low","close","volume","adjusted"
"2018-01-12",31.719999,32.84,31.610001,32.77,3323900,32.156132
"2018-01-16",32.849998,32.970001,32.240002,32.349998,1730900,31.743996
"2018-01-17",32.43,32.43,31.860001,31.92,1722600,31.322054
"2018-01-18",31.82,31.83,31.309999,31.370001,1528300,30.782358
"2018-01-19",31.469999,31.889999,31.309999,31.799999,1578800,31.204302
"2018-01-22",32.639999,33.080002,32.080002,32.639999,3574600,32.028568
"2018-01-23",32.57,32.740002,32.200001,32.580002,1533000,31.969692
"2018-01-24",32.66,32.669998,32.25,32.360001,1676900,31.753811
"2018-01-25",32.48,32.540001,32.119999,32.380001,1479100,31.773438
"2018-01-26",32.759998,32.880001,32.43,32.830002,2086900,32.215012
"2018-01-29",32.790001,32.970001,32.689999,32.84,1222800,32.224819
"2018-01-30",32.619999,32.84,32.259998,32.68,2213000,32.067818
"2018-01-31",33.880001,37.419998,33.599998,34.130001,17964300,33.490658
"2018-02-01",34.099998,34.330002,32.560001,32.75,8154900,32.136509
"2018-02-02",32.509998,32.509998,31.540001,31.629999,3526000,31.037485
"2018-02-05",31.799999,32.68,31.379999,31.379999,4104600,30.79217
"2018-02-06",30.940001,31.530001,30.219999,30.85,4431200,30.272099
"2018-02-07",30.73,31.41,30.73,31.18,2983500,30.595917
"2018-02-08",31.25,31.370001,29.799999,29.799999,3557100,29.241766
"2018-02-09",30.08,30.16,28.48,29.610001,3781400,29.055326
"2018-02-12",29.84,30.309999,29.540001,29.950001,3225100,29.388958
"2018-02-13",29.74,29.82,29.1,29.17,3204200,28.623569
"2018-02-14",29,29.879999,28.879999,29.790001,2662100,29.231955
"2018-02-15",30,30.57,29.74,30.5,2289600,29.928656
"2018-02-16",30.43,30.799999,30.25,30.549999,2274200,29.977716
"2018-02-20",30.360001,31.17,30.110001,31.030001,3287600,30.448727
"2018-02-21",31.15,31.41,30.35,30.379999,2391400,29.8109
"2018-02-22",30.5,30.549999,30.040001,30.23,1799900,29.663712
"2018-02-23",30.530001,30.879999,30.33,30.870001,1350600,30.291723
"2018-02-26",30.92,31.17,30.76,31.120001,1222400,30.537041
"2018-02-27",31.040001,31.059999,30.25,30.25,2089400,29.683336
"2018-02-28",30.34,30.860001,29.959999,30.32,2474100,29.752026
"2018-03-01",30.360001,30.75,29.969999,30.549999,2931600,29.977716
"2018-03-02",30.34,30.360001,29.799999,30.059999,2394500,29.496897
"2018-03-05",29.93,30.450001,29.83,30.290001,2690300,29.722589
"2018-03-06",30.299999,30.379999,30,30.040001,1965100,29.477272
"2018-03-07",29.780001,29.940001,29.719999,29.83,1840300,29.271204
"2018-03-08",29.9,29.91,29.68,29.83,958400,29.271204
"2018-03-09",29.98,29.98,29.709999,29.92,1708400,29.359518
"2018-03-12",29.98,30.09,29.629999,29.690001,1485800,29.133827
"2018-03-13",29.84,31.58,29.790001,31.34,4950700,30.752918
"2018-03-14",31.540001,31.610001,30.5,30.75,2629200,30.173971
"2018-03-15",30.75,31.07,30.75,31.049999,2608200,30.468349
"2018-03-16",31.129999,31.459999,31.01,31.1,2376400,30.517414
"2018-03-19",30.99,31.07,30.129999,30.190001,3109200,29.62446
"2018-03-20",30.309999,31.34,30.26,30.82,3160500,30.242659
"2018-03-21",30.709999,31.190001,30.450001,30.860001,2322800,30.28191
"2018-03-22",30.540001,30.57,29.700001,29.799999,2410200,29.241766
"2018-03-23",29.82,29.870001,28.790001,28.799999,2418300,28.2605
"2018-03-26",29.290001,29.59,28.76,29.4,2414400,28.84926
"2018-03-27",29.459999,29.5,28.860001,29,2453200,28.456753
"2018-03-28",28.83,29.01,28.129999,28.85,2527500,28.555733
"2018-03-29",29.09,29.09,28.629999,28.780001,1962700,28.486448
"2018-04-02",28.68,28.799999,27.83,28.059999,1780300,27.77379
"2018-04-03",28.26,28.26,27.76,27.92,1797000,27.63522
"2018-04-04",27.629999,28.35,27.5,28.309999,3230700,28.02124
"2018-04-05",28.450001,28.559999,28.07,28.280001,988800,27.991547
"2018-04-06",28.09,28.34,27.799999,27.98,2090400,27.694607
"2018-04-09",28.190001,28.290001,27.49,27.530001,2040500,27.249197
"2018-04-10",27.9,28.48,27.870001,28.32,1445000,28.031137
"2018-04-11",28.1,28.379999,28.049999,28.25,814600,27.961853
"2018-04-12",28.41,28.52,28.23,28.23,1658100,27.942057
"2018-04-13",28.42,28.700001,28.07,28.17,1205900,27.882669
"2018-04-16",28.360001,29.129999,27.98,29.059999,1974100,28.76359
"2018-04-17",29.190001,30.040001,29.040001,29.98,3179700,29.674206
"2018-04-18",30.01,30.959999,29.73,30.27,3828700,29.961248
"2018-04-19",30.059999,30.889999,30.02,30.33,2543300,30.020638
"2018-04-20",30.450001,31.780001,30.25,31.540001,4606800,31.218296
"2018-04-23",31.52,31.67,30.639999,31.200001,2617400,30.881763
"2018-04-24",31.299999,31.49,30.35,30.700001,1698700,30.386864
"2018-04-25",30.690001,30.77,30.290001,30.639999,993100,30.327475
"2018-04-26",30.75,30.75,30.32,30.42,1287800,30.109718
"2018-04-27",30.940001,31.370001,30.85,31.280001,1865000,30.960947
"2018-04-30",31.280001,31.559999,31.190001,31.450001,2053200,31.129213
"2018-05-01",31.35,32.310001,31.35,32.290001,3301900,31.960646
"2018-05-02",32.049999,32.049999,29.200001,29.379999,8017900,29.080326
"2018-05-03",29.24,29.5,28.17,28.309999,5107300,28.02124
"2018-05-04",28.120001,28.889999,27.870001,28.379999,3043200,28.090527
"2018-05-07",28.4,28.799999,27.66,28.459999,4832300,28.16971
"2018-05-08",28.59,28.82,28.040001,28.379999,3520400,28.090527
"2018-05-09",28.68,29.049999,28.07,28.83,3114300,28.535936
"2018-05-10",28.940001,29.370001,28.700001,29.33,1483100,29.030836
"2018-05-11",29.75,30.42,29.67,30.17,3542700,29.862268
"2018-05-14",28.889999,29.15,27.110001,28.870001,11700400,28.575529
"2018-05-15",28.59,29.040001,28.440001,28.51,2602700,28.2192
"2018-05-16",28.42,28.65,28.309999,28.549999,1764100,28.258793
"2018-05-17",28.549999,28.92,28.370001,28.469999,1641600,28.179607
"2018-05-18",28.49,28.530001,28.120001,28.190001,2077900,27.902466
